D	H	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Lampropedia	-3.33333333333332e-05	-5.52063132945486e-05	1.81356612084167e-05	0.104801159410798
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus	2.38095238095239e-05	6.90894889424302e-05	7.04067604222401e-06	0.173385289762362
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Unassigned	-0.0013	0.000465037593984962	1.82201269662566e-06	0.0912391780558527
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	-5e-04	7.69230769230769e-05	0	0.0106836535562542
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcaceae_incertae_sedis	-0.00153333333333333	0.000368656506891801	-2.45650891935724e-06	0.0632996243917514
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Agathobacter	0.000166666666666667	-7.69230769230769e-05	-1.0422502334267e-05	0.0297869130869131
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Aggregatibacter	-0.00119047619047619	0.000178271728271728	-3.8763197586727e-05	0.0793862857317603
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Dialister	-0.000216666666666667	0.000177064602064602	-4.59292412617221e-05	0.131938071995943
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiliaceae|Saccharicrinis	-0.000314285714285714	1.56135531135531e-05	-4.68342330184436e-05	0.113018678190386
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Unassigned	-0.000333333333333333	4.16666666666667e-06	-5.65329564320007e-05	0.0894541542335491
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae|Fretibacterium	0.00186666666666667	-0.000434672272172272	-6.28151260504202e-05	0.208293399173289
Bacteria|Firmicutes|Clostridia|Clostridiales|Tissierellaceae|Sporanaerobacter	-0.000166666666666667	0	-7.14285714285714e-05	0.0524081898804683
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Unassigned	-8.57142857142857e-05	-3.18431568431568e-05	-9.22090766131014e-05	0.0406304130651629
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Caviibacter	-0.000166666666666667	-7.69230769230769e-05	-0.000105263157894737	0.0166659821870361
