module1	module2	Both	P1A2	P2A1	A1A2	p_raw	p_adj
KOmodel_43-OEmodel_131	KOmodel_43	OEmodel_13	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_22-OEmodel_191	KOmodel_22	OEmodel_19	1	3	3	502	0.0311564641784898	0.0311564641784898
KOmodel_3-OEmodel_201	KOmodel_3	OEmodel_20	1	5	3	500	0.0464588019672786	0.0464588019672786
KOmodel_28-OEmodel_201	KOmodel_28	OEmodel_20	1	3	3	502	0.0311564641784898	0.0311564641784898
KOmodel_45-OEmodel_201	KOmodel_45	OEmodel_20	1	2	3	503	0.0234365953671629	0.0234365953671629
KOmodel_20-OEmodel_511	KOmodel_20	OEmodel_51	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_60-OEmodel_541	KOmodel_60	OEmodel_54	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_3-OEmodel_471	KOmodel_3	OEmodel_47	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_18-OEmodel_471	KOmodel_18	OEmodel_47	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_11-OEmodel_241	KOmodel_11	OEmodel_24	1	4	2	502	0.0292379621273583	0.0292379621273583
KOmodel_32-OEmodel_551	KOmodel_32	OEmodel_55	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_34-OEmodel_551	KOmodel_34	OEmodel_55	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_8-OEmodel_281	KOmodel_8	OEmodel_28	1	5	2	501	0.0350163075908858	0.0350163075908858
KOmodel_37-OEmodel_281	KOmodel_37	OEmodel_28	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_59-OEmodel_561	KOmodel_59	OEmodel_56	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_29-OEmodel_521	KOmodel_29	OEmodel_52	1	3	2	503	0.0234365953671632	0.0234365953671632
KOmodel_9-OEmodel_431	KOmodel_9	OEmodel_43	1	4	2	502	0.0292379621273583	0.0292379621273583
KOmodel_56-OEmodel_431	KOmodel_56	OEmodel_43	1	2	2	504	0.017612161542315	0.017612161542315
KOmodel_5-OEmodel_531	KOmodel_5	OEmodel_53	1	5	2	501	0.0350163075908858	0.0350163075908858
