Proportion.removed	remain.mean	remain.sd	remain.se	weighted	Group
61	0.05	0.582798913043478	0.0135041117271576	0.00135041117271576	unweighted	OE
62	0.1	0.533722826086957	0.0163459020674076	0.00163459020674076	unweighted	OE
63	0.15	0.495027173913043	0.0172082162084084	0.00172082162084084	unweighted	OE
64	0.2	0.451005434782609	0.0215788412999527	0.00215788412999527	unweighted	OE
65	0.25	0.407309782608696	0.0222441309812558	0.00222441309812558	unweighted	OE
66	0.3	0.368614130434783	0.0221179627664398	0.00221179627664398	unweighted	OE
67	0.35	0.325815217391304	0.0204903892363906	0.00204903892363906	unweighted	OE
68	0.4	0.288722826086957	0.0227496753905542	0.00227496753905542	unweighted	OE
69	0.45	0.248804347826087	0.0246776104403737	0.00246776104403737	unweighted	OE
70	0.5	0.213097826086957	0.0200810799227919	0.00200810799227919	unweighted	OE
71	0.55	0.181820652173913	0.0198039910539721	0.00198039910539721	unweighted	OE
72	0.6	0.146277173913043	0.0170076631499429	0.00170076631499429	unweighted	OE
73	0.65	0.120353260869565	0.0190601085820379	0.00190601085820379	unweighted	OE
74	0.7	0.090625	0.0173520388355929	0.00173520388355929	unweighted	OE
75	0.75	0.0664945652173913	0.0137395634785382	0.00137395634785382	unweighted	OE
76	0.8	0.0453804347826087	0.0138856066274963	0.00138856066274963	unweighted	OE
77	0.85	0.0253804347826087	0.0113805820644584	0.00113805820644584	unweighted	OE
78	0.9	0.0134510869565217	0.00645570017574565	0.000645570017574565	unweighted	OE
79	0.95	0.00380434782608696	0.0043354567131384	0.00043354567131384	unweighted	OE
80	1	0	0	0	unweighted	OE
81	0.05	0.586310160427807	0.0099905629500943	0.00099905629500943	weighted	WT
82	0.1	0.543342245989305	0.0135236288849385	0.00135236288849385	weighted	WT
83	0.15	0.493048128342246	0.0150054441908392	0.00150054441908392	weighted	WT
84	0.2	0.450802139037433	0.0194822215940825	0.00194822215940825	weighted	WT
85	0.25	0.407005347593583	0.0200830010056484	0.00200830010056484	weighted	WT
86	0.3	0.36620320855615	0.0186873087969421	0.00186873087969421	weighted	WT
87	0.35	0.324625668449198	0.020805399188013	0.0020805399188013	weighted	WT
88	0.4	0.288689839572193	0.0194393810656482	0.00194393810656482	weighted	WT
89	0.45	0.250267379679144	0.018768592214386	0.0018768592214386	weighted	WT
90	0.5	0.211550802139037	0.0205511095983845	0.00205511095983845	weighted	WT
91	0.55	0.181711229946524	0.0207248043401145	0.00207248043401145	weighted	WT
92	0.6	0.145641711229947	0.0178028338259995	0.00178028338259995	weighted	WT
93	0.65	0.115534759358289	0.0161830371217701	0.00161830371217701	weighted	WT
94	0.7	0.0922994652406417	0.0175166931324577	0.00175166931324577	weighted	WT
95	0.75	0.0640641711229947	0.0160334152248287	0.00160334152248287	weighted	WT
96	0.8	0.0426470588235294	0.0114287852574814	0.00114287852574814	weighted	WT
97	0.85	0.0240909090909091	0.0104111738828584	0.00104111738828584	weighted	WT
98	0.9	0.0115508021390374	0.00650385209383251	0.00065038520938325	weighted	WT
99	0.95	0.0031283422459893	0.00368567249983077	0.000368567249983077	weighted	WT
100	1	0	0	0	weighted	WT
101	0.05	0.519491978609626	0.0137092494520344	0.00137092494520344	unweighted	WT
102	0.1	0.480026737967914	0.016558689096992	0.0016558689096992	unweighted	WT
103	0.15	0.442112299465241	0.0216933353944451	0.00216933353944451	unweighted	WT
104	0.2	0.404839572192513	0.0208262143408345	0.00208262143408345	unweighted	WT
105	0.25	0.368262032085562	0.0223022267559437	0.00223022267559437	unweighted	WT
106	0.3	0.331256684491979	0.0229879779374144	0.00229879779374144	unweighted	WT
107	0.35	0.288770053475936	0.0221923343992669	0.00221923343992669	unweighted	WT
108	0.4	0.261524064171123	0.0271764802817952	0.00271764802817952	unweighted	WT
109	0.45	0.227647058823529	0.01986404706241	0.001986404706241	unweighted	WT
110	0.5	0.199171122994652	0.0215333598103352	0.00215333598103352	unweighted	WT
111	0.55	0.166737967914439	0.0205238238135663	0.00205238238135663	unweighted	WT
112	0.6	0.137406417112299	0.0185631409316677	0.00185631409316677	unweighted	WT
113	0.65	0.110855614973262	0.0177458120221535	0.00177458120221535	unweighted	WT
114	0.7	0.0827272727272727	0.0162654917052276	0.00162654917052276	unweighted	WT
115	0.75	0.0613903743315508	0.0136703461385997	0.00136703461385998	unweighted	WT
116	0.8	0.0431818181818182	0.0109049740527515	0.00109049740527515	unweighted	WT
117	0.85	0.0247326203208556	0.00909214025680699	0.000909214025680699	unweighted	WT
118	0.9	0.0107754010695187	0.00711445978102142	0.000711445978102142	unweighted	WT
119	0.95	0.00237967914438503	0.00328891167799741	0.000328891167799741	unweighted	WT
120	1	0	0	0	unweighted	WT
