ID	group	Group
301	ASV_114	KOmodel_67	KO
302	ASV_371	KOmodel_66	KO
303	ASV_101	KOmodel_120	KO
304	ASV_255	KOmodel_65	KO
305	ASV_332	KOmodel_64	KO
306	ASV_305	KOmodel_63	KO
307	ASV_145	KOmodel_122	KO
308	ASV_79	KOmodel_119	KO
309	ASV_167	KOmodel_118	KO
310	ASV_30	KOmodel_116	KO
311	ASV_136	KOmodel_113	KO
312	ASV_14	KOmodel_111	KO
313	ASV_127	KOmodel_109	KO
314	ASV_212	KOmodel_108	KO
315	ASV_315	KOmodel_107	KO
316	ASV_1072	KOmodel_105	KO
317	ASV_446	KOmodel_104	KO
318	ASV_593	KOmodel_103	KO
319	ASV_107	KOmodel_102	KO
320	ASV_721	KOmodel_101	KO
321	ASV_11	KOmodel_100	KO
322	ASV_73	KOmodel_99	KO
323	ASV_85	KOmodel_98	KO
324	ASV_141	KOmodel_97	KO
325	ASV_251	KOmodel_96	KO
326	ASV_432	KOmodel_95	KO
327	ASV_391	KOmodel_94	KO
328	ASV_231	KOmodel_121	KO
329	ASV_118	KOmodel_117	KO
330	ASV_12	KOmodel_115	KO
331	ASV_51	KOmodel_112	KO
332	ASV_705	KOmodel_93	KO
333	ASV_279	KOmodel_92	KO
334	ASV_481	KOmodel_91	KO
335	ASV_1156	KOmodel_90	KO
336	ASV_261	KOmodel_89	KO
337	ASV_307	KOmodel_78	KO
338	ASV_682	KOmodel_88	KO
339	ASV_116	KOmodel_87	KO
340	ASV_273	KOmodel_86	KO
341	ASV_698	KOmodel_85	KO
342	ASV_353	KOmodel_84	KO
343	ASV_597	KOmodel_83	KO
344	ASV_380	KOmodel_82	KO
345	ASV_290	KOmodel_81	KO
346	ASV_232	KOmodel_106	KO
347	ASV_322	KOmodel_80	KO
348	ASV_257	KOmodel_79	KO
349	ASV_573	KOmodel_77	KO
350	ASV_267	KOmodel_76	KO
351	ASV_478	KOmodel_110	KO
352	ASV_24	KOmodel_75	KO
353	ASV_578	KOmodel_74	KO
354	ASV_102	KOmodel_73	KO
355	ASV_453	KOmodel_114	KO
356	ASV_276	KOmodel_72	KO
357	ASV_241	KOmodel_71	KO
358	ASV_458	KOmodel_70	KO
359	ASV_246	KOmodel_69	KO
360	ASV_444	KOmodel_68	KO
361	ASV_312	KOmodel_67	KO
362	ASV_333	KOmodel_66	KO
363	ASV_436	KOmodel_120	KO
364	ASV_373	KOmodel_65	KO
365	ASV_210	KOmodel_64	KO
366	ASV_218	KOmodel_63	KO
367	ASV_192	OEmodel_2	OE
368	ASV_27	OEmodel_2	OE
369	ASV_238	OEmodel_2	OE
370	ASV_33	OEmodel_2	OE
371	ASV_37	OEmodel_2	OE
372	ASV_297	OEmodel_2	OE
373	ASV_283	OEmodel_1	OE
374	ASV_337	OEmodel_1	OE
375	ASV_217	OEmodel_1	OE
376	ASV_101	OEmodel_1	OE
377	ASV_566	OEmodel_1	OE
378	ASV_1246	OEmodel_1	OE
379	ASV_16	OEmodel_2	OE
380	ASV_301	OEmodel_1	OE
381	ASV_50	OEmodel_4	OE
382	ASV_99	OEmodel_4	OE
383	ASV_227	OEmodel_4	OE
384	ASV_312	OEmodel_4	OE
385	ASV_308	OEmodel_4	OE
386	ASV_45	OEmodel_3	OE
387	ASV_916	OEmodel_3	OE
388	ASV_218	OEmodel_3	OE
389	ASV_170	OEmodel_3	OE
390	ASV_255	OEmodel_3	OE
391	ASV_208	OEmodel_4	OE
392	ASV_128	OEmodel_3	OE
393	ASV_526	OEmodel_8	OE
394	ASV_185	OEmodel_8	OE
395	ASV_215	OEmodel_8	OE
396	ASV_19	OEmodel_8	OE
397	ASV_98	OEmodel_6	OE
398	ASV_558	OEmodel_6	OE
399	ASV_1145	OEmodel_6	OE
400	ASV_300	OEmodel_6	OE
401	ASV_1156	OEmodel_5	OE
402	ASV_343	OEmodel_5	OE
403	ASV_803	OEmodel_5	OE
404	ASV_1118	OEmodel_5	OE
405	ASV_22	OEmodel_10	OE
406	ASV_95	OEmodel_10	OE
407	ASV_156	OEmodel_10	OE
408	ASV_525	OEmodel_10	OE
409	ASV_262	OEmodel_9	OE
410	ASV_252	OEmodel_9	OE
411	ASV_436	OEmodel_9	OE
412	ASV_121	OEmodel_9	OE
413	ASV_349	OEmodel_7	OE
414	ASV_348	OEmodel_7	OE
415	ASV_162	OEmodel_7	OE
416	ASV_351	OEmodel_7	OE
417	ASV_1591	OEmodel_8	OE
418	ASV_1113	OEmodel_6	OE
419	ASV_358	OEmodel_5	OE
420	ASV_32	OEmodel_10	OE
421	ASV_181	OEmodel_9	OE
422	ASV_221	OEmodel_7	OE
423	ASV_3	OEmodel_12	OE
424	ASV_39	OEmodel_12	OE
425	ASV_336	OEmodel_12	OE
426	ASV_92	OEmodel_18	OE
427	ASV_46	OEmodel_18	OE
428	ASV_318	OEmodel_18	OE
429	ASV_12	OEmodel_17	OE
