Genus	All	D	H	I	All
Desulfobulbus	0	0	0	0	0.1
Morganella	0	0	0	0	0.1
Citrobacter	0	0	0	0	0.1
Paludibacter	0	0	0	0	0.1
Pantoea	0	0	0	0	0.1
Dorea	0	0	0	0	0.1
Paeniglutamicibacter	0	0	0	0	0.1
Cutibacterium	0	0	0	0	0.1
Metaprevotella	0	0	0	0	0.1
Mediterraneibacter	0	0	0	0	0.1
Comamonas	0	0	0	0	0.1
Mogibacterium	0	0	0	0	0.1
Moraxella	0	0	0	0	0.1
Ligilactobacillus	0	0	0	0	0.1
Methylophilus	0	0	0	0	0.1
Brevundimonas	0	0	0	0	0.1
Enhydrobacter	0	0	0	0	0.1
Photobacterium	0	0	0	0	0.1
Brochothrix	0	0	0	0	0.1
Kluyvera	0	0	0	0	0.1
Pseudoramibacter	0	0	0	0	0.1
Propionivibrio	0	0	0	0	0.1
Pseudescherichia	0	0	0	0	0.1
Caldalkalibacillus	0	0	0	0	0.1
Dysgonomonas	0	0	0	0	0.1
Parabacteroides	0	0	0	0	0.1
Caviibacter	0	0	0	0	0.1
Lachnospiracea_incertae_sedis	0	0	0	0	0.1
Bulleidia	0	0	0	0	0.1
Lampropedia	0	0	0	0	0.1
Elizabethkingia	0	0	0	0	0.1
