ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HG00P003	HG00P010	HG00P011	HG00P012	HG00P014	HG00P021	HG00P022	HG00P023	HG00P024	HG00P025	HG00P026	HG00P028	HG00P046	HG00P047	HG00P048	HG00P050	HG00P051	HG00P055	HG00P056	HG00P058	HG00P059	HG00P061	HG00P063	HG00P064	HG00P066	HG00P071	HG00P072	HG00P073	HG00P074	HG00P075	HG00P077	HG00P078	HG00P082	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082
ASV_28	1.418	7.931	0.338741040305334	0.582746544825338	NotSig	0.03	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0.581	0.052	0.154	0	0.216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0.009	0	0	0.008	0	0.088	0.107	0.05	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_167	-0.511	10.105	0.340198374549374	0.582746544825338	NotSig	0.067	0.12	0.148	0.008	0.056	0.002	0.029	0.035	0.012	0.011	0.007	0.031	0	0	0.027	0.075	0.118	0.012	0.249	0.008	0.102	0.022	0.602	0.066	0	0.026	0.022	0.083	0.018	0.014	0.031	0.259	0.073	0.055	0.007	0.128	0.152	0.071	0.006	0.005	0	0.107	0.006	0.083	0.002	0.009	0	0.013	0	0	0.89	0.031	1.054	0.075	0.029	0.038	0.034	0.001	0.013	0.147	0.027	0.045	1.407	0.016	0.039	0.02	0.037	0.018	0.047	0.009	0.035	0.106	0	0
ASV_135	-0.567	10.58	0.341552715200196	0.582746544825338	NotSig	0.111	0.17	0.005	0.185	0.285	0	0.161	0.086	0.017	0	0.002	0.002	0.003	0.008	0	0.004	0.084	0.049	0.398	0.008	0.009	0.003	0.001	0.017	0.002	0.321	0.071	0.44	0.025	0.094	1.283	0.065	0.01	0.028	0.008	0.005	0.011	0.012	2.454	0.616	0.007	0.2	0.038	0	0.009	0.003	0.002	0	0.035	0	0.007	0.279	0	0.072	0.093	0.168	0.012	0.001	0.003	0.001	0.041	0.035	0.134	0.594	1.289	0.128	0.137	0.024	0.006	0.086	0.081	0.041	0.002	0
ASV_17	-0.459	13.773	0.344820440725052	0.582746544825338	NotSig	0.917	1.132	0.065	5.278	3.314	0.098	0.169	0.049	0.863	0.03	0.593	0.117	0.261	0.067	0.949	0.48	0.445	1.286	0.73	1.129	4.539	0.752	0.176	1.073	2.969	1.1	0.567	0.509	0.152	0.934	0.083	0.118	1.226	0.12	0.031	0.024	0.019	0.064	0.137	0.096	0.007	0.034	0.024	0.041	0.082	0.079	0.055	0.101	3.191	0.132	3.745	1.338	0.466	0.406	11.846	5.835	0.883	0.298	0.671	0.619	1.83	5.884	0.577	0.233	0.274	1.049	1.449	0.36	0.589	0.055	0.615	0.353	0.012	0.664
ASV_159	0.369	10.268	0.352922646885193	0.590533933897006	NotSig	0.107	0.087	0.011	0.062	1.177	0.015	0.034	0.006	0.071	0.041	0.215	0.133	0.593	0.056	0.106	0.122	0.011	0.179	0.119	0.06	0.056	0.008	0.036	0.023	0.016	0.055	0.012	0.036	0.023	0.051	0.051	0.01	0.008	0.013	0.131	0.217	0.054	0.049	0.09	0.397	0.06	0.272	0.136	0.271	0.189	0.096	0.025	0.108	0.282	0.125	0.027	0.096	0.032	0.08	0.03	0.051	0.019	0.004	0.013	0.017	0.014	0.007	0.11	0.004	0.156	0.067	0.068	0.008	0.017	0.021	0.028	0.009	0.009	0.137
ASV_130	-0.465	11.754	0.362022794439898	0.594082072143475	NotSig	0.219	0.273	0.048	0.022	0.069	0.042	0.018	0.023	0.009	0.011	0.018	0.022	0.005	0.004	0.614	0.133	0.05	1.458	0.922	0.18	0.464	0.103	0.73	0.533	0.001	0.406	0.908	0.062	0.057	0.053	0.026	0.028	0.128	0.067	0.015	0.033	0.104	0.035	0.26	0.061	0.026	0.034	0.044	0.012	0.002	0.009	0.006	0.002	0.005	0	0.705	0.101	0.082	1.396	1.102	0.964	0.069	0.074	0.42	2.698	0.217	0.351	0.323	0.127	0.218	0.15	0.238	0.033	0.315	0.03	0.188	0.151	0.045	0.008
ASV_220	-0.312	10.955	0.362073688939514	0.594082072143475	NotSig	0.118	0.167	0.014	0.076	0.08	0.05	0.036	0.07	0.045	0.041	0.049	0.033	0.04	0.042	0.303	0.465	0.183	0.15	0.384	0.373	0.185	0.238	0.109	0.106	0.072	0.055	0.095	0.052	0.144	0.046	0.026	0.055	0.165	0.095	0.028	0.065	0.053	0.025	0.051	0.053	0.104	0.672	0.218	0.162	0.077	0.579	0.081	0.056	0.129	0.011	0.338	0.35	0.253	0.266	0.266	0.265	0.391	0.234	0.321	0.263	0.118	0.097	0.052	0.046	0.084	0.125	0.09	0.204	0.058	0.012	0.115	0.153	0.062	0.015
ASV_55	0.362	12.109	0.371140159672719	0.602469110854326	NotSig	0.385	0.293	0.023	0.05	0.476	0.215	0.028	0.062	2.268	0.147	0.71	0.791	0.779	0.036	0.373	0.166	0.21	0.157	0.332	0.158	0.17	0.21	0.799	0.438	0.041	0.103	0.134	0.294	0.029	0.014	0.201	0.467	0.533	2.157	0.129	0.343	0.023	0.024	0.034	0.022	0.262	0.04	0.032	0.257	2.364	0.143	0.102	0.085	0.367	0.106	0.199	0.143	1.008	0.171	0.163	0.067	0.121	0.158	1.511	0.843	0.244	0.042	0.098	0.134	0.221	0.112	0.049	0.014	0.091	0.166	0.525	0.514	0.039	0.593
ASV_63	-0.428	11.996	0.374315128045587	0.602469110854326	NotSig	0.297	0.345	0.136	0.055	0.04	0.387	0.015	0.084	0.014	0.006	0.013	0.014	0.01	0.002	0.043	0.194	0.367	0.032	0.675	0.06	0.167	0.263	0.523	0.077	0.135	0.926	0.886	0.421	0.219	0.065	1.656	0.559	0.092	1.674	0.003	0.087	0.285	0.187	0.145	0.232	0.353	0.005	0.062	0.006	0.007	0.052	0.032	0.009	0.018	0.02	0.096	0.102	0.68	0.063	0.077	0.071	0.829	0.064	0.043	0.064	0.199	0.819	0.247	2.12	0.262	0.233	0.431	0.068	0.064	4.351	0.522	0.284	0.251	0
ASV_35	0.453	12.376	0.379960560271846	0.604995263740053	NotSig	0.531	0.452	4.146	0.175	0.385	0.041	1.504	0.01	0.532	0.049	1.079	0.043	0.115	0.286	0.052	0.008	0.043	0.066	0.053	0.056	0.003	0.077	0.125	5.586	0	0.461	0.055	0.689	0.041	0.004	0.035	0.043	1.006	0.102	0.638	0.231	0.397	0.148	0.611	0.278	0.072	0.572	0.425	0.115	0.371	0.102	0.144	0.036	0.065	0.187	0.03	0.003	0.037	0.029	0.061	0	0.016	0.056	0.069	0.115	5.029	0.03	2.825	0.058	1.925	0.213	2.003	0.022	0.02	0.025	1.231	0.043	0.033	0.018
