ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082
ASV_108	0.502	9.634	0.509985845090279	0.693001994874387	NotSig	0.089	0.057	0.002	0.056	0.112	0.241	0.273	0.096	0.005	0.016	0	0.016	0.031	0.008	0.004	0.01	0.003	0.271	0.012	0	0.002	0.006	0.002	0	0	0	0.039	0.047	0.122	0.098	0.087	0.06	0.084	0.011	0.136	0.052	0.098	0.042	0.207	0.218	0.044	0.065	0.049	0.054	0.014	0.086	0.019	0.241	0	0
ASV_121	-0.531	10.655	0.512152526547327	0.693001994874387	NotSig	0.099	0.12	0.028	0.011	0.074	0.064	0.191	0.293	0.218	0.01	0.001	0.009	0.005	0.15	0.009	0.002	0.002	0.003	0.008	0.004	0	0.006	0.013	0.121	0.005	0.004	0.539	0.038	0.24	0.102	0.11	0.026	0.062	0.078	0.158	1.224	0.125	0.129	0.223	0.261	0.063	0.114	0.109	0.052	0.365	0.032	0.109	0.173	0.012	0.003
ASV_112	0.494	10.607	0.513160033905139	0.693001994874387	NotSig	0.218	0.111	1.624	0.138	0.004	0.022	0.006	0.045	0.01	0.104	0.009	0.031	0.167	0.019	0.044	0.008	0.019	0.007	0.278	0.087	0.061	1.673	0.049	0.018	0.023	0.011	0.122	0.013	0.021	0.386	0.048	0.003	0.009	0.007	0.017	0.012	0.031	0.102	0.043	0.031	0.007	0.06	0.016	0.008	0.003	0.005	0.091	0.089	0.181	0.513
ASV_106	0.625	9.569	0.51782951274281	0.693001994874387	NotSig	0.079	0.064	0	0.018	0.008	0.009	0.098	0.003	0	0.559	0.015	0	0	0	0.295	0.205	0	0.103	0	0.01	0.025	0	0.125	0	0	0.007	0.007	0.006	0.021	0	0.01	0.007	0.003	0.055	0.016	0.008	0.052	0	0.027	0.084	1.312	0.043	0.004	0.005	0.003	0.023	0.016	0.003	0.02	0.012
ASV_1	0.38	16.951	0.519925762993628	0.693001994874387	NotSig	12.357	8.899	5.559	5.685	4.241	39.807	7.76	4.29	42.824	0.878	0.167	5.398	1.445	3.533	3.433	9.738	9.472	3.86	24.005	7.176	1.535	9.108	2.813	2.383	6.424	0.605	8.341	35.115	4.912	16.357	10.502	24.428	12.358	20.43	5.382	6.593	13.547	4.582	3.015	2.059	8.854	12.753	13.729	8.899	2.473	1.369	20.715	18.259	1.294	0.174
ASV_111	0.514	10.944	0.520776647035782	0.693001994874387	NotSig	0.185	0.132	0.128	0.063	0.708	0.358	0.377	0.002	0.012	0.009	0.008	0.009	0.081	0.01	0.139	0.793	0.026	0.052	0.003	0.01	0.091	0.003	0.006	0.027	0.051	0	0.515	0.059	0.165	0.304	0.171	0.169	0.256	0.74	0.215	0.548	0.388	0.007	0.082	0.001	0.021	0	0.041	0.001	0.009	0.009	0.096	0.007	0.023	0.005
ASV_97	-0.405	11.474	0.538830985184593	0.711425285126533	NotSig	0.167	0.23	0.153	0.321	0.013	0.032	0.28	0.055	0.015	0.101	0.531	0.087	0.62	0.384	0.414	0.269	0.855	0.067	0.113	0.78	0.332	0.116	1.077	0.545	0.342	0.33	0.166	0.108	0.037	0.031	0.094	0.02	0.046	0.011	0.196	0.021	0.151	0.032	0.034	0.033	0.105	0.112	0.101	0.091	0.038	0.889	0.023	0.023	0.235	0.034
ASV_74	0.419	11.924	0.545843499785493	0.713897258189975	NotSig	0.406	0.337	0.279	0.096	0.49	0.267	0.2	1.974	0.289	0.023	0.031	0.325	0.228	0.271	0.043	0.018	0.027	0.179	0.097	0.063	0.016	0.006	0.017	0.036	0.002	0.004	2.929	0.065	0.403	0.184	0.142	0.085	0.091	0.073	0.312	0.071	1.645	0.889	3.015	0.222	0.218	0.146	0.121	0.016	0.415	0.058	0.39	0.246	0.045	0.012
ASV_407	-0.708	8.371	0.550716319995546	0.713897258189975	NotSig	0.016	0.023	0	0	0.004	0.012	0.056	0.002	0	0.069	0.007	0	0	0	0.003	0.005	0	0	0	0	0	0	0	0	0	0.002	0.001	0.071	0.003	0	0.001	0.006	0.003	0.018	0.001	0.009	0.052	0	0.009	0.063	0.002	0	0.027	0.008	0.007	0.36	0.004	0.206	0.016	0.002
ASV_134	0.373	10.199	0.553375981200513	0.713897258189975	NotSig	0.11	0.08	0.03	0.035	0.144	0.254	0.154	0.151	0.193	0.012	0.02	0.035	0.056	0.029	0.059	0.413	0.007	0.003	0.021	0	0.009	0.02	0.006	0.043	0.065	0.044	0.131	0.256	0.28	0.037	0.11	0.048	0.078	0.264	0.052	0.131	0.098	0.122	0.11	0.033	0.039	0.013	0.033	0.022	0.13	0.106	0.08	0.143	0.008	0
ASV_154	0.372	11.526	0.575819286214545	0.734662791860185	NotSig	0.232	0.228	0.056	0.102	0.079	0.635	0.174	0.13	0.008	0.019	0.884	0.299	2.937	0.281	0.385	0.475	0.002	0.116	0.068	0.024	0.02	0.038	0.066	0.141	0.286	0.555	0.089	0.071	0.053	0.252	0.122	0.042	0.041	0.029	0.072	0.336	0.074	0.376	0.131	0.509	0.237	0.036	0.049	0.124	0.047	0.237	0.013	0.017	0.232	0.012
ASV_107	0.43	8.279	0.578166575842631	0.734662791860185	NotSig	0.022	0.021	0.015	0	0.113	0.026	0.013	0.014	0.015	0.001	0	0.009	0.011	0.008	0.006	0.005	0.005	0.043	0.008	0.004	0.002	0	0.002	0.007	0.007	0	0.108	0.004	0.098	0.038	0.02	0.004	0.015	0.032	0.014	0.021	0.137	0.005	0.034	0.001	0	0.002	0.018	0.001	0.105	0.004	0.052	0.001	0	0
