ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_122	-3.07	11.382	0.000511180989959943	0.00691065645830868	Depleted	0.042	0.44	0.039	0.015	0.055	0.038	0.2	0.082	0.049	0	0.023	0.001	0	0.4	0.012	0.001	0	0	0.005	0.003	0	0.06	0	0.004	0.063	0	0.02	0.014	0.123	0.096	0.005	0.046	0.624	0.615	0.04	2.2	0.23	0.038	0.047	0.557	0.003	1.971	0
ASV_407	-4.252	13.358	0.000526445498890064	0.00691065645830868	Depleted	0.075	1.593	0	0.003	0.003	0.139	0.133	0.23	0	0.001	0.013	0	1.087	0.001	0.221	0.001	0.003	0.001	0	0.089	0.009	0.003	0	0.007	0	0	0	0	0	0	0.002	0.435	0.024	0.019	0.131	0.007	0.017	0	0.01	0.009	23.24	0.001	0
ASV_57	4.973	12.699	0.000531588958331437	0.00691065645830868	Enriched	0.733	0.029	0.075	0.003	0.086	0.002	0.003	0.108	0	0	0.005	0	3.382	0.122	0	0.012	6.32	0.01	0.061	0.086	0.046	8.635	0.042	0.048	0	0	0	0	0.01	0.027	0	0	0.022	0.142	0.097	0.041	0	0	0.007	0	0.001	0.09	0
ASV_166	5.069	8.84	0.00107760218120728	0.0130081977588594	Enriched	0.085	0.002	0.002	0	1.988	0.017	0	0.002	0	0	0	0	0	0	0	0	0	0.001	0.01	0.015	0.08	0.039	0.017	0.024	0	0	0	0.003	0	0.001	0	0.015	0	0.005	0.008	0	0	0	0	0.001	0	0	0
ASV_89	3.43	11.992	0.00128538792812641	0.0144820373235576	Enriched	0.228	0.079	0.087	0.088	0.047	0.013	0.092	0.055	0.006	0.025	0.005	0.116	0.001	0.004	0.001	3.476	0.005	0.001	0.023	0.515	0.059	0.596	0.333	0.309	0	0.01	0.004	0.064	0.075	0.109	0.509	0.005	0.044	0.337	0.037	0.033	0.004	0.014	0.002	0.013	0	0	0
ASV_15	-2.592	14.457	0.00175736594016793	0.0185621777430238	Depleted	0.4	2.077	0.548	0.195	0.05	0.073	4.985	0.669	0.691	0.001	0.406	0.355	0.074	0.237	0.038	0.003	0.204	0.011	0.003	0.01	0.029	0.417	0.034	0.11	0.953	0.093	0.066	0.148	0.256	0.403	0.39	0.181	2.794	3.988	1.649	1.099	0.646	0.006	14.61	1.135	0.091	0.003	3.903
ASV_120	3.397	11.503	0.00380217976736877	0.0377981400403131	Enriched	0.231	0.033	0.005	0.003	0.011	0.049	0.007	0.319	0.093	0.001	0.007	0.007	0.006	2.166	0.015	0	0	0.054	0.025	0.05	0.065	0.118	0.97	2.026	0	0	0	0	0.002	0.003	0.002	0.007	0	0.125	0.089	0.19	0.051	0	0.011	0.006	0	0.001	0.012
ASV_174	4.131	13.566	0.00483459250084973	0.0453914518135336	Enriched	0.871	0.126	0.048	0.347	0.033	0.015	0.201	0.014	0	0	0	0	0.003	0.015	21.801	0	0.021	0.001	0	0.009	0.001	0	0	0.007	0.049	0.033	0.021	0.018	0.031	0.156	0.752	0.064	0.128	0.193	0.518	0.037	0.006	0	0.002	0	0	0	0
ASV_117	2.934	13.491	0.00542188902089012	0.0482262760279174	Enriched	0.827	0.166	0.041	0.039	0.31	0.062	0.128	0.103	1.116	0.001	0.014	0.057	0.099	0.475	8.103	0.008	1.234	0.157	0.003	0.229	0	0.032	0.001	0.04	8.641	0.023	0.328	0.249	0.037	0.076	0.048	0.127	0.044	0.176	0.045	0.008	0.376	0	0.002	0.027	0	1.403	0.122
ASV_92	-2.941	7.41	0.00653198649956437	0.0551952859213189	Depleted	0.004	0.026	0.002	0.002	0.022	0.034	0.001	0.01	0.002	0.015	0.002	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0.003	0.088	0	0.007	0.041	0.082	0.174	0	0.001	0	0	0	0
ASV_72	2.834	14.387	0.00730493233621982	0.0587873126105309	Enriched	1.284	0.331	0.009	0.313	0.05	0.22	0.158	0.408	0	0.669	0.108	0.034	0.929	0.011	1.763	17.456	6.909	3.399	0.014	0.031	0.005	0.006	0.003	0.003	0.007	0.01	0.051	0.815	0.06	0.027	0.286	0.223	0.675	0.829	0.124	0.01	0.039	0.251	0.001	0.498	1.056	0.869	0.011
ASV_14	-2.085	14.624	0.00800878604270107	0.0615220382371128	Depleted	0.628	2.35	0.545	0.828	0.066	0.083	4.146	1.072	0.491	0.001	0.32	1.765	1.258	1.333	0.009	0.005	0.204	0.02	0.031	0.04	0.081	1.532	0.038	0.171	1.473	0.172	0.212	0.44	0.26	0.856	0.762	0.183	7.044	3.204	1.713	0.845	0.676	0.016	12.326	4.366	0.136	0.006	2.864
ASV_25	2.774	13.889	0.0091051420816768	0.066467160780214	Enriched	0.857	0.335	0.293	0.448	3.977	0.722	0.185	0.055	0.003	0.106	0.601	0.031	0.001	0.053	0.001	14.709	0.005	0.351	0.556	0.079	0.008	0.006	0.004	0.005	0	0	0	0.07	0.44	0.653	0.901	0.616	0.537	0.481	0.143	0.605	0.056	0.075	0.037	0.141	0.297	0.021	0.024
ASV_111	-2.417	10.156	0.00943912342440909	0.066467160780214	Depleted	0.039	0.131	0.003	0.179	0.199	0.107	0.012	0.043	0.001	0	0.01	0	0	0	0	0	0.001	0.026	0.15	0.003	0.001	0.009	0.01	0.032	0	0	0	0.224	0.058	0.325	0.125	0.076	0.01	0.046	0.015	0.006	0.004	0.001	0.03	1.273	0	0.001	0.002
ASV_152	2.096	11.285	0.0112289051612996	0.0759073988903856	Enriched	0.221	0.077	0.053	0.023	0.105	0.1	0.01	0.017	0.001	0.497	0.277	0.078	0.031	0.475	0.004	0.007	0.019	0.16	0.056	0.372	0.079	2.798	0.357	0.06	0.054	0.003	0.029	0.092	0.212	0.368	0.149	0.086	0.01	0.079	0.018	0.016	0.024	0.131	0.044	0	0.015	0.003	0.005
ASV_24	-3.209	6.791	0.0140801280297417	0.0915208321933213	Depleted	0.001	0.012	0	0	0.003	0.004	0	0.002	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0.079	0.1	0	0	0.001	0	0	0	0
ASV_47	-2.211	9.751	0.0164726872833056	0.0972385597498134	Depleted	0.034	0.146	0.048	0.201	0.078	0.107	0	0	0	0.379	0.001	0	0	0.001	0	0	0	0.001	0.034	0.012	0.001	0.003	0.001	0.007	0	0.002	0	0.007	0.121	0.27	0.774	0.054	0.005	0.035	0.008	0.005	0.007	0.171	0.001	0	0.007	0.54	0.199
ASV_138	-2.429	12.974	0.0166621582170813	0.0972385597498134	Depleted	0.276	1.33	0.005	3.418	0.468	0.096	0.114	0.228	0.028	0	0.02	0	0	0.325	0.007	0.028	0.029	0	0	0.004	0.001	0.004	0	0	0.486	0.922	0.457	0.542	0	0.235	1.593	0.32	0.108	0.132	12.495	1.148	3.655	0	0.005	0.246	0	0	0.008
ASV_189	-1.839	12.42	0.0166859067026307	0.0972385597498134	Depleted	0.157	0.507	0.158	0.205	0.072	0.047	0.007	0.098	0.025	0.013	0.056	0.062	0.595	0.881	0.967	0.005	0.023	0.422	0.044	0.027	0.032	0.047	0.015	0.013	0.168	0.004	0.079	0.006	0.276	0.113	0.187	0.054	0.116	0.037	0.023	0.006	0.399	0.051	0.007	3.667	0.192	0.98	1.502
ASV_73	-2.123	10.264	0.0182155556361343	0.099489450513097	Depleted	0.048	0.176	0.055	0.122	0.446	0.299	0.018	0.082	0.066	0.043	0.001	0	0	0	0	0	0	0.006	0.019	0	0.001	0.001	0.004	0.004	0	0.013	0.001	0.056	0.112	0.117	0.092	0.166	0.029	0.021	0.033	0.003	0.043	0.069	0.002	0.013	0	1.939	0.002
ASV_157	2.694	11.825	0.0182495441769586	0.099489450513097	Enriched	0.173	0.092	0.038	0.029	0.003	0.004	0.003	0	0.384	0.001	0.002	2.085	0.003	0	0.004	0	0.004	0	0.014	0.043	0.41	0.029	1.061	0.273	0	0.083	0.021	0	0.008	0.18	0.014	0.543	0.328	0.065	0.001	0.108	0.013	0.037	0	0.003	0.074	0	0.002
ASV_79	-1.875	12.065	0.0222168535641828	0.11733275788584	Depleted	0.149	0.426	0.039	0.309	0.097	0.701	0.045	0.002	0.01	1.325	0.074	0	0.029	0.004	0.046	0.375	0.055	0.405	0.093	0.008	0.013	0.159	0.003	0.036	0.001	0.005	0.022	0.007	0.191	0.185	0.237	0.35	0.032	0.309	0.021	0.053	0.11	4.864	0.001	0.014	0.015	0.008	0.006
ASV_142	-2.299	9.898	0.0257869988442514	0.128795034692052	Depleted	0.021	0.155	0.003	0.002	0.033	0.002	0.225	0.026	0.006	0	0.014	0.007	0	0.01	0.179	0	0	0	0	0	0.001	0	0	0	0.014	0	0.001	0.01	0	0.011	0.002	0.005	1.923	0.039	0.039	0.061	0.017	0.001	0.002	0.001	0.229	0	0.002
ASV_203	2.212	12.352	0.0260334638870323	0.128795034692052	Enriched	0.23	0.085	0.027	0.047	0.008	0.045	0.193	0.012	1.15	0.015	0.011	2.019	0	0.062	0.003	0.001	0.132	0.001	0.008	0.273	0.055	0.114	0.491	0.034	0.058	0.777	0.435	0	0	0.016	0.023	0.066	0.065	0.104	0.184	0.043	0.037	0.017	0.189	0	0.193	0.014	0.323
ASV_112	1.919	11.077	0.0266735278948038	0.128795034692052	Enriched	0.213	0.046	0.233	0.047	0.006	0.006	0.592	0.024	0.014	0.001	0.183	0.003	0	0.019	0.047	0.017	1.672	0.004	0.038	1.17	0.017	0.867	0.013	0.008	0.183	0.04	0.217	0.116	0.021	0.137	0.009	0.007	0.038	0.121	0.011	0.039	0.017	0.001	0.172	0.104	0.007	0.001	0.003
ASV_55	-1.823	12.044	0.0284561827257041	0.133585968906778	Depleted	0.122	0.537	0.128	0.071	0.449	0.246	0.08	0.329	0.014	0.176	1.453	0.001	0	0.015	0.001	0.011	0.007	0.003	0.042	0.015	0.017	0.074	0.004	0.029	0	0	0	0.014	0.972	0.382	0.156	0.117	0.055	0.146	0.136	2.252	0.204	0.135	0.396	0.315	0.001	2.623	0.168
ASV_110	1.997	12.319	0.0294896731959339	0.134696074867914	Enriched	0.394	0.173	0.067	0.006	0.014	0.019	6.764	0.036	0.148	0.008	0.041	0.074	0.508	0.22	0.004	0.001	0.494	0.019	0.003	0.024	0.034	0.632	0.109	0.045	0.038	0.468	0.394	0.064	0.062	0.049	0.003	0.012	0.342	1.511	0.012	0.176	0.009	0.014	0.102	0.117	0.177	0	0.008
ASV_159	-1.652	11.253	0.0337027315159171	0.149888463847105	Depleted	0.089	0.236	0.113	0.068	0.028	0.058	0.012	0.01	0.003	0	0.061	0.021	0.099	0.984	0.001	0.004	0.18	0.097	0.023	0.003	0.006	0.162	0.001	0.013	0.053	0.053	0.251	0.007	0.031	0.074	0.061	0.017	0.003	0.341	0.006	0.078	0.06	0.089	0.005	1.894	0.024	0.774	0.084
ASV_62	-1.793	13.135	0.0354294408449398	0.153527576994739	Depleted	0.263	0.887	0.17	0.148	0.03	0.021	1.674	0.321	0.045	0	0.08	0.541	0.544	0.238	0	0	0.007	0.007	0.007	0.015	0.193	0.268	0.08	0.289	1.207	0.289	0.441	0.214	0.025	0.205	0.171	0.042	4.86	2.206	0.171	0.087	0.12	0	4.253	0.26	0.001	0.005	0.897
ASV_86	-2.415	11.473	0.0375320071999073	0.158572730419608	Depleted	0.088	0.407	0	0	0.102	1.107	0.486	0.122	0.001	0.008	0.004	0.158	0	0.03	0.246	0.001	0.003	0.011	0	0	0	0.007	0	0	0	0	0	0	0	0	0	1.098	0.128	0.255	0.115	0.107	0.002	0.003	0	0	4.162	0	0.229
ASV_98	2.836	8.65	0.0406264787451204	0.165612143819055	Enriched	0.037	0.006	0.149	0.029	0.097	0.004	0.641	0.017	0	0.001	0	0.008	0	0.003	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	0.012	0	0.007	0.005	0.021	0.034	0	0	0.001	0	0	0.003	0
ASV_81	-1.608	12.426	0.0411580475763331	0.165612143819055	Depleted	0.179	0.403	0.214	0.075	0.039	0.058	0.051	0.29	0.045	0	0.156	0.05	0.102	0.32	0.923	0.003	0.004	0.003	0.008	0.017	0.027	0.156	0.118	0.22	0.943	0.231	0.446	0.15	0.05	0.085	0.092	0.086	0.156	0.659	0.728	0.163	0.193	0	3.199	0.023	0.071	0.003	0.545
ASV_4	-1.676	14.084	0.0451142088023741	0.177309332269796	Depleted	1.12	3.536	0.856	4.704	10.376	4.79	0.464	0.698	0.023	1.849	0.138	0.004	0	0.105	0.134	0.012	0	0.107	0.548	0.128	0.084	0.951	0.147	0.168	0.002	0	0	2.824	22.115	12.353	8.761	3.12	0.762	1.205	1.029	0.14	0.163	1.247	0.052	0.004	0.027	2.033	0.034
ASV_76	1.612	12.413	0.0525619260338972	0.196376302102048	NotSig	0.376	0.175	0.185	0.265	0.332	0.152	0.074	0.307	0.022	0.032	0.028	0.036	0.424	0.008	0.041	0	0.357	0.029	4.712	0.151	0.92	0.264	0.151	0.36	0.016	0.426	0.43	0.067	0.229	0.132	0.199	0.127	0.212	0.116	0.114	0.006	0.12	0.031	0.016	0	0.019	0.947	0.353
ASV_49	1.892	12.197	0.0528058245769951	0.196376302102048	NotSig	0.506	0.262	0.464	0.136	0.108	1.793	0.015	0.036	0.001	0.049	0.132	0.001	0	0.003	0	0.129	3.176	2.026	0.053	4.673	0.048	0.258	0.028	0.025	0	0.002	0.006	0	0.116	0.222	0.201	2.225	0.027	0.808	0.037	0.013	0.006	0.02	0.03	0.001	0.003	0.224	0.002
ASV_188	1.648	10.746	0.0540808932654512	0.196376302102048	NotSig	0.128	0.052	0.005	0.01	0.017	0.009	0.133	0.012	0.007	0.039	0.022	0.001	0.044	0.003	1.011	0.235	0.122	0.037	0.064	0.29	0.006	0.117	0.008	0.001	0	0.006	1.073	0.07	0	0.024	0.007	0.01	0.022	0.279	0.019	0.084	0.006	0.013	0.032	0.11	0.06	0.055	0.057
ASV_78	1.679	11.099	0.0546135278035282	0.196376302102048	NotSig	0.207	0.096	0.142	0.083	0.086	0.509	0.022	0.014	0.007	0.446	0.014	0.011	0.004	0.001	0.001	0.044	0.32	0.245	0.025	1.667	0.048	0.69	0.208	0.772	0	0.003	0	0.017	0.15	0.14	0.151	0.406	0.024	0.046	0.013	0.361	0.084	0.056	0.005	0	0	0.009	0.002
ASV_10	3.009	13.031	0.0580122148357863	0.204251339734331	NotSig	0.638	0.115	0	0.006	0	0	9.066	0	0	0	2.013	0	0	0	0	0	0	0	1.589	1.178	0.973	0.584	0.413	0.542	0.111	0.037	0.057	0.024	0.027	0	0.007	0	0	0.005	0.758	0.925	0	0	0	0	0	0	0
ASV_29	1.461	13.593	0.0622561870841888	0.214720318718937	NotSig	0.871	0.388	0.396	0.229	0.111	0.244	1.805	0.302	0.743	0.01	0.018	0.324	0.379	0.017	0.196	0.028	2.692	1.084	0.053	5.004	0.328	0.536	2.726	0.942	0.135	2.187	1.619	0.551	0.035	0.137	0.319	0.179	0.429	1.321	0.08	0.274	1.069	0.024	0.577	0.201	0.019	0.062	1.088
ASV_51	1.597	13.808	0.0660131504228414	0.215865406163412	NotSig	0.745	0.367	0.127	0.107	0.061	0.235	0.603	0.549	1.758	0.018	0.079	5.321	0.883	1.075	0.603	0.003	0.055	0.066	0.065	1.921	0.329	0.39	1.641	0.882	0.34	1.187	1.06	0.011	0.023	0.049	0.281	0.592	0.381	0.137	0.211	0.044	0.202	0	0.073	0.001	1.144	0.294	2.075
ASV_2	1.712	15.748	0.0663975372739891	0.215865406163412	NotSig	3.769	2.552	8.236	5.475	4.824	5.822	0.191	1.129	0.053	14.134	22.539	0.001	0.019	0.008	0.184	23.014	7.219	0.685	1.718	1.999	0.052	0.479	0.036	0.07	0	0.001	0.074	0.029	4.733	5.416	7.679	8.272	1.883	1.49	1.767	1.273	2.637	1.874	0.229	0.015	0.028	0.638	0.349
ASV_39	1.826	13.587	0.0664553149225736	0.215865406163412	NotSig	1.087	0.396	0.286	0.541	0.402	0.182	0.144	0.096	0.029	0.001	0.026	0.062	0.031	0.457	0.218	0	0	0	0.031	4.713	0.019	0.042	0.045	0.053	20.043	0.046	0.482	0.315	1.344	0.593	0.476	0.888	1.171	0.058	0.061	0.002	0.011	0.001	0.012	0.027	0.252	0.005	1.039
ASV_80	-3.267	14.703	0.0676974350689989	0.215865406163412	NotSig	0.489	2.815	0.003	0.006	0	0.002	0.006	0	0	12.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.017	0.005	0.009	0.005	0.006	0	0	42.184	0	0	0	0	0
ASV_200	1.673	10.855	0.0693719386036727	0.217108474518902	NotSig	0.137	0.086	0.142	0.183	0.21	0.348	0.035	0.07	0.009	0.006	0.01	0	1.759	0	0.003	0.003	0	0.047	0.008	0.018	0.237	0.061	0.02	0.313	0	0.007	0.045	0.041	0.114	0.184	0.236	0.381	0.087	0.053	0.063	0.017	0.062	0.023	0.062	0	0	0	0.005
ASV_28	3.48	10.527	0.0746567341176134	0.229399783015939	NotSig	0.124	0.006	0	0	0	0	0.098	0	0	0	0.936	0	0	0	0	0	0	0	0.004	0.089	0.011	2.084	0.004	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.087	0	0	0	0
ASV_123	1.966	11.608	0.0810948514864303	0.244732676807263	NotSig	0.284	0.135	0.257	0.055	0.047	0.024	0	0.175	0.003	0	0.001	0.131	0.013	0	0	0.184	0.455	1.615	0.045	0.066	0.051	4.049	0.071	0.134	0	0	0	0	0.301	1.488	0.062	0	0	0.002	0.089	0.057	0.019	0	0.001	0.004	0.001	0.001	0.002
ASV_154	1.469	12.497	0.0845202841358935	0.250595228402912	NotSig	0.43	0.149	0.036	0.274	0.033	0.049	0.007	0.048	0.007	0.031	1.056	0.003	0.06	0.48	0.318	0.122	0.354	6.335	0.019	0.613	0.018	0.482	0.027	0.056	0.381	0.072	0.246	0.041	0.01	0.013	0.106	0.076	0.019	0.051	0.035	0.005	0.507	0.007	0.116	0.341	0.027	0.285	0.632
ASV_126	1.66	12.315	0.0864454890150225	0.251884269716186	NotSig	0.242	0.122	0.06	0.003	0.017	0.013	0.099	0.014	1.26	0	0.025	1.166	0.019	0.199	0.001	0.077	0.015	0.01	0.011	0.639	0.017	1.432	0.017	0.004	0.269	0.126	0.446	0.363	0.004	0.086	0	0.024	0.005	0.297	0.04	0.369	0.056	0.011	0.181	0.753	0	0.008	0.002
ASV_82	-1.617	8.068	0.104463542516171	0.299226079410728	NotSig	0.016	0.062	0.057	0.042	0.111	0.15	0.004	0	0	0.022	0.004	0	0	0	0	0	0	0.017	0	0	0	0.003	0	0.003	0	0	0.001	0	0	0.038	0.442	0.22	0	0.13	0.037	0.022	0.03	0.008	0.004	0	0	0	0.005
ASV_881	1.722	10.319	0.108790659532992	0.30642702435126	NotSig	0.257	0.062	0.072	0.067	6.162	0.289	0.004	0.017	0	0.008	0.032	0.006	0	0.001	0	0	0	0.006	0.014	0.005	0.001	0.001	0.001	0.003	0	0	0	0	0.031	0.16	0.087	0.144	0.005	0.323	0.035	0.092	0.009	0.02	0.011	0.001	0	0.004	0.008
ASV_143	-1.631	9.924	0.114280374761822	0.316612841553244	NotSig	0.059	0.126	0.007	0.614	0.136	0.182	0.004	0.062	0.001	0.489	0	0	0	0	0	0	0	0.003	0.01	0.003	0.003	0	0.001	0	0	0	0	0.025	0.002	0.141	0.388	0.174	0.005	0.014	0.067	0.009	0.011	0.5	0.001	0	0	0.576	0
ASV_148	-2.128	8.326	0.136498801330676	0.369217910064464	NotSig	0.01	0.039	0.002	0	0	0.002	0.001	0.216	0	0	0.038	0	0.001	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0.001	0	0	0.002	0.002	0.558	0	0	0	0.022	0	0	0	0
ASV_22	-1.354	12.829	0.137637445763676	0.369217910064464	NotSig	0.331	0.697	0.086	0.17	0.814	0.342	0.172	0.297	0.017	0.017	0.026	0.042	0	0.044	0	0.003	0	2.063	1.366	0.013	0.006	0.052	0.049	0.168	0	0	0	2.852	0.854	0.993	0.199	0.328	0.352	1.899	0.138	0.094	0.015	0.013	0.017	0.01	0.006	0.015	5.523
ASV_21	1.421	10.503	0.141277761909383	0.372838679079264	NotSig	0.219	0.086	1.844	1.888	0.357	0.314	0	1.105	0.002	0.049	0.008	0	0.013	0	0	0.012	0.003	0.02	0.014	0.008	0.015	0.01	0.003	0.012	0	0	0.011	0.001	0.102	0.075	0.455	0.286	0.068	0.014	0.169	0.005	0.088	0.016	0.002	0	0	0.008	0.005
ASV_109	-1.326	11.296	0.145419238729199	0.372838679079264	NotSig	0.11	0.298	0.014	0.019	0.006	0.013	0.006	0.808	0	0.004	0.017	0.025	0.042	0.006	0	0	0.005	0.001	0.001	0.001	0.014	0.131	0.015	0.049	1.65	0.007	0.022	0.013	0.004	0.014	0.024	0.022	0.041	0.039	3.53	0.572	0.007	0.004	0.012	0	0.177	0.008	0.012
ASV_94	1.279	12.614	0.145605637983618	0.372838679079264	NotSig	0.419	0.244	0.104	0.115	0.044	0.237	0.473	0.233	0.126	0.021	0.048	0.021	0.003	1.901	5.87	0	0.001	0.536	0.027	0.018	0.023	0.063	0.022	0.019	0.004	0.052	0.041	0.89	0.058	0.098	0.225	0.078	0.547	0.241	0.229	0.689	0.12	0.001	0.025	0.182	1.101	0.008	0.057
ASV_115	-1.376	9.257	0.170014848212329	0.428843423102741	NotSig	0.047	0.098	0.043	0.174	0.695	0.1	0	0	0.008	0.035	0.001	0	0	0.01	0	0	0	0.006	0.001	0	0	0.001	0	0.007	0	0	0	0.131	0.708	0.198	0.185	0.044	0.003	0.005	0.05	0.005	0.258	0.013	0.001	0.003	0	0	0.002
ASV_56	-1.318	12.159	0.183041660225984	0.448755514651195	NotSig	0.283	0.612	0.039	0.161	0.111	0.024	0.139	6.1	0.002	0.003	0.066	0.064	0.093	0.091	0	0.001	0	0.013	0.001	0	0.005	0	0.001	0.007	0	0.001	0.086	0.341	0.015	0.148	0.403	0.09	3.855	0.169	1.131	3.227	0	0.001	0.046	0	0.086	0	0.002
ASV_183	2.333	9.034	0.183219707165281	0.448755514651195	NotSig	0.071	0.026	0	0	0.717	0.581	0.001	0	0	0	0.008	0	0	0	0	0	0.001	0.531	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0.381	0	0	0.001	0	0	0	0.002	0	0	0	0
ASV_176	-1.28	12.47	0.188665606949029	0.455492679634085	NotSig	0.166	0.556	0.017	0.002	0	0	0.267	0.041	0.003	0	1.201	0.001	0.001	0.848	0.001	0.873	0.003	0.425	0.042	0.444	0.001	0.007	0.001	0.004	0.002	0	0.001	0.138	0.031	0.051	0.003	0	0.771	1.003	0.023	0.448	0.009	0.001	0.012	3.108	0.283	2.544	0.043
