ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083	DE07P016	DE10P016	DE08P017	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076
ASV_130	-1.702	12.201	0.0784378327389648	0.389882168614266	NotSig	0.168	0.525	0.53	0.064	0.318	0.102	0.159	0.121	0.036	0.012	0.197	2.602	0.11	0.185	0.068	0.424	0.503	0.108
ASV_56	1.744	11.68	0.0837758232476675	0.395601990257603	NotSig	0.34	0.135	0.068	0.037	0.041	0.113	0.023	0.904	0.082	1.452	0.096	0.015	0.232	0.008	0.064	0.038	0.335	0.292
ASV_33	-2.177	13.847	0.0842702464454065	0.395601990257603	NotSig	0.373	1.471	0.398	0.014	1.283	0.918	0.07	0.3	0.004	0	0.054	0.006	0.033	8.486	2.287	0.257	0.109	0.53
ASV_128	-2.802	7.049	0.0902540998041038	0.412241699105231	NotSig	0.001	0.021	0	0	0.007	0	0.003	0	0	0	0	0	0	0	0.003	0.013	0.15	0
ASV_142	-2.476	8.629	0.0955141675382907	0.424786692472924	NotSig	0.007	0.049	0.002	0	0.026	0.019	0	0	0.009	0	0	0	0.139	0	0.236	0.003	0.007	0.008
ASV_38	1.713	12.593	0.105925680999188	0.44810881543261	NotSig	0.607	0.228	0.143	3.793	0.03	0.064	0.018	0.147	0.542	0.123	0.449	0.701	0.273	0.015	0.065	0.105	0.174	0.044
ASV_41	1.81	12.444	0.106061258090559	0.44810881543261	NotSig	0.646	0.208	0.029	0.059	0.093	0.613	0.852	0.174	3.31	0.039	0.012	0	0.011	0.08	0.072	1.026	0.168	0.294
ASV_8	-1.547	13.426	0.128238201030197	0.528560124680216	NotSig	0.448	1.477	0.352	0.731	0.035	0.458	0.832	0.995	0.079	0.102	0.891	0.241	9.775	0.078	0.326	0.194	0.092	0.22
ASV_154	1.376	10.617	0.131358137494491	0.528560124680216	NotSig	0.132	0.077	0.046	0.071	0.171	0.079	0.093	0.051	0.009	0.538	0.045	0.024	0.062	0.048	0.093	0.095	0.226	0.026
ASV_103	-1.516	9.709	0.135808553125458	0.533759197167499	NotSig	0.034	0.099	0.017	0.007	0.019	0.025	0.012	0.132	0.018	0.042	0.068	0.236	0.321	0.003	0.037	0.038	0.089	0
ASV_101	2.239	6.394	0.140862806353304	0.541041233493372	NotSig	0.006	0.001	0	0	0.001	0.046	0	0.004	0	0	0	0	0	0.001	0.006	0	0	0
ASV_113	1.508	13.058	0.158067100444465	0.57954522447756	NotSig	0.794	0.361	0.719	0.269	0.012	0.173	0.214	0.234	1.351	3.377	1.792	0.654	0.21	0.019	0.086	0.043	0.075	0.01
ASV_62	1.549	11.432	0.159581186873351	0.57954522447756	NotSig	0.253	0.125	0.17	0.636	0.008	0	0.047	0.047	0.324	0.794	0.428	0.018	0.388	0.001	0.026	0.04	0.068	0.03
ASV_174	1.711	11.262	0.163284244521466	0.57954522447756	NotSig	0.26	0.125	0.063	0.773	0	0.008	0.005	0.102	1.081	0.046	0.039	0.002	0.285	0.001	0.02	0	0.619	0.034
ASV_23	1.217	12.776	0.166910817572859	0.57954522447756	NotSig	0.671	0.353	0.425	0.741	0.048	0.233	0.3	0.678	1.367	1.575	0.924	0.296	0.522	0.138	0.123	0.391	0.256	0.174
ASV_34	-1.375	11.732	0.168033822481659	0.57954522447756	NotSig	0.145	0.441	0.211	0.145	0.061	0.042	0.016	0.344	0.139	0.199	0.303	0.139	2.826	0.017	0.088	0.025	0.116	0.014
ASV_60	-1.363	11.192	0.175995527032047	0.590539662139357	NotSig	0.089	0.269	0.105	0.176	0.03	0.003	0.117	0.026	0.161	0.094	0.304	0.636	1.042	0.019	0.004	0.037	0.031	0.082
ASV_31	-1.234	11.529	0.178210193900043	0.590539662139357	NotSig	0.123	0.346	0.136	0.201	0.035	0.05	0.042	0.187	0.082	0.252	0.866	0.353	0.982	0.013	0.326	0.033	0.113	0.079
ASV_136	-1.484	9.771	0.203394153652838	0.661030999371723	NotSig	0.036	0.106	0.177	0.033	0.013	0.006	0.004	0	0.029	0.023	0.739	0.019	0.023	0	0.011	0.005	0.021	0.034
ASV_116	1.259	10.52	0.212345845355014	0.666934093433858	NotSig	0.19	0.081	0.418	0.106	0.099	0.038	0.063	0.795	0	0	0.069	0.026	0.086	0.017	0.066	0.043	0.28	0.057
ASV_135	-1.294	8.625	0.213103201452239	0.666934093433858	NotSig	0.018	0.038	0.048	0.023	0.01	0.001	0.011	0.049	0	0	0.027	0.066	0.071	0.054	0.006	0.003	0.027	0.049
ASV_86	-1.564	9.587	0.2243267538194	0.678602872707958	NotSig	0.027	0.113	0	0	0.026	0.045	0.05	0.028	0.046	0.019	0	0	0	0.114	0.109	0.016	0.663	0.003
ASV_147	1.267	10.435	0.224862490364767	0.678602872707958	NotSig	0.187	0.062	0.328	0.031	0.036	0.01	0.182	0.91	0	0.002	0.063	0.019	0.045	0.161	0.047	0.016	0.133	0.01
ASV_14	1.3	14.597	0.235479507046519	0.69817608229582	NotSig	2.364	1.147	1.086	4.774	0.043	0.248	0.166	0.353	8.593	3.647	3.846	3.133	1.546	0.011	0.103	0.116	0.386	0.035
ASV_29	1.108	11.905	0.245899674791849	0.716500776548663	NotSig	0.368	0.221	0.163	1.569	0.025	0.08	0.112	0.659	0.116	0.221	0.107	0.084	1.068	0.027	0.038	0.132	0.26	0.056
ASV_159	1.14	11.461	0.260386105155349	0.745851724936507	NotSig	0.324	0.129	1.865	0.074	0.012	0.036	0.024	0.087	0.073	0.422	0.254	0.5	0.062	0.062	0.059	0.016	0.068	0.012
ASV_140	-1.367	11.812	0.267430373522703	0.751810277778168	NotSig	0.154	0.605	0.066	0.003	0.237	0.907	0.003	0.004	0.002	0.012	0.006	0.003	0.018	0.222	0.225	0.003	4.292	0.067
ASV_47	1.269	12.743	0.271982438763199	0.751810277778168	NotSig	0.613	0.303	0.005	0.005	2.749	0.553	0.917	0.672	0.002	0	0.057	0.293	0.045	0.494	0.815	0.265	0.404	0.054
ASV_157	1.592	8.939	0.275812054569505	0.751810277778168	NotSig	0.051	0.02	0.026	0.019	0	0	0.001	0.004	0.358	0	0.041	0	0.11	0	0	0.008	0.003	0.001
ASV_61	-1.398	11.131	0.286501955422737	0.752697976321443	NotSig	0.121	0.248	0.009	0.031	0.076	0.051	0.005	0.795	0	0	0.003	0	0	0.004	0.299	0.489	0.123	1.066
ASV_189	-0.887	11.216	0.290379474569027	0.752697976321443	NotSig	0.123	0.258	0.17	0.157	0.204	0.071	0.128	0.223	0.016	0.012	0.142	0.218	0.407	0.09	0.406	0.138	0.448	0.215
ASV_167	1.352	9.041	0.292338202320734	0.752697976321443	NotSig	0.057	0.022	0.214	0	0.103	0.038	0.035	0.066	0	0	0	0	0	0.015	0.066	0.049	0.027	0.019
ASV_121	1.03	10.432	0.29395305584151	0.752697976321443	NotSig	0.16	0.08	0.041	0.027	0.099	0.577	0.059	0.461	0.009	0.004	0.021	0.002	0.041	0.058	0.015	0.133	0.25	0.122
ASV_74	-0.986	12.627	0.32650470463879	0.823571568417247	NotSig	0.34	0.971	0.408	0.027	0.473	0.574	0.458	0.731	0.002	0.042	0.14	0.126	0.119	0.205	0.126	0.189	6.535	0.331
ASV_50	0.948	10.07	0.340432079766769	0.836341056147431	NotSig	0.136	0.059	0.024	0.06	0.02	0.146	0.04	0.795	0.005	0	0.06	0.008	0.021	0.035	0.098	0.071	0.103	0.078
ASV_24	-1.468	11.581	0.341464691563152	0.836341056147431	NotSig	0.158	0.341	0	0	0.067	0.197	0	0.895	0.107	0	0	0	0	0.011	2.392	0.292	0.021	0.009
ASV_37	-0.948	13.411	0.355999030649249	0.852597259647956	NotSig	0.655	1.54	0.35	0.057	0.084	3.687	0.179	0.74	0.129	0.014	0.706	0.026	0.137	0.833	0.169	0.7	8.963	0.782
ASV_64	-1.437	8.3	0.361227288423551	0.852597259647956	NotSig	0.011	0.035	0.051	0.041	0	0	0	0	0	0	0.211	0.029	0.018	0	0	0.002	0.021	0
ASV_200	0.808	11.125	0.363541968970452	0.852597259647956	NotSig	0.215	0.12	0.07	0.113	0.085	0.679	0.547	0.121	0.05	0.053	0.119	0.018	0.044	0.146	0.318	0.154	0.031	0.134
ASV_13	-0.948	14.527	0.368281656534324	0.852597259647956	NotSig	1.176	2.172	3.142	0.296	0.146	0.182	0.11	0.651	2.143	2.735	1.149	12.774	0.262	0.063	0.061	1.7	0.215	1.149
ASV_39	0.856	11.545	0.378797716527242	0.865092082339243	NotSig	0.267	0.172	0.163	1.413	0.017	0.038	0.038	0.368	0.089	0.009	0.178	0.212	0.22	0.015	0.386	0.044	0.202	0.123
ASV_2	-0.782	16.027	0.395719016032417	0.875067938346959	NotSig	3.786	6.615	2.066	1.906	4.106	3.455	10.433	7.852	0.138	0.333	4.245	1.353	0.924	6.997	5.823	19.292	3.7	10.586
ASV_36	-0.874	13.258	0.395816064195401	0.875067938346959	NotSig	0.496	0.879	0.15	0.139	0.598	0.164	2.237	0.606	0.004	0.069	0.178	0.071	0.074	2.655	2.761	0.44	0.53	0.323
ASV_98	-1.257	10.389	0.398699593211336	0.875067938346959	NotSig	0.053	0.221	0.145	0.106	0	0	0	0.004	0.043	0.125	0.107	0	0.244	0	0	0.002	1.416	0
ASV_118	-1.211	9.323	0.417221140723691	0.88453174583278	NotSig	0.025	0.063	0	0	0.055	0.011	0.088	0.043	0.004	0.004	0	0.006	0	0	0.48	0.021	0	0
ASV_54	-0.781	12.536	0.428655995342662	0.88453174583278	NotSig	0.302	0.71	0.117	0.941	0.078	0.006	0.113	0.627	0.064	0.469	0.075	1.152	0.917	0.011	0.153	0.772	2.503	0.1
ASV_151	-0.891	10.383	0.430875673262879	0.88453174583278	NotSig	0.065	0.116	0.007	0.001	0.043	0.019	0.404	0.047	0.002	0	0.012	0.005	0.014	0.471	0.135	0.151	0.109	0.032
ASV_152	-0.71	11.123	0.432517597538428	0.88453174583278	NotSig	0.127	0.204	0.112	0.086	0.108	0.369	0.228	0.07	0.014	0.026	0.137	0.045	0.014	0.438	0.143	0.642	0.075	0.136
ASV_87	0.739	10.987	0.442934813203832	0.88453174583278	NotSig	0.194	0.125	0.116	0.539	0.01	0.022	0.121	0.568	0.093	0.088	0.33	0.068	0.321	0.004	0.221	0.027	0.017	0.016
ASV_129	-0.745	10.14	0.448953214106884	0.88453174583278	NotSig	0.057	0.121	0.088	0.079	0.006	0.019	0.005	0.06	0.064	0.136	0.402	0.102	0.315	0.003	0.02	0.011	0.103	0.01
ASV_220	-0.696	11.391	0.451275992034136	0.88453174583278	NotSig	0.157	0.263	0.269	0.236	0.154	0.243	0.145	0.196	0.005	0.005	1.11	0.024	0.119	0.264	0.208	0.203	0.055	0.122
ASV_203	0.761	9.387	0.458217042504179	0.88453174583278	NotSig	0.054	0.044	0.041	0.218	0.006	0.018	0.026	0.002	0.107	0.014	0.059	0	0.145	0.009	0.017	0.016	0.089	0.018
ASV_210	-0.797	9.155	0.468425479123453	0.88453174583278	NotSig	0.025	0.056	0.005	0.011	0.013	0.006	0.016	0.004	0.077	0.067	0.017	0.01	0.015	0.011	0.299	0	0.092	0.001
ASV_3	-0.704	14.905	0.474768790546292	0.88453174583278	NotSig	2.177	2.869	4.475	0.817	0.413	4.48	0.326	6.489	0.07	0.349	2.514	0.173	1.161	1.11	0.321	0.75	1.679	15.246
ASV_117	-0.675	8.912	0.488586768516856	0.88453174583278	NotSig	0.024	0.054	0.029	0.022	0.02	0.028	0.004	0.002	0.057	0.028	0.021	0.045	0.02	0.007	0.087	0.005	0.243	0.003
ASV_70	0.678	11.709	0.491657771242767	0.88453174583278	NotSig	0.361	0.201	0.519	0.011	0.174	1.332	0.04	0.621	0.188	0.004	0.077	0.006	0.065	0.558	0.08	0.318	0.455	0.049
ASV_123	-0.819	11.743	0.496467653153294	0.88453174583278	NotSig	0.191	0.318	0.241	0.656	0.014	0.191	0.059	0.368	0	0.002	0.143	0	0.077	0.004	0.009	0.106	0.055	2.152
ASV_131	1.112	9.152	0.503226142311583	0.88453174583278	NotSig	0.051	0.029	0	0	0	0.004	0.405	0	0	0.002	0	0	0	0	0.003	0.103	0.051	0.076
ASV_17	0.657	12.832	0.506827319183207	0.88453174583278	NotSig	0.667	0.468	0.401	0.236	0.564	0.884	1.049	0.478	1.684	0.039	0.062	0	0.053	0.671	0.188	1.711	0.756	0.306
ASV_144	-0.738	10.389	0.511424766904112	0.88453174583278	NotSig	0.08	0.135	0.158	0.003	0.067	0.225	0.12	0.068	0.002	0	0.002	0	0.006	0.062	0.1	0.538	0.123	0.249
ASV_4	0.692	16.547	0.518733098640977	0.88453174583278	NotSig	7.544	4.986	2.363	0.195	36.098	15.593	0.368	5.175	0.045	0.515	1.685	4.54	0.556	13.983	13.414	1.072	1.686	2.95
ASV_35	-0.589	11.976	0.521900626077256	0.88453174583278	NotSig	0.273	0.411	0.585	0.329	0.078	0.059	0.1	0.778	0.175	0.081	0.297	0.296	1.428	0.009	0.023	0.805	0.082	0.347
ASV_199	0.656	7.435	0.528225098204237	0.88453174583278	NotSig	0.011	0.008	0.005	0.025	0.008	0.01	0.004	0.013	0.007	0.018	0.006	0	0.008	0.004	0	0.024	0	0.023
ASV_89	-0.599	10.245	0.54351435541936	0.88453174583278	NotSig	0.071	0.112	0.003	0.059	0.029	0.032	0.069	0.145	0.204	0.032	0.045	0	0.042	0.118	0.01	0.086	0.181	0.41
ASV_156	-0.743	6.312	0.544780367934864	0.88453174583278	NotSig	0.002	0.004	0	0.001	0.001	0.014	0.001	0	0	0	0.008	0.013	0	0	0.001	0.006	0	0.003
ASV_127	0.741	10.299	0.547320821612781	0.88453174583278	NotSig	0.115	0.076	0.444	0.194	0.002	0.028	0	0	0.102	0.153	0.286	0.11	0.179	0	0.005	0.006	0	0.021
ASV_52	0.6	12.388	0.547599460582577	0.88453174583278	NotSig	0.472	0.322	0.94	0.09	0.159	0.059	0.044	0.412	1.203	0.864	0.199	1.222	0.104	0.009	0.026	0.905	0.048	0.06
ASV_146	0.705	12.181	0.554806264979119	0.88453174583278	NotSig	0.326	0.236	0.024	0.061	2.059	0.238	0.175	0.053	0	0	0.03	0.013	0.011	0.984	0.194	0.459	0.089	0.109
ASV_95	-0.583	10.494	0.557069100948831	0.88453174583278	NotSig	0.084	0.132	0.005	0.104	0.091	0.302	0.096	0.072	0.002	0.004	0.024	0.01	0.026	0.32	0.199	0.184	0.277	0.019
ASV_100	0.607	11.215	0.560768766257746	0.88453174583278	NotSig	0.167	0.17	0.082	0.136	0.006	0.009	0.189	0.002	0.093	0.822	0.248	0.045	0.547	0.005	0.215	0.013	0.274	0.016
ASV_143	-0.561	10.556	0.562324039828521	0.88453174583278	NotSig	0.081	0.132	0.024	0.052	0.217	0.164	0.086	0.074	0.004	0.026	0.006	0.005	0.072	0.147	0.134	0.035	0.154	0.504
ASV_11	0.575	14.232	0.565963484133472	0.88453174583278	NotSig	1.744	1.28	3.683	0.878	0.066	1.091	0.23	0.117	6.317	1.568	6.631	1.62	0.677	0.075	0.312	0.124	0.38	0.425
ASV_16	-0.551	11.566	0.571776946388837	0.88453174583278	NotSig	0.18	0.332	0.515	0.082	0.265	0.01	0.49	0.051	0.011	0.016	0.282	0.055	0.204	0.001	0.243	0.583	0.889	0.397
ASV_21	0.503	12.484	0.573988625806712	0.88453174583278	NotSig	0.579	0.353	0.604	0.186	0.124	0.111	0.889	2.26	0.07	0.392	0.175	0.285	0.24	1.026	0.153	0.311	0.588	0.043
ASV_111	-0.644	11.894	0.583143124271772	0.88453174583278	NotSig	0.189	0.334	0.017	0.014	0.786	0.492	0.128	0.04	0.027	0.009	0.027	0.05	0.002	0.43	1.84	0.311	0	0.008
ASV_42	-0.601	11.183	0.586579868296717	0.88453174583278	NotSig	0.16	0.21	0.029	0.007	0.053	0.307	0.036	0.678	0.002	0.166	0.003	0	0.006	0.108	0.381	0.038	0.25	0.896
ASV_169	-0.599	10.116	0.593223792835202	0.88453174583278	NotSig	0.072	0.09	0.012	0.001	0.063	0.362	0.011	0.123	0.004	0.002	0.003	0.002	0.003	0.155	0.103	0.057	0.017	0.379
ASV_46	0.463	12.58	0.595188321728388	0.88453174583278	NotSig	0.524	0.435	0.845	0.589	0.374	0.136	0.745	0.772	0.231	0.499	0.616	0.006	0.757	0.384	0.782	0.145	0.674	0.118
ASV_311	-0.504	10.225	0.598168602488641	0.88453174583278	NotSig	0.071	0.113	0.046	0.045	0.035	0.065	0.277	0.07	0.005	0.025	0.253	0	0.033	0.048	0.074	0.268	0.065	0.159
ASV_76	-0.466	11.579	0.601590468979294	0.88453174583278	NotSig	0.168	0.248	0.114	0.057	0.472	0.275	0.07	0.147	0.007	0.203	0.142	0.324	0.125	0.711	0.151	0.157	0.215	0.156
ASV_69	-0.585	12.459	0.610249199015063	0.88453174583278	NotSig	0.299	0.492	0.247	1.341	0.007	0.029	0.028	0.026	0.552	0.164	0.962	2.373	0.523	0.011	0.015	0.006	0.003	0.044
ASV_870	0.531	11.186	0.620265638481316	0.88453174583278	NotSig	0.211	0.129	0.017	0.001	0.288	1.284	0.009	0.028	0.034	0.026	0.072	0.065	0.009	0.343	0.42	0.052	0.014	0.053
ASV_18	-0.55	13.245	0.620535742526925	0.88453174583278	NotSig	0.525	1.052	0.262	2.828	0.02	0.234	0.458	0.232	0.066	0.104	0.256	0.17	7.607	0.005	0.139	0.035	0.099	0.102
ASV_1	-0.454	16.597	0.623306655151262	0.88453174583278	NotSig	6.578	8.83	11.728	3.268	4.317	7.836	18.938	6.157	0.17	0.213	5.384	3.701	1.802	7.122	11.202	21.711	2.75	16.966
ASV_138	0.548	11.271	0.625797983708169	0.88453174583278	NotSig	0.256	0.205	0.01	0.046	0.004	1.517	0.008	0.34	0.111	0.011	0.006	0	0.131	0.051	0.082	0.01	1.081	0.281
ASV_78	-0.537	12.049	0.626083169357408	0.88453174583278	NotSig	0.245	0.435	0.053	0.953	0.085	0.582	0.11	0.166	0.007	0.004	0.291	0.002	0.075	0.063	0.089	2.899	0.041	0.019
ASV_84	0.541	11.245	0.634953855628754	0.88453174583278	NotSig	0.18	0.126	0.204	0.004	0.872	0.266	0.015	0.07	0.002	0.011	0.014	0	0.051	0.657	0.01	0.068	0.092	0.115
ASV_63	-0.47	12.475	0.636204482393156	0.88453174583278	NotSig	0.317	0.449	0.148	0.109	0.819	0.15	1.092	0.191	0.013	0.014	0.149	0.102	0.08	1.575	1.105	0.222	0.256	0.104
ASV_124	-0.492	10.623	0.638537710009462	0.88453174583278	NotSig	0.093	0.175	0.199	0.296	0.098	0.029	0.018	0.091	0.007	0.005	0.158	0.015	0.813	0.019	0.02	0.032	0.345	0
ASV_209	-0.446	9.894	0.655407866633462	0.900519751715895	NotSig	0.059	0.08	0.003	0.094	0.023	0.247	0.047	0.043	0.004	0.014	0.006	0.061	0.053	0.016	0.294	0.006	0.038	0.163
ASV_72	0.464	10.056	0.667145593700948	0.909254881737582	NotSig	0.07	0.064	0.022	0.02	0.233	0.046	0.004	0.03	0.014	0.189	0.002	0.024	0	0.103	0.152	0.003	0.085	0.14
ASV_79	0.391	11.586	0.676680017074232	0.914871383084362	NotSig	0.264	0.192	0.23	0.042	0.362	0.559	0.592	0.319	0.004	0.007	0.047	0.092	0.065	0.395	0.155	0.337	0.113	0.333
ASV_149	0.374	10.702	0.695771884148688	0.930272731442741	NotSig	0.131	0.116	0.173	0.075	0.317	0.066	0.248	0.162	0.002	0.004	0.111	0.021	0.101	0.088	0.06	0.48	0.014	0.054
ASV_67	0.403	9.079	0.699080691675906	0.930272731442741	NotSig	0.045	0.036	0.009	0.004	0.016	0.006	0.179	0.106	0.021	0.016	0.003	0.005	0.009	0	0.1	0.065	0.044	0.06
ASV_93	-0.372	11.739	0.726369571889931	0.934394589962708	NotSig	0.22	0.293	0.282	0.161	0.457	0.176	0.275	0.408	0.002	0	0.108	0	0.029	0.261	1.132	0.276	0.222	0.319
ASV_59	-0.333	11.624	0.735850847931117	0.934394589962708	NotSig	0.198	0.274	0.44	0.606	0.036	0.028	0.035	0.053	0.265	0.123	0.143	0.547	0.333	0.004	0.875	0.11	0.174	0.003
ASV_51	-0.286	10.762	0.738046166510542	0.934394589962708	NotSig	0.11	0.172	0.065	0.266	0.038	0.045	0.098	0.159	0.122	0.086	0.102	0.057	0.666	0.02	0.114	0.06	0.294	0.065
ASV_83	-0.332	11.12	0.739750102165074	0.934394589962708	NotSig	0.195	0.229	0.476	0.053	0.032	0.028	0.067	0.899	0	0.002	0.176	0.06	0.259	0.017	0.066	0.129	0.735	0.391
