ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS03P003	HS03P004	HS03P005	HS03P010	HS03P011	HS03P012	HS03P014	HS03P019	HS03P024	HS03P025	HS03P026	HS03P029	HS03P031	HS03P034	HS03P035	HS03P040	HS03P041	HS03P042	HS03P044	HS03P045	HS03P046	HS03P047	HS03P048	HS03P050	HS03P051	HS03P055	HS03P056	HS03P057	HS03P058	HS03P059	HS03P061	HS03P063	HS03P064	HS03P066	HS03P067	HS03P068	HS03P071	HS03P072	HS03P073	HS03P074	HS03P075	HS03P077	HS10P003	HS07P004	HS07P010	HS07P011	HS07P012	HS07P014	HS07P019	HS07P024	HS07P025	HS07P026	HS07P029	HS07P031	HS07P034	HS07P035	HS07P036	HS07P040	HS07P041	HS07P042	HS07P045	HS07P046	HS07P047	HS07P048	HS07P050	HS07P051	HS07P055	HS07P056	HS07P057	HS07P058	HS07P059	HS07P061	HS07P063	HS07P064	HS07P066	HS07P068	HS07P071	HS07P072	HS07P073	HS07P074	HS07P075	HS07P077
ASV_101	3.355	11.974	0.00226690514884593	0.0147348834674985	Enriched	0.604	0.076	0	0.014	0.002	0.006	0.002	0	0.004	0.003	0.01	0.085	0.053	0.033	0.002	0.026	0.004	1.35	0.022	0.019	22.805	0.867	0	0.007	0.004	0	0	0	0	0	0	0	0.022	0.002	0	0	0	0.006	0.005	0	0	0	0	0	0	0.001	0	0	0	0	0.003	0.009	2.237	0.069	0.014	0.016	0.004	0.118	0	0.009	0.015	0.013	0.526	0.003	0	0.003	0	0	0	0	0.003	0	0	0	0	0.003	0	0	0.003	0.009	0	0	0	0
ASV_94	-1.356	12.048	0.00239717300745825	0.0150045273429794	Depleted	0.182	0.361	0.248	0.068	0.073	0.035	0.058	0.056	0.083	0.123	0.015	0.01	0.822	0.139	0.043	0.049	0.083	0.014	0.229	0.102	0.1	0.081	0.246	0.249	0.103	0.007	0.128	1.034	0.194	0.621	0.002	0.507	0.056	0.497	0.177	0.084	0.067	0.132	0.386	0.062	0.419	0.171	0.018	0.049	0.282	0.064	0.109	0.025	0.04	0.156	0.074	0.011	0.107	0.146	0.139	0.209	0.053	0.064	0.03	0.023	0.021	0.025	3.116	0.312	0.498	0.092	0.035	4.021	0.805	0.118	0.339	0.023	0.029	0.022	0.05	0.044	0.02	1.368	0.174	0.094	0.148	1.388	0.115	0.071
ASV_151	1.956	11.206	0.00312542387580119	0.0188641655360858	Enriched	0.287	0.096	0.025	0.203	0.141	1.97	0.164	0.068	0.465	0.022	0.046	0.099	1.744	0.093	0.074	0.162	0.06	1.632	0.095	0.305	0.327	4.262	0	0.002	0	0.01	0	0.02	0.002	0.003	0.014	0.042	0	0.004	0.003	0.001	0	0.001	0	0	0	0	0	0.017	0.019	0.152	0.451	0.116	0.07	0.095	0.006	0.358	0.129	0.914	0.06	0.286	0.043	0.054	0.175	0.298	0.084	0.326	0.108	0.003	0	0.009	0.025	0.002	0.003	0	0.013	0.002	0.004	0	0.004	0.001	0.009	0	0.011	0	0.006	0.002	0	0.01
ASV_47	-1.5	10.373	0.00385236433986416	0.0220731750009248	Depleted	0.077	0.19	0.048	0.017	0.053	0.012	0.344	0.061	0.217	0.031	0.082	0.138	0.063	0.939	0.052	0.039	0.078	0.098	0.379	0.205	0.187	0.058	0.004	0.002	0	0.003	0	0.002	0.002	0	0.002	0.008	0.012	0.011	0.004	0.008	0.011	0.014	0.005	0.001	0.004	0.01	0.034	0.005	0.218	0.042	0.087	1.883	1.434	0.243	0.283	0.622	0.198	0.039	0.36	0.05	0.069	0.115	0.084	0.412	0.151	0.4	0.079	0	0	0.021	0.001	0.002	0	0	0.002	0.002	0.002	0.046	0	0.149	0.38	0.004	0.037	0.021	0.138	0	0.001	0.005
ASV_120	-1.874	10.062	0.00391831508892156	0.0220731750009248	Depleted	0.054	0.105	0.25	0	0	0.001	0	0	0	0.14	0.002	0.006	0.025	1.435	0.022	0.008	0	0.009	0.047	0.005	0.042	0.037	0.046	0.024	0	0	0.008	0.013	0.039	0.02	0	0.006	0	0.011	0.003	0	0	0.002	0.008	0.024	0.025	0.009	0	0.019	1.525	0	0.002	0	0.003	0.286	0.07	0.011	0.038	0.033	0.002	0.005	0.006	0.002	0.015	0.049	0.004	0.004	0.376	0.106	0	0.049	0.031	0.032	0.014	0.954	0.027	0.257	0.018	0	0.097	0.002	0	0	0.132	0.011	0.009	0.01	0.005	0.001
ASV_158	-2.482	11.508	0.00414002535823646	0.0225698156626439	Depleted	0.071	0.218	0	0.191	0.059	0.158	0.643	0	0.018	0.092	0.004	0	0.271	0.019	0	0.008	0.004	0	0	0	0	0.002	0.857	0	0.018	0	0	0.031	0	0.03	0	0	0.002	0.007	0.001	0.045	0	0	0.04	0.025	0.043	0.177	0.238	0.01	0	0.039	0.028	0.021	0.018	0.017	0.006	0	0.016	0.018	0.002	0	0	0.007	0.002	0	0.019	0	0.002	0.447	0	0	0	0.479	0.014	0	0.014	0	0	0.004	0	0.003	0.006	0	0.064	0.03	0.06	7.347	0.017	0.029
ASV_50	-1.804	11.718	0.00538978508261868	0.0284648024675799	Depleted	0.12	0.42	0.008	0.449	0.356	0.01	0.025	0	0.004	0.253	0.036	0	0	0	0.158	0.005	0.172	0.032	0.262	0.169	0.053	0.14	0.003	0.046	0.061	0	0.25	0.106	0	0	0.007	0	0.004	0.009	0.001	0.007	0.007	0.302	0.052	0.01	0.02	1.916	0.081	0.007	0	0.144	0.047	0.004	0.055	0.006	0.093	0.015	0	0	0.005	0.029	0.071	0.082	0.057	0.03	0.086	0.086	1.526	0.007	0.015	13.199	0.011	0.601	0.009	0.007	0.076	0.006	0.002	0.002	0.065	0.123	0.157	0.004	0.056	0.016	0.039	0.041	0.007	0.004
ASV_95	1.765	11.82	0.00612678841541375	0.0313765830971189	Enriched	0.399	0.174	0.04	0.023	0.042	0.216	0.081	0.071	0.242	0.045	0.013	0.061	3.774	0.754	0.124	0.835	0.4	0.15	0.085	0.088	0.038	0.027	0	0.029	0.002	0	0.135	0	0	0	0.057	0.008	9.201	0.041	0.02	0	0.004	0.019	0.014	0.001	0.006	0.014	0.08	0	0.055	0.056	0.111	0.123	0.189	0.49	0.033	0.041	0.302	3.165	0.122	0.156	0.338	0.348	0.086	0.184	0.052	0.161	0.125	0.001	0	0	0.001	0.004	0	0	0.002	0	0.002	0.015	0.065	0.016	0.003	0.004	0.424	0.275	0.005	0.008	0.011	0.002
ASV_99	-1.532	12.031	0.00717259496832968	0.0353228670563624	Depleted	0.152	0.353	0.079	0	0	0	0.031	0	0.029	0.211	0.034	0.071	0.09	0.038	0.028	0.034	0.011	0.02	0.155	0.136	0.083	0.07	0.031	0.027	0.031	0.051	0.221	0.415	0.009	0.3	0	0.001	0.014	3.164	0.133	0.037	0.059	0.166	0.016	0.039	0.115	0.368	0.036	0.036	0.079	0	0.036	0.026	0.023	0.118	0.23	0.028	0.082	0.176	0.065	0.206	0.004	0.012	0.022	0.014	0.044	0.025	2.137	0.068	0.353	0.018	0.184	0.283	0.327	0.015	0.056	0.003	0	0.002	0.026	0.014	0.028	4.641	0.119	0.143	0.063	2.086	1.737	0.627
ASV_159	-1.402	11.839	0.00731538666847743	0.0353228670563624	Depleted	0.141	0.362	0.023	0.012	0.068	0.04	0.256	0.034	0.074	0.243	0.002	0.02	0.2	0.038	0.013	0.015	0.045	0.014	0.022	0.052	0.004	0.043	0.006	0.056	0.518	0.024	0.349	0.01	0.03	0.017	0.125	0.013	0.306	0.027	0.004	0.485	0.552	0.882	0.799	0.042	0.011	0.295	0.15	0.014	0.008	0.205	0.07	0.275	0.062	0.048	0.114	0.009	0.013	0.394	0.01	0.029	0.012	0.059	0.012	0.012	0.023	0.006	0.134	0.016	0.061	0.11	0.048	0.02	0.012	0.031	0.035	0.003	0.062	0.185	0.269	0.036	10.999	0.066	0.24	0.445	0.04	0.029	0.272	0.01
