ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	HS03P003	HS03P004	HS03P005	HS03P010	HS03P011	HS03P012	HS03P014	HS03P019	HS03P024	HS03P025	HS03P026	HS03P029	HS03P031	HS03P034	HS03P035	HS03P040	HS03P041	HS03P042	HS03P044	HS03P045	HS03P046	HS03P047	HS03P048	HS03P050	HS03P051	HS03P055	HS03P056	HS03P057	HS03P058	HS03P059	HS03P061	HS03P063	HS03P064	HS03P066	HS03P067	HS03P068	HS03P071	HS03P072	HS03P073	HS03P074	HS03P075	HS03P077
ASV_200	-0.27	11.146	0.612026637369849	0.738803583682175	NotSig	0.137	0.233	0.142	0.183	0.21	0.348	0.035	0.07	0.009	0.006	0.01	0	1.759	0	0.003	0.003	0	0.047	0.008	0.018	0.237	0.061	0.02	0.313	0	0.007	0.045	0.041	0.042	0.13	0.196	0.227	0.139	0.056	0.235	0.142	0.321	0.142	0.749	0.626	0.167	0.242	0.42	1.142	0.479	0.717	0.138	0.25	1.573	0.007	0.059	0.021	0.02	0.273	0.22	0.066	0.13	0.128	0.002	0.042	0.022	0.066	0	0.041	0.083	0.027	0.03	0.016	0.342	0.043
ASV_79	-0.247	11.429	0.631304428948885	0.756669847463557	NotSig	0.149	0.246	0.039	0.309	0.097	0.701	0.045	0.002	0.01	1.325	0.074	0	0.029	0.004	0.046	0.375	0.055	0.405	0.093	0.008	0.013	0.159	0.003	0.036	0.001	0.005	0.022	0.007	0.04	0.115	0.321	0.451	0.445	0.76	0.233	0.114	0.025	0.158	0.378	0.109	0.661	0.17	0.313	0.325	0.299	0.114	0.339	0.799	0.371	0.376	0.922	0.006	0.024	0.013	0.036	0.014	0.653	0.044	0.03	0.064	0.079	0.016	0.095	1.085	0.112	0.004	0.041	0.102	0.036	0.024
ASV_311	-0.266	9.798	0.647148689794832	0.766081351839973	NotSig	0.059	0.086	0.503	0.062	0.053	0.353	0.004	0.014	0	0.169	0.013	0	0	0	0	0.079	0.172	0.023	0.005	0.077	0.001	0.015	0	0	0	0	0	0	0.186	0.212	0.088	0.033	0.268	0.015	0.099	0.059	0.052	0.075	0.108	0.079	0.089	0.07	0.583	0.025	0.127	0.403	0.004	0.095	0.149	0.005	0.233	0.011	0.094	0.011	0.005	0.009	0.039	0.161	0.02	0.014	0.004	0.011	0.008	0.075	0.025	0.001	0.006	0.049	0.022	0.001
ASV_49	0.297	12.813	0.651423173973183	0.766081351839973	NotSig	0.506	0.502	0.464	0.136	0.108	1.793	0.015	0.036	0.001	0.049	0.132	0.001	0	0.003	0	0.129	3.176	2.026	0.053	4.673	0.048	0.258	0.028	0.025	0	0.002	0.006	0	0.082	0.164	0.158	0.198	0.032	0.003	0.402	0.032	2.555	0.687	0.251	0.218	0.297	0.134	0.697	0.045	0.294	1.022	0.068	0.176	0.611	0.012	0.018	0.021	0.005	0.011	0.025	0.017	0.002	0.038	0.153	0.021	0.432	0.171	0.43	0.596	0.032	0.003	0.455	0.174	0.219	10.107
ASV_100	0.261	10.684	0.652755708076663	0.766081351839973	NotSig	0.107	0.104	0.19	0.167	0.006	0.019	0.193	0.149	0.012	0	0.115	0	0	0.668	0.003	0.001	0	0.076	0.087	0.102	0.146	0.379	0.155	0.109	0.134	0.001	0.068	0.001	0.003	0.026	0.046	0.076	0.016	0.077	0.133	0.008	0.004	0.014	0.053	0	0.037	0.023	0.016	0.007	0.007	0.067	0	0.002	0.527	0.132	0.149	0.032	0.076	0.114	0.086	0.055	0.002	0.014	0.028	0.102	0.013	0.031	0.012	0.024	0.279	1.092	0.07	0.026	0.219	0.657
ASV_127	-0.347	10.427	0.659514597925668	0.768675634823709	NotSig	0.096	0.124	0.123	0.125	0.003	0	0.031	0.489	0	0.001	0.002	0.001	0	0	0	0	0	0.049	0	0	0	0	0	0	0.296	0.007	0.022	1.346	0.282	0.018	0.024	0.004	0.034	0.087	0.048	0.051	0.004	0	0	0	0.002	0	0.013	0.093	0.017	0.026	0.025	0.004	0.018	0.066	0.013	0.024	0.096	0.023	3.19	0.058	0.098	0.37	0	0.225	0.004	0.002	0.001	0.012	0.055	0.089	0.091	0.019	0	0.005
ASV_189	0.207	11.435	0.687170057797502	0.795422875121766	NotSig	0.157	0.16	0.158	0.205	0.072	0.047	0.007	0.098	0.025	0.013	0.056	0.062	0.595	0.881	0.967	0.005	0.023	0.422	0.044	0.027	0.032	0.047	0.015	0.013	0.168	0.004	0.079	0.006	0.056	0.05	0.084	0.179	0.101	0.177	0.154	0.249	0.034	0.024	0.103	0.093	0.091	0.08	0.038	0.082	0.082	0.088	0.032	0.05	0.127	0.01	0.007	0.075	0.01	0.345	0.013	0.067	0.03	0.055	0.02	0.075	0.01	0.138	1.684	0.064	0.078	1.076	0.314	0.218	0.343	0.1
ASV_48	-0.273	11.719	0.709200830961263	0.813878708073812	NotSig	0.288	0.248	0.601	5.043	0.033	0.603	0.012	0.257	0.002	0.222	0.02	0	0	0	0.656	0.009	0	0	0.014	0	0	0	0.001	0.02	0	0	0	0.001	0.054	0.174	0.09	0.243	0.294	0.16	0.996	0.2	0.809	0.16	0.145	0.005	0.011	0.101	0.143	0.529	0.384	0.322	0.066	0.149	0.083	0.056	0.002	0.006	0.047	0.036	0.038	0.003	0.064	0	0.018	0.027	0.016	4.763	0.018	0.125	0.026	0.008	0.004	0.012	0.018	0.015
ASV_75	-0.24	11.772	0.714475900243471	0.813878708073812	NotSig	0.267	0.307	1.827	0.075	0.194	1.276	0.013	0.038	0	0.934	0.087	0	0	0	0	0.061	2.229	0.094	0.016	0.023	0.006	0.051	0.014	0.009	0	0	0	0	2.574	1.693	1.196	0.252	1.95	0.39	0.162	0.311	0.143	0.041	0.391	0.033	0.106	0.064	0.5	0.02	0.145	0.195	0.106	0.109	0.32	0.147	0.875	0.041	0.067	0.008	0.017	0.011	0.769	0.018	0.006	0.02	0.054	0.009	0.006	0.057	0.044	0.003	0.011	0.007	0.028	0.005
ASV_88	-0.232	11.923	0.717561701201171	0.813878708073812	NotSig	0.135	0.256	0.08	0.031	0.044	0.006	0.512	0.043	0.553	0.003	0.006	0.301	0.047	0.055	0.003	0.005	0.101	0.06	0.007	0.032	0.399	0.157	0.376	0.129	0.004	0.12	0.261	0.179	0.054	0.002	0.017	0.003	0.02	0.007	0.009	0.038	0.034	0.016	0.05	0.025	0.232	0.01	0.009	0.005	0.042	0.026	0.002	0.016	0.089	0.173	0.32	0.434	0.275	0.016	0.005	0.036	0.025	0.048	0.036	0.099	7.908	0.007	0.042	0.112	0.038	0.001	0.028	0.01	0.031	0.421
