ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	IE03P013	IE03P020	IE03P027	IE03P052	IE03P053	IE03P062	IE03P069	IE03P070
ASV_99	-0.843	9.506	0.427616588631271	0.722672034786847	NotSig	0.047	0.073	0.136	0.144	0.005	0.016	0.027	0.021	0	0.072	0.005	0.089	0.23	0.188	0.008	0.042	0	0.021	0.001
ASV_1	0.757	16.982	0.436204566537844	0.724577540972494	NotSig	12.357	7.329	5.559	5.685	4.241	39.807	7.76	4.29	42.824	0.878	0.167	1.78	3.404	0.79	6.112	21.097	11.642	7.708	6.1
ASV_60	0.994	12.622	0.43896411097467	0.724577540972494	NotSig	0.52	0.344	0.066	0.138	0.01	0.033	0.096	0.086	0	4.183	0.066	0.038	2.529	0.01	0.041	0.042	0	0.037	0.055
ASV_82	-0.862	12.316	0.442486564112429	0.724577540972494	NotSig	0.353	0.443	0.062	0.063	0.019	0.026	1.856	0.26	0.874	0.016	0	0.276	0.015	0	0.67	0.183	1.416	0.816	0.171
ASV_128	-1.337	9.262	0.447667781598988	0.724577540972494	NotSig	0.041	0.057	0	0	0	0	0.001	0.365	0	0	0	0	0	0.334	0	0.004	0	0.002	0.119
ASV_50	0.898	11.932	0.453000126737668	0.724577540972494	NotSig	0.315	0.207	0.008	0.049	0.02	0.268	0.035	0.103	2.334	0.018	0.001	0.002	0.025	0	0.048	0.231	0.256	1.051	0.045
ASV_35	0.715	11.39	0.454468753509375	0.724577540972494	NotSig	0.253	0.165	0.36	0.505	0.011	0.023	0.096	0.091	0.03	0.341	0.824	0.379	0.594	0.048	0.023	0.142	0.032	0.092	0.01
ASV_89	-0.686	10.919	0.46638487681138	0.735430867039948	NotSig	0.11	0.185	0.079	0.042	0.029	0.073	0.084	0.171	0.503	0.004	0.009	0.146	0.013	0.036	0.303	0.069	0.041	0.707	0.162
ASV_85	-0.659	11.06	0.469979488995943	0.735430867039948	NotSig	0.167	0.216	0.238	0.441	0.109	0.241	0.384	0.038	0.008	0.023	0.023	0.573	0.686	0.161	0.078	0.169	0.008	0.031	0.022
ASV_131	-1.205	11.729	0.474645025613091	0.735917516776261	NotSig	0.273	0.396	0	0	0	0.009	2.032	0.413	0	0	0.003	0	0	0	0.055	0.003	0	3.065	0.048
ASV_143	0.687	10.505	0.483185764243914	0.742349037792922	NotSig	0.116	0.077	0.034	0.082	0.403	0.135	0.041	0.135	0.206	0.001	0.004	0.231	0.074	0.006	0.023	0.042	0.169	0.049	0.02
ASV_30	-0.631	11.706	0.49498702217796	0.751978527819878	NotSig	0.257	0.317	0.09	0.322	0.155	0.351	0.355	0.779	0.102	0.142	0.012	0.053	0.144	0.019	0.1	0.13	0.01	1.631	0.445
