ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	IS03P020	IS03P027	IS03P033	IS03P038	IS03P039	IS03P043	IS03P052	IS03P053	IS03P062	IS03P069	IS03P070	IS03P081	IS03P082	IS03P083
ASV_81	-3.082	13.464	0.000241497270953691	0.00255081492444837	Depleted	0.179	0.899	0.214	0.075	0.039	0.058	0.051	0.29	0.045	0	0.156	0.05	0.102	0.32	0.923	0.003	0.004	0.003	0.008	0.017	0.027	0.156	0.118	0.22	0.943	0.231	0.446	0.15	0.15	0.017	0.167	0.053	0.012	0.021	0.536	0.391	0.011	0.14	0.054	0.592	10.426	0.011
ASV_72	4.181	14.35	0.000357008072768784	0.00354908025281909	Enriched	1.284	0.194	0.009	0.313	0.05	0.22	0.158	0.408	0	0.669	0.108	0.034	0.929	0.011	1.763	17.456	6.909	3.399	0.014	0.031	0.005	0.006	0.003	0.003	0.007	0.01	0.051	0.815	0.697	0.238	0.181	0.16	0.022	0.621	0.024	0.02	0.009	0.229	0.461	0.023	0	0.03
ASV_20	-3.153	12.545	0.000594768886343434	0.00558421898844669	Depleted	0.134	1.191	0.176	0.132	0.396	0.246	0.028	0.703	0.027	0.218	0.104	0.001	0	0	0.003	0.178	1.245	0.001	0.012	0	0	0.016	0	0	0	0	0	0.008	0.128	1.248	1.206	0.077	1.618	1.961	0.461	0.028	0.096	0.169	8.575	0.188	0.032	0.89
ASV_107	5.491	14.469	0.0006508695491986	0.00578931335866123	Enriched	1.721	0.08	0.005	0.019	0.451	0.092	0	0.005	0	0	0.001	0.021	0	0	0	0	0	1.911	41.14	0.207	0.109	0.329	0.189	0.189	0	0	0	0.067	0.013	0.073	0.183	0.057	0.294	0.016	0.027	0.003	0.007	0.006	0.011	0.425	0.004	0.004
ASV_16	-4.323	14.476	0.000696158448209426	0.00588253888736965	Depleted	0.321	2.863	4.716	0.125	0.102	2.05	0.003	0.134	0	1.176	0.002	0	0	0	0	0.007	0	0	0.001	0.003	0.001	0.007	0	0.009	0	0.001	0.004	0	0.099	0.619	0.181	7.399	0.659	0.067	0.003	0	30.156	0.001	0	0	0.003	0.895
ASV_64	7.24	12.8	0.000763413853530128	0.00614366386888532	Enriched	0.879	0.01	1.447	0.081	0.008	1.567	0.012	0	0	19.713	0.006	0	0	0	0	0	0.004	0	0	0.003	0	0.001	0	0	0	0	0	0	0.009	0	0.028	0.093	0	0	0	0	0.002	0.011	0	0	0	0.002
ASV_167	-3.608	9.168	0.000825610810193662	0.00634219213285131	Depleted	0.015	0.15	0.022	0.073	0.191	0.081	0.001	0.014	0	0.001	0	0	0	0.006	0	0	0	0	0.004	0	0	0.001	0	0	0	0	0	0	0.061	0.903	0.174	0.045	0.553	0.123	0.006	0.004	0	0	0.005	0	0	0.224
ASV_110	3.35	12.232	0.00113509950794951	0.00834051377580295	Enriched	0.394	0.037	0.067	0.006	0.014	0.019	6.764	0.036	0.148	0.008	0.041	0.074	0.508	0.22	0.004	0.001	0.494	0.019	0.003	0.024	0.034	0.632	0.109	0.045	0.038	0.468	0.394	0.064	0.075	0	0	0.018	0	0.003	0.014	0.128	0.101	0.103	0.011	0.023	0.036	0.011
ASV_134	3.21	12.186	0.00131688026392306	0.00927303185845824	Enriched	0.327	0.081	0.033	0.089	0.114	0.051	0.015	0.065	0.01	0.024	0.011	0.001	0.063	0.026	0.071	0	0.012	0.193	6.531	0.054	0.663	0.083	0.087	0.188	0	0.072	0.05	0	0.174	0.114	0.101	0.154	0.219	0.107	0.097	0.008	0.018	0.07	0.011	0.02	0.025	0.016
ASV_157	4.264	11.774	0.00149363910040578	0.010097000318743	Enriched	0.173	0.042	0.038	0.029	0.003	0.004	0.003	0	0.384	0.001	0.002	2.085	0.003	0	0.004	0	0.004	0	0.014	0.043	0.41	0.029	1.061	0.273	0	0.083	0.021	0	0.011	0.002	0.346	0.006	0.003	0.195	0.001	0.001	0	0.007	0	0	0	0.01
ASV_92	-2.749	7.261	0.00158194515191929	0.0102826434874754	Depleted	0.004	0.027	0.002	0.002	0.022	0.034	0.001	0.01	0.002	0.015	0.002	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.167	0	0.005	0.02	0.009	0.019	0.057	0.003	0	0.043	0.041	0.008	0.003	0.002
ASV_76	2.557	12.323	0.00166612722160735	0.0104287222389497	Enriched	0.376	0.118	0.185	0.265	0.332	0.152	0.074	0.307	0.022	0.032	0.028	0.036	0.424	0.008	0.041	0	0.357	0.029	4.712	0.151	0.92	0.264	0.151	0.36	0.016	0.426	0.43	0.067	0.125	0.078	0.169	0.404	0.216	0.096	0.045	0.124	0.03	0.087	0.099	0.057	0.028	0.091
ASV_101	-3.947	7.786	0.00181962217640109	0.0109827195647066	Depleted	0.004	0.067	0	0	0.069	0.013	0.004	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0.083	0.028	0.016	0.006	0.797	0	0	0.004	0.004	0	0	0	0
ASV_154	2.805	12.364	0.00196339815574	0.0111122735049109	Enriched	0.43	0.086	0.036	0.274	0.033	0.049	0.007	0.048	0.007	0.031	1.056	0.003	0.06	0.48	0.318	0.122	0.354	6.335	0.019	0.613	0.018	0.482	0.027	0.056	0.381	0.072	0.246	0.041	0.283	0.08	0.014	0.083	0.019	0.045	0.017	0.012	0.007	0.111	0.362	0.077	0.099	0
ASV_129	2.893	11.879	0.00197259292986584	0.0111122735049109	Enriched	0.358	0.053	0.247	0.102	0.03	0.06	0.006	0.055	0.001	0.001	0.004	0.067	0.392	0.048	0.01	0	1.176	3.937	0.01	0.012	0.06	0.258	0.099	0.305	0.014	0.129	0.102	2.175	0.152	0.024	0.054	0.075	0.003	0.011	0.01	0.008	0.011	0.063	0.151	0.065	0.113	0.002
ASV_174	4.688	13.582	0.00206641585633773	0.0112652993458412	Enriched	0.871	0.105	0.048	0.347	0.033	0.015	0.201	0.014	0	0	0	0	0.003	0.015	21.801	0	0.021	0.001	0	0.009	0.001	0	0	0.007	0.049	0.033	0.021	0.018	0.905	0.019	0.155	0.203	0.075	0.078	0.007	0.001	0	0.02	0.002	0.001	0	0.002
ASV_6	-3.002	14.847	0.0022161953281995	0.0115498522052717	Depleted	1.019	5.233	3.293	3.202	2.645	11.033	0.015	0.41	0.002	5.377	0.041	0.001	0.018	0.001	0	0.042	0.144	0.026	0.001	0.058	0.001	0.146	0.021	0.021	0	0	0	0.007	1.734	0.216	4.132	24.636	1.125	7.843	0.086	0.001	21.361	0.186	0.057	0.107	0.021	11.751
ASV_106	5.083	14.232	0.00232328927431925	0.0115498522052717	Enriched	0.461	0.057	0	0.018	0	0.013	0.053	0.192	10.612	0	0.057	0	0.302	0.006	0.639	0.004	0.001	0	0.003	0.057	0.003	0.003	0.001	0.011	0	0	0	0	0.006	0	0.028	0	0	0.04	0.002	0.001	0.043	0.189	0.002	0.117	0.112	0.259
ASV_18	3.264	15.362	0.00232363890520259	0.0115498522052717	Enriched	1.953	0.377	0.212	2.889	0.244	0.141	11.124	8.22	14.468	0.006	0.158	3.889	1.643	0.032	5.294	0.016	0	0.003	0.102	0.084	0.048	0.269	0.249	0.138	0.282	0.457	0.764	0.043	0.683	0.155	0.59	0.385	0.056	0.003	0.101	0.998	0.048	0.317	0.104	0.161	0.924	0.753
ASV_65	2.516	12.983	0.00320303935308191	0.0154661043048812	Enriched	0.662	0.145	0.313	0.425	0.033	0.047	0.533	0.532	0.133	0	0.034	0.429	3.415	7.038	0.093	0	0.019	0.255	0.022	1.073	0.064	0.229	0.214	0.175	0.692	0.211	0.529	0.712	0.284	0.08	0.216	0.079	0.034	0.083	0.17	0.177	0.085	0.289	0.049	0.248	0.182	0.053
ASV_47	-2.944	10.252	0.00392659844207951	0.0184331982419844	Depleted	0.034	0.254	0.048	0.201	0.078	0.107	0	0	0	0.379	0.001	0	0	0.001	0	0	0	0.001	0.034	0.012	0.001	0.003	0.001	0.007	0	0.002	0	0.007	0.015	0.175	0.028	0.073	1.125	0.214	0.001	0	0	0	0.005	0.016	0.001	1.899
ASV_158	4.082	12.027	0.00416202657952648	0.0190103376199993	Enriched	0.316	0.017	0	0.049	0	0.011	0.036	0.005	0	0	0.004	0.748	0.36	0	0	0	0	0.053	0.123	0.176	0.111	0.141	1.118	5.206	0	0.041	0.041	0	0	0	0.016	0.045	0	0.008	0.007	0.012	0	0	0.002	0.033	0.116	0.003
ASV_26	2.372	14.241	0.00527364322371867	0.0234538343370646	Enriched	1.572	0.315	0.214	1.278	0.258	0.301	0.123	1.23	0.404	0.007	0.093	0.55	1.211	16.011	7.746	0.022	3.138	3.364	0.361	0.16	0.263	0.347	0.243	0.179	2.726	0.084	0.487	0.084	0.303	0.204	0.628	0.325	0.128	0.094	0.081	1.328	0.087	0.229	0.184	0.396	0.337	0.083
ASV_60	2.917	12.673	0.005842264772195	0.0253164806795117	Enriched	0.332	0.099	0.226	0.244	0.025	0.141	0.257	0.022	1.839	0.011	0.018	0	0.122	0.046	0	0	0	0.003	0.03	0.094	0.075	0.16	0.918	1.86	0.473	0.64	1.434	0	0.633	0.015	0.103	0.069	0.009	0.011	0.022	0.298	0.02	0.107	0.041	0.033	0.02	0.001
ASV_39	2.902	13.503	0.00755680077991218	0.0319274832951289	Enriched	1.087	0.338	0.286	0.541	0.402	0.182	0.144	0.096	0.029	0.001	0.026	0.062	0.031	0.457	0.218	0	0	0	0.031	4.713	0.019	0.042	0.045	0.053	20.043	0.046	0.482	0.315	0.563	0.041	3.184	0.519	0.116	0.032	0.002	0.03	0.021	0.125	0.033	0.064	0.004	0
ASV_31	2.448	13.638	0.00834592944475378	0.0344015140527656	Enriched	1.035	0.209	0.24	0.292	0.033	0.09	0.09	1.424	0.276	0	0.203	0.515	1.938	0.001	7.005	0.019	5.336	0.001	0.055	0.07	0.17	0.274	0.07	0.189	7.736	0.167	0.656	0.056	0.134	0.034	0.16	0.055	0.031	0.08	0.111	0.251	0.196	0.116	0.096	1.318	0.277	0.07
ASV_126	2.582	12.23	0.00965809272504393	0.0383245595872458	Enriched	0.242	0.116	0.06	0.003	0.017	0.013	0.099	0.014	1.26	0	0.025	1.166	0.019	0.199	0.001	0.077	0.015	0.01	0.011	0.639	0.017	1.432	0.017	0.004	0.269	0.126	0.446	0.363	0.022	0.022	0.009	0.012	0.006	0.003	0.143	0.011	0.002	1.315	0.014	0.041	0.014	0.009
ASV_104	3.152	12.243	0.00976344093536369	0.0383245595872458	Enriched	0.447	0.117	0.072	0.193	0.008	0.038	0.064	0.098	0.002	0	0.002	0	0.068	0.108	0	0.009	0.004	0	0	0.29	0.003	0.026	0.003	0.004	9.844	0.025	0.469	0.289	0.147	0.007	1.098	0.245	0.034	0.051	0.001	0.04	0	0.011	0	0.007	0.001	0
ASV_12	-2.641	13.111	0.0102261839203896	0.0383245595872458	Depleted	0.467	1.553	0.08	0.742	10.008	0.447	0.018	0.552	0.004	0.215	0.024	0	0	0	0.004	0.022	0	0.004	0	0.008	0.004	0.006	0.001	0.001	0	0	0	0	0.006	0.636	0.55	3.954	3.049	1.11	0.044	0.005	3.288	0.06	0.049	0.149	0.027	8.812
ASV_176	2.901	11.35	0.0103292739328301	0.0383245595872458	Enriched	0.166	0.043	0.017	0.002	0	0	0.267	0.041	0.003	0	1.201	0.001	0.001	0.848	0.001	0.873	0.003	0.425	0.042	0.444	0.001	0.007	0.001	0.004	0.002	0	0.001	0.138	0	0.126	0	0.012	0.006	0.005	0.014	0.003	0.032	0.278	0.054	0.02	0.015	0.031
ASV_11	2.059	14.222	0.0104315369290728	0.0383245595872458	Enriched	1.425	0.524	0.682	0.63	0.1	0.135	1.008	1.328	0.14	0.007	0.146	1.019	5.672	5.276	1.264	0.005	0.119	0.264	0.038	0.638	0.116	0.428	0.502	1.394	4.821	6.548	4.563	0.2	0.736	0.172	1.263	0.126	0.069	0.599	0.184	0.144	0.388	1.289	0.544	0.963	0.449	0.411
ASV_41	-2.037	11.359	0.0121979560972826	0.0438607357540587	Depleted	0.081	0.388	0.116	0.115	0.075	0.028	0.051	0.01	0.044	0.281	0.061	0.003	0	0	0.024	0.131	0	0.063	0.016	0.006	0.004	0.306	0.008	0.004	0	0.007	0.725	0.041	0.048	0.248	0.005	0.108	0.294	0.15	3.97	0.003	0.073	0.288	0.005	0.031	0.02	0.193
ASV_122	-2.167	10.654	0.0131866452675604	0.0464279802128688	Depleted	0.042	0.21	0.039	0.015	0.055	0.038	0.2	0.082	0.049	0	0.023	0.001	0	0.4	0.012	0.001	0	0	0.005	0.003	0	0.06	0	0.004	0.063	0	0.02	0.014	0.011	0.007	0.238	0.063	0.012	0.003	0.783	0.008	0.88	0.82	0.038	0.008	0.01	0.054
ASV_87	2.028	12.708	0.0143770447336983	0.0495861338774492	Enriched	0.513	0.225	0.3	0.244	0.169	0.182	0.006	1.055	0.012	0.039	0.188	0.041	2.447	0.026	0.001	0.009	0.057	0.003	0.07	0.084	0.787	1.135	0.525	3.316	2.357	0.167	0.108	0.01	1.312	0.056	0.499	0.286	0.097	0.056	0.099	0.154	0.069	0.061	0.077	0.195	0.088	0.097
ASV_86	-2.558	11.538	0.0180740334709909	0.0610902331319493	Depleted	0.088	0.357	0	0	0.102	1.107	0.486	0.122	0.001	0.008	0.004	0.158	0	0.03	0.246	0.001	0.003	0.011	0	0	0	0.007	0	0	0	0	0	0	0	0.01	0.355	0.248	0.019	0.064	0.025	2.096	0	0.662	0.159	0.008	0.001	1.351
ASV_15	-1.923	13.933	0.0185993295458843	0.061633072416754	Depleted	0.4	1.793	0.548	0.195	0.05	0.073	4.985	0.669	0.691	0.001	0.406	0.355	0.074	0.237	0.038	0.003	0.204	0.011	0.003	0.01	0.029	0.417	0.034	0.11	0.953	0.093	0.066	0.148	0.279	0.138	0.212	0.083	0.05	0.056	4.859	0.712	0.052	0.703	0.197	13.15	4.54	0.079
ASV_30	-2.108	12.495	0.0268604064970918	0.0859439046871327	Depleted	0.309	1.357	1.87	0.83	0.122	3.892	0.023	0.034	0.002	0.007	0.081	0	0	0	0	0	0.021	0.076	0.02	0.403	0.028	0.492	0.039	0.072	0	0	0	0.01	3.626	1.71	0.209	0.124	0.191	1.343	0.027	0.008	0.004	11.155	0.09	0.008	0	0.508
ASV_57	2.622	12.826	0.0269528221799884	0.0859439046871327	Enriched	0.733	0.091	0.075	0.003	0.086	0.002	0.003	0.108	0	0	0.005	0	3.382	0.122	0	0.012	6.32	0.01	0.061	0.086	0.046	8.635	0.042	0.048	0	0	0	0	0.02	0.01	0.094	0.158	0.016	0.043	0.121	0.146	0.382	0.027	0.088	0.028	0.105	0.029
ASV_113	1.672	12.081	0.029129746500516	0.0899542730963961	Enriched	0.323	0.137	0.312	0.203	0.08	0.088	1.467	0.748	0.082	0	0.078	1.266	0.224	0.252	0.004	0	0.017	0.029	0.01	0.125	0.064	1.235	0.164	0.496	0.553	0.311	0.294	0.288	0.2	0.078	0.256	0.073	0.05	0.064	0.134	0.051	0.041	0.167	0.102	0.291	0.179	0.229
ASV_142	-2.17	9.768	0.0292750592917265	0.0899542730963961	Depleted	0.021	0.082	0.003	0.002	0.033	0.002	0.225	0.026	0.006	0	0.014	0.007	0	0.01	0.179	0	0	0	0	0	0.001	0	0	0	0.014	0	0.001	0.01	0.048	0.1	0.049	0.008	0.003	0	0.062	0.034	0.681	0.033	0.03	0.053	0.048	0
ASV_209	2.008	11.051	0.0311799153512127	0.0940965302563385	Enriched	0.186	0.076	0.014	0.031	0.21	0.073	0.031	0.357	0.02	0	0.016	0.239	0	0	0	0	0	0	0.063	0.024	0.024	0.051	0.217	1.322	0.142	0.09	1.721	0.196	0.068	0.002	0.268	0.317	0.025	0.054	0.029	0.064	0.011	0.11	0.009	0.037	0.014	0.06
ASV_70	2.33	10.212	0.0317951175372726	0.0942697344526152	Enriched	0.087	0.031	0.17	0.159	0.302	0.135	0.001	0	0.002	0.081	0	0.354	0	0	0.001	0	0	0.029	0.007	0.012	0.416	0.309	0.15	0.05	0	0.08	0	0	0.042	0.066	0.04	0.077	0.1	0.016	0.001	0.046	0	0	0.008	0.005	0	0.039
ASV_84	-2.198	10.663	0.0345021037745403	0.100531992032712	Depleted	0.103	0.385	0.07	0.089	2.29	0.107	0.006	0.012	0	0.006	0.002	0	0	0.003	0	0	0	0	0.078	0.001	0	0	0	0	0	0	0	0.006	0.077	2.394	1.773	0.073	0.622	0.107	0.088	0.001	0.005	0.032	0.022	0.016	0.003	0.171
ASV_28	4.196	10.528	0.0363273798919345	0.104056393249779	Enriched	0.124	0.012	0	0	0	0	0.098	0	0	0	0.936	0	0	0	0	0	0	0	0.004	0.089	0.011	2.084	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161	0.006	0.001	0.003	0
ASV_37	-1.893	12.013	0.0383291855838703	0.107772813357563	Depleted	0.252	0.992	1.341	0.297	4.331	0.047	0.029	0.005	0.002	0.013	0.002	0.199	0.003	0	0	0	0	0.004	0.001	0.013	0.071	0.041	0.014	0.02	0	0.076	0.024	0.02	0.125	3.766	0.362	0.14	8.468	0.407	0.012	0.001	0.046	0.024	0.006	0.005	0.008	0.518
ASV_143	-2.083	10.185	0.0389002462414871	0.107772813357563	Depleted	0.059	0.259	0.007	0.614	0.136	0.182	0.004	0.062	0.001	0.489	0	0	0	0	0	0	0	0.003	0.01	0.003	0.003	0	0.001	0	0	0	0	0.025	0.306	0.233	0.976	0.132	0.903	0.091	0.013	0.001	0	0.007	0.002	0.001	0.001	0.961
ASV_7	1.743	15.046	0.0418786132973789	0.114152994310597	Enriched	1.613	1.024	0.952	0.58	0.294	0.511	3.51	4.211	7.542	0.001	0.371	2.612	0.268	0.163	2.323	0.001	0.191	0.068	0.566	0.466	0.861	1.301	6.23	5.342	0.596	1.723	1.238	0.021	2.004	0.117	2.481	0.434	0.116	0.714	0.239	1.966	0.196	0.666	0.112	0.824	0.395	4.07
ASV_123	2.187	11.604	0.0438248663465164	0.117561943056528	Enriched	0.284	0.08	0.257	0.055	0.047	0.024	0	0.175	0.003	0	0.001	0.131	0.013	0	0	0.184	0.455	1.615	0.045	0.066	0.051	4.049	0.071	0.134	0	0	0	0	0.123	0.432	0.073	0.004	0.044	0.054	0.028	0.015	0.092	0.004	0	0.005	0.004	0.237
ASV_210	2.104	11.584	0.0555134398966211	0.146590177227015	NotSig	0.101	0.05	0.003	0.003	0.019	0.036	0.179	0.139	1.261	0	0.055	0	0	0.004	0.359	0	0.216	0.007	0.041	0.019	0.014	0.039	0.01	0.011	0	0	0	0.208	0.009	0.01	0.035	0	0.016	0.037	0.069	0.103	0.03	0.124	0.024	0.04	0.186	0.018
ASV_73	-1.649	9.923	0.0623532523038046	0.162118455989892	NotSig	0.048	0.215	0.055	0.122	0.446	0.299	0.018	0.082	0.066	0.043	0.001	0	0	0	0	0	0	0.006	0.019	0	0.001	0.001	0.004	0.004	0	0.013	0.001	0.056	1.024	0.736	0.207	0.227	0.49	0.19	0.002	0	0	0.019	0.044	0.015	0.006	0.045
ASV_152	1.414	11.399	0.0634872380412794	0.16256580649964	NotSig	0.221	0.126	0.053	0.023	0.105	0.1	0.01	0.017	0.001	0.497	0.277	0.078	0.031	0.475	0.004	0.007	0.019	0.16	0.056	0.372	0.079	2.798	0.357	0.06	0.054	0.003	0.029	0.092	0.125	0.226	0.052	0.128	0.241	0.23	0.14	0.004	0.071	0.203	0.044	0.017	0.008	0.27
ASV_203	1.847	12.416	0.0654850224606255	0.163823673993222	NotSig	0.23	0.099	0.027	0.047	0.008	0.045	0.193	0.012	1.15	0.015	0.011	2.019	0	0.062	0.003	0.001	0.132	0.001	0.008	0.273	0.055	0.114	0.491	0.034	0.058	0.777	0.435	0	0.191	0.005	0.082	0.024	0.003	0.032	0.022	0.838	0.016	0.039	0.003	0.007	0.007	0.114
ASV_137	1.714	10.986	0.065917217938101	0.163823673993222	NotSig	0.144	0.061	0.026	0.013	0	0.004	0.044	0.002	0.004	0	0.065	0.138	0.084	1.402	0.36	0.231	0.04	0.304	0.014	0.629	0.041	0.201	0.085	0.026	0	0.011	0.021	0	0.028	0.005	0.021	0.028	0	0.037	0.017	0.103	0	0.313	0.241	0.012	0.013	0.039
ASV_124	1.644	12.337	0.0718417807461371	0.173961059931808	NotSig	0.21	0.181	0.118	0.083	0.039	0.041	0.178	0.043	1.625	0	0.031	0.015	0.058	1.122	0.712	0.011	0.013	0.161	0.018	0.866	0.062	0.029	0.055	0.099	0	0.04	0.005	0.042	0.068	0.017	0.113	0.022	0.003	0.043	0.109	0.078	0.018	1.506	0.112	0.057	0.182	0.212
ASV_407	2.101	10.025	0.0720548768948316	0.173961059931808	NotSig	0.075	0.021	0	0.003	0.003	0.139	0.133	0.23	0	0.001	0.013	0	1.087	0.001	0.221	0.001	0.003	0.001	0	0.089	0.009	0.003	0	0.007	0	0	0	0	0	0	0.045	0.053	0.006	0.024	0.003	0.047	0.055	0.027	0.002	0.016	0.015	0
ASV_111	-1.513	9.531	0.0769565503584494	0.183178267754619	NotSig	0.039	0.123	0.003	0.179	0.199	0.107	0.012	0.043	0.001	0	0.01	0	0	0	0	0	0.001	0.026	0.15	0.003	0.001	0.009	0.01	0.032	0	0	0	0.224	0.035	0.005	0.715	0.053	0.041	0.005	0.039	0.042	0.025	0.053	0.014	0.672	0.008	0.009
