ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS00P003	HS00P004	HS00P010	HS00P011	HS00P012	HS00P014	HS00P019	HS00P025	HS00P029	HS00P034	HS00P036	HS00P040	HS00P041	HS00P042	HS00P044	HS00P045	HS00P046	HS00P047	HS00P048	HS00P050	HS00P051	HS00P055	HS00P056	HS00P057	HS00P058	HS00P059	HS00P061	HS00P063	HS00P064	HS00P068	HS00P071	HS00P072	HS00P073	HS00P074	HS00P075	HS00P077	HS00P082	HS00P93	HS00P96	HS00P109	HS00P110	HS00P118	HS00P137	HS00P142	HS00P167	HS00P176	HS00P179	HS00P192	HS00P198	HS00P201	HS03P003	HS03P004	HS03P005	HS03P010	HS03P011	HS03P012	HS03P014	HS03P019	HS03P024	HS03P025	HS03P026	HS03P029	HS03P031	HS03P034	HS03P035	HS03P040	HS03P041	HS03P042	HS03P044	HS03P045	HS03P046	HS03P047	HS03P048	HS03P050	HS03P051	HS03P055	HS03P056	HS03P057	HS03P058	HS03P059	HS03P061	HS03P063	HS03P064	HS03P066	HS03P067	HS03P068	HS03P071	HS03P072	HS03P073	HS03P074	HS03P075	HS03P077
ASV_189	-1.124	10.949	0.00425876549483586	0.0218100414735533	Depleted	0.096	0.16	0.091	0.05	0.041	0.226	0.46	0.161	0.106	0.016	0.025	0.065	0.022	0.057	0.074	0.062	0.017	0.115	0.052	0.037	0.049	0.005	0.259	0.019	0.009	0.013	0.007	0.066	0.199	0.035	0.051	0.059	0.017	0.379	0.083	0.066	0.062	0.047	0.141	0.552	0.153	0.068	0.009	0.001	0	0.007	0.401	0.169	0.045	0.142	0.015	0	0.056	0.05	0.084	0.179	0.101	0.177	0.154	0.249	0.034	0.024	0.103	0.093	0.091	0.08	0.038	0.082	0.082	0.088	0.032	0.05	0.127	0.01	0.007	0.075	0.01	0.345	0.013	0.067	0.03	0.055	0.02	0.075	0.01	0.138	1.684	0.064	0.078	1.076	0.314	0.218	0.343	0.1
ASV_123	1.688	10.473	0.00456023741658301	0.0226670624530156	Enriched	0.178	0.048	0.014	0.113	0.013	0.04	0.306	0.493	0.164	0.002	4.972	0.048	0	0.076	0.053	0.007	0.006	0	0	0.002	0	0	0.001	0.007	0.385	0.003	0.079	0.002	0.047	0.131	0.07	0	0.125	0	0.04	0.001	0.008	0.018	0.002	0.035	0.664	0.003	0.251	0.4	0.14	0.047	0	0	0.082	0	0.016	0.027	0.016	0.117	0.013	0.004	0.132	0.105	0.156	0.065	0.05	0.004	0.296	0.267	0.08	0.062	0.007	0.002	0.025	0.007	0	0.01	0	0	0.002	0.001	0	0.01	0.033	0	0.298	0.013	0.016	0.001	0.128	0.003	0	0.005	0.046	0.001	0.004	0.003	0.007	0.029
ASV_75	-1.433	11.381	0.00480202993280987	0.0231869445327105	Depleted	0.123	0.307	0.981	0.331	0.262	0.126	0.298	0.1	0.284	0.079	0.18	0.107	0.07	0.204	0.088	0.146	1.722	0.033	0.002	0.536	0.08	0.018	0.007	0.005	0.008	0	0.016	0.049	0.012	0.166	0.007	0.011	0.018	0.048	0.051	0.018	0.008	0.007	0.027	0	0	0.003	0	0	0.002	0.033	0	0.001	0	0	0.005	0.001	2.574	1.693	1.196	0.252	1.95	0.39	0.162	0.311	0.143	0.041	0.391	0.033	0.106	0.064	0.5	0.02	0.145	0.195	0.106	0.109	0.32	0.147	0.875	0.041	0.067	0.008	0.017	0.011	0.769	0.018	0.006	0.02	0.054	0.009	0.006	0.057	0.044	0.003	0.011	0.007	0.028	0.005
ASV_116	-1.497	11.345	0.00519910194010257	0.0244068952188148	Depleted	0.133	0.364	0.021	0.475	0.397	0.087	0.054	0.051	0.048	0.222	0.025	0.43	0.386	1.967	0.306	0.491	0.18	0.236	0	0.029	0	0.042	0.006	0.005	0.004	0.001	0.001	0.03	0.778	0.021	0.003	0.01	0.023	0.029	0.01	0.011	0.058	0.027	0.1	0	0.001	0	0.001	0.005	0	0.011	0	0	0.003	0.012	0.034	0	0.037	0.556	0.213	0.85	0.117	0.121	0.077	0.099	0.323	0.273	0.053	0.06	0.496	2.621	0.35	3.49	1.708	1.61	1.298	0.035	0.003	0.024	0.004	0.244	0.003	0.008	0.003	0.002	0.002	0.001	0.022	0.012	0.004	0.364	0.004	0.101	0.013	0	0.013	0.023	0.033	0.01
ASV_80	-3.077	8.3	0.00541096684961549	0.0247149566914869	Depleted	0.005	0.04	0	0	0.009	0.009	0	0.031	0.003	0	0	0.002	0.036	0	0	0.007	0	0	0	0.059	0.003	0.003	0.006	0	0	0	0	0	0	0	0	0.07	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421	0.116	0.008	0.002	0	0.023	0	0.008	0	0	0	0.002	0	0	0.005	0	0	0.004	0	0	1.091	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0.001	0	0	0	0	0	0
ASV_135	-1.676	9.233	0.00560025613392414	0.0249064022798205	Depleted	0.022	0.081	0.018	0.065	0.121	0.041	0.005	0.019	0.01	0.026	0	0.115	0.112	0.024	0.016	0.137	0.026	0.074	0.002	0.009	0.071	0.115	0.013	0.002	0	0	0.002	0	0.027	0.002	0	0	0	0.007	0.021	0.008	0	0.025	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0.022	0.074	0.347	1.54	0.029	0.005	0.023	0.003	0.069	0.028	0.01	0	0.462	0.165	0.145	0.059	0.172	0.029	0.055	0.025	0.015	0.012	0.031	0.003	0.005	0.011	0.002	0	0	0	0.002	0.001	0.003	0.01	0.004	0.012	0	0	0.006	0.005	0	0
ASV_30	-1.371	11.786	0.00606320059016203	0.0262738692240355	Depleted	0.184	0.442	0.225	0.348	0.366	0.142	0.242	0.076	0.283	0.057	0.414	0.069	0.063	0.256	1.179	0.379	1.546	2.585	0.002	0.066	0.018	0.052	0.001	0.008	0.014	0.004	0.013	0.003	0.1	0.009	0.019	0.107	0.014	0.019	0.143	0.061	0.004	0.239	0.014	0	0.003	0	0.012	0	0.003	0	0	0.012	0.005	0.019	0	0.005	0.36	2.679	2.136	0.671	0.029	0.138	0.176	0.088	0.421	0.101	0.205	0.204	1.034	0.103	0.993	0.045	1.551	0.045	0.303	1.809	0.103	0.015	3.432	0.014	0.177	0.015	0.009	0.022	0.153	0.006	0.012	0.048	0.247	0.055	0.01	0.762	0.018	0	0.038	0.219	0.034	0.101
ASV_49	-1.316	12.089	0.00679626679525151	0.0287142272099376	Depleted	0.21	0.502	0.579	0.661	1.571	0.065	0.054	0.078	0.106	0.521	0.571	0.162	0.191	0.249	0.454	0.537	0.473	0.08	0.016	0.024	0.005	0.628	0.064	0.022	0.047	0.007	0.022	0.014	0.022	0.028	0.038	0.094	0.003	0.039	0.045	0	0.097	0.182	0.513	0.001	0.381	0.001	0.001	0.003	0.491	0.001	0	0.001	0.004	0.004	1.35	0.001	0.082	0.164	0.158	0.198	0.032	0.003	0.402	0.032	2.555	0.687	0.251	0.218	0.297	0.134	0.697	0.045	0.294	1.022	0.068	0.176	0.611	0.012	0.018	0.021	0.005	0.011	0.025	0.017	0.002	0.038	0.153	0.021	0.432	0.171	0.43	0.596	0.032	0.003	0.455	0.174	0.219	10.107
ASV_154	-1.09	10.17	0.0081123312148139	0.0327351050870029	Depleted	0.059	0.118	0.026	0.048	0.035	0.027	0.013	0.022	0.032	0.059	0.025	0.374	0.254	0.138	0.041	0.062	0.051	0.004	0.026	0.02	0.021	0.006	0.004	0.002	0.047	0	0.05	0.005	0.189	0.063	0.01	0.004	0.124	0.157	0.122	0.033	0.059	0.406	0.086	0	0.008	0.003	0.035	0.003	0.243	0.003	0	0	0.011	0.005	0	0.006	0.005	0.091	0.09	0.071	0.036	0.012	0.09	0.14	0.023	0.01	0.03	0.022	0.061	0.041	0.147	0.184	0.08	0.131	0.051	0.014	0.399	0.008	0.147	0	0.04	0.028	0.044	0.011	0.016	0.061	0.075	0.047	0.001	0.326	0.126	0.349	0.456	0.036	0.337	0.621	0.226	0.264
ASV_148	-3.161	10.505	0.00813535156008356	0.0327351050870029	Depleted	0.017	0.108	0.02	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.367	0.028	0.005	0.116	0.116	0	0.019	0	0	0	0.008	0	0	0	0	0	0	0	0.048	0.07	0.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.007	0.002	0	0.004	0	0.165	0.356	0.002	3.872	0	0.015	0.008	0.002	0	0.03	0	0	0.001	0	0	0.001	0	0	0	0	0.017	0.035
ASV_90	1.274	12.558	0.00942305756693233	0.0370348076467806	Enriched	0.412	0.237	2.379	0.17	0.015	0.013	0.047	0.061	0.249	0.183	0.044	0.224	0.009	0.083	0.06	0.11	0.051	0.039	0.059	0.296	0.08	0.336	0.103	0.063	1.953	0.019	2.922	0.034	0.114	0.037	3.857	0.086	0.127	0.801	0.269	0.251	0.04	0.135	0.099	0.07	0.179	0.13	0.062	0	0.003	0.189	0.008	0.082	4.072	0.371	0.001	0.005	1.117	0.011	0.02	0.004	0.074	0.019	0.343	0.246	0.017	0.038	0.193	0.025	0.065	0.052	0.058	0.043	0.16	0.145	0.047	0.188	0.04	0.144	0.312	0.056	1.429	0.011	0.177	0.033	0.36	1.385	0.052	0.069	0.07	0.018	0.021	0.327	0.245	0.713	0.113	1.334	0.055	0.138
ASV_64	-2.459	11.665	0.0104048878381247	0.0399642282873427	Depleted	0.097	0.403	0.021	0.25	0.038	0.058	1.974	0.061	0.185	0	0	0.006	0.132	0.005	0.212	0.005	0.006	0.002	0.002	1.043	0.005	0.004	0.003	0	0	0	0.002	0	0	0	0.002	0.844	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011	1.594	0.593	0.039	0.106	13.198	0.086	0.014	0.006	0	0.008	0	0.011	0.049	0.15	0.007	0.14	0	0.002	0.194	0	0.674	0.002	0	0.007	0	0	0	0	0	0.006	0.004	0	0	0	0.009	0	0	0	0.001	0	0
ASV_101	-2.692	12.07	0.0125843131926181	0.0472610873233881	Depleted	0.086	0.604	0	0	0.004	0	0	0	0.003	0.016	0.025	0.008	1.894	0.13	0.028	0.011	1.328	0.454	0	0.004	0	0.368	0	0	0.001	0	0	0	0	0	0	0	0.003	0	0.006	0	0	0	0.007	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0.014	0.002	0.006	0.002	0	0.004	0.003	0.01	0.085	0.053	0.033	0.002	0.026	0.004	1.35	0.022	0.019	22.805	0.867	0	0.007	0.004	0	0	0	0	0	0	0	0.022	0.002	0	0	0	0.006	0.005	0	0	0	0	0
ASV_36	-1.197	12.549	0.0131722433066355	0.0483936764961173	Depleted	0.343	0.68	0.07	2.124	1.807	0.396	1.672	0.239	0.145	0.179	0.329	0.323	0.597	2.128	1.154	0.82	0.376	0.456	0.009	0.151	0.006	0.062	0.004	0.019	0.035	0.023	0.005	0.243	1.519	0.021	0.022	0.864	0.085	0.138	0.071	0.068	0.045	0.408	0.019	0	0.282	0.035	0.009	0.003	0	0	0	0.005	0.163	0	0.004	0	0.219	0.617	0.721	1.327	0.364	1.124	0.372	0.254	0.237	0.192	0.564	2.271	0.451	0.536	0.208	6.931	0.741	1.029	0.817	6.277	0.045	0.02	0.031	0.021	0.051	0.168	0.031	0.25	0.155	1.451	0.03	0.028	0.117	0.492	0.017	0.03	0.006	0.064	0.068	0.085	0.004	0.151
ASV_207	1.464	10.792	0.0161527646681824	0.0580812176366559	Enriched	0.147	0.064	0.043	0.083	0.003	0.004	0	0	0	1.158	0.002	0.129	0	0.005	0.002	0.009	0.002	0.002	0.014	0.018	0.015	0.036	0.004	0.017	0.079	0.046	0.434	0.599	0	0.002	0.077	0.001	0.331	0.092	1.106	0.02	0.014	0.051	0.118	0	0.003	0.004	0.019	0	0.006	0.106	0.454	0.119	2.111	0.001	0	0.001	0.012	0.005	0	0	0.002	0.003	0.002	0	0.034	0.265	0.09	0.005	0.002	0.034	0.004	0	0.002	0.141	0.002	0.002	0.013	0.014	0.077	0	0.135	0.002	0.011	0.147	0.039	0.902	0.008	0.014	0.003	0.027	0.051	0.152	0.183	0.094	0.092	0.066	0.002	0.049
ASV_142	1.74	10.896	0.0167270340835863	0.0588930991692935	Enriched	0.118	0.054	0	0	0.004	0	0.002	0.154	0	0.012	0.023	0.067	0	0	0.055	0.002	0.002	0.002	0.056	0.029	0.011	0.031	0.003	0.029	0.556	0.319	0.035	0.008	0.063	2.262	0.024	0.11	0.043	0.562	0.141	0.83	0.017	0.007	0.032	0	0	0.001	0	0	0	0	0.001	0.004	0.414	0	0	0	0.003	0	0	0	0.002	0.003	0	0.099	0	0	0.013	0.019	0.069	0.034	0	0	0.007	0.002	0	0.017	0.015	0.025	0.013	0	0.391	0.01	0.014	0.146	0.025	0.003	0.06	0.125	0.018	0	0.005	0.037	0.029	0.372	0.098	0.604	0	0.003
ASV_33	-1.379	12.867	0.0175639916751278	0.0605778488387062	Depleted	0.342	0.797	0.024	0.008	3.827	0.157	0.371	0.095	0.606	0.051	0.891	0.149	0.384	0.287	1.094	0.121	0.99	4.567	0	0.143	0	0.032	0	0.014	0.048	0.006	0.108	0.01	0.496	0.003	0.007	0.087	0.032	0.799	0.101	0.803	0.005	0.017	0.031	0	0.04	0	0.004	0	0.622	0	0	0	0.035	0.009	0.011	0.005	0.057	0.862	0.6	1.907	0.605	0.053	0.212	5.883	0.218	0.079	0.321	0.683	0.531	0.201	4.36	0.313	0.397	0.162	1.273	11.966	0.001	0.005	0.004	0	0.096	0.007	0.014	0.003	0.077	0.052	1.735	0.048	0.301	0.091	0.03	0.082	0.061	0.11	0.028	0.031	0.017	0.003
ASV_124	1.293	11.958	0.0185318468404207	0.062637642320622	Enriched	0.32	0.141	0.036	0.035	0.054	0.105	0.008	0.176	0.043	0.22	0.009	0.125	0.038	0.014	0.069	0.011	0.045	0.191	0.014	0.127	4.512	0.105	6.698	0.014	0.073	0.009	0.038	0.002	0.02	0.354	0.007	0.003	0.102	0.256	0.436	0.139	0.08	0.311	0.088	0.025	0	0	0	0	0	0.079	0.137	0.762	0.039	0.011	0.217	0.146	0.067	0.029	0.061	0.11	0.034	0	0.036	0.038	0.044	0.132	0.203	0.025	0.08	0.059	0.04	0.014	0.052	0.012	0.047	0.029	0.009	0.423	0.338	0.208	0.147	0.137	0.005	0	0	0	0.016	0.148	0.013	0.339	1.165	0.161	0.047	0.129	0.381	0.77	0.02	0.351
ASV_48	-1.231	11.223	0.0201528619456194	0.0667810523296015	Depleted	0.122	0.248	0.079	0.85	0.536	0.111	0.22	0.276	0.249	0.126	0	0.087	0.195	0.228	0.111	0.464	0.036	0.086	0.059	0.073	0.002	0.008	0.83	0.008	0.045	0.001	0.012	0.002	0.526	0.01	0.015	0.006	0.078	0.224	0.034	0.002	0.126	0.293	0.031	0	0	0	0.001	0	0	0	0	0	0.042	0	0	0.001	0.054	0.174	0.09	0.243	0.294	0.16	0.996	0.2	0.809	0.16	0.145	0.005	0.011	0.101	0.143	0.529	0.384	0.322	0.066	0.149	0.083	0.056	0.002	0.006	0.047	0.036	0.038	0.003	0.064	0	0.018	0.027	0.016	4.763	0.018	0.125	0.026	0.008	0.004	0.012	0.018	0.015
ASV_156	2.821	12.767	0.0206100324549873	0.0669826054787086	Enriched	0.643	0.144	0.006	0.004	0	0.006	0.005	0.002	0.022	0.096	0.06	0.026	31.554	0.062	0.055	0.128	0.024	0.06	0	0	0	0	0	0	0.001	0	0.001	0	0	0	0	0.055	0	0	0	0.001	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0.048	0.005	0.04	0.002	0.113	1.431	0.038	0.052	0.232	0.647	1.593	0.01	0.048	1.72	0.025	0	0	0.004	0	0	0	0	0	0	0	0.04	0	0	0	0	0.005	0	0	0	0	0	0
ASV_70	1.533	11.223	0.0217532632876556	0.0693641791625246	Enriched	0.171	0.097	0.094	0.152	0.045	0.191	0.192	0.285	0.143	0.069	0.205	0.018	0.029	0.119	0.106	0.315	0.03	0.033	0.026	0.029	0	0.006	0	0.008	0	0	0	5.778	0.003	0	0	0.073	0.024	0.005	0.006	0.02	0.001	0	0.108	0.013	0.075	0	0.003	0	0.18	0	0	0.001	0.012	0.005	0.154	0	0.085	0.003	0.009	0.007	1.42	0.049	0.345	0.146	0.34	0.043	0.058	0.376	0.113	0.021	0.02	0.395	0.302	0.076	0.011	0.027	0.004	0.02	0	0.079	0.005	0.007	0	0.002	0.011	0.1	0	0.002	0.001	0.001	0.001	0.001	0	0	0	0.005	0.004	0.003
ASV_52	1.119	13.306	0.0283322773713447	0.0886695347362456	Enriched	0.893	0.422	0.954	0.225	0.007	0.01	0.107	0.019	0.204	1.817	0.023	0.202	0.002	0.036	0.053	0.116	0.032	0.027	0.213	17.373	0.043	0.142	0.431	0.656	0.559	1.166	0.689	0.289	0.033	0	0.108	0.014	0.628	1.035	0.184	0.061	0.216	0.415	0.744	0	0.067	0.46	1.485	0	0.687	3.126	0.262	1.892	7.289	0.361	0.068	0.104	0.419	0.021	0.04	0.001	0.101	0.077	0.084	0.094	0.069	0.525	0.008	0.011	0.02	0.08	0.047	0.016	0.065	0.372	0.023	0.244	0.131	1.268	0.208	0.48	0.331	1.898	0.097	3.646	0.205	3.611	0.002	0.104	0.356	0.305	0.165	0.254	0.513	0.934	0.073	0.137	0.198	0.491
ASV_73	-1.14	11.486	0.0302722762923678	0.0930184489710937	Depleted	0.17	0.366	0.532	0.127	0.02	0.165	0.106	0.172	0.172	0.326	0.067	0.244	0.213	1.015	0.212	0.4	0.642	0.877	0.023	0.062	0.158	0.015	0.003	0.014	0.014	0.024	0.003	0.003	0.002	0	0	0.094	0.042	0.007	0.035	0.006	0.026	0.044	0.032	0.001	2.58	0.008	0.001	0	0	0.004	0	0	0	0.005	0	0	0.15	0.036	0.039	0.019	0.341	0.085	0.239	1.72	0.063	0.186	0.043	0.223	0.284	0.611	1.103	1.169	1.89	1.712	1.236	0.074	0.116	0.129	0.11	0.069	0.002	0.201	0.544	0.861	0.772	0.01	0	0.005	0	1.147	0.013	0.017	0.016	0.001	0.01	0	0.13	0.008
ASV_5	-0.92	14.468	0.0350167737799172	0.105294507523652	Depleted	1.496	2.421	0.359	4.816	2.105	1.081	3.711	1.84	0.897	1.935	0.951	1.186	1.701	8.693	5.015	3.952	1.66	3.975	0.052	0.162	0.045	0.866	0.01	0.202	0.364	0.024	0.115	0.137	12.395	0.319	0.178	2.268	1.467	1.001	0.779	0.255	0.986	7.74	0.573	0	0.027	0.014	0.034	0.018	0.002	0	0	0.024	0.232	0.021	0.567	0.032	0.456	0.682	1.554	1.945	1.416	0.72	1.465	1.408	3.812	2.358	1.734	3.022	1.545	3.111	3.86	11.417	6.04	6.059	1.589	8.64	4.745	0.046	0.551	0.332	0.39	0.451	1.694	0.277	1.193	0.518	0.089	1.234	0.158	20.557	0.118	1.138	0.55	1.169	0.161	0.604	2.075	0.788
ASV_39	-1.133	12.937	0.0356965620156534	0.105294507523652	Depleted	0.45	0.871	0.053	0.478	0.724	0.462	0.306	0.788	0.17	1.524	0.092	9.424	0.083	0.275	0.168	0.696	0.021	0.179	0.107	0.059	0.206	0.114	0.006	0.26	0.09	2.409	0.012	0.008	0.035	0.085	0.307	0	0.025	0.405	0.095	0.231	0.149	0.013	0.051	0.054	0	2.189	0	0.004	0	0.001	0.009	0	0.121	0	0	0	0.206	0.491	1.453	6.35	0.598	0.102	0.185	0.115	8.962	1.335	2.173	0.074	1.246	0.572	0.038	1.604	0.529	1.381	0.076	0.002	0.076	0.017	0.075	0.003	0.01	0.408	0.063	1.898	0.016	0.029	0.03	4.471	0.012	0.009	0.013	0.106	0.019	0.502	1.152	0.014	0.14	0.028
ASV_117	1.162	12.019	0.0361365765465789	0.105294507523652	Enriched	0.369	0.188	0.003	0.108	0.118	0.062	0.026	0.019	0.026	0.533	0.051	6.905	0.029	0.033	0.046	0.002	0.017	0.014	0.173	0.04	1.102	0.046	0.232	0.107	0.04	2.131	0.008	0.012	0.075	2.434	0.039	0	0.268	1.062	0.03	0.006	0.006	0.008	0.001	0.023	0.003	2.301	0.003	0.045	0	0	0.004	0.183	0.067	0	0	0	0.011	0.305	0.708	0.889	0.112	0.024	0.031	0.029	0.023	0.059	0.21	0.011	0.421	0.247	0.098	0.007	0.042	0.795	0.023	0.035	0.118	0.052	0.276	0.138	0.059	0.109	0.023	1.164	0	0.024	0.024	0.376	0.013	0.01	0.415	0.039	0.419	0.493	0.025	0.009	0.01	0.002
ASV_82	1.283	11.004	0.0369239186714713	0.105765122974214	Enriched	0.238	0.091	0.351	0.609	0.588	2.849	0.002	0.332	0.374	2.791	0.267	0.293	0.047	0.202	0.295	1.297	0.024	0.014	0	0.002	0.002	0.02	0	0.002	0.165	0	0.157	0	0.167	0.003	0.002	0.92	0.011	0.022	0.034	0.005	0.001	0.036	0.011	0	0.001	0	0	0.001	0	0	0	0	0.004	0	0	0	0.029	0.188	0.163	0.118	0.169	0	0.179	0.097	0.648	0.417	0.028	0.03	0.113	0.147	0.056	0.032	0.13	0.765	0.017	0.041	0.003	0.005	0.055	0.011	0.002	0	0.011	0.002	0.025	0.014	0.214	0.001	0.001	0.017	0.012	0.007	0.015	0.004	0.02	0.014	0	0.042
ASV_89	-1.175	12.314	0.0384860284459394	0.107015110658608	Depleted	0.193	0.32	0.096	0.068	0.071	0.17	0.059	0.44	0.444	0.012	0.145	0.01	0	0.033	0.023	0.046	0.043	0.016	0.112	0.011	0.008	0.053	0.003	0.071	0.093	2.231	0.023	0.145	0.018	0.002	0.007	0.917	0.004	0.012	0.295	0.073	0.005	0.016	0.002	0	0.171	0.184	1.452	0.075	0.237	1.376	0.003	0.003	0.228	0.124	0	0.023	0.062	0.005	0.009	0.001	0.043	0.053	0.099	0.022	0.002	0.099	0.09	0.074	0.015	0.013	0.092	0.016	0.027	0.038	0.021	0.01	0.052	0.014	0.178	0.044	0.049	0.029	0.048	0.083	0.219	0.63	0.002	0.027	0.375	0.189	10.337	0.304	0.005	0	0.011	0.028	0.014	0.019
ASV_126	1.178	11.711	0.0390823133633941	0.107015110658608	Enriched	0.317	0.106	0.015	0.014	0.022	0.001	0.018	0.02	0.002	0	0.028	0.008	0.119	0.028	0.028	0.018	0.006	0	0.049	0.274	0.006	0.024	0.015	0.425	2.126	0.006	0.106	0.258	0.007	0.005	0	0.01	0.012	0.007	4.778	0.095	0.015	0.02	0.02	0.037	1.416	0.154	0.389	1.934	1.001	1.726	0.129	0.149	0.283	0.045	0.001	0.01	0.073	0.003	0.006	0.001	0.011	0.003	0.007	0.005	0.023	0.012	0.038	0.016	0.063	0.015	0.02	0.005	0	0.012	0.004	0.006	0.025	1.815	0.011	0.011	0.061	0.003	0.011	0.002	0.032	0.017	0.095	0.041	0.578	0.017	0.737	0.109	0.367	0.001	0.014	0.071	0.026	0.081
ASV_107	1.219	9.779	0.0392599814250515	0.107015110658608	Enriched	0.085	0.049	2.407	0.119	0.012	0.021	0.002	0.045	0.043	0	0.136	0.083	0.038	0.19	0.081	0.089	0.165	0.101	0.003	0.002	0.006	0.007	0.034	0.269	0.013	0.004	0	0	0.003	0.005	0.002	0.001	0.004	0.019	0.04	0.002	0.009	0.005	0.289	0	0.005	0	0	0	0	0	0.004	0	0	0.005	0	0	0.253	0.002	0.017	0.006	0.029	0.002	0.074	0.068	0.017	0.004	0.028	0.248	0.238	0.289	0.158	0.025	0.192	0.157	0.034	0.002	0	0.002	0.002	0.001	0.007	0.02	0.028	0.008	0	0	0.008	0.005	0.009	0.035	0	0.004	0.001	0	0.063	0.008	0.002	0.003
ASV_59	1.061	12.849	0.0403425197673111	0.107798752992987	Enriched	0.421	0.32	0.19	0.01	0.187	0.193	0.054	0.106	0.019	0.02	0.115	0.263	0.065	0.047	0.032	0.03	0.267	0.183	0.502	0.389	0.388	0.952	0.076	1.691	0.086	0.901	0.036	0.01	0.1	7.798	0.087	0.069	0.068	1.827	0.394	0.384	0.104	0.182	0.656	0.02	0.014	1.087	0.451	0.003	0	0.268	0.085	0.003	0.446	0.004	0.189	0.003	0.088	0.012	0.084	0.119	0.088	0.036	0.054	0.052	0.092	0.004	3.228	0.152	0.033	0.031	0.127	0.03	0.14	0.045	0.168	0.064	0.53	0.301	0.224	0	0.182	0.52	0.069	0.557	0	0.001	0.103	1.528	0.127	0.094	0.07	0.442	0.031	3.384	0.241	0.176	0.037	0.169
ASV_100	1.163	11.368	0.0408231963997109	0.107798752992987	Enriched	0.251	0.104	0.002	0.014	0.012	0.012	0.111	0.09	0.014	0.031	0.002	0.354	0.009	0	0.005	0.011	0	0.002	0.252	0.072	2.449	0.096	1.723	0.012	0.001	0.009	0	0	0.04	0.019	0.26	0	0.179	0.567	0.37	0.007	0.44	1.943	0.124	0.001	0.003	0	0.004	0.55	0.002	0.009	2.212	0.001	0.001	0.001	0.001	0.525	0.003	0.026	0.046	0.076	0.016	0.077	0.133	0.008	0.004	0.014	0.053	0	0.037	0.023	0.016	0.007	0.007	0.067	0	0.002	0.527	0.132	0.149	0.032	0.076	0.114	0.086	0.055	0.002	0.014	0.028	0.102	0.013	0.031	0.012	0.024	0.279	1.092	0.07	0.026	0.219	0.657
ASV_42	-1.03	13.104	0.0419084168132757	0.108961883714517	Depleted	0.391	0.707	0.198	0.108	3.668	0.168	0.06	0.023	0.042	0.659	1.213	0.202	0.07	0.358	0.217	0.288	0.289	0.08	0	0.103	0.032	0.344	0.003	0.036	0.214	0.007	0.042	0.132	0.072	0.059	0.019	0.052	0.531	0.181	0.401	5.39	0.035	0.114	0.138	0	0.011	0.001	0.008	0.706	0.601	0.013	0.001	0.021	0.076	0.002	2.526	0.036	0.175	0.686	0.209	0.194	0.054	0.041	0.031	0.219	0.465	7.812	0.115	0.245	0.234	1.049	1.56	0.066	0.254	0.376	0.085	0.134	0.018	0.09	0.779	0.003	0.165	0.015	0.927	0.038	5.545	0.108	4.618	0.02	0.79	0.154	0.251	0.032	0.125	0.205	0.057	1.604	0.01	0.138
ASV_54	0.942	12.935	0.0434006265287013	0.111131907323493	Enriched	0.606	0.41	0.1	0.084	0.119	0.047	0.026	0.469	0.043	0.818	0.265	0.883	0.018	0.059	0.085	0.027	0.329	0.214	4.428	0.132	0.803	0.249	0.051	0.359	0.384	0.389	0.046	6.082	0.384	0.068	0.009	0.024	0.036	0.333	0.111	0.218	0.206	0.17	2.161	0.007	0.003	3.088	0.017	0.173	0.006	0.174	4.256	0.968	0.239	1.084	0.019	0.021	0.065	0.352	0.387	0.053	0.05	0.017	0.061	0.123	0.143	1.626	0.09	0.144	0.102	0.317	0.011	0.034	0.115	0.262	0.197	0.07	0.98	0.149	1.417	0.004	0.037	2.454	0.755	2.541	0.153	1.295	0.018	0.084	0.012	0.017	0.478	0.193	0.014	0.334	1.622	0.198	0.047	0.179
ASV_9	-0.804	14.412	0.0468171907426231	0.11809112291796	Depleted	1.051	2.173	0.52	0.24	0.678	0.549	0.281	0.29	0.651	0.403	0.677	0.642	0.126	0.261	0.263	0.352	0.259	0.097	0.391	0.611	0.479	0.505	2.067	0.52	0.827	0.339	0.368	3.549	1.18	0.5	4.422	0.218	2.863	0.27	0.575	0.222	0.933	3.425	8.605	0.008	1.145	0.476	1.561	1.825	5.951	0.726	0.003	0.009	0.147	0.099	1.391	0.055	0.74	1.402	1	1.309	0.652	0.84	0.384	0.582	0.499	1.663	0.807	0.577	0.355	0.49	0.616	0.545	0.604	0.876	0.498	0.14	9.594	25.887	1.744	0.784	3.041	10.42	0.819	2.853	0.963	12.256	0.133	0.189	0.95	0.16	0.139	0.217	0.941	0.048	0.958	1.632	0.93	2.048
