ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082	HE10P003	HE07P004	HE07P010	HE07P012	HE07P019	HE07P021	HE07P022	HE07P023	HE07P024	HE07P025	HE05P026	HE07P028	HE07P046	HE07P047	HE07P048	HE10P049	HE07P051	HE10P054	HE07P055	HE07P056	HE07P057	HE07P058	HE07P059	HE07P061	HE07P063	HE07P064	HE07P066	HE07P068	HE07P071	HE07P072	HE07P073	HE07P074	HE07P075	HE07P077	HE07P078
ASV_14	0.984	13.662	0.0532670531187414	0.219564194562617	NotSig	0.993	0.634	0.542	0.504	0.183	1.368	0.403	2.639	2.054	2.274	3.56	1.13	2.107	1.007	1.238	0.677	4.019	0.088	0.117	0.031	0.121	0.065	0.041	0.072	0.028	0.198	0.032	0.493	0.037	0.195	0.021	0.262	0.141	1.432	0.126	0.081	0.068	0.212	0.036	0.603	10.512	0.772	0.517	0.428	5.534	2.351	0.337	0.682	1.565	0.304	0.876	0.854	2.501	0.016	0.02	0.073	0.016	0.099	0.105	0.179	0.068	0.033	0.708	0.524	0.084	0.338	0.05	0.039	0.163	0.108	0.032	0.057	0.077	0.23	0.016	2.446
ASV_154	0.75	11.157	0.0566518096181572	0.225744442436634	NotSig	0.228	0.121	0.299	2.937	0.281	0.385	0.475	0.002	0.116	0.068	0.024	0.02	0.038	0.066	0.141	0.286	0.555	0.089	0.071	0.053	0.252	0.122	0.042	0.041	0.029	0.072	0.336	0.074	0.376	0.131	0.509	0.237	0.036	0.049	0.124	0.047	0.237	0.013	0.017	0.232	0.012	0.158	0.569	0.301	0.008	0.071	0.308	0.026	0.021	0.218	0.049	0.08	0.114	0.043	0.036	0.037	0.055	0.228	0.057	0.202	0.27	0.018	0.097	0.077	0.029	0.148	0.055	0.077	0.478	0.062	0.091	0.074	0.049	0.019	0.033	0.063
ASV_183	-2.098	9.677	0.0574379350578417	0.225744442436634	NotSig	0.023	0.091	0	0	0	0.003	0	0	0	0	0	0.002	0	0	0.004	0.005	0.154	0.004	0	0	0.001	0.03	0.06	0.087	0.053	0.456	0.032	0.008	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0.002	0.003	0.004	0.025	0.001	0	0	0	1.545	0.082	0.053	1.368	0.01	0.014	0.08	0	0	0	0	0	0	0.006	0	0	0	0
ASV_77	-0.898	11.976	0.0673333851011315	0.258621410956619	NotSig	0.224	0.415	0.051	0.071	0.032	0.001	0.011	0.111	0	0.088	0.006	0.023	0.02	0.006	0.016	0.016	0.002	0.369	0.278	0.444	0.844	0.188	0.191	0.4	0.187	0.675	0.709	0.277	0.396	0.226	0.423	0.244	0.045	0.285	0.323	0.259	0.591	0.589	0.318	0.012	0.006	0.094	0.08	0	0.062	0.187	0.003	0.035	0.038	0	0.005	0.036	0	0.107	0.408	1.444	0.109	0.08	2.427	0.086	0.259	0.963	0.17	0.193	0.603	0.338	0.045	0.219	1.806	2.406	0.374	0.559	0.018	0.267	1.079	0.016
ASV_72	0.95	12.015	0.0702710205852712	0.261313550800603	NotSig	0.501	0.186	0.115	0.079	0.252	0.252	1.798	0.269	0.247	0.002	5.493	0.225	0.306	8.029	0.013	0.035	0.143	0.042	0.106	0.062	0.305	0.019	0.02	0.056	0.008	0.001	0.008	0.007	0.107	0.061	0.536	0.037	0.054	0.529	0.035	0.034	0.157	0.038	0.036	0.023	0.005	0.099	0.047	1.24	0.134	0.004	0.488	0.432	0.319	1.126	0.348	0.057	0.345	0.206	0.03	0.118	0.011	0.017	0.034	0.313	0.072	0.005	0.006	0.008	0.001	0.048	0.013	0.242	0.016	0.028	0.085	0.055	0.205	0.134	0.113	0.12
ASV_120	-1.322	12.565	0.0711267653066729	0.261313550800603	NotSig	0.204	0.528	0.129	0.253	0.088	0.004	0.008	0	0.157	0	0	0.005	0.009	0.765	0.309	0.328	0.927	0.003	0.003	0.062	0	0	0.003	0.087	0.004	0.001	0.004	0.008	0.147	0.027	0.013	0.009	0	0.08	0.016	0.08	0.021	0.01	0.006	3.568	0.815	6.194	0.14	0	0	0.399	0.005	0.005	0.605	0.066	0.621	0.211	8.232	0.006	0.012	0.001	0.003	0.007	0.102	0.014	0.006	0.003	0.006	0.064	0.059	0.267	0.028	0.004	0	0.052	0.175	0.011	0.171	0.003	0	1.026
ASV_140	-0.848	9.76	0.0864244180564939	0.310760141522286	NotSig	0.063	0.08	0.037	0.051	0.071	0.004	0	0.003	0.003	0.044	0.008	0	0.009	0.011	0.02	0.009	0.002	0.674	0.016	0.025	0.102	0.104	0.048	0.024	0.015	0.009	0.011	0.008	0.052	0.555	0.037	0.123	0.043	0.285	0	0.014	0.017	0.004	0.016	0.006	0	0.058	0.022	0.002	0.002	0.073	0.098	0.009	0.073	0.002	0.012	0	0.01	0.021	0.061	0.073	0.035	0.055	0.522	0.024	0.052	0.042	0.051	0.005	0.059	0.048	1.188	0.035	0.037	0	0.058	0.017	0.011	0.004	0.031	0.009
ASV_15	0.923	13.801	0.0889498304267508	0.313177527960852	NotSig	1.021	0.693	0.177	0.205	0.082	1.317	0.182	1.608	0.95	2.084	4.191	2.835	3.297	1.034	1.538	2.346	2.194	0.082	0.075	0.167	0.068	0.059	0.026	0.057	0.018	0.169	0.034	0.892	0.012	0.159	0.012	0.163	0.222	0.051	0.061	0.054	0.255	0.293	0.029	0.45	12.381	0.154	0.239	0.189	2.247	1.4	0.576	6.24	0.986	0.232	1.976	3.585	1.396	0.014	0.019	0.078	0.027	0.07	0.077	0.04	0.071	0.044	0.621	0.716	0.064	0.232	0.04	0.023	0.125	0.056	0.032	0.051	0.033	0.491	0.031	2.09
ASV_116	-0.669	10.643	0.0942307413812222	0.322071624647122	NotSig	0.12	0.159	0.035	0.091	0.044	0.368	0.187	0.026	0.286	0.045	0.016	0.018	0.009	0.078	0.011	0.069	0.002	0.055	0.192	0.051	0.029	0.058	0.044	0.037	0.01	0.045	0.11	0.16	0.192	0.29	0.112	0.197	0.143	0.281	0.061	0.221	0.223	0.724	0.154	0.006	0	0.021	0.058	0.14	0.032	0.054	0.016	0.005	0.033	0.021	0.012	0.005	0.004	0.287	0.035	0.028	0.025	0.055	0.029	0.032	0.045	0.035	0.129	0.082	0.559	0.27	0.045	0.186	0.125	0.777	0.043	0.869	0.179	1.265	0.075	0.004
ASV_127	1.367	11.198	0.0952874629133497	0.322071624647122	NotSig	0.269	0.118	0.089	0.107	0.052	0.094	0.029	2.033	0.112	0.142	5.684	0.468	1.007	0.492	0.052	0	0.004	0.003	0	0.032	0	0.001	0	0.006	0.006	0	0	0.008	0.007	0	0.001	0.002	0	0.008	0.004	0.027	0.004	0.001	0	0.012	0.012	0.186	0.137	0.047	1.993	0.245	0.361	0.266	0.735	0.095	0.005	0	0.008	0	0.001	0.012	0	0	0.004	0.001	0.005	0	0.001	0	0	0	0.003	0	0	0.006	0.001	0.001	0.025	0	0.002	0
ASV_46	0.864	13.302	0.107523761989483	0.356304230906327	NotSig	0.804	0.457	4.593	2.623	0.433	0.081	0.077	0.411	0.029	1.346	0.032	0.039	0.015	0.019	0.276	0.062	0.02	0.322	0.282	0.196	0.12	0.172	0.102	0.112	0.126	0.1	0.159	0.254	0.951	0.22	0.122	0.072	0.078	0.164	0.03	0.143	0.277	0.133	0.146	16.887	0.143	0.257	0.357	0.034	0.189	0.396	0.048	0.007	0.071	0.006	0.182	0.018	0.027	0.193	0.213	1.069	0.127	0.109	0.458	0.136	0.133	0.119	0.182	0.117	0.363	1.399	0.178	0.17	0.014	0.029	0.021	0.613	1.072	0.979	0.225	6.482
ASV_20	0.822	13.301	0.118838905153817	0.386226441749904	NotSig	0.86	0.48	0.182	0.073	1.666	0.194	0.022	0	0.214	0.095	0.004	0.027	0.017	0.225	0.235	0.016	0.022	4.741	2.175	0.28	1.12	0.051	7.969	1.734	1.41	0.224	1.032	0.102	0.149	0.348	3.106	0.149	0.076	0.135	1.912	0.389	0.085	0.146	3.117	0.055	0.048	0.096	0.077	0.028	0	0.032	0.109	0.04	0.116	0.004	0.044	0.023	0.029	0.3	0.276	0.141	1.483	0.28	0.589	3.846	1.72	0.276	0.207	0.725	0.101	0.045	0.313	0.692	0.92	2.17	0.504	0.421	0.497	0.099	0.561	0.028
ASV_87	-0.819	12.394	0.125849786917301	0.396490935599958	NotSig	0.348	0.416	0.101	0.634	0.424	1.823	0.433	1.046	0.264	0.157	0.071	0.234	0.332	1.49	2.294	0.316	2.698	0.022	0.426	0.01	0.009	0.012	0.016	0.056	0.007	0.055	0.004	0.025	0.022	0.061	0.025	0.026	0.038	0.016	0.139	0.017	0.052	0.01	0.05	0.115	0.029	0.294	0.762	4.414	0.737	0.308	0.393	0.045	0.18	0.107	0.486	0.329	4.581	0.013	0.01	0.024	0.007	0.036	0.044	0.047	0.075	0.005	0.138	0.13	0.018	0.056	0	0.072	0.043	0.021	0.019	0.098	0.034	0.019	0.1	0.922
ASV_11	0.672	13.282	0.126689411375135	0.396490935599958	NotSig	1.013	0.585	0.25	3.783	0.884	1.587	2.391	4.812	0.845	0.502	6.455	1.537	0.736	1.354	3.293	1.755	2.21	0.141	0.651	0.072	0.089	0.291	0.111	0.077	0.071	0.437	0.07	0.195	0.035	0.293	0.013	0.255	1.589	0.068	0.061	0.356	0.113	0.28	0.064	0.436	1.352	0.422	1.033	0.423	4.006	0.638	2.477	0.642	0.939	0.218	1.195	1.22	1.39	0.061	0.063	0.049	0.049	0.461	0.63	0.107	0.053	0.082	1.341	0.865	0.095	0.05	0.023	0.015	0.069	0.059	0.291	0.073	0.067	0.135	0.041	1.201
ASV_176	0.83	9.525	0.133371393327606	0.409813917679371	NotSig	0.057	0.034	0	0	0.002	0.046	0.002	0.027	0	0.008	0.018	0.296	0.044	0.002	0.105	0.134	0.101	0.025	0.001	0.006	0	0.035	0.012	0.001	0.021	0.014	0.522	0.008	0.1	0.235	0.004	0.107	0.016	0.047	0.023	0.003	0.002	0.006	0.006	0.125	0.133	0	0	0.007	0.089	0	0.005	0.118	0.028	0	0.147	0.172	0.065	0.006	0.004	0.01	0	0.004	0.006	0.058	0.008	0.005	0.045	0.008	0.043	0.111	0.033	0.007	0.016	0.068	0.001	0.004	0.013	0.001	0.08	0.035
ASV_35	0.677	11.585	0.142818120773956	0.431004685907117	NotSig	0.452	0.192	0.231	0.397	0.148	0.611	0.278	0.072	0.572	0.425	0.115	0.371	0.102	0.144	0.036	0.065	0.187	0.03	0.003	0.037	0.029	0.061	0	0.016	0.056	0.069	0.115	5.029	0.03	2.825	0.058	1.925	0.213	2.003	0.022	0.02	0.025	1.231	0.043	0.033	0.018	0.715	0.171	0.498	0.17	1.607	0.058	0.684	0.175	0.029	0.103	0.162	0.227	0.003	0.015	0.064	0.004	0.037	0.012	0.008	0.072	0.005	0.149	0.074	0.066	0.037	0.013	0.016	0.063	0.053	0.003	0.018	0.19	1.021	0.127	0.063
ASV_158	1.264	11.48	0.148591361429272	0.440560352307841	NotSig	0.349	0.122	0	0	0	0.094	1.257	0	0.04	0	0.375	10.441	0.215	0.348	0.004	0	0	0	0.003	0	0	0	0.007	0.021	0.422	0.003	0	0.029	0.002	0.104	0.091	0.012	0.004	0.016	0.033	0.006	0.012	0.003	0	0.031	0.018	0	0.002	0.144	0	0	0.199	2.609	0.44	0.177	0.064	0.319	0	0	0	0.004	0	0	0.005	0.006	0.048	0.021	0	0.001	0	0.011	0	0.064	0.004	0.071	0.001	0.014	0.002	0	0.005	0.062
ASV_55	-0.601	12.213	0.158847337603215	0.462848276809366	NotSig	0.293	0.455	0.343	0.023	0.024	0.034	0.022	0.262	0.04	0.032	0.257	2.364	0.143	0.102	0.085	0.367	0.106	0.199	0.143	1.008	0.171	0.163	0.067	0.121	0.158	1.511	0.843	0.244	0.042	0.098	0.134	0.221	0.112	0.049	0.014	0.091	0.166	0.525	0.514	0.039	0.593	0.059	0.017	0.037	0.145	0.021	0.104	1.314	0.165	0.076	0.214	0.484	0.024	0.167	0.57	3.161	0.124	0.062	0.627	0.081	0.16	0.902	0.978	0.276	0.176	0.042	0.125	0.258	0.429	0.105	0.034	0.111	0.085	0.196	4.55	0.036
ASV_1	-0.537	17.019	0.170715811480287	0.465167857309764	NotSig	8.899	9.542	5.398	1.445	3.533	3.433	9.738	9.472	3.86	24.005	7.176	1.535	9.108	2.813	2.383	6.424	0.605	8.341	35.115	4.912	16.357	10.502	24.428	12.358	20.43	5.382	6.593	13.547	4.582	3.015	2.059	8.854	12.753	13.729	8.899	2.473	1.369	20.715	18.259	1.294	0.174	1.007	2.227	0.344	1.846	1.993	9.853	7.878	6.047	1.297	0.314	2.525	0.343	18.594	7.879	3.953	56.083	30.762	6.341	38.706	22.622	2.657	21.963	18.15	4.248	1.944	4.912	4.246	14.653	13.054	4.293	5.858	5.326	9.668	2.109	0.286
ASV_881	-0.779	11.888	0.175579323398216	0.465167857309764	NotSig	0.224	0.355	0.009	0.008	0.039	0.013	0.046	0	0.078	0.011	0.014	0.002	0	0	0.004	0.007	0.002	0.485	0.065	2.017	0.111	0.088	0.079	0.115	0.025	0.034	1.341	0.063	0.356	0.83	0.042	0.151	0.17	0.213	0.046	1.104	0.08	0.436	0.612	0.014	0.006	0.038	0.002	0.004	0.002	0.018	0.013	0.012	0.002	0.006	0.002	0.008	0	0.083	0.726	0.378	0.059	0.036	0.293	0.049	0.045	0.056	0.695	0.035	0.164	0.103	0.777	0.063	0.171	0.077	5.206	0.085	0.309	0.513	2.382	0.003
ASV_82	-0.741	10.761	0.176803019740084	0.465167857309764	NotSig	0.111	0.177	0.131	0.043	0.148	0.016	0.102	0	0.009	0.018	0	0.002	0	0.013	0.002	0.002	0	0.163	0.098	0.026	0.026	0.017	0.582	0.04	0.057	0.085	0.064	0.714	0.035	0.07	0.397	0.2	0.269	0.242	0.027	0.033	0.166	0.412	0.107	0	0.003	0.133	0.115	0.026	0	0.042	0	0.002	0	0.043	0.002	0	0	0.013	0.055	0.045	0.255	0.145	0.455	0.125	0.084	0.026	0.077	1.703	0.056	0.021	0.018	0.186	0.075	0.059	0.313	2.045	0.02	0.053	0.014	0
ASV_111	-0.741	11.144	0.177688297608401	0.465167857309764	NotSig	0.132	0.232	0.009	0.081	0.01	0.139	0.793	0.026	0.052	0.003	0.01	0.091	0.003	0.006	0.027	0.051	0	0.515	0.059	0.165	0.304	0.171	0.169	0.256	0.74	0.215	0.548	0.388	0.007	0.082	0.001	0.021	0	0.041	0.001	0.009	0.009	0.096	0.007	0.023	0.005	0.017	0.269	0.095	0.055	0	0.183	0.016	0.014	0.002	0.022	0.021	0.006	0.088	0.112	0.261	0.085	0.04	4.932	0.802	0.219	0.516	0.081	0.06	0.118	0.008	0	0.012	0.004	0.006	0.017	0.013	0.013	0.016	0.014	0.007
ASV_8	-0.667	13.903	0.181989832807184	0.465167857309764	NotSig	1.113	1.301	0.87	7.931	4.566	6.458	1.174	0.325	5.717	0.537	0.172	1.778	0.268	1.443	0.547	0.614	3.482	0.272	0.874	0.122	0.04	0.297	0.12	0.312	0.031	1.208	0.089	0.2	0.015	0.15	0.036	1.596	0.531	0.064	0.292	0.131	0.64	0.141	0.054	0.307	0.02	4.078	11.987	15.394	0.172	1.584	0.077	0.167	0.452	0.136	0.292	0.543	5.624	0.066	0.096	0.209	0.089	0.814	0.225	0.582	0.619	0.113	0.162	0.28	0.128	0.027	0.015	0.048	0.106	0.152	0.04	0.218	0.138	0.25	0.597	0.042
ASV_29	-0.568	12.753	0.184199220213591	0.465167857309764	NotSig	0.463	0.571	0.073	0.166	2.181	1.032	0.504	0.423	1.181	0.091	0.144	0.466	0.119	2.796	0.186	0.208	0.341	0.258	0.123	0.085	0.18	2.863	0.044	0.149	0.049	0.158	0.11	0.371	0.144	0.177	0.231	0.265	1.288	0.117	0.307	0.275	0.168	0.245	0.066	0.137	0.334	0.87	0.222	2.645	0.09	0.434	0.308	1.655	0.577	5.85	1.163	0.216	0.425	0.009	0.019	0.077	0.001	0.213	0.072	0.028	0.07	0.033	0.694	1.099	0.101	0.079	0.065	0.564	0.251	0.288	0.173	0.353	0.832	0.391	0.052	0.069
ASV_81	-0.722	12.095	0.188063265815926	0.465167857309764	NotSig	0.277	0.341	0.047	0.26	0.062	0.891	0.134	0.966	0.19	0.389	0.603	0.832	0.684	0.464	1.137	0.714	2.298	0.055	0.034	0.041	0.013	0.035	0.01	0.021	0.003	0.045	0.003	0.027	0.015	0.076	0.009	0.109	0.067	0.15	0.072	0.024	0.023	0.043	0	0.2	0.057	0.04	0.068	0.771	1.704	0.291	0.183	0.411	0.478	0.045	0.461	0.649	1.933	0.006	0.014	0.035	0.015	0.037	0.011	0.014	0.034	0.008	0.019	0.126	0.024	0.473	0.013	0.007	0.024	0.034	0	0.021	0	0.042	0.003	3.935
ASV_24	1.361	13.216	0.189716657335675	0.465167857309764	NotSig	0.83	0.409	0	0	0.002	0	0	0	0.002	0	0.002	0	0.009	0.002	0.002	0	0	0.018	0.001	0.201	0.017	0	0.163	6.757	2.577	0.013	0.001	0.081	0	1.037	0	0.425	0.168	0.587	19.505	0.262	0.223	0.297	0	0	0	0.003	0	0	0	0	0	0	0.002	0	0.015	0	0	0.063	0	0.061	0.001	0	0.524	0.174	1.054	0.156	0.018	0	0.003	0.005	0	0	0.335	11.308	0.193	0.312	0.008	0.077	0.002	0
ASV_136	0.791	9.578	0.192635055076288	0.465167857309764	NotSig	0.072	0.042	0	0	0	0.001	0	0.002	0	0.041	0.097	0.02	0.009	0.223	0.02	0.048	0	0.997	0.018	0.021	0.049	0.001	0.003	0.035	0.007	0.013	0.008	0.01	0.224	0.034	0.076	0.002	0	0.021	0.071	0.006	0.085	0	0.026	0.606	0.018	0	0	0	0.002	0.022	0.199	0.038	0.014	0.006	0	0	0.01	0.017	0.012	0.012	0.005	0	0.022	0	0.044	0.009	0.111	0.006	0.14	0.092	0.01	0.091	0.004	0.108	0.012	0.464	0.007	0.001	0.006	0.016
ASV_70	-0.766	11.815	0.19454020755777	0.465167857309764	NotSig	0.291	0.363	0.035	0.051	0.034	0.003	0.003	0.058	0.076	0.041	0.024	0	0.029	0.006	0	0.009	0.009	0.022	0.021	0.663	0.027	0.09	0.032	0.184	0.085	0.014	0.023	6.894	0.062	0.143	0.217	0.105	0.267	0.107	0.107	0.77	0.441	0.652	0.043	0.003	0	0.066	0.091	0.002	0.332	0.039	0	0.007	0.002	0.021	0.005	0.003	0.006	0.023	0.026	2.698	0.049	0.029	0.045	0.085	0.105	0.005	0.014	0.156	0.155	0.056	0.033	4.469	0.041	0.056	0.029	0.033	0.034	3.932	0.058	0.001
ASV_407	0.815	7.985	0.194940779756785	0.465167857309764	NotSig	0.023	0.011	0	0	0	0.003	0.005	0	0	0	0	0	0	0	0	0	0.002	0.001	0.071	0.003	0	0.001	0.006	0.003	0.018	0.001	0.009	0.052	0	0.009	0.063	0.002	0	0.027	0.008	0.007	0.36	0.004	0.206	0.016	0.002	0.004	0.002	0.039	0	0.001	0	0	0	0	0.017	0.003	0.008	0.006	0.009	0.007	0.005	0.007	0.001	0.003	0.008	0	0.005	0.009	0.008	0.003	0.003	0.033	0	0.01	0	0.095	0.005	0.007	0.044	0.039
ASV_115	0.738	11.892	0.196883780879491	0.465167857309764	NotSig	0.299	0.2	0.023	0.014	0.02	0.009	0.008	0.089	0.105	0.023	0.012	0.02	0.093	0.023	0.011	0	0.002	0.056	0.432	0.148	0.077	0.152	0.061	0.147	1.094	0.018	0.065	0.074	0.249	0.305	7.483	0.042	0.022	0.035	0.005	0.01	0.075	0.11	0.525	0.008	0.002	0.024	0.047	0.015	0.077	0.012	0.008	0.019	0.546	0.014	0.027	0	0.002	0.063	0.111	0.817	0.153	0.064	0.197	0.12	0.196	0.04	0.42	0.074	0.033	0.24	0.073	1.967	0.022	0.084	0	0.188	0.038	0.027	1.255	0.023
ASV_52	0.532	11.102	0.197407816776385	0.465167857309764	NotSig	0.197	0.136	0.339	0.036	0.079	0.066	0.019	0.985	0.055	0.295	0.773	0.377	0.087	0.076	0.182	0.217	0.394	0.003	0.006	0.042	0.024	0.051	0.029	0.06	0.021	0.072	0.169	0.395	0.087	0.259	0.019	0.2	0.092	0.527	0.06	0.009	0.038	0.302	0.383	0.195	0.658	0.067	0.028	0.011	0.155	0.166	0.048	0.233	0.099	0.041	0.177	1.117	0.222	0.013	0.014	0.071	0.007	0.008	0.019	0.067	0.045	0.014	0.096	0.11	0.025	0.085	0.055	0.011	0.006	0.121	0.095	0.05	0.046	0.816	0.555	0.065
ASV_143	-0.694	11.306	0.19817802204913	0.465167857309764	NotSig	0.151	0.216	0.143	0.081	0.012	0.048	0.44	0.01	0.24	0.094	0.01	0.009	0.003	0.006	0.054	0.014	0	0.153	0.03	0.508	0.027	0.02	0.102	0.097	0.024	0.012	0.009	0.024	0.665	0.314	0.019	0.072	0.011	0.189	0.022	2.209	0.031	0.028	0.117	0.034	0.006	0.032	0.071	0.049	0	0.022	0.151	0.009	0.002	0.006	0.005	0	0.002	0.039	1.22	0.137	0.016	0.008	0.412	0.115	0.021	0.036	0.013	0.006	0.108	0.14	0.048	0.328	0.314	0.024	2.559	0.014	0.968	0.026	0.652	0.007
ASV_144	0.737	9.971	0.203911180952889	0.472068350425181	NotSig	0.08	0.054	0.026	0.019	0.114	0	0.029	0.012	0.012	0.018	0.014	0.007	0.003	0.006	0	0	0	0.061	0.163	0.316	0.139	0.34	0.117	0.19	0.055	0.067	0.817	0.167	0.002	0.006	0	0.042	0.031	0.006	0.012	0.1	0	0.184	0.027	0	0.003	0.024	0.025	0.002	0.04	0.012	0	0.002	0.045	0	0	0.003	0	0.105	0.123	0.017	0.041	0.069	0.066	0.113	0.027	0.022	0.652	0.091	0.045	0	0.013	0.001	0.253	0.003	0.047	0.006	0.021	0.023	0.013	0
ASV_169	-0.632	10.142	0.211858849702283	0.478743938438508	NotSig	0.069	0.093	0.03	0.012	0.03	0.095	0.069	0	0.05	0.041	0.01	0.023	0.268	0.023	0.009	0	0	0.022	0.731	0.056	0.004	0.014	0.066	0.141	0.042	0.08	0.005	0.071	0.027	0.061	0.01	0.019	0.013	0.055	0.071	0.338	0.143	0.036	0.024	0.002	0	0.021	0.006	0.015	0	0.007	0.369	0.028	0.17	0.041	0.007	0	0.002	1.26	0.045	0.15	0.02	0.044	0.1	0.011	0.021	0.079	0	0.056	0.018	0.077	0.003	0.027	0.01	0.031	0.026	0.053	0.346	0.177	0.008	0.013
ASV_122	0.68	10.029	0.212460327709397	0.478743938438508	NotSig	0.128	0.058	0.257	0.11	0.02	0.066	0	0.937	0	0.033	0.225	0.45	0.393	0.04	0.07	0.028	0.121	0.003	0.009	0.006	0.005	0.048	0.007	0.01	0.003	0.025	0.001	0.001	0.04	0	0	0.202	0.114	1.685	0.004	0.006	0.018	0.001	0.001	0.044	0.015	0.012	0.003	0	0.247	0.033	0.032	0.59	0.336	0.027	0.157	0.152	0.02	0.001	0.011	0.017	0.004	0.019	0.009	0.067	0	0.046	0.005	0.019	0.016	0.021	0.008	0.003	0.008	0.022	0.107	0.023	0.002	0.003	0.005	0.016
ASV_33	-0.575	12.802	0.217373423681853	0.483369850029383	NotSig	0.431	0.676	0.322	0.102	0.392	0.103	0.154	0.034	0.01	0.411	0.14	0.161	1.208	0.227	0.043	0.009	0.033	0.183	0.123	0.313	0.109	0.227	0.271	4.362	2.272	0.198	0.158	0.331	0.072	0.223	0.273	0.142	0.141	0.3	2.134	0.704	0.365	0.159	0.407	0.005	0	0.216	0.129	0.071	0.023	0.14	0.491	0.155	2.374	0.604	0.042	0.018	0.008	0.186	0.324	7.309	0.36	0.094	3.319	0.391	0.524	0.321	0.048	0.071	0.083	0.338	0.063	0.222	0.076	2.928	0.815	0.195	0.929	0.278	0.471	0.042
ASV_103	-0.536	10.968	0.22506234070347	0.493967994530993	NotSig	0.17	0.159	0.026	0.169	0.091	1.349	1.099	0.038	0.117	0.02	0.047	0.082	0.076	0.695	0.803	0.169	0.121	0.45	0.024	0.006	0.015	0.022	0.004	0.013	0.008	0.052	0.007	0.15	0.032	0.162	0.046	0.179	0.076	0.191	0.022	0.009	0.027	0.032	0.011	0.196	0.014	0.09	0.223	0.621	0.055	0.054	0.818	0.136	0.225	0.625	0.525	0.134	0.202	0.008	0.014	0.011	0.004	0.135	0.012	0.167	0.025	0.009	0.036	0.031	0.006	0.185	0.008	0.122	0.047	0.007	0.022	0.007	0.128	0.041	0.038	0.789
ASV_57	0.798	9.888	0.236332865008609	0.510386903137156	NotSig	0.097	0.048	0.051	0.006	0.029	0	0	0.005	0	0.138	0	0	0	0	0.002	0	0	0.024	0.325	1.712	0.001	0	0.01	0.068	0.011	0.001	0.001	0	0.025	0.015	0.016	0.019	0	0.035	0.037	0.031	1.028	0.007	0.003	0.089	0.096	0.092	0.016	0	0	0.323	0	0.002	0.002	0.006	0	0.031	0.002	0.043	0.065	0.016	0.016	0.007	0.011	0.011	0.228	0	0.001	0.03	0.004	0.003	0.05	0.166	0.006	0.102	0.011	0.209	0.131	0	0.002	0.1
ASV_39	-0.491	11.324	0.238583226910268	0.510386903137156	NotSig	0.194	0.22	0.056	0.101	0.049	0.771	1.171	0.142	0.659	0.064	0.059	0.816	0.084	0.375	0.031	0.055	0.007	0.015	0.126	0.092	0.027	0.049	0.028	0.068	0.063	0.054	0.013	0.244	0.645	0.101	0.061	0.151	0.103	0.06	0.019	0.009	0.111	0.461	0.261	0.023	0.358	0.096	0.168	0.286	0.145	0.158	0.098	0.235	0.27	0.966	0.179	0.085	0.029	0.021	0.098	0.029	0.015	0.033	0.065	0.029	0.04	0.027	0.014	0.045	0.033	1.764	0.04	0.073	0.057	0.143	0.011	0.034	0.061	0.442	1.901	0.019
ASV_159	-0.497	10.305	0.248728281174996	0.515601544685623	NotSig	0.087	0.104	0.217	0.054	0.049	0.09	0.397	0.06	0.272	0.136	0.271	0.189	0.096	0.025	0.108	0.282	0.125	0.027	0.096	0.032	0.08	0.03	0.051	0.019	0.004	0.013	0.017	0.014	0.007	0.11	0.004	0.156	0.067	0.068	0.008	0.017	0.021	0.028	0.009	0.009	0.137	0.012	0.057	0.032	0.025	0.064	0.247	0.677	0.059	0.103	0.059	1.385	0.043	0.017	0.011	0.006	0.008	0.051	0.04	0.033	0.032	0.005	0.024	0.112	0	0.003	0.218	0.008	0.039	0.052	0.096	0.028	0.005	0.077	0.009	0.011
ASV_99	0.528	9.87	0.250305744254496	0.515601544685623	NotSig	0.101	0.057	0.117	0.218	0.069	0.054	0.016	0	0.16	0.142	0.111	0.009	0.006	0.004	0.096	0.055	0.029	0.021	0.003	0.026	0.04	0.043	0.009	0.138	0.408	0.042	0.053	1.167	0.01	0.207	0.012	0.441	0.022	0.045	0.007	0.004	0.001	0.035	0.12	0.005	0.003	0.15	0.102	0.041	0	0.184	0.008	0.002	0	0	0.115	0.028	0.02	0.005	0.015	0.089	0.001	0.008	0.011	0.017	0.043	0.021	0.156	0.016	0.016	0.201	0.005	0.019	0.112	0.261	0.01	0.02	0.046	0.245	0.025	0.007
