ID	sulfur_respiration	respiration_of_sulfur_compounds	knallgas_bacteria	dark_hydrogen_oxidation	fermentation	aerobic_chemoheterotrophy	human_pathogens_all	human_gut	human_associated	mammal_gut	animal_parasites_or_symbionts	aromatic_compound_degradation	nitrate_respiration	nitrate_reduction	nitrogen_respiration	fumarate_respiration	chemoheterotrophy
IE07P062	0	0	0	0	3.73343802709106	3.40568778667278	0	0	0	0	3.73782850589578	0	0	3.48187241031066	0	0	3.77757180469141
IE07P069	0	0	0	0	3.73957234445009	3.25743856685981	0	0	0	0	3.57263929704281	0	0	3.2291697025391	0	0	3.79567150594602
IE07P070	0	0	0	0	3.8980117387975	3.71883371830386	0	0	0	0	3.76989403581217	1.04139268515822	0	3.70156798505593	0	0	3.92163446105371
IG00P013	0.778151250383644	0.954242509439325	0	0	3.69827457667437	2.71933128698373	0	1.27875360095283	1.27875360095283	1.27875360095283	3.457730548246	0	0	2.59988307207369	0	0	3.71891668601486
IG00P020	0	0	0	0	3.5358002908249	2.71011736511182	0	0	0	0	3.64008373137312	0.903089986991944	0	2.73158876518674	0	0	3.54961623951909
IG00P052	0	0	0	0.301029995663981	3.86075712308154	3.44529276942597	0	0	0	0	3.43536650661266	0	0.301029995663981	3.24723654950676	0.301029995663981	0.301029995663981	3.92319219042067
IG00P053	0	0	0	0	3.53706314278162	3.21510858105309	0	0	0	0	3.70500795933334	0	0	3.17638069224327	0	0	3.63968566124268
IG00P062	0	0	0	0	3.69187682255933	3.74989084127142	0	0	0	0	3.3003780648707	0	0	3.21801004298436	0	0	3.95751151145448
IG00P069	0	0	0	0	3.73854274092879	3.71003269906575	0	0.301029995663981	0.301029995663981	0.301029995663981	3.53895056201436	0.301029995663981	0	3.43104194533589	0	0	3.91323087111356
IG00P070	0.301029995663981	0.301029995663981	0	0	3.73271534034999	3.08919836680515	0	0	0	0	3.50174372962799	0	0	3.09725730969342	0	0	3.77691900284205
IS00P013	0	0.301029995663981	0	0	3.94091473758029	3.50933695801764	0	0	0	0	3.55654370848351	0	0	3.52139962811538	0	0	3.95153179054235
IS00P020	0	0	0	0	3.84849701809037	3.60530504614111	0	1.04139268515822	1.04139268515822	1.04139268515822	3.58916739054605	1.20411998265592	0	3.49720618070395	0	0	3.9070887450743
