group	variable	value
HS07P051	methanol_oxidation	0
HS07P055	methanol_oxidation	0
HS07P056	methanol_oxidation	0
HS07P057	methanol_oxidation	0
HS07P058	methanol_oxidation	0
HS07P059	methanol_oxidation	0
HS07P061	methanol_oxidation	0
HS07P063	methanol_oxidation	0
HS07P064	methanol_oxidation	0
HS07P066	methanol_oxidation	0
HS07P068	methanol_oxidation	0
HS07P071	methanol_oxidation	0
HS07P072	methanol_oxidation	0
HS07P073	methanol_oxidation	0
HS07P074	methanol_oxidation	0
HS07P075	methanol_oxidation	0
HS07P077	methanol_oxidation	0
HS10P003	methanol_oxidation	0
IE03P013	methanol_oxidation	0
IE03P020	methanol_oxidation	0
IE03P027	methanol_oxidation	0
IE03P052	methanol_oxidation	0
IE03P053	methanol_oxidation	0
IE03P062	methanol_oxidation	0
IE03P069	methanol_oxidation	0
IE03P070	methanol_oxidation	0
IE07P013	methanol_oxidation	0
IE07P020	methanol_oxidation	0
IE07P027	methanol_oxidation	0
IE07P052	methanol_oxidation	0
IE07P053	methanol_oxidation	0
IE07P062	methanol_oxidation	0
IE07P069	methanol_oxidation	0
IE07P070	methanol_oxidation	0
IG00P013	methanol_oxidation	0
IG00P020	methanol_oxidation	0
IG00P052	methanol_oxidation	0
IG00P053	methanol_oxidation	0
IG00P062	methanol_oxidation	0
IG00P069	methanol_oxidation	0
IG00P070	methanol_oxidation	0
IS00P013	methanol_oxidation	0
IS00P020	methanol_oxidation	0
IS00P027	methanol_oxidation	0
IS00P033	methanol_oxidation	0
IS00P038	methanol_oxidation	0
IS00P039	methanol_oxidation	0
IS00P043	methanol_oxidation	0
IS00P052	methanol_oxidation	0
IS00P053	methanol_oxidation	0
IS00P062	methanol_oxidation	0
IS00P069	methanol_oxidation	0
IS00P070	methanol_oxidation	0
IS00P081	methanol_oxidation	0
IS00P083	methanol_oxidation	0
IS03P020	methanol_oxidation	0
IS03P027	methanol_oxidation	0
IS03P033	methanol_oxidation	0
IS03P038	methanol_oxidation	0
IS03P039	methanol_oxidation	0
IS03P043	methanol_oxidation	0
IS03P052	methanol_oxidation	0
IS03P053	methanol_oxidation	0
IS03P062	methanol_oxidation	0
IS03P069	methanol_oxidation	0
IS03P070	methanol_oxidation	0
IS03P081	methanol_oxidation	0
IS03P082	methanol_oxidation	0
IS03P083	methanol_oxidation	0
IS07P013	methanol_oxidation	1
IS07P020	methanol_oxidation	0
IS07P027	methanol_oxidation	0
IS07P033	methanol_oxidation	0
IS07P038	methanol_oxidation	0
IS07P039	methanol_oxidation	0
IS07P043	methanol_oxidation	0
