E	S	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Raoultella	0.000670028231802013	0.000286930402996355	0.000419358939065495	0.351683222973526
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes	0.00201354021856932	-0.000671331307399235	0.000388804105713348	0.579386283032677
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	0.00144241378304413	-0.000400600112318003	0.000386438821874226	1.10235725301341
Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae|Schwartzia	-6.94372997102802e-06	0.0007111580931223	0.00038481694165729	0.576514020994453
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Lancefieldella	8.62723325480656e-05	0.000650195389406408	0.000382313025473308	0.928455858236557
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII|Aminipila	-0.000125617451572784	0.000795484491328791	0.000371813769389694	0.481465341589928
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Abiotrophia	0.000310355862670116	0.000410699419178026	0.000355534926073312	0.725063299576352
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Unassigned	0.000726039435033451	7.2945915736629e-05	0.000337441227139009	0.422163397001804
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	-7.94258350535325e-05	0.000595286006631754	0.000289219905041361	0.388711416066059
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter	-0.000818804230721141	0.00108681722759665	0.000280251638791218	0.566631487831988
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	-0.000219906906334428	0.00065819885321722	0.000280066693714073	1.03662979381156
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Lampropedia	0.000230299808115735	0.000389761887780707	0.000276892685201869	0.476859372279306
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Unassigned	-0.000256575719602007	0.00067943881834676	0.000276579469595241	0.459200056548004
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Catonella	0.000131283439214854	0.000344958684359323	0.000258840949298951	1.16076196342402
Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales|Methylophilaceae|Methylophilus	0.000364083365141476	0.000140593774972572	0.000216761610925033	0.406036641535234
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinobaculum	4.81463793426643e-05	0.000283065902769095	0.000159296404659482	0.617164307330046
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces	-2.2145589560521e-06	0.00027119867075389	0.000143424419840959	0.992537444697139
Bacteria|Bacteroidetes|Saprospiria|Saprospirales|Saprospiraceae|Phaeodactylibacter	8.12191026522266e-05	0.00018594764646279	0.00011942373207691	0.439131946796663
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	0.000504061045878936	-0.000208492018631759	4.98406344773802e-05	0.447753778677243
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiliaceae|Saccharicrinis	-8.27594187785362e-05	0.000168939950791681	4.42929763848746e-05	0.424373057310777
Bacteria|SR1|Unassigned|Unassigned|Unassigned|SR1_genera_incertae_sedis	-8.55698114900345e-05	0.000173048239739599	3.55393640781942e-05	0.891582290350167
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Megasphaera	-0.00010561461582313	-0.000106435315134229	-0.000136529074389444	0.537840163041815
