"source","target","correlation","direct","cor"
"ASV_151","ASV_48",-0.885714285714286,"undirected","-"
"ASV_157","ASV_48",0.942857142857143,"undirected","+"
"ASV_184","ASV_48",0.811679449913428,"undirected","+"
"ASV_93","ASV_48",0.885714285714286,"undirected","+"
"ASV_224","ASV_48",-0.942857142857143,"undirected","-"
"ASV_282","ASV_48",0.942857142857143,"undirected","+"
"ASV_179","ASV_48",0.942857142857143,"undirected","+"
"ASV_48","ASV_96",1,"undirected","+"
"ASV_43","ASV_96",-0.942857142857143,"undirected","-"
"ASV_87","ASV_96",0.885714285714286,"undirected","+"
"ASV_55","ASV_96",0.885714285714286,"undirected","+"
"ASV_81","ASV_96",0.828571428571429,"undirected","+"
"ASV_76","ASV_96",1,"undirected","+"
"ASV_66","ASV_96",-0.942857142857143,"undirected","-"
"ASV_90","ASV_96",0.84066800169605,"undirected","+"
"ASV_101","ASV_96",-0.942857142857143,"undirected","-"
"ASV_129","ASV_96",0.942857142857143,"undirected","+"
"ASV_89","ASV_96",-0.828571428571429,"undirected","-"
"ASV_86","ASV_96",-0.942857142857143,"undirected","-"
"ASV_151","ASV_96",-0.885714285714286,"undirected","-"
"ASV_157","ASV_96",0.942857142857143,"undirected","+"
"ASV_184","ASV_96",0.811679449913428,"undirected","+"
"ASV_93","ASV_96",0.885714285714286,"undirected","+"
"ASV_224","ASV_96",-0.942857142857143,"undirected","-"
"ASV_282","ASV_96",0.942857142857143,"undirected","+"
"ASV_179","ASV_96",0.942857142857143,"undirected","+"
"ASV_48","ASV_76",1,"undirected","+"
"ASV_96","ASV_76",1,"undirected","+"
"ASV_66","ASV_76",-0.942857142857143,"undirected","-"
"ASV_90","ASV_76",0.84066800169605,"undirected","+"
"ASV_101","ASV_76",-0.942857142857143,"undirected","-"
"ASV_129","ASV_76",0.942857142857143,"undirected","+"
"ASV_89","ASV_76",-0.828571428571429,"undirected","-"
"ASV_86","ASV_76",-0.942857142857143,"undirected","-"
"ASV_151","ASV_76",-0.885714285714286,"undirected","-"
"ASV_157","ASV_76",0.942857142857143,"undirected","+"
"ASV_184","ASV_76",0.811679449913428,"undirected","+"
"ASV_93","ASV_76",0.885714285714286,"undirected","+"
"ASV_224","ASV_76",-0.942857142857143,"undirected","-"
"ASV_282","ASV_76",0.942857142857143,"undirected","+"
"ASV_179","ASV_76",0.942857142857143,"undirected","+"
"ASV_144","ASV_142",-0.828571428571429,"undirected","-"
"ASV_165","ASV_142",0.828571428571429,"undirected","+"
"ASV_128","ASV_142",0.811679449913428,"undirected","+"
"ASV_224","ASV_142",0.885714285714286,"undirected","+"
"ASV_179","ASV_142",-0.828571428571429,"undirected","-"
"ASV_312","ASV_142",-0.985610760609162,"undirected","-"
"ASV_10","ASV_3",0.942857142857143,"undirected","+"
"ASV_7","ASV_3",0.942857142857143,"undirected","+"
"ASV_14","ASV_3",0.885714285714286,"undirected","+"
"ASV_29","ASV_3",0.828571428571429,"undirected","+"
"ASV_39","ASV_3",0.942857142857143,"undirected","+"
"ASV_44","ASV_3",0.885714285714286,"undirected","+"
"ASV_21","ASV_3",-0.828571428571429,"undirected","-"
"ASV_56","ASV_3",1,"undirected","+"
"ASV_32","ASV_3",-0.942857142857143,"undirected","-"
"ASV_62","ASV_3",0.942857142857143,"undirected","+"
"ASV_60","ASV_3",1,"undirected","+"
"ASV_48","ASV_3",0.828571428571429,"undirected","+"
"ASV_96","ASV_3",0.828571428571429,"undirected","+"
"ASV_105","ASV_3",0.942857142857143,"undirected","+"
"ASV_87","ASV_3",0.885714285714286,"undirected","+"
"ASV_55","ASV_3",0.885714285714286,"undirected","+"
"ASV_114","ASV_3",0.828571428571429,"undirected","+"
"ASV_81","ASV_3",0.828571428571429,"undirected","+"
