Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
DS03P037	0.116	0.00839	503.0	0.963	0.713	41.9	83.9	10000.0	500.0	0.313	0.0367	4.43	6.39	1.92
DS03P049	0.111	0.00557	436.7	0.954	0.662	29.8	55.7	10000.0	434.0	0.343	0.0463	4.02	5.80	1.75
DS03P054	0.265	0.00436	366.5	0.913	0.640	18.9	43.6	10000.0	364.0	0.321	0.0872	3.77	5.45	1.64
DS03P060	0.145	0.004	298.3	0.936	0.649	21.5	40.0	10000.0	295.0	0.253	0.0645	3.69	5.32	1.60
DS03P065	0.197	0.00254	254.3	0.908	0.585	14.3	25.4	10000.0	251.0	0.317	0.0917	3.23	4.67	1.40
DS03P076	0.234	0.00277	349.0	0.909	0.569	15.1	27.7	10000.0	342.0	0.446	0.091	3.32	4.79	1.44
DS03P237	0.409	0.00146	304.3	0.803	0.469	7.08	14.6	10000.0	302.0	0.380	0.197	2.68	3.87	1.16
DS03P239	0.107	0.00616	375.7	0.964	0.696	37.3	61.6	10000.0	374.0	0.304	0.0362	4.12	5.95	1.79
DS03P245	0.202	0.00514	382.2	0.936	0.663	24.2	51.4	10000.0	380.0	0.273	0.0644	3.94	5.68	1.71
DS03P272	0.089	0.00933	421.5	0.975	0.751	56.1	93.3	10000.0	420.0	0.257	0.0252	4.54	6.54	1.97
DS03P279	0.138	0.0077	424.0	0.961	0.718	39.4	77.0	10000.0	422.0	0.260	0.039	4.34	6.27	1.89
DS03P288	0.0567	0.00954	421.0	0.978	0.755	60.1	95.4	10000.0	420.0	0.233	0.022	4.56	6.58	1.98
DS03P295	0.197	0.00272	149.6	0.927	0.668	17.8	27.2	10000.0	140.0	0.248	0.0734	3.30	4.76	1.43
DS03P298	0.0608	0.0102	324.2	0.982	0.800	70.9	101.8	10000.0	323.0	0.160	0.0181	4.62	6.67	2.01
DS03P312	0.0701	0.0118	354.6	0.984	0.814	81.8	117.5	10000.0	349.0	0.220	0.0163	4.77	6.88	2.07
DS03P313	0.0525	0.011	374.4	0.983	0.794	75.4	110.0	10000.0	373.0	0.206	0.017	4.70	6.78	2.04
DS04P138	0.169	0.00472	286.8	0.948	0.682	27.5	47.2	10000.0	285.0	0.269	0.0516	3.85	5.56	1.67
DS04P194	0.118	0.00473	256.9	0.956	0.696	29.8	47.3	10000.0	255.0	0.211	0.0436	3.86	5.56	1.67
DS04P86	0.113	0.00881	320.9	0.974	0.777	55.5	88.1	10000.0	319.0	0.203	0.0259	4.48	6.46	1.94
DS05P114	0.187	0.00283	248.8	0.909	0.607	15.1	28.3	10000.0	247.0	0.242	0.0913	3.34	4.82	1.45
DS05P196	0.102	0.00656	334.4	0.965	0.721	39.4	65.6	10000.0	332.0	0.237	0.0348	4.18	6.04	1.82
DS06P140	0.218	0.00255	178.9	0.919	0.625	16.3	25.5	10000.0	177.0	0.275	0.0806	3.24	4.67	1.41
DS06P180	0.237	0.00167	160.8	0.881	0.555	10.6	16.7	10000.0	159.0	0.287	0.119	2.81	4.06	1.22
DS07P016	0.235	0.00338	397.2	0.886	0.589	13.4	33.8	10000.0	396.0	0.254	0.114	3.52	5.08	1.53
DS07P037	0.138	0.0085	522.8	0.960	0.710	40.0	85.0	10000.0	520.0	0.273	0.0395	4.44	6.41	1.93
DS07P049	0.0718	0.00727	425.7	0.970	0.708	44.5	72.7	10000.0	424.0	0.306	0.0295	4.29	6.18	1.86
DS07P054	0.210	0.00413	432.6	0.918	0.613	18.3	41.3	10000.0	430.0	0.334	0.0823	3.72	5.37	1.62
DS07P060	0.156	0.00428	301.1	0.944	0.659	25.0	42.8	10000.0	298.0	0.334	0.0557	3.76	5.42	1.63
DS07P065	0.429	0.00114	241.6	0.773	0.444	5.86	11.4	10000.0	239.0	0.371	0.227	2.43	3.51	1.06
DS07P076	0.146	0.0039	319.1	0.944	0.637	23.4	39.0	10000.0	316.0	0.360	0.0565	3.66	5.29	1.59
DS07P172	0.234	0.00334	262.0	0.907	0.631	16.0	33.4	10000.0	259.0	0.227	0.0931	3.51	5.06	1.52
DS07P193	0.0971	0.00457	252.3	0.961	0.693	31.8	45.7	10000.0	248.0	0.341	0.0388	3.82	5.51	1.66
DS08P017	0.117	0.00917	522.8	0.965	0.722	44.1	91.7	10000.0	521.0	0.255	0.0354	4.52	6.52	1.96
DS08P191	0.0963	0.00556	225.5	0.969	0.744	39.9	55.6	10000.0	222.0	0.260	0.0314	4.02	5.80	1.74
DS10P016	0.162	0.00789	557.4	0.949	0.691	32.7	78.9	10000.0	556.0	0.259	0.0507	4.37	6.30	1.90
DS10P049	0.0432	0.0116	485.6	0.983	0.769	75.9	115.8	10000.0	483.0	0.277	0.0169	4.75	6.86	2.06
DS10P054	0.113	0.00742	413.1	0.966	0.716	42.4	74.2	10000.0	411.0	0.286	0.0337	4.31	6.21	1.87
DS10P166	0.125	0.00518	279.4	0.953	0.701	29.8	51.8	10000.0	278.0	0.183	0.0468	3.95	5.69	1.71
HE02P026	0.211	0.004	377.6	0.919	0.623	18.7	40.0	10000.0	375.0	0.322	0.0806	3.69	5.32	1.60
HE03P003	0.244	0.00431	402.7	0.917	0.628	19.0	43.1	10000.0	401.0	0.289	0.0827	3.76	5.43	1.63
HE03P004	0.192	0.00586	459.1	0.943	0.665	27.4	58.6	10000.0	457.0	0.319	0.0574	4.07	5.87	1.77
HE03P005	0.192	0.00517	407.9	0.939	0.657	25.1	51.7	10000.0	405.0	0.313	0.0613	3.95	5.69	1.71
HE03P010	0.0824	0.00941	504.8	0.973	0.731	53.5	94.1	10000.0	502.0	0.314	0.0266	4.54	6.56	1.97
HE03P011	0.0997	0.00666	393.1	0.965	0.704	39.2	66.6	10000.0	390.0	0.340	0.0351	4.20	6.06	1.82
HE03P012	0.0985	0.00863	413.8	0.973	0.740	51.9	86.3	10000.0	412.0	0.276	0.0269	4.46	6.43	1.94
HE03P014	0.140	0.00718	409.0	0.956	0.711	35.6	71.8	10000.0	406.0	0.258	0.0438	4.27	6.17	1.86
HE03P019	0.237	0.00548	474.8	0.928	0.650	23.3	54.8	10000.0	472.0	0.338	0.0721	4.00	5.78	1.74
HE03P021	0.0723	0.00649	400.9	0.967	0.697	39.2	64.9	10000.0	399.0	0.292	0.0331	4.17	6.02	1.81
HE03P022	0.165	0.00497	384.7	0.940	0.657	24.7	49.7	10000.0	381.0	0.319	0.0601	3.91	5.64	1.70
HE03P023	0.109	0.00619	369.8	0.958	0.699	34.1	61.9	10000.0	367.0	0.283	0.0419	4.13	5.95	1.79
HE03P024	0.167	0.00591	428.8	0.948	0.674	29.4	59.1	10000.0	426.0	0.323	0.0516	4.08	5.88	1.77
HE03P025	0.286	0.00436	408.3	0.904	0.629	17.7	43.6	10000.0	406.0	0.314	0.096	3.78	5.45	1.64
HE03P028	0.198	0.00451	346.1	0.941	0.652	25.0	45.1	10000.0	344.0	0.322	0.0586	3.81	5.50	1.65
HE03P046	0.101	0.00823	447.7	0.968	0.723	45.3	82.3	10000.0	445.0	0.294	0.0321	4.41	6.36	1.92
HE03P047	0.348	0.00278	369.6	0.852	0.563	10.7	27.8	10000.0	366.0	0.351	0.148	3.32	4.79	1.44
HE03P048	0.220	0.00577	426.6	0.938	0.670	26.6	57.7	10000.0	425.0	0.300	0.0624	4.06	5.85	1.76
HE03P050	0.184	0.00356	391.9	0.909	0.599	15.9	35.6	10000.0	389.0	0.308	0.0912	3.57	5.15	1.55
HE03P051	0.130	0.00487	461.8	0.939	0.634	23.2	48.7	10000.0	460.0	0.297	0.0615	3.89	5.61	1.69
HE03P055	0.262	0.00175	344.6	0.851	0.491	8.79	17.5	10000.0	341.0	0.386	0.149	2.86	4.13	1.24
HE03P056	0.132	0.00528	464.9	0.948	0.646	27.2	52.8	10000.0	462.0	0.359	0.0519	3.97	5.72	1.72
HE03P057	0.291	0.00247	354.0	0.865	0.547	10.8	24.7	10000.0	352.0	0.334	0.135	3.21	4.63	1.39
HE03P058	0.232	0.00458	369.6	0.928	0.647	21.9	45.8	10000.0	368.0	0.285	0.072	3.82	5.52	1.66
HE03P059	0.177	0.00441	357.5	0.932	0.645	22.0	44.1	10000.0	355.0	0.348	0.0683	3.79	5.46	1.64
HE03P061	0.131	0.00674	400.7	0.961	0.703	37.0	67.4	10000.0	399.0	0.265	0.0387	4.21	6.07	1.83
HE03P063	0.196	0.00445	377.8	0.935	0.640	22.4	44.5	10000.0	376.0	0.310	0.0654	3.80	5.48	1.65
HE03P064	0.0783	0.0126	570.5	0.978	0.762	67.9	125.6	10000.0	569.0	0.258	0.0222	4.83	6.97	2.10
HE03P066	0.163	0.00624	394.4	0.954	0.693	32.9	62.4	10000.0	391.0	0.298	0.0456	4.13	5.96	1.80
HE03P067	0.0886	0.0115	526.5	0.977	0.758	64.9	115.3	10000.0	525.0	0.255	0.0227	4.75	6.85	2.06
HE03P068	0.130	0.00988	520.7	0.966	0.735	48.1	98.8	10000.0	519.0	0.256	0.0336	4.59	6.63	1.99
HE03P071	0.133	0.00899	504.0	0.963	0.723	43.5	89.9	10000.0	502.0	0.282	0.0374	4.50	6.49	1.95
HE03P072	0.190	0.00457	425.9	0.933	0.632	21.9	45.7	10000.0	424.0	0.304	0.0671	3.82	5.51	1.66
HE03P073	0.193	0.00486	385.2	0.941	0.654	25.3	48.6	10000.0	379.0	0.371	0.0587	3.88	5.60	1.69
HE03P074	0.255	0.00404	421.0	0.913	0.613	17.9	40.4	10000.0	419.0	0.331	0.0873	3.70	5.34	1.61
HE03P075	0.204	0.00766	474.7	0.945	0.704	31.9	76.6	10000.0	473.0	0.253	0.0552	4.34	6.26	1.88
HE03P077	0.187	0.00396	389.3	0.917	0.618	17.9	39.6	10000.0	386.0	0.307	0.0832	3.68	5.31	1.60
HE03P078	0.182	0.00228	280.5	0.907	0.556	13.5	22.8	10000.0	276.0	0.379	0.0932	3.13	4.51	1.36
HE03P082	0.127	0.00398	299.2	0.948	0.647	24.7	39.8	10000.0	297.0	0.315	0.0523	3.68	5.31	1.60
HE05P026	0.365	0.00258	375.1	0.842	0.549	9.92	25.8	10000.0	373.0	0.326	0.158	3.25	4.69	1.41
HE07P004	0.115	0.00625	448.4	0.959	0.678	33.9	62.5	10000.0	445.0	0.321	0.0413	4.14	5.97	1.80
HE07P010	0.158	0.00837	435.1	0.963	0.730	43.3	83.7	10000.0	431.0	0.306	0.0375	4.43	6.39	1.92
HE07P012	0.0786	0.0107	411.0	0.979	0.777	67.2	107.2	10000.0	409.0	0.200	0.0205	4.68	6.74	2.03
HE07P019	0.0623	0.0105	490.0	0.980	0.752	65.8	105.2	10000.0	488.0	0.280	0.0202	4.66	6.72	2.02
HE07P021	0.302	0.00426	423.5	0.891	0.620	15.5	42.6	10000.0	422.0	0.284	0.109	3.75	5.41	1.63
HE07P022	0.130	0.00587	436.5	0.954	0.671	30.9	58.7	10000.0	433.0	0.341	0.046	4.07	5.88	1.77
HE07P023	0.206	0.00615	444.5	0.938	0.676	26.6	61.5	10000.0	442.0	0.273	0.0617	4.12	5.94	1.79
HE07P024	0.272	0.00328	372.3	0.895	0.590	14.6	32.8	10000.0	369.0	0.362	0.105	3.49	5.03	1.52
HE07P025	0.0933	0.00813	445.5	0.970	0.721	46.4	81.3	10000.0	444.0	0.263	0.03	4.40	6.34	1.91
HE07P028	0.255	0.00374	339.9	0.914	0.622	18.0	37.4	10000.0	337.0	0.349	0.086	3.62	5.22	1.57
HE07P046	0.210	0.00166	285.3	0.878	0.498	9.97	16.6	10000.0	283.0	0.394	0.122	2.81	4.05	1.22
HE07P047	0.208	0.00305	372.4	0.906	0.578	14.8	30.5	10000.0	369.0	0.351	0.0944	3.42	4.93	1.48
HE07P048	0.128	0.00698	459.9	0.962	0.693	37.6	69.8	10000.0	457.0	0.332	0.0384	4.25	6.12	1.84
HE07P051	0.309	0.00332	396.3	0.885	0.586	13.8	33.2	10000.0	394.0	0.334	0.115	3.50	5.05	1.52
HE07P055	0.387	0.00216	370.6	0.826	0.520	8.69	21.6	10000.0	368.0	0.339	0.174	3.07	4.43	1.33
HE07P056	0.223	0.00323	398.8	0.903	0.581	14.7	32.3	10000.0	397.0	0.294	0.0966	3.48	5.01	1.51
HE07P057	0.309	0.00171	310.6	0.832	0.496	8.15	17.1	10000.0	308.0	0.375	0.168	2.84	4.10	1.23
HE07P058	0.221	0.00544	430.8	0.929	0.659	23.4	54.4	10000.0	429.0	0.291	0.0706	4.00	5.77	1.74
HE07P059	0.185	0.00765	477.4	0.949	0.704	33.2	76.5	10000.0	475.0	0.282	0.0512	4.34	6.26	1.88
HE07P061	0.241	0.00345	322.3	0.907	0.615	16.2	34.5	10000.0	318.0	0.329	0.0934	3.54	5.11	1.54
HE07P063	0.166	0.00505	354.7	0.948	0.669	27.5	50.5	10000.0	351.0	0.324	0.0525	3.92	5.66	1.70
HE07P064	0.166	0.00337	369.3	0.926	0.596	18.1	33.7	10000.0	366.0	0.365	0.074	3.52	5.07	1.53
HE07P066	0.131	0.00725	463.2	0.961	0.698	37.1	72.5	10000.0	461.0	0.281	0.0393	4.28	6.18	1.86
HE07P068	0.147	0.00473	408.6	0.941	0.642	24.3	47.3	10000.0	406.0	0.332	0.0585	3.86	5.56	1.67
HE07P071	0.125	0.0049	445.0	0.946	0.639	25.4	49.0	10000.0	443.0	0.318	0.0543	3.89	5.61	1.69
HE07P072	0.159	0.00634	399.8	0.956	0.693	33.5	63.4	10000.0	398.0	0.271	0.0443	4.15	5.99	1.80
HE07P073	0.314	0.00453	444.4	0.891	0.626	16.2	45.3	10000.0	442.0	0.318	0.109	3.81	5.50	1.66
HE07P074	0.251	0.00387	422.8	0.912	0.605	17.4	38.7	10000.0	420.0	0.335	0.0876	3.66	5.28	1.59
HE07P075	0.097	0.00697	416.1	0.966	0.704	40.1	69.7	10000.0	414.0	0.284	0.0341	4.24	6.12	1.84
HE07P077	0.103	0.00647	377.3	0.968	0.703	40.8	64.7	10000.0	376.0	0.297	0.0322	4.17	6.01	1.81
HE07P078	0.145	0.00463	315.3	0.955	0.668	29.2	46.3	10000.0	312.0	0.339	0.0454	3.83	5.53	1.67
HE10P003	0.165	0.00623	440.4	0.949	0.679	30.5	62.3	10000.0	439.0	0.284	0.0506	4.13	5.96	1.79
HE10P049	0.561	0.000842	255.4	0.662	0.385	3.95	8.42	10000.0	253.0	0.370	0.338	2.13	3.07	0.925
HE10P054	0.218	0.00451	375.0	0.927	0.643	21.2	45.1	10000.0	373.0	0.307	0.0727	3.81	5.50	1.65
HG00P003	0.106	0.0113	557.3	0.976	0.748	62.6	112.6	10000.0	555.0	0.308	0.0238	4.72	6.81	2.05
HG00P010	0.0961	0.0073	453.9	0.965	0.702	40.4	73.0	10000.0	452.0	0.294	0.0345	4.29	6.19	1.86
HG00P011	0.0932	0.0135	532.3	0.980	0.782	76.9	135.4	10000.0	531.0	0.237	0.0198	4.91	7.08	2.13
HG00P012	0.0896	0.0073	382.7	0.969	0.722	43.8	73.0	10000.0	380.0	0.281	0.0315	4.29	6.19	1.86
HG00P014	0.0662	0.00996	488.6	0.978	0.744	60.6	99.6	10000.0	487.0	0.277	0.0223	4.60	6.64	2.00
HG00P021	0.157	0.00587	452.4	0.947	0.667	28.5	58.7	10000.0	450.0	0.328	0.0529	4.07	5.88	1.77
HG00P022	0.0849	0.00983	482.4	0.976	0.743	57.9	98.3	10000.0	480.0	0.291	0.0243	4.59	6.62	1.99
HG00P023	0.209	0.00448	343.6	0.925	0.651	21.0	44.8	10000.0	342.0	0.303	0.0748	3.80	5.48	1.65
HG00P024	0.0781	0.00875	378.0	0.977	0.754	58.1	87.5	10000.0	375.0	0.309	0.0226	4.47	6.45	1.94
HG00P025	0.0752	0.0111	446.0	0.980	0.773	69.5	111.0	10000.0	444.0	0.243	0.0197	4.71	6.79	2.05
HG00P026	0.0619	0.00773	387.0	0.974	0.730	50.2	77.3	10000.0	385.0	0.301	0.0256	4.35	6.27	1.89
HG00P028	0.124	0.0064	408.8	0.961	0.693	35.9	64.0	10000.0	406.0	0.329	0.0392	4.16	6.00	1.81
HG00P046	0.228	0.00286	329.3	0.899	0.579	14.0	28.6	10000.0	327.0	0.332	0.101	3.35	4.84	1.46
HG00P047	0.333	0.00307	337.0	0.874	0.589	12.9	30.7	10000.0	335.0	0.313	0.126	3.43	4.94	1.49
HG00P048	0.309	0.00264	405.7	0.852	0.546	10.2	26.4	10000.0	404.0	0.301	0.148	3.27	4.72	1.42
HG00P050	0.295	0.0037	367.8	0.896	0.612	15.7	37.0	10000.0	364.0	0.332	0.104	3.61	5.21	1.57
HG00P051	0.133	0.0087	478.4	0.963	0.724	42.8	87.0	10000.0	477.0	0.255	0.0369	4.47	6.44	1.94
HG00P055	0.263	0.00225	345.6	0.880	0.534	11.3	22.5	10000.0	343.0	0.355	0.120	3.12	4.49	1.35
HG00P056	0.274	0.00313	415.7	0.888	0.572	13.4	31.3	10000.0	412.0	0.368	0.112	3.44	4.97	1.50
HG00P058	0.301	0.00283	326.7	0.887	0.578	13.4	28.3	10000.0	325.0	0.337	0.113	3.34	4.82	1.45
HG00P059	0.187	0.00464	351.2	0.939	0.656	24.1	46.4	10000.0	348.0	0.324	0.0609	3.84	5.54	1.67
HG00P061	0.103	0.0067	401.8	0.962	0.702	37.2	67.0	10000.0	399.0	0.300	0.0379	4.20	6.07	1.83
HG00P063	0.140	0.00771	406.0	0.964	0.724	42.2	77.1	10000.0	404.0	0.279	0.0356	4.35	6.27	1.89
HG00P064	0.0983	0.0125	564.8	0.977	0.762	66.7	124.6	10000.0	563.0	0.252	0.0231	4.82	6.96	2.10
HG00P066	0.197	0.00662	457.1	0.946	0.685	30.7	66.2	10000.0	454.0	0.330	0.0537	4.19	6.05	1.82
HG00P071	0.124	0.00965	481.7	0.966	0.740	48.2	96.5	10000.0	480.0	0.260	0.0335	4.57	6.59	1.98
HG00P072	0.150	0.00322	412.9	0.923	0.577	17.1	32.2	10000.0	409.0	0.395	0.0773	3.47	5.01	1.51
HG00P073	0.225	0.00378	372.1	0.914	0.615	17.5	37.8	10000.0	369.0	0.322	0.0861	3.63	5.24	1.58
HG00P074	0.0962	0.00931	515.7	0.968	0.726	47.8	93.1	10000.0	514.0	0.285	0.0318	4.53	6.54	1.97
HG00P075	0.146	0.00554	427.2	0.947	0.663	28.1	55.4	10000.0	425.0	0.312	0.0528	4.01	5.79	1.74
HG00P077	0.230	0.00444	413.8	0.923	0.630	20.0	44.4	10000.0	411.0	0.323	0.0774	3.79	5.47	1.65
HG00P078	0.152	0.00563	437.8	0.948	0.663	28.5	56.3	10000.0	436.0	0.309	0.0522	4.03	5.82	1.75
HG00P082	0.102	0.00821	443.6	0.967	0.724	45.2	82.1	10000.0	441.0	0.321	0.0326	4.41	6.36	1.91
HS00P003	0.177	0.00515	370.5	0.936	0.667	24.4	51.5	10000.0	369.0	0.270	0.0636	3.94	5.69	1.71
HS00P004	0.0974	0.00696	392.8	0.966	0.711	40.0	69.6	10000.0	391.0	0.250	0.0345	4.24	6.12	1.84
HS00P010	0.160	0.00587	487.1	0.941	0.659	26.2	58.7	10000.0	482.0	0.337	0.0594	4.07	5.88	1.77
HS00P011	0.168	0.00685	410.0	0.955	0.703	34.4	68.5	10000.0	408.0	0.264	0.0453	4.23	6.10	1.84
HS00P012	0.356	0.00288	375.7	0.843	0.567	10.1	28.8	10000.0	374.0	0.245	0.157	3.36	4.85	1.46
HS00P014	0.122	0.0153	652.6	0.975	0.776	71.4	152.9	10000.0	651.0	0.242	0.0248	5.03	7.26	2.18
HS00P019	0.159	0.00726	469.9	0.948	0.697	31.9	72.6	10000.0	467.0	0.325	0.0524	4.29	6.18	1.86
HS00P025	0.0945	0.0104	453.7	0.977	0.760	62.1	104.4	10000.0	452.0	0.247	0.0229	4.65	6.71	2.02
HS00P029	0.124	0.00978	518.1	0.969	0.734	49.6	97.8	10000.0	516.0	0.269	0.0314	4.58	6.61	1.99
HS00P034	0.0993	0.0122	545.9	0.977	0.763	66.7	122.2	10000.0	544.0	0.272	0.0232	4.81	6.93	2.09
HS00P036	0.314	0.00322	403.9	0.880	0.579	13.1	32.2	10000.0	402.0	0.305	0.120	3.47	5.01	1.51
HS00P040	0.110	0.00726	490.0	0.960	0.692	36.7	72.6	10000.0	488.0	0.305	0.0399	4.29	6.18	1.86
HS00P041	0.188	0.00685	489.8	0.943	0.683	29.3	68.5	10000.0	488.0	0.282	0.0565	4.23	6.10	1.84
HS00P042	0.194	0.00726	526.3	0.942	0.684	29.4	72.6	10000.0	524.0	0.290	0.058	4.28	6.18	1.86
HS00P044	0.278	0.00338	425.3	0.879	0.582	12.9	33.8	10000.0	423.0	0.314	0.121	3.52	5.08	1.53
HS00P045	0.333	0.00354	401.0	0.874	0.596	13.3	35.4	10000.0	398.0	0.306	0.126	3.57	5.15	1.55
HS00P046	0.138	0.00519	388.9	0.946	0.663	26.9	51.9	10000.0	386.0	0.333	0.0536	3.95	5.70	1.71
HS00P047	0.172	0.00429	415.4	0.932	0.624	21.0	42.9	10000.0	413.0	0.345	0.0682	3.76	5.42	1.63
HS00P048	0.247	0.00315	303.0	0.911	0.605	16.4	31.5	10000.0	301.0	0.334	0.0885	3.45	4.98	1.50
HS00P050	0.628	0.00115	418.7	0.603	0.406	3.65	11.5	10000.0	415.0	0.385	0.397	2.45	3.53	1.06
HS00P051	0.117	0.004	287.8	0.951	0.653	26.1	40.0	10000.0	283.0	0.415	0.0492	3.69	5.32	1.60
HS00P055	0.144	0.00577	371.3	0.952	0.686	30.6	57.7	10000.0	369.0	0.311	0.0481	4.06	5.85	1.76
HS00P056	0.173	0.00427	419.3	0.926	0.622	19.8	42.7	10000.0	417.0	0.321	0.0744	3.75	5.41	1.63
