OTUID	variable	value
HS00P96	ASV_281	0
HS03P003	ASV_281	0
HS03P004	ASV_281	10
HS03P005	ASV_281	14
HS03P010	ASV_281	7
HS03P011	ASV_281	0
HS03P012	ASV_281	0
HS03P014	ASV_281	0
HS03P019	ASV_281	0
HS03P024	ASV_281	0
HS03P025	ASV_281	0
HS03P026	ASV_281	0
HS03P029	ASV_281	0
HS03P031	ASV_281	0
HS03P034	ASV_281	1
HS03P035	ASV_281	1
HS03P040	ASV_281	0
HS03P041	ASV_281	2
HS03P042	ASV_281	1
HS03P044	ASV_281	0
HS03P045	ASV_281	0
HS03P046	ASV_281	31
HS03P047	ASV_281	117
HS03P048	ASV_281	573
HS03P050	ASV_281	0
HS03P051	ASV_281	71
HS03P055	ASV_281	1975
HS03P056	ASV_281	17
HS03P057	ASV_281	13
HS03P058	ASV_281	0
HS03P059	ASV_281	18
HS03P061	ASV_281	1
HS03P063	ASV_281	11
HS03P064	ASV_281	0
HS03P066	ASV_281	1
HS03P067	ASV_281	0
HS03P068	ASV_281	0
HS03P071	ASV_281	20
HS03P072	ASV_281	14
HS03P073	ASV_281	54
HS03P074	ASV_281	172
HS03P075	ASV_281	0
HS03P077	ASV_281	12
HS07P004	ASV_281	14
HS07P010	ASV_281	3
HS07P011	ASV_281	0
HS07P012	ASV_281	0
HS07P014	ASV_281	2
HS07P019	ASV_281	0
HS07P024	ASV_281	0
HS07P025	ASV_281	0
HS07P026	ASV_281	0
HS07P029	ASV_281	0
HS07P031	ASV_281	0
HS07P034	ASV_281	0
HS07P035	ASV_281	0
HS07P036	ASV_281	0
HS07P040	ASV_281	3
HS07P041	ASV_281	1
HS07P042	ASV_281	0
HS07P045	ASV_281	3
HS07P046	ASV_281	34
HS07P047	ASV_281	3349
HS07P048	ASV_281	35
HS07P050	ASV_281	0
HS07P051	ASV_281	237
HS07P055	ASV_281	255
HS07P056	ASV_281	18
HS07P057	ASV_281	22
HS07P058	ASV_281	1
HS07P059	ASV_281	1
HS07P061	ASV_281	1
HS07P063	ASV_281	0
HS07P064	ASV_281	2
HS07P066	ASV_281	0
HS07P068	ASV_281	0
HS07P071	ASV_281	41
HS07P072	ASV_281	34
HS07P073	ASV_281	39
HS07P074	ASV_281	3550
HS07P075	ASV_281	2
HS07P077	ASV_281	6
HS10P003	ASV_281	1
IE03P013	ASV_281	18
IE03P020	ASV_281	1
IE03P027	ASV_281	0
IE03P052	ASV_281	0
IE03P053	ASV_281	24
IE03P062	ASV_281	0
IE03P069	ASV_281	13
IE03P070	ASV_281	2
IE07P013	ASV_281	29
IE07P020	ASV_281	2
IE07P027	ASV_281	0
IE07P052	ASV_281	1
IE07P053	ASV_281	2
IE07P062	ASV_281	0
IE07P069	ASV_281	12
IE07P070	ASV_281	2
IG00P013	ASV_281	20
IG00P020	ASV_281	0
IG00P052	ASV_281	1
IG00P053	ASV_281	1
IG00P062	ASV_281	6
IG00P069	ASV_281	17
IG00P070	ASV_281	16
IS00P013	ASV_281	0
IS00P020	ASV_281	0
IS00P027	ASV_281	0
IS00P033	ASV_281	5
IS00P038	ASV_281	0
IS00P039	ASV_281	0
IS00P043	ASV_281	0
IS00P052	ASV_281	35
IS00P053	ASV_281	0
IS00P062	ASV_281	13
IS00P069	ASV_281	3
IS00P070	ASV_281	6
IS00P081	ASV_281	5
IS00P083	ASV_281	3
IS03P020	ASV_281	0
IS03P027	ASV_281	0
IS03P033	ASV_281	0
IS03P038	ASV_281	2
IS03P039	ASV_281	0
IS03P043	ASV_281	0
IS03P052	ASV_281	1
IS03P053	ASV_281	0
IS03P062	ASV_281	1
IS03P069	ASV_281	4
IS03P070	ASV_281	2
IS03P081	ASV_281	21
IS03P082	ASV_281	77
IS03P083	ASV_281	1
IS07P013	ASV_281	0
IS07P020	ASV_281	0
IS07P027	ASV_281	0
IS07P033	ASV_281	0
IS07P038	ASV_281	0
IS07P039	ASV_281	0
IS07P043	ASV_281	5
IS07P052	ASV_281	0
IS07P053	ASV_281	0
IS07P062	ASV_281	62
IS07P069	ASV_281	3
IS07P070	ASV_281	56
DE03P016	ASV_104	69
DE03P017	ASV_104	140
DE03P049	ASV_104	11
DE03P054	ASV_104	11
DE03P060	ASV_104	5
DE03P065	ASV_104	127
DE03P076	ASV_104	0
DE03P081	ASV_104	302
DE03P083	ASV_104	8
DE07P016	ASV_104	27
DE07P049	ASV_104	3
DE07P054	ASV_104	40
DE07P060	ASV_104	5
DE07P065	ASV_104	54
DE07P076	ASV_104	22
DE08P017	ASV_104	225
DE10P016	ASV_104	5
DG00P016	ASV_104	60
DG00P017	ASV_104	903
DG00P049	ASV_104	17
DG00P054	ASV_104	2
DG00P060	ASV_104	6
DG00P076	ASV_104	40
DG00P081	ASV_104	238
DG00P083	ASV_104	10
DS00P030	ASV_104	3
DS00P037	ASV_104	14
DS00P049	ASV_104	0
DS00P054	ASV_104	2
DS00P060	ASV_104	4
DS00P065	ASV_104	0
DS00P076	ASV_104	9
DS00P119	ASV_104	459
DS00P138	ASV_104	20
DS00P140	ASV_104	0
DS00P166	ASV_104	106
DS00P172	ASV_104	0
DS00P180	ASV_104	286
DS00P191	ASV_104	14
DS00P193	ASV_104	584
DS00P194	ASV_104	1
DS00P196	ASV_104	0
DS03P016	ASV_104	42
DS03P017	ASV_104	119
DS03P030	ASV_104	3
DS03P037	ASV_104	18
DS03P049	ASV_104	44
DS03P054	ASV_104	41
DS03P060	ASV_104	2
DS03P065	ASV_104	0
DS03P076	ASV_104	2
DS03P237	ASV_104	0
DS03P239	ASV_104	225
DS03P245	ASV_104	2
DS03P272	ASV_104	18
DS03P279	ASV_104	2
DS03P288	ASV_104	3
DS03P295	ASV_104	9038
DS03P298	ASV_104	24
DS03P312	ASV_104	378
DS03P313	ASV_104	207
DS04P138	ASV_104	78
DS04P194	ASV_104	3
DS04P86	ASV_104	0
DS05P114	ASV_104	53
DS05P196	ASV_104	0
DS06P140	ASV_104	0
DS06P180	ASV_104	7
DS07P016	ASV_104	12
DS07P037	ASV_104	234
DS07P049	ASV_104	13
DS07P054	ASV_104	51
DS07P060	ASV_104	0
DS07P065	ASV_104	0
DS07P076	ASV_104	90
DS07P172	ASV_104	0
DS07P193	ASV_104	1781
DS08P017	ASV_104	433
DS08P191	ASV_104	7
DS10P016	ASV_104	110
DS10P049	ASV_104	5
DS10P054	ASV_104	1
DS10P166	ASV_104	108
HE02P026	ASV_104	9
HE03P003	ASV_104	3
HE03P004	ASV_104	14
HE03P005	ASV_104	6
HE03P010	ASV_104	218
HE03P011	ASV_104	189
HE03P012	ASV_104	40
HE03P014	ASV_104	258
HE03P019	ASV_104	58
HE03P021	ASV_104	36
HE03P022	ASV_104	117
HE03P023	ASV_104	12
HE03P024	ASV_104	129
HE03P025	ASV_104	12
HE03P028	ASV_104	19
HE03P046	ASV_104	9
HE03P047	ASV_104	10
HE03P048	ASV_104	109
HE03P050	ASV_104	7
HE03P051	ASV_104	6
HE03P055	ASV_104	2
HE03P056	ASV_104	28
HE03P057	ASV_104	163
HE03P058	ASV_104	2
HE03P059	ASV_104	2
HE03P061	ASV_104	63
HE03P063	ASV_104	634
HE03P064	ASV_104	163
HE03P066	ASV_104	95
HE03P067	ASV_104	42
HE03P068	ASV_104	39
HE03P071	ASV_104	80
HE03P072	ASV_104	6
HE03P073	ASV_104	1
HE03P074	ASV_104	38
HE03P075	ASV_104	10
HE03P077	ASV_104	23
HE03P078	ASV_104	42
HE03P082	ASV_104	2
HE05P026	ASV_104	13
HE07P004	ASV_104	65
HE07P010	ASV_104	97
HE07P012	ASV_104	73
HE07P019	ASV_104	370
HE07P021	ASV_104	20
HE07P022	ASV_104	32
HE07P023	ASV_104	44
HE07P024	ASV_104	784
HE07P025	ASV_104	149
HE07P028	ASV_104	12
HE07P046	ASV_104	4
HE07P047	ASV_104	115
HE07P048	ASV_104	82
HE07P051	ASV_104	4
HE07P055	ASV_104	9
HE07P056	ASV_104	13
HE07P057	ASV_104	5
HE07P058	ASV_104	1
HE07P059	ASV_104	3
HE07P061	ASV_104	39
HE07P063	ASV_104	2732
HE07P064	ASV_104	11
HE07P066	ASV_104	245
HE07P068	ASV_104	14
HE07P071	ASV_104	74
HE07P072	ASV_104	1
HE07P073	ASV_104	8
HE07P074	ASV_104	26
HE07P075	ASV_104	37
HE07P077	ASV_104	12
HE07P078	ASV_104	53
HE10P003	ASV_104	98
HE10P049	ASV_104	6
HE10P054	ASV_104	8
HG00P003	ASV_104	31
HG00P010	ASV_104	186
HG00P011	ASV_104	147
HG00P012	ASV_104	14
HG00P014	ASV_104	4571
HG00P021	ASV_104	166
HG00P022	ASV_104	61
HG00P023	ASV_104	15
HG00P024	ASV_104	152
HG00P025	ASV_104	9
HG00P026	ASV_104	14
HG00P028	ASV_104	10
HG00P046	ASV_104	3
HG00P047	ASV_104	7
HG00P048	ASV_104	23
HG00P050	ASV_104	5
HG00P051	ASV_104	18
HG00P055	ASV_104	14
HG00P056	ASV_104	20
HG00P058	ASV_104	8
HG00P059	ASV_104	1
HG00P061	ASV_104	8
HG00P063	ASV_104	0
HG00P064	ASV_104	72
HG00P066	ASV_104	78
HG00P071	ASV_104	127
HG00P072	ASV_104	1
