DS	HS	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Williamwhitmaniaceae|Williamwhitmania	-0.000651948051948052	0.00034250085999312	-6.04367733715559e-05	0.10403815759259
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Tannerella	-0.00138267288267288	0.000696204878712619	-7.4799759215777e-05	0.211033065827555
Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales|Cardiobacteriaceae|Cardiobacterium	-0.000722655122655123	0.000286670175369866	-0.000134373293983489	0.15261645813263
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Unassigned	-0.000387049062049062	2.93173329938035e-05	-0.000167169159343072	0.131520735807531
Bacteria|Tenericutes|Mollicutes|Mycoplasmoidales|Metamycoplasmataceae|Metamycoplasma	-0.000898026973026973	0.00029455942664147	-0.000170818742996601	0.182703230762144
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	-0.000497569097569098	5.63900581702439e-05	-0.000261743739352435	0.1724177433166
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus	-0.0010015873015873	0.000130230986315251	-0.000392819917602526	0.240600866694439
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales|Campylobacteraceae|Campylobacter	-0.000989912864912865	-1.53793703716303e-05	-0.00041017303161606	0.36291979893936
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Caviibacter	-0.00179816017316017	0.000400072107115451	-0.000490790804085604	0.110875482079721
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Pseudescherichia	3.6929736929737e-05	-0.0004852761402684	-0.000496674419755379	0.112716468086719
