D	H	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinobaculum	-5.48412698412698e-05	-0.000324753120266312	-0.000254571935743742	0.339375837008289
Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Unassigned	-0.00117706349206349	-3.64470856016152e-05	-0.000259739282865417	0.155043403477619
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Fudania	-0.000202222222222222	-0.000325379762958508	-0.000282198580976613	0.111032002748838
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Dialister	0.000387698412698413	-0.000396735721054943	-0.000284959567496573	0.279730766920625
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus	-0.00147175324675325	9.30364836401985e-06	-0.000286642951545667	0.302916452224125
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Abiotrophia	-7.47619047619048e-05	-0.000349856365557536	-0.000296089086171512	0.104370468578067
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	-0.0021165873015873	0.000142067782952155	-0.000346671831289527	0.221507884182931
Bacteria|Proteobacteria|Betaproteobacteria|Rhodocyclales|Rhodocyclaceae|Propionivibrio	0.000541349206349206	-0.000608481604058734	-0.000357269266207713	0.124068795239635
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Leptotrichiaceae|Unassigned	0.000260793650793651	-0.00048456726130094	-0.000374211167858082	0.355492966505908
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Corynebacteriaceae|Corynebacterium	-0.000725555555555556	-0.000294882071219936	-0.00039066923735556	0.21023830461056
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Stomatobaculum	-0.00132650793650794	-0.00013308747884532	-0.000419934927978424	0.137994209934104
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus	-0.000429285714285714	-0.000408135315525274	-0.00043172656733834	0.119524417781154
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Solobacterium	-0.000974126984126984	-0.000274779492713804	-0.000433014772668106	0.185151473186307
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcaceae_incertae_sedis	-0.000630952380952381	-0.000358193620658219	-0.000443296413022465	0.141826035086871
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Elizabethkingia	-0.00139746031746032	-0.000178531250236729	-0.000448740287854936	0.109671010385312
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Capnocytophaga	-0.00191055555555556	-0.000104872921719402	-0.000467323021168849	0.237920585603479
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Anaeroglobus	-0.000142460317460317	-0.000685555422061076	-0.000499275408247284	0.231535034646404
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	0.000457698412698413	-0.000671811982785465	-0.000527641508524302	0.136269231877902
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Pseudescherichia	-0.00101714285714286	-0.000443834963581161	-0.000591445709762209	0.100924622591668
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI|Gemella	-0.00163507936507937	-0.00041859840035079	-0.000594491433970256	0.351917665063505
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Unassigned	-0.00100722222222222	-0.00080782324110134	-0.000857919126403004	0.17515339586733
Bacteria|Tenericutes|Mollicutes|Mycoplasmoidales|Metamycoplasmataceae|Metamycoplasma	-0.0012131746031746	-0.000821207618408722	-0.000907997398336827	0.145127214222267
Bacteria|Synergistetes|Synergistia|Synergistales|Synergistaceae|Fretibacterium	-0.000859603174603174	-0.00102737876787217	-0.00101164039690606	0.264285421938971
Bacteria|Spirochaetes|Spirochaetia|Spirochaetales|Spirochaetaceae|Treponema	-0.00197611111111111	-0.000716553610782511	-0.00102874234392344	0.208324527777663
