D	I	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae_1|Peptococcus	-0.00133134920634921	0.00015	-0.000831746031746032	0.0992358271845114
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned|Unassigned	-0.00135833333333333	-0.000533333333333333	-0.000883838383838384	0.0336514080690551
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	-0.0013452380952381	-0.000616666666666667	-0.000892496392496393	0.251570120118959
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales|Desulfobulbaceae|Desulfobulbus	-0.001	-0.000833333333333333	-0.000903571428571428	0.0313959217253335
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Unassigned	-0.000866666666666667	-0.000833333333333333	-0.000913131313131313	0.0400714058902913
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Fudania	-0.000466666666666667	-0.00145	-0.000926190476190476	0.127326676101676
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcaceae_incertae_sedis	-0.00090952380952381	-0.00155	-0.000948917748917749	0.105010471915425
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinobaculum	-0.000838888888888889	-0.00166666666666667	-0.000995310245310245	0.09127310028293
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Chryseobacterium	0.000647619047619048	-0.00253333333333333	-0.00101623376623377	0.134791556414002
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella	-0.000925	-0.00138333333333333	-0.00105631313131313	0.150943621574504
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Unassigned	-0.00115119047619048	-0.001	-0.00110555555555556	0.0491893306040365
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter	-0.00126904761904762	-0.00136666666666667	-0.00110916305916306	0.0833902794745674
Bacteria|Firmicutes|Clostridia|Clostridiales|Tissierellaceae|Unassigned	-0.00120119047619048	-0.00113333333333333	-0.00114321789321789	0.0742115182461158
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Actinomyces	-0.00104285714285714	-0.0012	-0.00120732323232323	0.0470827207278446
Bacteria|Tenericutes|Mollicutes|Mycoplasmoidales|Metamycoplasmataceae|Metamycoplasma	-0.00154285714285714	-0.000533333333333333	-0.00123743478743479	0.0763329073575204
