ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HE10P003	HE07P004	HE07P010	HE07P012	HE07P019	HE07P021	HE07P022	HE07P023	HE07P024	HE07P025	HE05P026	HE07P028	HE07P046	HE07P047	HE07P048	HE10P049	HE07P051	HE10P054	HE07P055	HE07P056	HE07P057	HE07P058	HE07P059	HE07P061	HE07P063	HE07P064	HE07P066	HE07P068	HE07P071	HE07P072	HE07P073	HE07P074	HE07P075	HE07P077	HE07P078	DE07P016	DE10P016	DE08P017	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076
ASV_220	-0.747	11.006	0.224809459584594	0.487087162433287	NotSig	0.131	0.263	0.029	0.038	0.009	0.051	0.107	0.226	0.16	0.348	0.045	0.012	0.039	0.004	0.212	0.116	0.114	0.318	0.437	0.335	0.361	0.302	0.141	0.202	0.153	0.108	0.076	0.025	0.01	0.163	0.084	0.065	0.121	0.013	0.077	0.067	0.009	1.11	0.024	0.119	0.264	0.208	0.203	0.055	0.122
ASV_144	-1.004	9.661	0.232950438836447	0.498337014726071	NotSig	0.054	0.135	0.024	0.025	0.002	0.04	0.012	0	0.002	0.045	0	0	0.003	0	0.105	0.123	0.017	0.041	0.069	0.066	0.113	0.027	0.022	0.652	0.091	0.045	0	0.013	0.001	0.253	0.003	0.047	0.006	0.021	0.023	0.013	0	0.002	0	0.006	0.062	0.1	0.538	0.123	0.249
ASV_41	1.035	11.789	0.239938517629337	0.506499795285518	NotSig	0.274	0.208	0	0.003	0.08	0.019	0.003	0.268	0.235	0.227	0.175	0.155	0.018	0.008	0.053	0.152	0.075	0.937	0.406	0.833	0.773	0.119	0.073	0.741	1.765	0.605	0.209	0.827	0.027	0.088	0.156	0.311	0.08	0.034	0.044	0.078	0.023	0.012	0	0.011	0.08	0.072	1.026	0.168	0.294
ASV_85	0.779	11.306	0.242760256911994	0.506499795285518	NotSig	0.216	0.153	0.343	1.198	0.763	0.175	0.441	0.409	0.101	0.052	0.242	0.091	0.27	1.021	0.066	0.086	0.072	0.053	0.106	0.064	0.051	0.17	0.021	0.128	0.208	0.043	0.129	0.008	0.067	0.504	0.052	0.058	0.063	0.08	0.255	0.023	0.135	0.245	0.115	0.406	0.055	0.034	0.268	0.089	0.01
ASV_60	1.26	12.656	0.255279705884661	0.526125247493996	NotSig	0.638	0.269	15.905	1.328	0.019	0.072	1.284	0.061	0.045	1.369	0.062	0.108	0.041	0.027	0.006	0.01	0.213	0.001	0.401	0.016	0.018	0.062	0.005	0.069	0.078	0.004	0.018	0	0.444	0.082	0.248	0.012	0.185	0.01	0.03	0.016	0.08	0.304	0.636	1.042	0.019	0.004	0.037	0.031	0.082
ASV_20	0.996	12.654	0.260420537737791	0.530253865996226	NotSig	0.48	0.305	0.096	0.077	0.028	0	0.032	0.109	0.04	0.116	0.004	0.044	0.023	0.029	0.3	0.276	0.141	1.483	0.28	0.589	3.846	1.72	0.276	0.207	0.725	0.101	0.045	0.313	0.692	0.92	2.17	0.504	0.421	0.497	0.099	0.561	0.028	0.012	0.032	0.02	0.092	0.464	0.194	0.335	1.292
ASV_2	0.772	16.799	0.264314874374309	0.53177635439593	NotSig	9.001	6.615	1.756	1.904	0.479	0.255	0.959	7.623	10.623	20.541	0.721	1.701	36.253	0.99	6.654	7.318	2.209	6.321	5.247	11.14	12.547	8.976	31.09	3.024	7.648	16.123	8.818	13.073	13.047	13.779	10.695	4.896	31.416	3.289	5.756	7.064	1.1	4.245	1.353	0.924	6.997	5.823	19.292	3.7	10.586
ASV_75	-0.748	11.683	0.269134998316968	0.532234937003068	NotSig	0.242	0.475	0.04	0.041	0.004	0.038	0.054	1.309	0.136	0.035	0.064	0.01	0.036	0.016	0.079	0.101	0.035	0.025	1.528	0.037	0.446	0.314	0.052	0.155	0.144	0.13	0.967	0.048	0.374	0.184	0.354	0.05	0.492	0.66	0.396	0.091	0.039	0.139	0.037	0.084	0.055	0.118	1.452	0.298	1.615
ASV_146	-0.789	11.193	0.27084144723233	0.532234937003068	NotSig	0.151	0.236	0.029	0.038	0.011	0.017	0.068	0.035	0.033	0.428	0.012	0	0	0.006	0.254	0.148	0.285	0.345	0.163	0.295	0.065	0.071	0.103	0.562	0.27	0.183	0.071	0.05	0.079	0.902	0.127	0.063	0.139	0.021	0.144	0.256	0.016	0.03	0.013	0.011	0.984	0.194	0.459	0.089	0.109
ASV_47	1.09	12.773	0.274619452599206	0.533456178037537	NotSig	0.683	0.303	0.018	0.038	0.004	0.537	0.017	0.037	0	0.035	0.006	0.012	0	0.004	0.132	0.124	3.279	0.066	0.127	0.397	0.11	0.107	0.04	11.624	0.355	0.787	0.28	2.038	0.239	0.086	0.103	1.899	0.087	0.154	0.968	0.156	0.036	0.057	0.293	0.045	0.494	0.815	0.265	0.404	0.054
