ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HE10P003	HE07P004	HE07P010	HE07P012	HE07P019	HE07P021	HE07P022	HE07P023	HE07P024	HE07P025	HE05P026	HE07P028	HE07P046	HE07P047	HE07P048	HE10P049	HE07P051	HE10P054	HE07P055	HE07P056	HE07P057	HE07P058	HE07P059	HE07P061	HE07P063	HE07P064	HE07P066	HE07P068	HE07P071	HE07P072	HE07P073	HE07P074	HE07P075	HE07P077	HE07P078	DE07P016	DE10P016	DE08P017	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076
ASV_112	-4.216	11.213	1.59287461342484e-10	2.69195809668798e-08	Depleted	0.047	0.988	0.011	0.035	0.007	0.028	0.176	0.106	0.071	0.284	0.041	0.005	0.018	0.006	0.027	0.005	0.001	0.008	0.021	0.021	0.007	0.001	0.005	0.034	0.018	0.094	0.053	0.073	0.016	0.355	0.019	0.012	0.011	0.015	0.022	0.02	0.023	7.328	0.261	0.164	0.015	0.018	0.065	0.051	0.001
ASV_10	-4.746	7.965	0.000358912257873435	0.0303280857903052	Depleted	0.003	0.087	0	0.03	0	0.049	0	0.003	0.014	0.005	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.001	0	0	0.002	0	0	0	0	0.659	0.029	0	0	0	0.007	0
ASV_22	-2.336	13.047	0.00128086106798262	0.0651865059884276	Depleted	0.333	2.026	0.051	0.314	0.157	0.811	0.064	0.024	0.075	0.099	0	0.113	0.558	0.031	0.193	0.26	0.441	0.259	0.062	1.029	4.082	0.172	0.521	0.079	0.047	0.073	0.039	0.02	0.064	0.096	0.568	0.511	0.295	0.034	0.036	0.288	0.201	0.354	13.655	0.024	1.134	0.621	0.086	0.051	0.285
ASV_28	-5.683	11.267	0.00189477496829416	0.0651865059884276	Depleted	0.014	1.094	0	0	0	0	0	0	0	0	0	0	0	0	0.135	0	0.001	0	0	0.08	0.122	0.065	0.082	0.005	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.751	0	0	0
ASV_176	-2.397	9.754	0.00192859485172863	0.0651865059884276	Depleted	0.034	0.218	0	0	0.007	0.089	0	0.005	0.118	0.028	0	0.147	0.172	0.065	0.006	0.004	0.01	0	0.004	0.006	0.058	0.008	0.005	0.045	0.008	0.043	0.111	0.033	0.007	0.016	0.068	0.001	0.004	0.013	0.001	0.08	0.035	0.05	1.52	0.008	0.004	0.004	0.016	0.106	0.036
ASV_122	-2.302	10.211	0.00308991053970362	0.0737176238383873	Depleted	0.058	0.287	0.012	0.003	0	0.247	0.033	0.032	0.59	0.336	0.027	0.157	0.152	0.02	0.001	0.011	0.017	0.004	0.019	0.009	0.067	0	0.046	0.005	0.019	0.016	0.021	0.008	0.003	0.008	0.022	0.107	0.023	0.002	0.003	0.005	0.016	0.139	2.051	0.015	0.007	0.008	0.006	0	0.071
ASV_109	3.175	9.562	0.00349875056748586	0.0737176238383873	Enriched	0.052	0.009	0.008	0.006	0.103	0.026	0.017	0.027	0.016	0.031	0.006	0.069	0.041	0.706	0.003	0.002	0.006	0.003	0.004	0.002	0.036	0.077	0.013	0.004	0.005	0.004	0.006	0	0.007	0.002	0.069	0.008	0.165	0.02	0.005	0.016	0.311	0.017	0.003	0.011	0.003	0.014	0.016	0.003	0.005
ASV_158	5.432	10.057	0.00371653638198337	0.0737176238383873	Enriched	0.122	0.003	0	0.002	0.144	0	0	0.199	2.609	0.44	0.177	0.064	0.319	0	0	0	0.004	0	0	0.005	0.006	0.048	0.021	0	0.001	0	0.011	0	0.064	0.004	0.071	0.001	0.014	0.002	0	0.005	0.062	0	0.003	0	0	0.011	0	0.007	0
ASV_5	-1.697	14.73	0.00410327782748216	0.0737176238383873	Depleted	1.493	4.113	2.213	1.61	0.655	1.601	1.047	0.119	0.118	0.527	0.22	0.147	0.095	0.161	0.703	1.174	3.081	1.038	0.763	4.73	1.176	1.89	1.837	3.056	3.349	2.082	0.286	0.556	3.617	0.694	0.92	0.581	4.139	0.579	3.958	3.267	0.248	1.454	0.481	0.662	15.673	8.292	1.809	2.196	2.337
ASV_67	5.255	13.46	0.00436198957623593	0.0737176238383873	Enriched	0.886	0.036	0	0	0.383	0	0.026	0.003	0	0.291	0	0.977	0.419	25.767	0.01	0.014	0.012	0.003	0.054	0.208	0.014	0.13	0.005	0.019	1.459	0.01	0.005	0	0.011	0.061	0.591	0.006	0.491	0.005	0.011	0.027	0.004	0.003	0.005	0.009	0	0.1	0.065	0.044	0.06
ASV_105	3.835	7.512	0.00544653372300293	0.0836785635624996	Enriched	0.014	0.001	0	0	0.028	0	0	0	0	0.002	0.002	0.005	0	0.008	0	0	0.005	0	0	0.007	0.001	0.09	0.021	0	0.006	0.001	0	0.003	0.031	0.049	0.068	0.036	0.085	0.008	0.008	0.003	0.015	0	0	0	0	0.003	0.006	0	0
ASV_50	4.069	13.095	0.00597010039529658	0.0840789139004268	Enriched	0.928	0.059	0.104	0.108	0	0	0.022	0.04	0.014	0.163	0.004	0	0	0	0.013	0.022	0.255	0.011	0.084	0.153	0.14	16.441	0.094	0.114	0.005	0.013	0.011	0.075	0.254	5.592	5.031	0.384	1.11	1.643	0.513	0.072	0	0.06	0.008	0.021	0.035	0.098	0.071	0.103	0.078
ASV_140	-2.113	10.893	0.00776260516624316	0.0953789364179273	Depleted	0.08	0.605	0.058	0.022	0.002	0.002	0.073	0.098	0.009	0.073	0.002	0.012	0	0.01	0.021	0.061	0.073	0.035	0.055	0.522	0.024	0.052	0.042	0.051	0.005	0.059	0.048	1.188	0.035	0.037	0	0.058	0.017	0.011	0.004	0.031	0.009	0.006	0.003	0.018	0.222	0.225	0.003	4.292	0.067
ASV_91	-2.38	10.454	0.00793883287495996	0.0953789364179273	Depleted	0.062	0.338	0.009	0.016	0.273	0.021	0.011	0.008	0.007	0.002	0	0.221	0.015	0.002	0.006	0	0.075	0.004	0.003	0.037	0.025	0.053	0.004	0.001	0.003	0.001	0.006	0	0.014	0.045	0.003	0	0	1.004	0.237	0.027	0.026	0.023	0.002	0.942	0.208	1.476	0.003	0	0.049
ASV_120	4.203	12.656	0.0084655860725971	0.0953789364179273	Enriched	0.528	0.042	6.194	0.14	0	0	0.399	0.005	0.005	0.605	0.066	0.621	0.211	8.232	0.006	0.012	0.001	0.003	0.007	0.102	0.014	0.006	0.003	0.006	0.064	0.059	0.267	0.028	0.004	0	0.052	0.175	0.011	0.171	0.003	0	1.026	0.002	0	0.006	0	0.169	0.021	0.089	0.048
ASV_106	3.668	8.642	0.0108328837685495	0.111042791697084	Enriched	0.031	0.003	0	0	0.382	0	0	0	0.024	0.026	0.261	0	0	0.01	0	0.034	0.038	0.004	0.001	0.009	0.046	0.005	0.003	0.001	0.019	0.006	0.003	0	0.014	0.008	0.004	0.003	0.003	0.136	0	0.008	0.042	0	0	0	0.005	0.006	0.011	0	0
ASV_407	2.798	7.414	0.011169984963612	0.111042791697084	Enriched	0.011	0.002	0.004	0.002	0.039	0	0.001	0	0	0	0	0.017	0.003	0.008	0.006	0.009	0.007	0.005	0.007	0.001	0.003	0.008	0	0.005	0.009	0.008	0.003	0.003	0.033	0	0.01	0	0.095	0.005	0.007	0.044	0.039	0	0	0	0	0.01	0.003	0.003	0
ASV_6	2.49	14.726	0.0149740995333041	0.140590156729355	Enriched	2.005	0.518	0.534	0.556	0.243	0.068	0.273	0.09	0.056	0.028	0.563	0.169	0.232	0.155	14.745	17.764	0.469	0.259	1.066	1.369	1.838	0.92	0.757	0.322	1.219	0.161	0.122	0.155	6.214	5.694	3.639	0.123	1.108	5.995	1.14	2.099	0.011	0.528	0.015	0.208	0.62	0.89	0.786	0.831	0.262
ASV_101	4.122	7.936	0.017662810737128	0.15314180131334	Enriched	0.022	0.001	0	0	0	0	0	0.053	0	0	0.012	0.115	0.026	0.006	0.008	0.006	0	0.003	0.004	0.001	0	0.001	0.005	0	0	0.003	0.002	0	0.107	0.21	0	0	0.176	0	0	0.023	0	0	0	0	0.001	0.006	0	0	0
ASV_115	-1.856	11.982	0.0181232900962532	0.15314180131334	Depleted	0.2	0.556	0.024	0.047	0.015	0.077	0.012	0.008	0.019	0.546	0.014	0.027	0	0.002	0.063	0.111	0.817	0.153	0.064	0.197	0.12	0.196	0.04	0.42	0.074	0.033	0.24	0.073	1.967	0.022	0.084	0	0.188	0.038	0.027	1.255	0.023	0.071	0.011	0.017	3.294	0.42	0.125	0.352	0.154
ASV_16	3.056	14.376	0.019037159712012	0.153203809110954	Enriched	1.389	0.332	0.119	0.286	0.004	0.221	0.176	0	0.061	0.012	0.008	0.002	0.018	0.004	9.382	21.058	0.293	0.288	0.174	0.037	0.436	0.014	0.189	0.466	0.376	3.237	6.168	0.739	0.107	0.024	0.22	0.898	0.26	2.45	0.03	0.016	0.829	0.282	0.055	0.204	0.001	0.243	0.583	0.889	0.397
ASV_123	-1.732	10.764	0.0235524523176868	0.180925656440412	Depleted	0.112	0.318	0.046	0.028	0	0.332	0.062	0.027	0.209	0.014	0.008	0.007	0.003	0.002	0.129	0.044	0.134	0.011	0.109	0.004	0.011	0.009	0.056	0.128	1.41	0.049	0.006	0.063	0.02	0.008	0.019	0.04	0.619	0.082	0.207	0.028	0.005	0.143	0	0.077	0.004	0.009	0.106	0.055	2.152
ASV_95	3.183	13.588	0.0252798497341526	0.185751939350948	Enriched	0.528	0.132	0.042	0.03	0.002	0.008	0.03	0.016	0.007	0.005	0	0.007	0.023	0.002	0.114	0.108	0.148	12.903	0.003	0.799	0.103	0.148	0.606	0.052	0.095	1.45	0.188	0.96	0.08	0.035	0.26	0.186	0.053	0.008	0.011	0.003	0.005	0.024	0.01	0.026	0.32	0.199	0.184	0.277	0.019
ASV_135	3.151	11.821	0.0273815233712557	0.188812348453656	Enriched	0.353	0.038	0.003	0.006	2.74	0.004	0.047	0.005	0.007	0.073	0.053	0.005	0	0	0	0.036	0.005	0	8.536	0.002	0.015	0.023	0	0.004	0.201	0.004	0.021	0.013	0.121	0.069	0.055	0.015	0.111	0.11	0.03	0.045	0.004	0.027	0.066	0.071	0.054	0.006	0.003	0.027	0.049
ASV_92	3.577	12.152	0.0279308207771681	0.188812348453656	Enriched	0.46	0.038	0.005	0.008	0	0	0.003	0	0	0.017	0.002	0	0.003	0	0.001	0.01	0.079	0.1	0.032	0.093	0.1	7.751	0.129	0.029	0.051	0.049	0.002	0.018	0.004	0.049	7.234	0.116	0.101	0.002	0.12	0.006	0	0.005	0.006	0.002	0.099	0.019	0.17	0	0.004
ASV_23	1.659	13.332	0.0307276271201234	0.199729576280802	Enriched	0.768	0.353	0.959	0.627	0.743	2.104	3.474	0.65	0.367	0.709	0.54	0.839	0.45	1.419	0.044	0.105	0.595	0.142	0.362	0.105	0.129	0.297	0.09	0.509	0.663	0.403	0.575	0.085	0.538	0.476	0.128	0.103	0.155	0.341	0.706	2.876	4.57	0.924	0.296	0.522	0.138	0.123	0.391	0.256	0.174
ASV_126	-1.662	8.614	0.0325971400748781	0.203422219569161	NotSig	0.021	0.082	0	0.003	0.007	0.006	0.024	0.069	0.071	0.099	0.055	0.042	0.015	0.029	0.001	0	0.004	0.004	0.007	0.002	0	0.003	0.003	0.026	0.07	0.006	0	0.013	0.01	0.082	0.003	0.001	0.006	0.003	0.014	0	0.058	0.419	0	0.078	0	0.003	0.124	0.031	0.005
ASV_9	1.557	13.77	0.0337030896327604	0.203422219569161	NotSig	1.055	0.539	1.422	1.141	0.744	3.052	3.348	0.924	0.623	0.839	1.011	0.773	0.553	2.08	0.111	0.133	0.427	0.165	0.524	0.123	0.235	0.603	0.109	0.652	1.687	0.589	0.922	0.188	0.417	1.521	0.335	0.492	0.347	0.479	1.956	2.007	6.384	1.387	0.427	0.645	0.131	0.072	0.686	0.718	0.242
ASV_125	3.08	8.444	0.0378420882549765	0.220528031554863	NotSig	0.038	0.004	0.003	0.002	0.004	0	0	0.289	0.334	0.366	0.226	0.017	0.008	0.004	0	0.001	0.006	0	0.004	0	0.003	0.001	0.001	0.017	0.014	0.008	0.003	0	0	0.006	0.016	0	0	0.002	0	0	0	0.011	0	0.014	0.001	0	0.006	0	0
ASV_97	1.608	11.449	0.0426844357917535	0.226703553150277	NotSig	0.216	0.095	0.351	0.233	0.694	0.364	0.277	0.167	0.181	0.13	1.763	0.091	0.229	0.449	0.01	0.01	0.072	0.02	0.182	0.031	0.096	0.123	0.017	0.107	0.202	0.021	0.085	0.01	0.069	0.033	0.021	0.029	0.305	0.09	0.167	0.145	0.795	0.208	0.05	0.231	0.032	0.133	0.065	0.027	0.014
ASV_87	2.144	12.33	0.0427277376191486	0.226703553150277	NotSig	0.416	0.125	0.294	0.762	4.414	0.737	0.308	0.393	0.045	0.18	0.107	0.486	0.329	4.581	0.013	0.01	0.024	0.007	0.036	0.044	0.047	0.075	0.005	0.138	0.13	0.018	0.056	0	0.072	0.043	0.021	0.019	0.098	0.034	0.019	0.1	0.922	0.33	0.068	0.321	0.004	0.221	0.027	0.017	0.016
ASV_33	-1.569	13.552	0.0432343299528909	0.226703553150277	NotSig	0.676	1.471	0.216	0.129	0.071	0.023	0.14	0.491	0.155	2.374	0.604	0.042	0.018	0.008	0.186	0.324	7.309	0.36	0.094	3.319	0.391	0.524	0.321	0.048	0.071	0.083	0.338	0.063	0.222	0.076	2.928	0.815	0.195	0.929	0.278	0.471	0.042	0.054	0.006	0.033	8.486	2.287	0.257	0.109	0.53
ASV_167	2.26	9.943	0.0474640445656766	0.226703553150277	NotSig	0.083	0.022	0.224	0.08	0.002	0	0.024	0.056	0	0.017	0.004	0.002	0	0	0.043	0.599	0.326	0.025	0.017	0.019	0.013	0.023	0.001	0.695	0.008	0.038	0.006	0.003	0.019	0.012	0.009	0.023	0.01	0.276	0.037	0.288	0.003	0	0	0	0.015	0.066	0.049	0.027	0.019
ASV_51	1.803	12.409	0.0482969951184237	0.226703553150277	NotSig	0.392	0.172	0.769	1.045	0.507	0.03	1.329	0.281	0.082	0.392	0.242	1.468	0.528	2.039	0.018	0.047	0.025	0.004	0.258	0.098	0.046	0.068	0.043	0.069	0.274	0.033	0.295	0.04	0.211	0.069	0.136	0.023	0.283	0.049	0.037	0.031	2.839	0.102	0.057	0.666	0.02	0.114	0.06	0.294	0.065
ASV_40	1.93	14.048	0.0488411894873226	0.226703553150277	NotSig	1.145	0.533	0.169	0.182	0.03	0.081	0.294	0.319	0.195	0.175	0.072	0.044	0.216	0.027	0.409	0.159	0.731	0.176	0.315	0.634	0.289	0.369	1.098	2.338	1.577	23.464	1.267	1.003	0.169	0.61	0.754	0.69	1.111	0.302	0.36	0.341	0.116	0.364	0.016	0.074	0.458	0.218	2.209	0.581	0.346
ASV_71	2.475	11.469	0.0490805445861258	0.226703553150277	NotSig	0.284	0.062	0.071	0.061	0.011	7.598	0.006	0.003	0.005	0.002	0.008	0.005	0	0	0.018	0.017	0.236	0.011	0.066	0.021	0.006	0.257	0.013	0.159	1.044	0.033	0.008	0	0.011	0.024	0.025	0.014	0.125	0.005	0.056	0.003	0.001	0.179	0.029	0.018	0.011	0.026	0.133	0.065	0.032
ASV_104	2.092	11.61	0.0496333222873388	0.226703553150277	NotSig	0.251	0.083	0.129	0.102	0.181	0.138	0.513	0.053	0.075	0.104	1.611	0.366	0.033	0.024	0.005	0.143	0.099	0.008	0.006	0.01	0.013	0.017	0.007	0.001	0.004	0.049	4.397	0.028	0.333	0.027	0.109	0.001	0.011	0.043	0.051	0.019	0.071	0.041	0.008	0.339	0.004	0.051	0.008	0.185	0.029
ASV_53	2.72	14.045	0.0561327295487622	0.245999529305245	NotSig	1.63	0.27	10.899	6.434	2.579	0.006	0.406	0.313	13.22	0.449	13.906	7.2	0.79	0.133	0.001	0	0.101	0.008	0.021	0.096	0.006	0.01	0.005	0.007	0.049	0.025	0.013	0	0.071	0.004	0.016	0.008	0.067	0.018	0	0.013	0.166	0.035	0.223	1.696	0.028	0.093	0.038	0.024	0.025
ASV_17	1.978	14.008	0.0567691221473642	0.245999529305245	NotSig	1.198	0.468	0.029	0.017	0.107	0.028	0.053	0.045	0.061	0.08	0.027	0.11	0.087	0.037	0.764	0.422	13.152	4.081	0.992	0.749	4.641	0.545	0.852	1.311	3.732	0.553	2.743	4.363	0.299	0.253	0.209	0.486	0.536	0.172	0.1	0.117	0.183	0.062	0	0.053	0.671	0.188	1.711	0.756	0.306
ASV_29	1.621	12.619	0.0602251289013843	0.254451169608349	NotSig	0.571	0.221	0.87	0.222	2.645	0.09	0.434	0.308	1.655	0.577	5.85	1.163	0.216	0.425	0.009	0.019	0.077	0.001	0.213	0.072	0.028	0.07	0.033	0.694	1.099	0.101	0.079	0.065	0.564	0.251	0.288	0.173	0.353	0.832	0.391	0.052	0.069	0.107	0.084	1.068	0.027	0.038	0.132	0.26	0.056
ASV_121	1.547	11.032	0.0652782716737667	0.269073851533331	NotSig	0.18	0.08	0.216	0.031	0.006	0.004	0.044	0.016	0.009	0.021	0.008	0.65	0.015	0.006	0.017	0.111	0.35	0.023	0.041	0.282	0.019	0.027	0.077	0.969	0.39	0.351	0.211	0.576	0.27	0.067	0.029	0.49	0.142	0.3	0.108	0.411	0.005	0.021	0.002	0.041	0.058	0.015	0.133	0.25	0.122
ASV_207	2.393	9.17	0.0677532369007615	0.272626119910207	NotSig	0.054	0.011	0	0	0	0.002	0.001	0.053	0.635	0.05	0.031	0.091	0.571	0.112	0.001	0.009	0	0	0.003	0.006	0.056	0.003	0.004	0	0.012	0	0.002	0.038	0	0	0.024	0.16	0.02	0	0	0.016	0.005	0.012	0.053	0.002	0.003	0.001	0.005	0.007	0.004
ASV_13	-1.312	13.587	0.0728477324569677	0.286308529889012	NotSig	0.853	2.172	0.145	0.101	0.144	1.214	0.449	1.221	2.849	1.539	0.242	0.427	13.318	0.323	0.048	0.065	0.141	0.041	0.062	0.146	0.179	0.157	0.1	0.277	0.156	0.19	0.129	0.414	0.012	2.545	0.608	0.439	0.178	0.053	1.173	0.647	0.109	1.149	12.774	0.262	0.063	0.061	1.7	0.215	1.149
ASV_72	1.587	11.094	0.0762888614544943	0.293018581495671	NotSig	0.186	0.064	0.099	0.047	1.24	0.134	0.004	0.488	0.432	0.319	1.126	0.348	0.057	0.345	0.206	0.03	0.118	0.011	0.017	0.034	0.313	0.072	0.005	0.006	0.008	0.001	0.048	0.013	0.242	0.016	0.028	0.085	0.055	0.205	0.134	0.113	0.12	0.002	0.024	0	0.103	0.152	0.003	0.085	0.14
ASV_116	1.371	10.819	0.0896330478386663	0.33662189077188	NotSig	0.159	0.081	0.021	0.058	0.14	0.032	0.054	0.016	0.005	0.033	0.021	0.012	0.005	0.004	0.287	0.035	0.028	0.025	0.055	0.029	0.032	0.045	0.035	0.129	0.082	0.559	0.27	0.045	0.186	0.125	0.777	0.043	0.869	0.179	1.265	0.075	0.004	0.069	0.026	0.086	0.017	0.066	0.043	0.28	0.057
ASV_128	3.596	10.641	0.101536339811092	0.363133559982764	NotSig	0.163	0.021	0	0	0	0	0	0	0	0	0	0.002	0.005	0.004	0	0	0.008	0	0	0.005	0	0.004	0.009	0	0	0.008	0.032	0.055	2.109	0	0.143	0.094	3.085	0	0.004	0.136	0	0	0	0	0	0.003	0.013	0.15	0
ASV_7	1.352	13.921	0.104404304043153	0.363133559982764	NotSig	1.416	0.658	0.691	0.327	2.531	0.09	5.477	2.097	1.535	7.591	0.82	4.174	1.966	5.744	0.041	0.056	0.118	0.055	0.276	0.595	0.138	0.134	0.538	0.769	7.064	0.495	0.188	0.261	0.141	0.157	0.302	0.101	0.487	0.341	0.346	0.091	3.832	1.93	0.379	1.651	0.037	0.238	0.372	0.448	0.207
ASV_26	1.253	12.488	0.10895764923784	0.363133559982764	NotSig	0.414	0.253	0.881	0.781	0.638	0.162	0.604	1.579	0.458	0.56	0.543	0.609	0.803	1.094	0.028	0.189	0.414	0.049	0.13	0.061	0.153	0.201	0.04	0.058	0.053	0.035	0.238	0.045	0.118	0.049	0.093	0.04	0.195	0.202	0.056	0.485	2.858	0.315	0.267	0.558	0.074	0.019	0.14	0.397	0.254
ASV_154	0.983	10.463	0.111778658406403	0.363133559982764	NotSig	0.121	0.077	0.158	0.569	0.301	0.008	0.071	0.308	0.026	0.021	0.218	0.049	0.08	0.114	0.043	0.036	0.037	0.055	0.228	0.057	0.202	0.27	0.018	0.097	0.077	0.029	0.148	0.055	0.077	0.478	0.062	0.091	0.074	0.049	0.019	0.033	0.063	0.045	0.024	0.062	0.048	0.093	0.095	0.226	0.026
ASV_870	-1.125	10.019	0.112020798894331	0.363133559982764	NotSig	0.058	0.129	0.007	0.035	0.006	0.034	0.003	0.037	0.024	0.024	0.008	0.02	0.049	0.006	0.022	0.116	0.107	0.056	0.017	0.435	0.185	0.088	0.07	0.057	0.005	0.026	0.008	0	0.005	0.018	0.001	0.099	0.021	0.013	0.059	0.353	0.02	0.072	0.065	0.009	0.343	0.42	0.052	0.014	0.053
ASV_79	1.15	12.261	0.113914317792211	0.363133559982764	NotSig	0.388	0.192	0.046	0.055	0.148	0.147	0.085	0.64	0.284	0.721	0.043	0.047	0.152	0.055	0.355	0.413	0.355	1.367	0.839	0.293	1.44	1.872	0.098	0.722	0.637	0.079	0.072	0.178	0.273	0.923	0.28	0.295	0.226	0.033	0.282	0.122	0.012	0.047	0.092	0.065	0.395	0.155	0.337	0.113	0.333
ASV_88	1.683	10.474	0.114160128538891	0.363133559982764	NotSig	0.126	0.045	0.087	0.005	0.221	0.055	0.209	0.111	0.79	0.225	1.533	0.4	0.149	0.086	0	0.001	0.032	0.007	0.014	0.009	0.001	0.005	0	0.189	0.106	0.006	0.006	0.005	0.001	0.012	0.018	0.026	0.009	0.003	0.007	0.002	0.071	0.056	0.04	0.226	0	0.008	0.014	0.007	0.01
ASV_15	-1.242	13.42	0.114286162056	0.363133559982764	NotSig	0.693	1.926	0.154	0.239	0.189	2.247	1.4	0.576	6.24	0.986	0.232	1.976	3.585	1.396	0.014	0.019	0.078	0.027	0.07	0.077	0.04	0.071	0.044	0.621	0.716	0.064	0.232	0.04	0.023	0.125	0.056	0.032	0.051	0.033	0.491	0.031	2.09	7.042	6.637	0.849	0.017	0.097	0.229	0.448	0.086
