ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HG00P003	HG00P010	HG00P011	HG00P012	HG00P014	HG00P021	HG00P022	HG00P023	HG00P024	HG00P025	HG00P026	HG00P028	HG00P046	HG00P047	HG00P048	HG00P050	HG00P051	HG00P055	HG00P056	HG00P058	HG00P059	HG00P061	HG00P063	HG00P064	HG00P066	HG00P071	HG00P072	HG00P073	HG00P074	HG00P075	HG00P077	HG00P078	HG00P082	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083
ASV_70	-0.78	11.341	0.332370114893866	0.607143784889299	NotSig	0.165	0.361	0.045	0.003	0.019	0.99	0.018	0.021	0.024	0	0.002	0.327	0.008	0.015	0.008	0.017	0.052	0.029	0.108	0.007	0.134	0.046	0.022	0.215	0.01	0.786	0.102	0.078	0.199	0.078	0.063	0.836	0.561	0.618	0.002	0.519	0.011	0.174	1.332	0.04	0.621	0.188	0.004
ASV_123	-0.768	10.378	0.337112152828741	0.607143784889299	NotSig	0.089	0.191	0.095	0.012	0.011	0.239	0.001	0.002	0.024	0.006	0.018	0.008	0.037	0	0.014	0.01	0.037	0.009	0.041	0.004	0.015	0.053	0.046	0.071	0.87	0.015	0.063	0.128	0.027	0.035	0.061	0.055	0.812	0.101	0.002	0.241	0.656	0.014	0.191	0.059	0.368	0	0.002
ASV_151	0.911	10.314	0.338157359851977	0.607143784889299	NotSig	0.103	0.065	0.025	0.101	0.053	0	0.018	0.111	0.005	0	0.002	0.022	0.008	0.015	0.013	0.874	0.05	0.004	0.199	0.016	0.018	0.017	0.523	0.341	0.005	0.177	0.032	0.201	0.029	0.012	0.365	0.008	0.021	0.123	0.002	0.007	0.001	0.043	0.019	0.404	0.047	0.002	0
ASV_95	0.928	10.74	0.339261506961481	0.607143784889299	NotSig	0.128	0.084	0.036	0.015	0.002	0.015	0	0.033	0.026	0.013	0.004	0	0	0	0.363	0.119	0.088	0.071	0.204	0.963	0.096	0.321	0.064	0.092	0.007	0.159	0.609	0.062	0.379	0.409	0.049	0.003	0.025	0.009	0.002	0.005	0.104	0.091	0.302	0.096	0.072	0.002	0.004
ASV_18	0.961	13.323	0.346253469980502	0.607143784889299	NotSig	0.903	0.525	10.307	0.252	0.566	0.006	0.706	0.051	1.133	0.023	0.078	0.141	0.104	0.234	0.033	0.054	0.018	0.045	0.055	0.019	0.051	0.034	0.026	0.051	14.395	0.048	0.063	0.317	0.06	0.014	0.388	0.285	0.019	0.121	0.114	0.262	2.828	0.02	0.234	0.458	0.232	0.066	0.104
ASV_203	0.8	10.033	0.34645251284816	0.607143784889299	NotSig	0.083	0.054	0.5	0.079	0.151	0	0.106	0.672	0.076	0.004	0.004	0.016	0.034	0.153	0.005	0.014	0.018	0.016	0.039	0.011	0.018	0.004	0.035	0.014	0.514	0.022	0.01	0.033	0.049	0.017	0.061	0.003	0.015	0.009	0.023	0.041	0.218	0.006	0.018	0.026	0.002	0.107	0.014
ASV_207	1.198	10.801	0.348478977125811	0.607143784889299	NotSig	0.132	0.044	0	0.005	0	0.002	0.001	0	0.158	0.062	0.062	2.781	0.755	0.107	0.048	0.004	0.006	0.001	0.009	0.001	0.056	0.003	0.003	0.006	0	0.007	0	0.005	0.01	0.036	0.081	0.001	0.004	0.004	0.126	0.007	0	0.001	0.05	0.004	0.002	0.046	0.245
ASV_1	0.629	16.626	0.362215179755631	0.624636381415322	NotSig	7.906	6.578	1.006	7.501	9.457	7.031	1.644	3.9	0.984	0.506	1.412	1.779	1.259	0.623	17.091	32.834	21.85	4.018	12.816	7.9	27.951	9.092	6.758	7.807	5.093	5.662	3.624	9.593	13.65	5.803	2.077	2.224	23.263	4.207	0.501	11.728	3.268	4.317	7.836	18.938	6.157	0.17	0.213
ASV_48	0.857	13.344	0.366769799564317	0.62610198107444	NotSig	0.896	0.524	0.093	0.141	0.157	0.151	0.03	0.162	0.064	0.041	0.029	0.01	0.013	0.159	0.346	0.451	2.012	0.048	1.817	0.785	0.22	0.249	18.936	0.53	0.024	0.173	0.209	0.208	0.072	0.018	2.053	0.085	0.128	0.104	0.048	0.612	0.424	1.488	0.116	1.31	0.187	0.021	0.034
ASV_115	0.763	11.049	0.37095773829304	0.626918577715238	NotSig	0.171	0.118	0.012	0.003	0.046	0.053	0.004	0.049	0.026	0.019	0.007	0.002	0.003	0.063	0.027	0.605	0.079	0.068	0.485	0.07	0.276	0.116	0.079	0.112	0.034	0.502	0.447	0.215	0.01	0.001	0.406	0.757	0.257	0.778	0.015	0.014	0.008	0.072	0.327	0.448	0.064	0.009	0.002
ASV_3	0.702	14.988	0.377964486606862	0.628145116953164	NotSig	2.513	2.177	2.402	1.477	1.778	0.199	1.207	2.685	2.003	1.719	1.78	0.376	0.342	0.232	0.172	0.054	1.026	0.084	0.288	0.096	1.014	0.661	0.173	1.981	5.222	3.108	0.81	3.419	1.028	15.157	7.906	13.271	9.538	1.648	0.063	4.475	0.817	0.413	4.48	0.326	6.489	0.07	0.349
ASV_169	0.819	10.389	0.379117171178833	0.628145116953164	NotSig	0.123	0.072	0.025	2.188	0.146	0.002	0.071	0.006	0.014	0.015	0.02	0	0.002	0.006	0.022	0.073	0.026	0.007	0.137	0.011	0.009	0.11	0.039	0.158	0.23	0.037	0.01	0.026	0.02	0.054	0.026	0.383	0.119	0.055	0	0.012	0.001	0.063	0.362	0.011	0.123	0.004	0.002
ASV_78	0.762	12.053	0.383903948919874	0.629900654052996	NotSig	0.355	0.245	0.055	0.683	1.743	2.513	0.078	0.043	0.014	0.009	0.011	0.067	0.006	0.008	0.203	0.036	0.03	1.593	0.462	0.059	0.09	0.075	0.077	0.636	0.86	0.192	0.234	0.985	0.742	0.053	0.069	0.014	0.013	0.031	0.017	0.053	0.953	0.085	0.582	0.11	0.166	0.007	0.004
ASV_105	0.923	8.531	0.392501018433306	0.634055208071715	NotSig	0.032	0.019	0	0.064	0.25	0	0.03	0	0	0	0.002	0.018	0.002	0.023	0.002	0	0.009	0.017	0	0.004	0.011	0.001	0	0.009	0.296	0.018	0.118	0.04	0.059	0.007	0.034	0.018	0	0.003	0.02	0	0	0	0.014	0.001	0.106	0.014	0.014
