ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HG00P003	HG00P010	HG00P011	HG00P012	HG00P014	HG00P021	HG00P022	HG00P023	HG00P024	HG00P025	HG00P026	HG00P028	HG00P046	HG00P047	HG00P048	HG00P050	HG00P051	HG00P055	HG00P056	HG00P058	HG00P059	HG00P061	HG00P063	HG00P064	HG00P066	HG00P071	HG00P072	HG00P073	HG00P074	HG00P075	HG00P077	HG00P078	HG00P082	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083
ASV_57	-6.493	13.922	4.87275170888667e-09	8.23495038801847e-07	Depleted	0.06	3.376	0.017	0	0.003	0.002	0	0.002	0	0	0	0	0.002	0	0.024	0.041	0.936	0.001	0.011	0.003	0.038	0	0	0.006	0.002	0.011	0.03	0.036	0.031	0.011	0.575	0.014	0.019	0.066	0.101	0.046	0.037	0.018	0.001	0.046	0	0.141	26.721
ASV_142	7.802	14.051	0.00183404936682956	0.154977171497098	Enriched	0.717	0.007	1.715	0	0.002	0	0.001	0.008	0.603	20.704	0.22	0.031	0.008	0.033	0.016	0.012	0.007	0	0.034	0.012	0.029	0	0.004	0.002	0.091	0.074	0	0	0.02	0.008	0.014	0	0	0.005	0.025	0.002	0	0.026	0.019	0	0	0.009	0
ASV_55	-1.898	12.937	0.0037666736034173	0.159063853725563	Depleted	0.385	1.022	0.023	0.05	0.476	0.215	0.028	0.062	2.268	0.147	0.71	0.791	0.779	0.036	0.373	0.166	0.21	0.157	0.332	0.158	0.17	0.21	0.799	0.438	0.041	0.103	0.134	0.294	0.029	0.014	0.201	0.467	0.533	2.157	0.129	0.269	0.033	1.875	0.323	0.366	0.334	0.089	4.883
ASV_128	6.742	10.752	0.00384768718524637	0.159063853725563	Enriched	0.186	0.001	0	0	0	0	0	0.01	0	0.023	0	0.004	0.011	0.004	0.001	0	0.003	0	0	0	0	0.006	0.006	0.281	0	0.192	0.585	0.324	0.183	0.132	3.946	0	0.002	0.415	0	0	0	0.007	0	0.003	0	0	0
ASV_125	7.909	13.511	0.00743605571877925	0.159063853725563	Enriched	0.483	0.005	0.078	0.065	0.005	0	0.053	0.008	0.641	14.504	0.442	0.039	0.006	0	0	0	0	0.02	0.032	0.008	0	0.001	0.008	0	0	0.011	0	0	0	0	0	0	0	0	0.005	0.002	0.003	0	0	0.003	0	0.03	0
ASV_73	-1.889	11.832	0.0075323725115651	0.159063853725563	Depleted	0.196	0.954	0.29	0.017	0.011	0.07	0.028	0.146	0.002	0.013	0.004	0.002	0.002	0	0.031	0.047	0.156	0.075	0.327	0.108	0.173	0.07	0.057	0.738	0.014	1.026	0.104	0.476	0.137	0.072	0.058	0.169	0.473	0.989	0.574	0.292	0.177	0.546	0.15	0.571	5.721	0.007	0.166
ASV_89	2.957	12.405	0.00760341568597275	0.159063853725563	Enriched	0.451	0.071	0.075	3.913	0.196	2.638	0.063	0	0.038	0.03	1.412	0.254	0.01	0.004	0.125	0.031	0.026	4.252	0.259	0.019	0.066	0.064	0.017	0.035	0.036	0.144	0.228	0.159	0.062	0.035	0.04	0.028	0.316	0.113	0.192	0.003	0.059	0.029	0.032	0.069	0.145	0.204	0.032
ASV_100	-1.735	10.411	0.00834216016432811	0.159063853725563	Depleted	0.066	0.167	0.03	0.045	0.091	0.033	0.107	0.006	0.035	0.009	0.349	0.11	0.173	0.192	0.001	0.122	0.25	0.009	0.057	0.025	0.044	0.015	0.028	0.015	0.006	0.081	0.022	0.069	0.037	0.026	0.061	0.004	0.015	0.021	0.102	0.082	0.136	0.006	0.009	0.189	0.002	0.093	0.822
ASV_177	2.964	9.848	0.00982178139126148	0.159063853725563	Enriched	0.095	0.013	0.025	0.062	0.016	0.004	0.013	0	0.033	0.009	0.033	0.09	0.013	0.019	0.012	0.006	0.004	0.019	0.053	0.004	0.008	0	0.006	0.002	0	0.026	0.073	1.248	0.012	0.025	0.094	0.03	0.981	0.218	0	0.02	0.003	0.001	0	0.032	0.038	0.007	0.004
ASV_67	3.238	11.9	0.0101185647357544	0.159063853725563	Enriched	0.324	0.045	0	0.032	0.181	0	0.021	0.014	0.002	0	0.215	0.64	0.545	7.53	0.01	0.031	0.014	0.022	0.016	0.026	0.057	0.011	0.033	0.048	0.043	0.196	0.018	0.047	0.384	0.022	0.182	0.025	0.086	0.016	0.233	0.009	0.004	0.016	0.006	0.179	0.106	0.021	0.016
ASV_9	-1.636	14.48	0.0103532685856875	0.159063853725563	Depleted	1.223	2.606	0.388	0.794	4.614	2.154	0.677	0.282	0.452	0.365	0.937	1.349	0.381	0.38	1.614	0.543	0.907	0.112	0.821	0.043	0.173	3.937	1.043	0.813	0.774	0.963	0.165	0.928	0.476	1.195	0.898	0.256	0.37	1.566	9.977	0.762	1.209	0.136	0.455	0.47	1.356	1.375	15.086
ASV_135	2.786	10.015	0.0126806894194775	0.178586375990975	Enriched	0.111	0.018	0.005	0.185	0.285	0	0.161	0.086	0.017	0	0.002	0.002	0.003	0.008	0	0.004	0.084	0.049	0.398	0.008	0.009	0.003	0.001	0.017	0.002	0.321	0.071	0.44	0.025	0.094	1.283	0.065	0.01	0.028	0.008	0.048	0.023	0.01	0.001	0.011	0.049	0	0
ASV_51	2.16	12.283	0.0139015398449396	0.180720017984214	Enriched	0.428	0.11	2.72	0.173	0.281	0.015	0.17	2.843	0.447	0.032	0.477	0.325	0.432	2.133	0.037	0.181	0.047	0.056	0.094	0.054	0.05	0.066	0.054	0.058	2.24	0.155	0.148	0.185	0.103	0.035	0.196	0.043	0.036	0.058	0.169	0.065	0.266	0.038	0.045	0.098	0.159	0.122	0.086
ASV_120	3.628	11.889	0.0155010601771036	0.187119940709322	Enriched	0.314	0.025	0.308	0	0	0	0.061	0.031	0.005	0	0.082	0.376	0.329	7.957	0.002	0.001	0.133	0.012	0.023	0.004	0.02	0	0.01	0.006	0.015	0.022	0.016	0.078	0.023	0.551	0.023	0.172	0.033	0.01	0.053	0.002	0.004	0.001	0	0.094	0.004	0.036	0.06
ASV_86	2.617	10.796	0.0177045956848007	0.199471778048755	Enriched	0.15	0.027	0	0.02	0.04	0	0.015	0.056	0	0	0.002	0.08	0.118	1.087	0.171	0.286	0.035	0.426	0.538	0.333	0.059	0.117	0.011	0.031	0	0.233	0.609	0.024	0.135	0.006	0.299	0.114	0.004	0.06	0.038	0	0	0.026	0.045	0.05	0.028	0.046	0.019
ASV_159	-1.548	10.825	0.0198207831885476	0.20152873500605	NotSig	0.107	0.324	0.011	0.062	1.177	0.015	0.034	0.006	0.071	0.041	0.215	0.133	0.593	0.056	0.106	0.122	0.011	0.179	0.119	0.06	0.056	0.008	0.036	0.023	0.016	0.055	0.012	0.036	0.023	0.051	0.051	0.01	0.008	0.013	0.131	1.865	0.074	0.012	0.036	0.024	0.087	0.073	0.422
ASV_92	3.831	12.644	0.0220688814340732	0.20152873500605	NotSig	0.535	0.049	0.014	0.018	0.011	0	0	0.014	0	0	0	0	0	0	0.297	0.003	0.003	0.02	0.021	0.047	0.059	5.609	0.025	0.214	0.528	0.406	0.01	0.104	9.864	0.072	0.094	0.004	0.006	0.218	0.005	0	0.007	0.01	0.237	0.057	0.064	0.011	0.005
ASV_6	1.896	13.946	0.0225580787804372	0.20152873500605	NotSig	1.367	0.492	0.522	3.677	1.372	1.465	0.17	1.435	0.017	0.009	0.693	0.18	0.179	0.207	0.792	0.191	1.248	7.158	3.97	0.697	4.838	1.487	0.461	0.693	0.216	2.462	2.074	1.174	1.971	1.112	0.422	2.291	0.517	1.372	0.025	0.162	0.19	0.398	0.513	0.914	1.739	0.02	0.002
ASV_16	2.882	13.582	0.0226570767166565	0.20152873500605	NotSig	0.951	0.18	0.126	0.393	0.006	0.317	0.004	0.136	0.005	0.006	0.016	0.004	0.016	0.004	0.61	0.411	1.002	0.023	0.922	0.117	0.13	0.124	0.297	0.18	0	0.41	0.307	0.665	0.32	22.897	0.299	1.388	0.184	0.069	0.003	0.515	0.082	0.265	0.01	0.49	0.051	0.011	0.016
ASV_176	-1.998	10.677	0.0254042794986639	0.21466616176371	NotSig	0.063	0.199	0	0.064	0.003	0.004	0.005	0.006	0.038	0.271	0.007	0.176	0.181	0.104	0.105	0.017	0.003	0	0.005	0.018	0.03	0.004	0.053	0.017	0	0.066	0.008	0.007	0.031	0	0	0.011	0.029	0.02	0.787	0.114	0.003	0.011	0.011	0.012	0.009	0.166	1.265
ASV_50	2.834	12.826	0.0336060488743215	0.270448679036206	NotSig	0.642	0.136	0.118	0.008	0.045	0.002	0.003	0.066	0.009	0	0.004	0	0	0.015	0.03	0.001	0.016	0.233	1.998	0.08	0.143	0.175	0.02	0.358	0.898	1.229	0.197	0.497	13.819	0.13	0.509	0.077	0.107	0.387	0.005	0.024	0.06	0.02	0.146	0.04	0.795	0.005	0
ASV_97	-1.279	11.522	0.0370010622760665	0.284235432938874	NotSig	0.167	0.297	0.12	0.054	0.128	0.239	0.057	0.167	0.064	0.109	0.215	0.417	0.142	0.098	0.041	0.093	0.092	0.019	0.066	0.019	0.032	0.932	0.22	0.14	0.159	0.037	0.02	0.694	0.053	0.04	0.201	0.161	0.044	0.246	0.403	0.082	0.196	0.011	0.112	0.132	0.106	0.175	1.56
ASV_2	1.576	16.689	0.0388363157578001	0.285362494046444	NotSig	8.76	3.786	2.12	9.681	3.955	0.646	1.07	1.869	0.92	0.6	1.13	0.992	2.293	2.693	9.99	1.546	31.642	30.146	7.732	17.625	16.121	29.908	9.087	8.285	2.294	9.855	19.715	12.344	15.179	4.883	9.565	2.037	7.534	15.513	0.122	2.066	1.906	4.106	3.455	10.433	7.852	0.138	0.333
ASV_157	3.781	12.806	0.0426742840836767	0.30049808375589	NotSig	0.459	0.051	2.969	0.003	0.003	0.061	0.012	7.818	0.088	3.638	0.233	0.121	0.006	0.004	0.002	0.004	0.018	0.042	0.002	0.004	0	0	0.006	0.002	0.082	0	0.014	0.005	0	0	0.002	0.006	0	0.004	0	0.026	0.019	0	0	0.001	0.004	0.358	0
ASV_90	-1.425	11.629	0.0445798594835589	0.301359850108858	NotSig	0.175	0.351	0.09	0.289	0.147	0.05	0.131	0.031	0.797	0.053	0.437	0.765	0.825	0.155	0.116	0.012	0.009	0.032	0.027	0.025	0.077	0.052	0.155	0.078	0.001	0.074	0.004	0.121	0.031	0.032	0.118	0.12	0.036	0.109	0.774	0.284	0.049	0.049	0.031	0.015	0.017	0.742	1.621
ASV_126	-1.985	11.92	0.046842523854138	0.304476405051897	NotSig	0.196	0.764	0.064	1.24	0.035	0.052	0.021	0.006	0.17	0.066	2.675	0.857	0.259	0.038	0	0.001	0.011	0.026	0.046	0	0.008	0.004	0.003	0.006	0.042	0.52	0.006	0	0.004	0.003	0.003	0.001	0.029	0	0.258	0.258	0.243	0.001	0.01	0	0.013	5.529	0.056
ASV_99	2.061	11.441	0.0500418691185173	0.313225032630719	NotSig	0.242	0.074	3.768	0.039	0.072	0	0.274	0.345	0.083	0.019	0.004	1.079	0.03	0.048	0.002	0.004	0.044	0.014	0.046	0.019	0.045	0.027	0.024	0.576	0.445	0.646	0.097	0.019	0.027	0.024	0.018	0.041	0.002	0.01	0.101	0.223	0.136	0.053	0.006	0.019	0.085	0.068	0
ASV_31	1.526	12.033	0.0546394593693244	0.329788165479137	NotSig	0.308	0.123	0.245	0.441	0.596	0.028	0.865	0.777	0.74	0.976	0.364	0.215	0.848	0.311	0.049	0.657	0.081	0.017	0.114	0.051	0.045	0.049	0.067	0.091	0.116	0.218	0.016	0.154	0.092	0.03	0.06	0.061	0.056	0.065	1.668	0.136	0.201	0.035	0.05	0.042	0.187	0.082	0.252
ASV_209	1.857	11.088	0.0596589774639574	0.337388921553903	NotSig	0.168	0.059	0.209	0.074	0.135	0	0.038	0.021	0.343	0.534	0.033	0.178	0.162	2.449	0.053	0.016	0.058	0.014	0.078	0.044	0.09	0.014	0.013	0.005	0.038	0.007	0.004	0.715	0.033	0.008	0.072	0.056	0.046	0.01	0.003	0.003	0.094	0.023	0.247	0.047	0.043	0.004	0.014
ASV_140	-1.431	9.912	0.0598915245361958	0.337388921553903	NotSig	0.057	0.154	0.086	0	0.021	0	0.005	0.01	0.045	0.009	0.009	0.006	0.008	0.161	0.199	0.014	0.062	0.065	0.288	0.03	0.19	0.027	0.025	0.058	0.001	0.155	0.073	0.159	0.008	0.007	0.008	0.007	0.088	0.06	0	0.066	0.003	0.237	0.907	0.003	0.004	0.002	0.012
ASV_10	2.803	6.398	0.0654922984876817	0.340372963795877	NotSig	0.004	0	0.031	0.002	0	0.053	0	0	0.005	0	0.002	0	0.005	0	0	0	0	0	0.002	0.003	0	0	0	0	0	0.007	0	0	0	0.004	0.002	0	0.002	0.003	0	0	0	0	0	0	0	0.004	0
ASV_59	1.874	12.838	0.0655199418755003	0.340372963795877	NotSig	0.606	0.198	0.075	1.285	0.646	0.197	2.214	1.482	6.374	0.92	0.42	0.162	3.739	0.224	0.023	0.043	0.177	0.027	0.124	0.045	0.042	0.013	0.072	1.077	0.038	0.221	0.049	0.002	0.018	0.008	0.017	0.03	0.004	0.037	0.19	0.44	0.606	0.036	0.028	0.035	0.053	0.265	0.123
ASV_75	1.481	11.855	0.0664633597944612	0.340372963795877	NotSig	0.329	0.149	0.086	0.188	0.014	0.081	0.241	0.175	0.017	0.019	0.031	0.014	0.042	0.027	0.014	0.082	0.118	0.063	0.275	0.026	0.28	0.168	0.13	1.057	0.314	0.808	0.288	0.921	2.687	0.745	0.63	0.074	1.077	0.148	0.01	0.352	0.14	0.065	0.126	0.104	0.368	0.005	0.028
ASV_103	1.165	9.696	0.0710388443197778	0.353028573819041	NotSig	0.07	0.034	0.05	0.138	0.24	0.009	0.148	0.062	0.154	0.034	0.071	0.043	0.067	0.192	0.08	0.012	0.014	0.029	0.046	0.003	0.015	0.031	0.032	0.194	0.019	0.052	0.045	0.199	0.014	0.012	0.101	0.085	0.004	0.038	0.094	0.017	0.007	0.019	0.025	0.012	0.132	0.018	0.042
ASV_870	-1.315	10.425	0.0739674490116128	0.353028573819041	NotSig	0.076	0.211	0.012	0.003	0.019	0.024	0.007	0.062	0.017	0.004	0.002	0.104	0.112	0.01	0.591	0.07	0.061	0.143	0.291	0.121	0.131	0.029	0.085	0.086	0.007	0.066	0.002	0.014	0	0.019	0.025	0.039	0.027	0.07	0.241	0.017	0.001	0.288	1.284	0.009	0.028	0.034	0.026
ASV_4	-1.302	15.644	0.0752013530028726	0.353028573819041	NotSig	2.802	7.544	0.604	0.413	0.361	1.362	0.284	1.118	0.237	0.073	0.1	0.669	0.133	0.217	6.078	2.202	1.589	4.607	7.961	26.381	4.176	2.742	1.006	1.428	0.382	1.591	1.028	5.628	0.373	1.186	1.775	6.486	4.779	4.69	0.823	2.363	0.195	36.098	15.593	0.368	5.175	0.045	0.515
ASV_22	1.927	13.817	0.0794525078813523	0.362904698160771	NotSig	1.191	0.328	0.05	0.176	0.229	2.533	0.152	0.068	0.002	0	0	0.133	0.612	0.073	22.807	0.995	0.298	0.552	0.165	0.831	0.78	0.368	0.061	0.109	0.068	0.358	0.104	1.181	0.066	0.283	0.095	0.096	0.278	0.171	5.607	0.07	0.008	0.658	0.462	0.051	0.115	1.044	0.219
ASV_30	1.66	12.626	0.0923450686896797	0.401638271308173	NotSig	0.567	0.204	0.117	0.265	0.104	0.057	0.102	0.65	0.005	0.002	0.011	0	0.003	0	1.055	0.014	0.081	0.098	0.668	0.07	0.978	0.034	0.032	0.338	0.835	2.1	0.943	0.239	4.377	1.069	1.226	0.134	1.993	1.087	0.036	0.058	0.218	0.295	0.082	0.728	0.23	0.007	0.012
ASV_20	1.591	12.787	0.0926857549172707	0.401638271308173	NotSig	0.607	0.241	0.121	0.74	0.077	0.006	0.028	0.251	0.035	0.023	0.007	0.01	0.003	0	4.3	0.131	0.207	0.931	0.357	0.167	4.319	0.418	0.297	0.123	0.318	0.72	1.43	0.225	1.428	1.157	0.169	0.098	1.176	0.745	0.012	0.056	0.012	0.13	0.428	0.929	0.264	0.086	0.025
