ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS10P003	HS07P004	HS07P010	HS07P011	HS07P012	HS07P014	HS07P019	HS07P024	HS07P025	HS07P026	HS07P029	HS07P031	HS07P034	HS07P035	HS07P036	HS07P040	HS07P041	HS07P042	HS07P045	HS07P046	HS07P047	HS07P048	HS07P050	HS07P051	HS07P055	HS07P056	HS07P057	HS07P058	HS07P059	HS07P061	HS07P063	HS07P064	HS07P066	HS07P068	HS07P071	HS07P072	HS07P073	HS07P074	HS07P075	HS07P077	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_46	0.781	10.68	0.175324706853514	0.309141078139453	NotSig	0.176	0.091	0.126	0.142	0.104	0.079	0.322	0.048	0.288	0.181	0.69	0.161	0.36	0.214	0.61	0.181	0.237	0.235	0.558	0.854	0.288	0.25	0.003	0.009	0.152	0.018	0.024	0.015	0.051	0.015	0.136	0.042	0.008	0.007	0.02	0.037	0.101	0.078	0.361	0.012	0.012	0.019	0.374	0.116	0.151	0.232	0.072	0.019	0.253	0.006	0.073	0.064	0.005	0.004	0	0	0.005
ASV_143	-0.909	10.748	0.175606766280399	0.309141078139453	NotSig	0.139	0.126	0.242	0.07	0.526	0.226	0.107	0.159	0.049	0.06	0.148	0.182	0.4	0.026	0.177	0.264	0.099	0.428	0.478	0.646	0.119	0	0	0.607	0.004	0.011	0.006	0.014	0.029	0.012	0.007	0	0.008	0.002	0.045	0.006	0.131	0.062	0.144	0.006	0.043	0.004	0.002	0.141	0.388	0.174	0.005	0.014	0.067	0.009	0.011	0.5	0.001	0	0	0.576	0
ASV_108	1.043	9.932	0.183428898483248	0.316393456835126	NotSig	0.109	0.056	0.695	0.017	0.013	0.303	0.293	0.509	0.013	0.147	0.003	0.194	0.094	0.22	0.433	0.285	0.245	0.056	0.113	0.165	0.015	0.001	0.002	0.104	0	0	0.002	0.001	0.026	0	0	0.004	0.004	0.007	0.182	0.01	0.132	0.069	0.005	0.01	0.005	0.002	0.008	0.12	0.313	0.281	0.003	0	0.004	0.047	0.007	0.047	0.002	0	0	0	0
ASV_117	-0.839	11.044	0.18347076195173	0.316393456835126	NotSig	0.144	0.166	0.006	0.486	0.762	0.244	0.027	0.021	0.035	0.015	0.022	0	0.211	0.426	0.14	0.306	0.032	0.044	0.034	0.019	0.222	0.093	1.151	0.122	0.156	0.06	0.114	0.054	0.145	0.002	0.015	0.022	0.345	0.015	0.003	0.025	0.237	0.043	0.016	0.035	0.023	0.016	0.037	0.076	0.048	0.127	0.044	0.176	0.045	0.008	0.376	0	0.002	0.027	0	1.403	0.122
ASV_210	-1.025	11.812	0.192988542331345	0.329445087414114	NotSig	0.162	0.343	0.001	0.007	0.011	0.002	0.002	0	0.009	0	0.006	0.003	0.002	0.029	0.012	0.009	0.025	0.028	0.019	0.059	0.613	0.062	0.508	0.143	0.1	0.058	0.017	0.04	0.103	0.026	0.037	0.011	0.01	0.022	0.022	1.571	0.517	0.582	0.039	1.675	0.079	0.025	0.002	0.003	0.005	0.015	0.665	0.058	0.059	0.316	1.203	0	0.03	0.348	0.016	0	2.425
ASV_39	0.956	13.03	0.202330942334692	0.34193929254563	NotSig	0.87	0.396	0.126	2.067	15.625	0.922	0.377	1.205	0.15	2.581	0.224	0.087	0.319	0.349	0.264	0.144	0.329	4.072	1.755	0.349	0.178	0.031	0.268	0.046	0.013	0.159	0.711	0.035	0.482	0.02	0.011	0.016	1.089	0.026	0.003	0	0.076	0.052	0.196	0.029	0.02	0.38	1.344	0.593	0.476	0.888	1.171	0.058	0.061	0.002	0.011	0.001	0.012	0.027	0.252	0.005	1.039
ASV_131	1.417	9.322	0.223692129320342	0.374296731238987	NotSig	0.092	0.028	0	0	0.003	0.004	0.007	0.002	0.002	0.006	0.318	0.263	2.638	0.172	0.112	0.012	0.017	0.012	0.01	0.008	0.051	0	0	0.012	0	0	0	0.006	0	0.002	0	0	0.002	0	0.003	0	0	0	0.005	0	0.005	0.002	0	0	0.002	0.005	0	0.378	0	0	0	0.018	0.002	0	0.001	0	0.018
ASV_95	-0.975	10.926	0.243078030421792	0.402746932757674	NotSig	0.174	0.099	0.055	0.056	0.111	0.123	0.189	0.49	0.033	0.041	0.302	3.165	0.122	0.156	0.338	0.348	0.086	0.184	0.052	0.161	0.125	0.001	0	0	0.001	0.004	0	0	0.002	0	0.002	0.015	0.065	0.016	0.003	0.004	0.424	0.275	0.005	0.008	0.011	0.002	0.01	0.071	0.118	0.103	0	0.005	0.001	0.003	0	1.166	0.001	0	0	0	0
ASV_37	0.854	12.337	0.267103326536668	0.438256914414532	NotSig	0.664	0.373	0.76	0.046	0.041	1.029	8.511	0.766	1.881	0.804	0.413	1.767	2.189	1.202	1.669	0.353	0.143	3.024	0.575	0.554	0.068	0.016	0.02	0.073	0.001	0	0.032	0.135	0.008	0.017	0.009	0.029	0.048	0.038	0.011	0.006	0.208	0.025	0.028	0.021	0.025	0.011	1.218	1.155	0.518	0.105	0.038	2.41	0.02	0.056	0.004	0.045	0.001	0.014	0	0.01	0
ASV_94	0.754	12.291	0.273364044961442	0.444216573062344	NotSig	0.361	0.244	0.282	0.064	0.109	0.025	0.04	0.156	0.074	0.011	0.107	0.146	0.139	0.209	0.053	0.064	0.03	0.023	0.021	0.025	3.116	0.312	0.498	0.092	0.035	4.021	0.805	0.118	0.339	0.023	0.029	0.022	0.05	0.044	0.02	1.368	0.174	0.094	0.148	1.388	0.115	0.071	0.058	0.098	0.225	0.078	0.547	0.241	0.229	0.689	0.12	0.001	0.025	0.182	1.101	0.008	0.057
ASV_105	1.105	9.469	0.278164358221791	0.447712157518883	NotSig	0.06	0.029	0	0.015	0.077	0.002	0	0.002	0	0.092	0.016	0	0.07	1.146	0.051	0.012	0.022	0.037	0.013	0.004	0.004	0.093	0	0	0.038	0.085	0	0	0.006	0	0.495	0	0	0.007	0.002	0.002	0.046	0.043	0.005	0.033	0	0	0	0	0.002	0.034	0.003	0	0.001	0.121	0.26	0	0.006	0	0.001	0.012	0
ASV_49	0.741	11.832	0.283127096649087	0.450759747243005	NotSig	0.298	0.262	0.1	0.112	0.379	0.058	0.137	0.169	0.044	0.949	0.224	0.093	0.772	0.31	0.075	0.916	0.166	0.088	0.9	0.243	0.198	0.031	0.005	1.007	0.028	0.004	0.044	1.684	0.026	0.13	0.002	0.002	0.164	2.22	0.161	0.006	0.041	0.04	0.038	0.012	0.22	0.131	0.116	0.222	0.201	2.225	0.027	0.808	0.037	0.013	0.006	0.02	0.03	0.001	0.003	0.224	0.002
ASV_116	0.767	10.639	0.287779951052159	0.450759747243005	NotSig	0.183	0.091	0.04	0.091	1.6	0.039	0.122	0.065	0.024	0.079	0.063	0.015	0.206	0.127	0.224	0.29	0.21	1.176	1.082	1.354	0.123	0.02	0	0.021	0.06	0.006	0.012	0.007	0.014	0.077	0.002	0.005	0.006	0.008	0.047	0.002	0.03	0.005	0.04	0.004	0.005	0.022	0.451	0.184	0.173	0.32	0.007	0.009	0.086	0.01	0.021	0.1	0.001	0	0	0.004	0
ASV_31	-0.709	12.958	0.288059483445234	0.450759747243005	NotSig	0.381	0.743	0.118	0.027	0.059	0.016	0.097	0.316	0.116	0.107	0.022	0.066	0.046	0.071	0.022	0.009	0.02	0.03	0.099	0.103	0.451	0.321	0.007	0.012	1.899	2.971	1.013	0.133	0.44	0.22	0.637	0.075	0.19	0.12	0.081	0.017	0.25	0.165	0.795	3.954	0.081	0.057	0.044	0.122	0.225	0.154	0.335	0.16	0.992	0.08	1.725	0.01	0.101	1.637	3.537	0.021	2.003
ASV_90	-0.723	12.988	0.29080401939426	0.450879626400274	NotSig	0.387	0.77	0.947	0.014	0.026	0.365	0.126	0.049	0.204	0.043	0.088	0.134	0.096	0.066	0.148	0.014	0.049	0.091	0.075	0.04	0.128	0.031	0.628	0.214	0.144	0.153	0.033	0.172	0.042	0.198	1.875	0.166	4.974	0.355	0.011	0.653	0.319	0.137	0.367	0.019	2.274	0.025	0.091	0.093	0.09	0.029	0.762	3.513	0.184	2.407	0.026	0.006	0.02	3.871	0.001	0.064	0.39
ASV_123	-0.779	9.708	0.296209752857978	0.455085893027257	NotSig	0.07	0.135	0.005	0.087	0.01	0.117	0.164	0.288	0.043	0.002	0.217	0.203	0.863	0.331	0.055	0.009	0.01	0.009	0.015	0.004	0.015	0	0	0.012	0.007	0.009	0.08	0.05	0.005	0.068	0.009	0	0.097	0.005	0.003	0	0.007	0.006	0	0.002	0.003	0	0.301	1.488	0.062	0	0	0.002	0.089	0.057	0.019	0	0.001	0.004	0.001	0.001	0.002
ASV_146	-0.669	9.865	0.301641981515432	0.458448022700847	NotSig	0.074	0.056	0.032	0.05	0.041	0.098	0.064	0.091	0.038	0.026	0.082	0.373	0.106	0.101	0.081	0.129	0.331	0.363	0.057	0.153	0.123	0.007	0.002	0.067	0.006	0	0	0.001	0.019	0.002	0.044	0.009	0.008	0.101	0.059	0.017	0.142	0.096	0.006	0	0.019	0.006	0.012	0.123	0.111	0.064	0	0.033	0.001	0.003	0.071	0.409	0.002	0	0.001	0.01	0
ASV_70	0.943	11.029	0.303823541671567	0.458448022700847	NotSig	0.282	0.102	0.347	0.001	0.007	4.502	0.765	0.564	2.256	1.426	0.101	0.102	0.07	0.262	0.051	0.024	0.047	0.282	0.061	0.088	0.121	0.007	0	0.003	0.003	0	0.006	0.033	0.011	0.03	0	0	0.002	0.001	0.02	0	0.062	0.001	0.009	0.004	0.003	0	0.16	0.161	0.727	0.066	0.002	0.005	0.008	0.003	0.004	0.035	0	0	0	0.36	0
ASV_156	1.116	9.398	0.311817464620506	0.466346473635978	NotSig	0.08	0.042	0.051	0.001	0.013	0.011	0.012	0.002	0.006	0.002	0.214	0.848	0.029	0.053	0.329	0.636	0.823	0.056	0.019	0.056	0.009	0	0.003	0.006	0.001	0	0	0	0	0	0	0.002	0	0.001	0	0	0	0.004	0	0	0	0	0.017	0.074	0.003	0.528	0	0.002	0	0.002	0	0.001	0	0	0	0	0.005
ASV_13	0.718	14.746	0.323786959422729	0.479999966161764	NotSig	1.372	1.122	0.131	0.13	0.124	0.47	0.585	0.161	0.432	0.068	0.072	0.131	0.209	0.132	0.366	0.045	0.114	0.102	0.239	0.149	0.992	0.104	0.805	0.696	0.805	0.508	0.226	0.674	0.686	1.696	6.362	4.937	5.043	0.16	0.288	1.179	0.69	0.433	1.174	0.058	8.932	14.791	0.559	0.617	0.251	0.098	0.689	2.11	0.316	4.034	0.092	0.01	0.269	4.133	0.55	2.172	0.932
ASV_103	-0.598	11.458	0.346141218225555	0.50737813173315	NotSig	0.177	0.275	0.022	0.013	0.057	0.012	0.035	0.056	0.005	0.243	0.038	0.012	0.074	0.225	0.026	0.075	0.015	0.007	0.048	0.044	0.064	0.439	0.003	0.046	0.593	0.064	0.4	0.011	0.596	0.008	0.099	0.132	0.093	0.013	0.02	0.033	0.113	0.148	2.687	0.165	0.139	0.217	0.008	0.033	0.102	0.078	0.166	0.023	0.58	0.034	1.83	0	0.02	0.133	0.205	0.134	0.776
ASV_78	0.588	10.626	0.348259546041689	0.50737813173315	NotSig	0.113	0.096	0.145	0.175	0.175	0.03	0.106	0.372	0.032	0.051	0.217	0.039	0.12	0.154	0.128	0.202	0.047	0.023	0.057	0.245	0.066	0.054	0.003	0.177	0.031	0.02	0.018	0.028	0.029	0.123	0.013	0.005	0.028	0.015	0.009	0.004	0.148	0.026	0.109	0.054	0.021	1.231	0.15	0.14	0.151	0.406	0.024	0.046	0.013	0.361	0.084	0.056	0.005	0	0	0.009	0.002
ASV_48	0.64	10.907	0.357569657965429	0.516489505950064	NotSig	0.167	0.118	0.124	0.133	0.119	0.2	0.178	0.184	0.125	1.411	0.006	0.033	0.029	0.034	0.018	0.111	0.111	0.147	0.66	0.448	0.064	0.041	0.002	0.775	0.091	0.009	0.002	0.003	0.003	0.024	0	0.077	0.168	0.02	0.852	0.035	0.089	0.241	0.033	0.012	0.043	0.035	0.168	0.256	0.317	0.548	0.005	0.002	0.044	0.001	0.241	0.169	0.019	0	0.003	0.001	0
ASV_126	0.81	11.709	0.361804151639158	0.518177132432354	NotSig	0.159	0.122	0.003	0.028	0.003	0.016	0.022	0.003	0.011	0.021	0.006	0.024	0.002	0.029	0.02	0.012	0.007	0.014	0.017	0.008	0.004	0.035	0.158	0.085	0.018	0.015	0.006	0.004	0.003	0.011	3.469	0.004	0.002	0.021	0.15	0.035	0.093	0.067	0.05	0.014	0.2	1.652	0.004	0.086	0	0.024	0.005	0.297	0.04	0.369	0.056	0.011	0.181	0.753	0	0.008	0.002
ASV_174	0.74	10.796	0.376620281993249	0.534864097956798	NotSig	0.204	0.126	0.006	0.056	0.062	0.109	0.086	0.895	0.016	0.495	0.047	0.036	0.305	0.024	0.043	0.092	0.049	0.773	0.134	0.075	0.007	0.025	4.234	0.146	0	0.064	0.042	0.014	0.018	0.106	0	0	0	0.002	0	0.041	0.013	0.011	0.134	0.002	0	0.007	0.031	0.156	0.752	0.064	0.128	0.193	0.518	0.037	0.006	0	0.002	0	0	0	0
ASV_73	-0.586	11.467	0.379820968467137	0.534914530591218	NotSig	0.253	0.176	0.866	0.035	0.036	0.37	0.136	0.121	1.996	0.23	0.23	0.051	0.118	0.101	0.24	0.862	0.18	0.65	0.627	1.316	0.723	0.024	0.015	0.336	0.007	0.001	0.091	0.022	0.1	0.033	0.095	0	0	0.017	0.139	0.033	0.06	0.018	0.093	0.002	0.124	0.007	0.112	0.117	0.092	0.166	0.029	0.021	0.033	0.003	0.043	0.069	0.002	0.013	0	1.939	0.002
ASV_159	0.728	12.717	0.387073171117575	0.540622858833638	NotSig	0.362	0.236	0.008	0.205	0.07	0.275	0.062	0.048	0.114	0.009	0.013	0.394	0.01	0.029	0.012	0.059	0.012	0.012	0.023	0.006	0.134	0.016	0.061	0.11	0.048	0.02	0.012	0.031	0.035	0.003	0.062	0.185	0.269	0.036	10.999	0.066	0.24	0.445	0.04	0.029	0.272	0.01	0.031	0.074	0.061	0.017	0.003	0.341	0.006	0.078	0.06	0.089	0.005	1.894	0.024	0.774	0.084
ASV_154	-0.55	10.973	0.390798261250984	0.541351689765707	NotSig	0.102	0.149	0.059	0.077	0.062	0.081	0.015	0.062	0.123	0.132	0.022	0.018	0.05	0.04	0.061	0.162	0.047	0.068	0.04	0.046	0.024	0.117	0	0.049	0.006	0.07	0.009	0.025	0.008	0	0.02	0.024	0.006	1.355	0.711	0.048	0.034	0.072	0.228	0.048	0.035	0.03	0.01	0.013	0.106	0.076	0.019	0.051	0.035	0.005	0.507	0.007	0.116	0.341	0.027	0.285	0.632
ASV_29	-0.444	12.178	0.395805480094492	0.543830293788367	NotSig	0.359	0.388	0.952	0.091	0.348	0.461	0.072	0.426	0.516	2.232	0.469	0.272	0.329	0.228	0.061	0.139	0.082	0.172	0.193	0.169	0.589	1.033	1.376	0.519	0.098	0.096	0.159	0.472	0.206	0.483	0.048	0.015	0.636	0.005	0.005	0.234	0.13	0.036	0.396	0.064	0.494	0.052	0.035	0.137	0.319	0.179	0.429	1.321	0.08	0.274	1.069	0.024	0.577	0.201	0.019	0.062	1.088
ASV_142	0.867	11.913	0.405174512118759	0.552213649581212	NotSig	0.217	0.155	0	0	0	0	0.002	0.002	0.062	0	0.003	0.003	0.041	0.405	0.01	0	0.005	0.005	0.008	0	0.062	0.003	0.007	0.034	0.006	0.198	0.012	0.006	0.027	0.516	0.818	0.016	0.038	0.022	0	0.01	0.385	0.473	0.071	4.758	0.662	0.004	0	0.011	0.002	0.005	1.923	0.039	0.039	0.061	0.017	0.001	0.002	0.001	0.229	0	0.002
ASV_16	-0.704	12.778	0.432088299706975	0.584183381203831	NotSig	0.554	0.53	0.341	4.865	1.079	0.163	0.842	0.089	0.158	0.247	0.18	2.021	0.484	1.831	0.118	0.753	0.637	0.433	0.952	6.36	0.187	0.005	0.002	0.027	0.003	0.008	0.003	0.006	0	0.002	0	0.06	0.186	0.082	0	0	0.001	0	0.001	0.006	0.012	0	1.159	1.97	0.09	1.377	0.002	0.114	0.469	0.008	0.002	2.756	0	0.001	0	0.003	0
ASV_36	0.449	11.497	0.438636851418185	0.58774378979155	NotSig	0.3	0.189	0.132	0.64	0.325	0.342	0.327	0.111	0.16	0.868	0.091	0.373	0.796	0.614	0.144	0.421	0.467	1.378	1.139	0.856	0.336	0.05	0.003	0.012	0.046	0.011	0.042	0.014	0.805	0.038	0.092	0.016	0.113	0.252	0.131	0.008	0.495	0.021	0.252	0.01	0.04	0.009	0.636	0.132	0.71	0.315	0.104	0.072	0.171	0.016	0.281	0.135	0.012	0	0.007	0.235	0.005
ASV_135	0.609	9.072	0.441677285819686	0.58774378979155	NotSig	0.051	0.04	0.026	0.06	0.513	0.007	0.005	0.013	0	0.35	0.003	0	0.067	0.119	0.057	0.061	0.119	0.107	0.117	0.046	0.095	0.007	0	0.015	0.137	0.015	0.002	0.007	0.003	0.003	0	0.002	0.046	0.01	0.005	0.006	0.003	0.003	0	0.004	0	0	0.002	0.01	0.026	0.44	0.031	0.023	0.065	0.001	0	0.001	0	0	0	0.003	0.002
ASV_10	1.284	11.736	0.44837683911456	0.591997545393442	NotSig	0.328	0.115	0.077	0.006	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.003	0	0.85	0	0	0.002	0.008	0.002	0	0.004	0.739	0	0.002	0	11.42	0.003	0.004	0.001	0	0.027	0	0.007	0	0	0.005	0.758	0.925	0	0	0	0	0	0	0
ASV_71	0.524	9.599	0.457014103183144	0.598723902619777	NotSig	0.084	0.064	0.006	0.013	0.007	0.021	0.357	0.035	0.158	0.188	0.035	0.087	0.257	1.519	0.051	0.024	0.067	0.058	0.01	0.036	0.002	0.013	0.005	0.031	0	0	0.005	0.007	0.006	0.03	0	0.009	0.01	0.078	0.009	0.035	0.079	0.048	0.005	0.043	0.013	0.016	0.179	0.112	0.021	0.015	0.007	0.599	0.001	0.009	0.004	0.004	0.002	0	0	0.008	0
ASV_122	0.631	13.42	0.46359281327471	0.602670657257123	NotSig	0.539	0.44	0.021	0.008	0.008	0.17	0.101	0.006	0.038	0.041	0.05	0.081	0.149	0.056	0.039	0.073	0.077	0.044	0.027	0.036	0.009	0.01	0.965	0.061	0.139	0.033	0.003	0.735	0.019	0.283	13.735	0.06	0.051	2.491	0.034	0.877	0.068	0.063	0.809	0.025	0.032	0.017	0.123	0.096	0.005	0.046	0.624	0.615	0.04	2.2	0.23	0.038	0.047	0.557	0.003	1.971	0
ASV_235	-0.477	10.309	0.473406549060757	0.610730586192886	NotSig	0.11	0.145	0.055	0.367	0.168	0.288	0.334	0.141	0.245	0.019	0.035	0.579	0.141	0.635	0.108	0.259	0.074	0.123	0.082	0.063	0.196	0.005	0.012	0.024	0.006	0.017	0.002	0	0.014	0.014	0.004	0.005	0.014	0.016	0.136	0.008	0.049	0.166	0	0	0.004	0.001	0.532	0.911	0.376	0.103	0	0.012	0.012	0.036	0.004	0.169	0.002	0.008	0	0	0.006
ASV_87	0.499	13.072	0.50587630194899	0.647674962343783	NotSig	0.592	0.39	0.086	0.031	0.144	0.026	0.05	0.049	0.173	0.328	0.158	0.066	0.444	0.384	0.104	0.019	0.047	0.056	0.302	0.172	0.048	6.24	0.044	0.009	0.086	0.408	10.301	0.144	2.798	0.12	0.029	0.055	0.119	0.051	0.027	0.079	0.172	0.096	0.035	0.081	0.087	0.026	0.085	0.038	0.4	0.22	0.149	0.039	0.482	0.086	1.574	0.004	0.198	0.014	0.065	2.281	0.208
ASV_152	0.38	10.274	0.511380379066545	0.649799128287564	NotSig	0.107	0.077	0.12	0.141	0.052	0.128	0.101	0.116	0.071	0.043	0.104	0.316	0.122	0.302	0.128	0.184	0.156	0.091	0.134	0.082	0.114	0.001	0.059	0.369	0.003	0.002	0.015	0.001	0.029	0.02	0.024	0	0.008	0.024	0.085	0.01	0.457	0.077	0.046	0.021	0.047	0.471	0.212	0.368	0.149	0.086	0.01	0.079	0.018	0.016	0.024	0.131	0.044	0	0.015	0.003	0.005
ASV_55	0.445	13.62	0.519558922083507	0.652486178671002	NotSig	0.796	0.537	0.602	0.013	0.054	0.112	0.815	0.083	0.062	0.45	0.35	0.722	0.331	0.233	0.116	0.217	0.662	1.159	0.363	0.341	0.341	0.051	0.875	0.064	0.039	0.033	0.026	2.321	0.064	0.972	1.064	0.207	6.19	6.969	0.106	0.562	0.248	0.151	0.593	0.019	4.162	0.08	0.972	0.382	0.156	0.117	0.055	0.146	0.136	2.252	0.204	0.135	0.396	0.315	0.001	2.623	0.168
ASV_8	0.433	14.591	0.525984667406942	0.652486178671002	NotSig	1.727	1.25	0.541	0.503	1.308	0.282	0.298	0.803	1.331	0.215	0.718	0.842	0.683	0.463	0.171	0.292	0.381	0.666	1.233	0.636	0.328	0.557	1.493	0.088	0.276	21.347	15.52	2.393	7.696	3.115	0.169	0.057	0.15	0.127	0.232	0.294	1.07	0.404	1.488	0.29	0.407	0.22	0.116	0.238	3.221	1.355	1.567	0.272	1.439	0.574	0.045	0	0.506	0.045	0.236	1.343	7.789
ASV_77	0.421	11.395	0.526226945008669	0.652486178671002	NotSig	0.295	0.185	0.026	0.109	0.065	0.172	0.629	1.35	0.114	0.537	0.413	2.129	0.597	0.156	0.224	0.202	0.741	1.183	0.279	0.473	0.053	0.001	0.008	0.381	0	0.006	0.003	0.006	0.01	0.033	0.204	0	0.008	0.444	0.039	0.015	0.625	0.436	0.035	0.014	0.028	0.049	0.723	0.358	0.894	0.127	0.009	0.139	0.008	0.01	0.137	0.234	0.004	0.004	0.001	0.117	0.006
ASV_72	-0.445	12.05	0.528938499869392	0.652486178671002	NotSig	0.237	0.331	0.001	0.032	0.153	0.456	0.075	0.13	0.491	0.122	0.06	0.054	0.146	0.034	0.014	0.355	0.158	0.002	0.061	0.019	0.057	0.055	0.102	0.345	0.043	0.07	0.026	0.082	1.46	0.002	0	0.015	0.061	3.755	0.745	0.023	0.038	0.172	0.033	0.017	0.017	0	0.06	0.027	0.286	0.223	0.675	0.829	0.124	0.01	0.039	0.251	0.001	0.498	1.056	0.869	0.011
ASV_27	-0.351	13.473	0.601516088264048	0.73663926751177	NotSig	0.675	0.9	0.811	0.264	0.131	0.04	0.035	0.382	0.245	0.234	0.016	0.033	0.103	0.368	0.041	0.024	0.047	0.035	0.149	0.088	0.396	0.553	0.085	0.119	4.885	7.863	2.474	1.299	0.117	0.563	0.044	0.02	0.119	0.021	0.814	0.114	0.323	0.299	2.752	0.149	0.295	0.662	0.01	0.095	0.57	0.262	3.621	0.423	0.398	0.285	0.028	0.013	0.336	1.315	5.693	0.184	0.274
ASV_88	0.423	12.993	0.618613910985901	0.748109977594194	NotSig	0.395	0.492	0.041	0.007	0.023	0.051	0.007	0.038	0.079	0.034	0.044	0.075	0.029	0.122	0.01	0.035	0.012	0.03	0.01	0.01	0.081	0.36	0.764	0.369	0.365	0.034	0.018	0.025	0.056	0.58	9.696	0.013	0.03	0.024	0.022	2.195	0.077	0.103	0.024	0.015	0.246	0.025	0.01	0.119	0.012	0.022	0.089	4.332	0.027	1.555	0.079	0.028	0.971	0.013	0.118	0	0.003
ASV_81	-0.363	12.989	0.619736076113534	0.748109977594194	NotSig	0.38	0.403	0.006	0.008	0.145	0.116	0.173	0.086	0.19	0.006	0.18	0.081	0.101	0.122	0.016	0.026	0.035	0.019	0.071	0.036	0.196	0.169	0.65	0.031	0.992	0.418	1.06	0.124	0.111	0.336	3.86	0.042	0.085	0.012	0.017	4.125	0.159	0.239	0.019	0.819	0.216	0.106	0.05	0.085	0.092	0.086	0.156	0.659	0.728	0.163	0.193	0	3.199	0.023	0.071	0.003	0.545
ASV_149	0.32	9.842	0.635499906426413	0.758342126159427	NotSig	0.09	0.087	0.009	0.117	0.046	0.784	0.151	0.199	0.12	0.058	0.013	0.024	0.098	0.135	0.037	0.181	0.109	0.114	0.103	0.222	0.053	0.008	0	0.009	0.003	0.011	0.002	0.001	0.027	0.017	0.002	0	0.018	0.143	0.088	0.012	0.017	0.015	0.626	0.008	0	0.012	0.295	0.198	0.215	0.315	0.009	0.244	0.001	0.005	0.009	0.001	0.001	0	0	0.001	0.011
ASV_311	0.28	9.599	0.637186875234548	0.758342126159427	NotSig	0.076	0.065	0.038	0.148	0.106	0.051	0.047	0.024	0.052	0.092	0.032	0.015	0.118	0.069	0.065	0.351	0.067	0.084	0.419	0.418	0.095	0.031	0.003	0.079	0.014	0.012	0.002	0.006	0.092	0.039	0.022	0.009	0.022	0.037	0.011	0	0.315	0.031	0.013	0.004	0.013	0.009	0.272	0.074	0.081	0.403	0.005	0.007	0.068	0.038	0.006	0.013	0.002	0.001	0	0	0
ASV_76	-0.248	11.38	0.646145158712052	0.761503151211188	NotSig	0.182	0.175	0.128	0.046	0.029	0.114	0.235	0.116	0.117	0.053	0.072	0.245	0.156	0.193	0.175	0.162	0.544	1.12	0.291	0.305	0.209	0.076	0.022	0.067	0.253	0.037	0.023	0.294	0.41	0.239	0.064	0.375	0.024	0.473	0.097	0.064	0.061	0.047	0.158	0.134	0.041	0.017	0.229	0.132	0.199	0.127	0.212	0.116	0.114	0.006	0.12	0.031	0.016	0	0.019	0.947	0.353
ASV_75	-0.313	10.947	0.648854756061604	0.761503151211188	NotSig	0.154	0.225	0.091	1.317	0.23	0.715	0.089	0.083	0.249	0.232	0.013	0.003	0.448	0.106	0.104	1.001	0.141	0.033	0.185	0.096	0.117	0.021	0.007	0.049	0.006	0.014	0.015	0.026	0.066	0.307	0	0	0.115	0.044	0.016	0.015	0.009	0.047	0.055	0.002	0.027	0.061	1.17	0.156	0.119	1.663	0.012	0.033	0.035	0.105	0	0.079	0.004	0	0	0.003	0.002
ASV_115	0.293	10.229	0.659178180440002	0.76341922898561	NotSig	0.123	0.098	0.006	0.018	0.162	0.107	0.267	0.076	0.017	0.1	1.874	0.242	0.17	0.209	0.1	0.165	0.049	0.23	0.151	0.157	0.042	0.017	0	0	0.065	0.004	0.005	0.09	0.013	0.092	0.018	0.011	0.012	0.016	0.074	0.002	0.076	0.005	0.183	0.101	0.009	0.001	0.708	0.198	0.185	0.044	0.003	0.005	0.05	0.005	0.258	0.013	0.001	0.003	0	0	0.002
ASV_169	0.376	9.421	0.659521937466858	0.76341922898561	NotSig	0.062	0.053	0.006	0.296	0.064	0.026	0.012	0.065	0.098	0.055	0.447	0.024	0.249	0.029	0.022	0.339	0.227	0.03	0.01	0.126	0.04	0	0	0.006	0	0.013	0.005	0	0	0.058	0	0.022	0.065	0.054	0.006	0	0.082	0.004	0	0	0.005	0	0.004	0.017	0.094	0.337	0	0.002	0.306	0.037	0	0.001	0	0	0	0	0
ASV_6	0.301	13.618	0.671828899235891	0.772374720890243	NotSig	1.281	0.939	2.961	2.545	5.403	0.605	0.986	2.073	0.621	6.026	2.391	0.158	3.216	2.067	1.122	3.804	1.828	0.515	2.55	2.992	1.651	0.008	0.032	5.48	0.008	0.039	0.058	0.01	0.111	0.074	0.332	0.015	0.166	0.101	0.027	0.037	0.094	0.346	0.563	0.112	0.057	0.05	0.15	0.264	2.449	8.282	0.021	0.404	0.46	0.331	0.007	1.667	0.019	0	0.009	0	0.023
