ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HS10P003	HS07P004	HS07P010	HS07P011	HS07P012	HS07P014	HS07P019	HS07P024	HS07P025	HS07P026	HS07P029	HS07P031	HS07P034	HS07P035	HS07P036	HS07P040	HS07P041	HS07P042	HS07P045	HS07P046	HS07P047	HS07P048	HS07P050	HS07P051	HS07P055	HS07P056	HS07P057	HS07P058	HS07P059	HS07P061	HS07P063	HS07P064	HS07P066	HS07P068	HS07P071	HS07P072	HS07P073	HS07P074	HS07P075	HS07P077	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_158	4.379	11.828	0.00247617665126622	0.0199273263839996	Enriched	0.218	0.022	0	0.039	0.028	0.021	0.018	0.017	0.006	0	0.016	0.018	0.002	0	0	0.007	0.002	0	0.019	0	0.002	0.447	0	0	0	0.479	0.014	0	0.014	0	0	0.004	0	0.003	0.006	0	0.064	0.03	0.06	7.347	0.017	0.029	0	0.04	0.028	0.13	0.014	0	0.008	0.006	0.06	0	0.006	0	0	0.003	0.035
ASV_112	2.914	12.178	0.00269667581507976	0.0204161185570572	Enriched	0.302	0.046	0.013	0.041	0.002	0.203	0.57	0.013	0.112	0.002	0	0.039	0.01	0.029	0.028	0.009	0.01	0.002	0.004	0.002	0.015	0.035	0.166	0.156	0.013	0.03	0.027	0	0.021	0.003	3.306	0.038	0.016	0.013	2.201	0.383	0.142	2.218	0.059	0.542	0.312	1.301	0.021	0.137	0.009	0.007	0.038	0.121	0.011	0.039	0.017	0.001	0.172	0.104	0.007	0.001	0.003
ASV_101	4.677	9.079	0.00282778172035124	0.0204161185570572	Enriched	0.076	0.002	0	0.001	0	0	0	0	0.003	0.009	2.237	0.069	0.014	0.016	0.004	0.118	0	0.009	0.015	0.013	0.526	0.003	0	0.003	0	0	0	0	0.003	0	0	0	0	0.003	0	0	0.003	0.009	0	0	0	0	0	0	0.002	0.005	0.014	0.007	0.003	0	0	0	0	0	0	0	0
ASV_21	2.26	11.584	0.00289933044597263	0.0204161185570572	Enriched	0.332	0.086	0.09	2.027	1.063	0.058	0.091	0.121	0.64	0.132	0.104	0.143	0.643	0.233	0.691	0.323	1.87	0.477	0.419	1.234	0.13	0.169	0	0.003	0.774	0.022	0.055	0.021	0.72	0.002	0.077	0.033	0.141	0.012	0.219	0.008	0.011	0.008	0.475	0.002	0.004	0.032	0.102	0.075	0.455	0.286	0.068	0.014	0.169	0.005	0.088	0.016	0.002	0	0	0.008	0.005
ASV_140	2.848	11.151	0.00348641553575931	0.0235386594713469	Enriched	0.299	0.045	0.023	0.018	0.036	0.11	0.074	0.051	0.614	0.036	0.032	0.018	0.463	0.005	0.185	0.337	8.258	0.917	0.17	0.126	0.022	0.007	0.014	0	0.017	0.008	0.006	0.003	0.014	0.018	0	0.002	0.006	0	0.075	0.043	0.076	0.024	0.148	0.004	0.004	0.001	0.006	0.059	0.047	0.457	0.062	0.007	0.021	0.003	0	0.006	0.001	0.001	0	0	0
ASV_138	-2.148	12.743	0.00362133222636106	0.0235386594713469	Depleted	0.38	1.33	0.081	0.018	0.039	0.147	0.195	1.437	0.014	1.307	0.079	0.027	0.484	0.056	0.567	0.191	0.205	4.135	1.162	1.506	0.024	0.013	2.794	0.088	0.006	0.255	0.032	0.046	0.034	0.088	0.053	0.007	0.014	0.007	0	0.012	0.012	0.005	0.006	0.002	0.025	0.011	0	0.235	1.593	0.32	0.108	0.132	12.495	1.148	3.655	0	0.005	0.246	0	0	0.008
ASV_50	3.084	12.002	0.00394370029473846	0.0246846425855852	Enriched	0.42	0.065	0	0.144	0.047	0.004	0.055	0.006	0.093	0.015	0	0	0.005	0.029	0.071	0.082	0.057	0.03	0.086	0.086	1.526	0.007	0.015	13.199	0.011	0.601	0.009	0.007	0.076	0.006	0.002	0.002	0.065	0.123	0.157	0.004	0.056	0.016	0.039	0.041	0.007	0.004	0	0.007	0.029	0.399	0.041	0.299	0.08	0.091	0.004	0.007	0.001	0	0	0.013	0
ASV_189	-1.731	12.21	0.00464368237114293	0.0268091471054163	Depleted	0.166	0.507	0.108	0.036	0.07	0.116	0.107	0.224	0.274	0.03	0.019	0.072	0.084	0.053	0.065	0.026	0.111	0.098	0.048	0.163	0.119	0.045	0.034	0.101	0.132	0.147	0.089	0.014	0.031	0.011	0.033	0.212	0.218	0.012	0.039	0.025	0.147	0.06	0.861	2.374	0.108	0.136	0.276	0.113	0.187	0.054	0.116	0.037	0.023	0.006	0.399	0.051	0.007	3.667	0.192	0.98	1.502
ASV_177	3.175	11.926	0.00466519875822315	0.0268091471054163	Enriched	0.327	0.043	0.028	0.19	0.056	0.009	0.012	0.008	0	0.006	0.016	0	0.019	0.016	0.008	0.026	0.015	0.072	0.038	0.048	0.007	0.03	0	0.177	1.136	0.018	0.047	4.319	0.458	6.173	0.002	0	0.036	0.043	0.006	0.004	0.011	0.014	0.001	0	0.019	0.005	0.021	0.001	0.01	0.037	0.019	0.098	0.098	0.002	0	0	0.025	0	0.322	0	0.017
ASV_83	2.225	11.152	0.00475902019622774	0.0268091471054163	Enriched	0.272	0.061	0.76	0.032	0.078	0.177	0.366	0.362	0.34	0.087	0.025	0.006	0.542	0.249	1.318	0.125	1.151	1.383	1.074	0.927	0.453	0.004	0	0.015	0.034	0.004	0.053	0.001	0.127	0.023	0	0.238	0.036	0.005	0.005	0	0.081	0.009	0.577	0.01	0.009	0.202	0.226	0.156	0.09	0.289	0.007	0.007	0.056	0.01	0.011	0	0.002	0.01	0	0.045	0.002
