ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	DE07P016	DE10P016	DE08P017	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076
ASV_207	1.405	8.23	0.224546975828791	0.718739199793593	NotSig	0.024	0.011	0.002	0	0	0.01	0.013	0.019	0.002	0.138	0.035	0.012	0.053	0.002	0.003	0.001	0.005	0.007	0.004
ASV_18	-1.35	12.882	0.225857124998825	0.718739199793593	NotSig	0.347	1.052	0.164	2.046	0.01	0.039	0.309	0.046	0.003	0.401	0.101	0.256	0.17	7.607	0.005	0.139	0.035	0.099	0.102
ASV_6	1.168	13.209	0.230725047230839	0.718739199793593	NotSig	1.18	0.518	0.238	0.857	0.268	3.534	4.034	1.553	0.13	0.007	0.003	0.528	0.015	0.208	0.62	0.89	0.786	0.831	0.262
ASV_157	-1.46	7.508	0.233909207033418	0.718739199793593	NotSig	0.006	0.02	0.025	0.012	0.002	0	0	0.002	0.002	0.003	0.005	0.041	0	0.11	0	0	0.008	0.003	0.001
ASV_60	1.357	12.511	0.257388459042571	0.771791401116435	NotSig	0.52	0.269	0.066	0.138	0.01	0.033	0.096	0.086	0	4.183	0.066	0.304	0.636	1.042	0.019	0.004	0.037	0.031	0.082
ASV_37	-1.082	13.35	0.260308342388383	0.771791401116435	NotSig	0.57	1.54	0.43	0.082	0.32	1.071	0.487	2.078	0.612	0.004	0.044	0.706	0.026	0.137	0.833	0.169	0.7	8.963	0.782
ASV_156	-1.284	6.125	0.272496780823682	0.787635201640704	NotSig	0.001	0.004	0	0	0	0.006	0.001	0.002	0.003	0	0	0.008	0.013	0	0	0.001	0.006	0	0.003
ASV_124	-1.126	10.344	0.274973236075749	0.787635201640704	NotSig	0.062	0.175	0.159	0.144	0.019	0.052	0.052	0.009	0.002	0.116	0.004	0.158	0.015	0.813	0.019	0.02	0.032	0.345	0
ASV_62	1.124	11.134	0.292622040424043	0.821839610967191	NotSig	0.191	0.125	0.319	0.506	0.002	0.015	0.028	0.01	0.01	0.128	0.698	0.428	0.018	0.388	0.001	0.026	0.04	0.068	0.03
ASV_15	1.247	15.347	0.296640332952655	0.821839610967191	NotSig	3.186	1.926	3.797	1.048	0.02	0.065	0.639	0.127	0.02	1.355	21.601	7.042	6.637	0.849	0.017	0.097	0.229	0.448	0.086
ASV_64	-1.483	8.241	0.305839580348414	0.833659501272289	NotSig	0.013	0.035	0.041	0.028	0.001	0	0	0.048	0	0	0	0.211	0.029	0.018	0	0	0.002	0.021	0
ASV_67	1.119	9.371	0.313330482239801	0.840521452357563	NotSig	0.088	0.036	0.002	0.007	0	0.028	0.642	0.033	0.01	0.059	0.015	0.003	0.005	0.009	0	0.1	0.065	0.044	0.06
ASV_1	0.897	17.2	0.33198030462716	0.849365327935885	NotSig	12.357	8.83	5.559	5.685	4.241	39.807	7.76	4.29	42.824	0.878	0.167	5.384	3.701	1.802	7.122	11.202	21.711	2.75	16.966
ASV_142	-1.156	8.654	0.341512712892419	0.849365327935885	NotSig	0.016	0.049	0.002	0.005	0.008	0.099	0.001	0.009	0.016	0.003	0.003	0	0	0.139	0	0.236	0.003	0.007	0.008
ASV_311	-0.831	9.986	0.343633189932437	0.849365327935885	NotSig	0.058	0.113	0.057	0.091	0.065	0.064	0.102	0.106	0.026	0.009	0.005	0.253	0	0.033	0.048	0.074	0.268	0.065	0.159
ASV_74	-0.877	12.689	0.351174809738058	0.849365327935885	NotSig	0.406	0.971	0.279	0.096	0.49	0.267	0.2	1.974	0.289	0.023	0.031	0.14	0.126	0.119	0.205	0.126	0.189	6.535	0.331
ASV_7	0.838	13.336	0.352930347855459	0.849365327935885	NotSig	1.154	0.658	1.416	2.244	0.061	0.113	4.802	0.209	0.089	0.794	0.661	1.93	0.379	1.651	0.037	0.238	0.372	0.448	0.207
ASV_108	-1.102	10.695	0.354502616827604	0.849365327935885	NotSig	0.089	0.171	0.002	0.056	0.112	0.241	0.273	0.096	0.005	0.016	0	0.003	0	0	0.894	0.202	0.192	0.058	0.022
ASV_174	1.174	10.934	0.354700345933224	0.849365327935885	NotSig	0.173	0.125	0.053	0.31	0	0.006	0.006	0.031	0.002	1.135	0.016	0.039	0.002	0.285	0.001	0.02	0	0.619	0.034
ASV_103	-0.914	9.791	0.356833954339928	0.849365327935885	NotSig	0.044	0.099	0.03	0.212	0.01	0.045	0.005	0.01	0.008	0.047	0.031	0.068	0.236	0.321	0.003	0.037	0.038	0.089	0
ASV_138	-0.931	10.558	0.364620819916788	0.855846091193573	NotSig	0.083	0.205	0.008	0.098	0.013	0.033	0.005	0.325	0.076	0.172	0.012	0.006	0	0.131	0.051	0.082	0.01	1.081	0.281
ASV_44	0.891	12.04	0.371325327623576	0.859643566690197	NotSig	0.402	0.271	1.35	0.126	0.119	0.03	0.239	0.883	0.843	0.012	0.015	0.544	0	0.195	0.147	0.038	0.26	0.728	0.259
ASV_98	-1.285	10.416	0.378858828164023	0.863171228383732	NotSig	0.054	0.221	0.1	0.091	0	0	0.001	0.092	0.002	0.009	0.194	0.107	0	0.244	0	0	0.002	1.416	0
ASV_109	0.792	7.469	0.386300276536135	0.863171228383732	NotSig	0.014	0.009	0.021	0.019	0	0.006	0.032	0.002	0.002	0.031	0.009	0.017	0.003	0.011	0.003	0.014	0.016	0.003	0.005
ASV_104	0.901	10.298	0.388171676669607	0.863171228383732	NotSig	0.118	0.083	0.113	0.245	0.013	0.016	0.006	0.217	0	0.443	0.011	0.041	0.008	0.339	0.004	0.051	0.008	0.185	0.029
ASV_177	-0.989	9.799	0.394036228430225	0.864832761100104	NotSig	0.044	0.095	0	0.077	0.02	0.003	0.022	0.142	0.015	0.004	0.109	0.003	0.005	0.006	0	0.015	0.008	0.116	0.605
ASV_14	0.956	14.347	0.404490715704469	0.876396550693016	NotSig	1.557	1.147	1.779	1.26	0.011	0.064	0.548	0.101	0.005	0.884	9.36	3.846	3.133	1.546	0.011	0.103	0.116	0.386	0.035
ASV_107	-0.851	9.05	0.415612882861125	0.878320950739632	NotSig	0.022	0.053	0.015	0	0.113	0.026	0.013	0.014	0.015	0.001	0	0.014	0.058	0.005	0.116	0.072	0.133	0.01	0.014
ASV_70	-0.783	10.836	0.415773231119352	0.878320950739632	NotSig	0.114	0.201	0.376	0.016	0.108	0.093	0.209	0.202	0.013	0	0.007	0.077	0.006	0.065	0.558	0.08	0.318	0.455	0.049
ASV_81	-0.903	12.609	0.433949171811033	0.894441553968366	NotSig	0.325	0.658	1.536	0.31	0.01	0.009	0.185	0.048	0	0.53	0.297	2.645	2.156	0.348	0.009	0.015	0.029	0.048	0.013
ASV_99	-0.908	9.797	0.43398939304974	0.894441553968366	NotSig	0.047	0.106	0.136	0.144	0.005	0.016	0.027	0.021	0	0.072	0.005	0.148	0	0.618	0.004	0.015	0.064	0	0.003
ASV_82	0.854	11.709	0.444994293130462	0.89765361670186	NotSig	0.353	0.216	0.062	0.063	0.019	0.026	1.856	0.26	0.874	0.016	0	0.089	0	0.033	0.039	0.252	1.058	0.103	0.158
ASV_29	0.71	11.618	0.44617102841986	0.89765361670186	NotSig	0.327	0.221	0.923	1.063	0.012	0.059	0.603	0.151	0.036	0.035	0.057	0.107	0.084	1.068	0.027	0.038	0.132	0.26	0.056
ASV_12	-0.809	13.497	0.4562531731355	0.907138661881171	NotSig	0.7	1.281	0.011	0.046	0.708	0.74	1.849	1.868	1.046	0.022	0.013	0.011	0	0.078	1.467	0.622	2.573	1.727	3.767
ASV_220	0.734	12.035	0.467390817080316	0.918477303332249	NotSig	0.399	0.263	0.223	2.409	0.131	0.428	0.121	0.062	0.196	0.022	0	1.11	0.024	0.119	0.264	0.208	0.203	0.055	0.122
ASV_83	0.703	11.649	0.473277099958082	0.91935436658524	NotSig	0.259	0.229	0.154	0.364	0.44	0.074	0.059	0.519	0.711	0.004	0	0.176	0.06	0.259	0.017	0.066	0.129	0.735	0.391
ASV_93	0.696	12.098	0.489998877130021	0.941020570851973	NotSig	0.398	0.293	0.169	0.165	0.823	0.403	1.212	0.322	0.482	0.006	0.003	0.108	0	0.029	0.261	1.132	0.276	0.222	0.319
ASV_101	0.845	5.771	0.506235475772992	0.94437656731841	NotSig	0.002	0.001	0	0	0.005	0.003	0	0.005	0.002	0	0	0	0	0	0.001	0.006	0	0	0
ASV_32	0.617	12.546	0.515661308769564	0.94437656731841	NotSig	0.561	0.419	3.242	0.272	0.199	0.251	0.142	0.618	0.307	0.006	0.011	0.827	0.011	0.611	0.529	0.167	0.3	0.725	0.181
ASV_4	0.651	16.313	0.517833751033674	0.94437656731841	NotSig	5.573	4.986	0.637	1.428	35.871	4.085	1.174	2.034	4.505	0.311	0.108	1.685	4.54	0.556	13.983	13.414	1.072	1.686	2.95
ASV_118	1.011	10.063	0.528410001784517	0.94437656731841	NotSig	0.094	0.063	0	0	0.008	0.366	0.071	0	0.005	0.396	0.004	0	0.006	0	0	0.48	0.021	0	0
ASV_121	0.58	10.104	0.537660512820225	0.94437656731841	NotSig	0.099	0.08	0.028	0.011	0.074	0.064	0.191	0.293	0.218	0.01	0.001	0.021	0.002	0.041	0.058	0.015	0.133	0.25	0.122
ASV_16	0.593	12.094	0.541289213239428	0.94437656731841	NotSig	0.496	0.332	0.251	0.235	0.492	0.196	0.186	3.011	0.078	0.003	0.011	0.282	0.055	0.204	0.001	0.243	0.583	0.889	0.397
ASV_140	-0.691	12.056	0.541664948131909	0.94437656731841	NotSig	0.3	0.605	0.048	0.005	0.182	0.534	0.044	1.705	0.162	0.01	0.012	0.006	0.003	0.018	0.222	0.225	0.003	4.292	0.067
ASV_42	-0.636	11	0.550579683565608	0.94437656731841	NotSig	0.135	0.21	0.015	0.149	0.094	0.142	0.084	0.565	0.111	0	0.054	0.003	0	0.006	0.108	0.381	0.038	0.25	0.896
ASV_38	-0.519	11.195	0.554101967794066	0.94437656731841	NotSig	0.138	0.228	0.278	0.263	0.014	0.07	0.065	0.08	0.013	0.339	0.124	0.449	0.701	0.273	0.015	0.065	0.105	0.174	0.044
ASV_188	0.559	8.963	0.559269571410056	0.94437656731841	NotSig	0.037	0.035	0.056	0	0.03	0.016	0.025	0.062	0.102	0.032	0.007	0.005	0.003	0.017	0.025	0.003	0.03	0.12	0.075
ASV_134	0.499	10.42	0.559318392123264	0.94437656731841	NotSig	0.11	0.098	0.03	0.035	0.144	0.254	0.154	0.151	0.193	0.012	0.02	0.027	0.036	0.03	0.019	0.298	0.13	0.065	0.176
ASV_34	-0.576	11.931	0.567941498690072	0.94437656731841	NotSig	0.226	0.441	0.338	0.741	0.022	0.073	0.022	0.104	0.01	0.536	0.191	0.303	0.139	2.826	0.017	0.088	0.025	0.116	0.014
ASV_71	-0.453	9.277	0.5844425282763	0.94437656731841	NotSig	0.045	0.062	0.026	0.065	0.017	0.025	0.19	0.045	0.023	0.009	0.007	0.179	0.029	0.018	0.011	0.026	0.133	0.065	0.032
ASV_58	0.553	12.692	0.593644702903341	0.94437656731841	NotSig	0.686	0.459	0.061	0.144	0.204	2.761	2.709	0.13	0.02	0.109	0.034	0.059	0.005	0.041	0.846	2.015	0.551	0.089	0.067
ASV_95	-0.539	10.326	0.603049881203087	0.94437656731841	NotSig	0.093	0.132	0.003	0.016	0.128	0.113	0.133	0.423	0.021	0	0	0.024	0.01	0.026	0.32	0.199	0.184	0.277	0.019
ASV_203	-0.473	8.727	0.604916802822005	0.94437656731841	NotSig	0.028	0.044	0.033	0.081	0.005	0.019	0.078	0.012	0.008	0.003	0.012	0.059	0	0.145	0.009	0.017	0.016	0.089	0.018
ASV_66	0.68	9.204	0.605635325345694	0.94437656731841	NotSig	0.047	0.04	0	0.075	0.005	0.118	0.009	0.026	0	0.134	0.053	0.002	0	0.002	0	0.291	0.01	0.017	0
ASV_166	-0.725	11.39	0.613273094855272	0.94437656731841	NotSig	0.161	0.359	0	0	0.006	0.02	0.008	0.904	0.505	0.001	0.003	0.002	0	0	0.004	0.018	0.019	2.202	0.624
ASV_128	0.951	8.227	0.618675056852264	0.94437656731841	NotSig	0.041	0.021	0	0	0	0	0.001	0.365	0	0	0	0	0	0	0	0.003	0.013	0.15	0
ASV_39	-0.401	10.74	0.623809733185595	0.94437656731841	NotSig	0.116	0.172	0.297	0.247	0.013	0.112	0.105	0.108	0.008	0.112	0.044	0.178	0.212	0.22	0.015	0.386	0.044	0.202	0.123
ASV_125	-0.577	6.196	0.625850077942803	0.94437656731841	NotSig	0.002	0.004	0.002	0	0	0.013	0.003	0.002	0	0.001	0	0.011	0	0.014	0.001	0	0.006	0	0
ASV_120	0.529	9.148	0.645527403466777	0.94437656731841	NotSig	0.047	0.042	0	0.002	0.004	0.075	0.041	0.14	0.002	0.069	0.093	0.002	0	0.006	0	0.169	0.021	0.089	0.048
ASV_159	0.434	10.949	0.648107309782218	0.94437656731841	NotSig	0.14	0.129	0.35	0.137	0.018	0.045	0.026	0.067	0.025	0.029	0.568	0.254	0.5	0.062	0.062	0.059	0.016	0.068	0.012
ASV_152	-0.397	11.073	0.650854371650343	0.94437656731841	NotSig	0.125	0.204	0.039	0.028	0.068	0.189	0.283	0.065	0.307	0.01	0.138	0.137	0.045	0.014	0.438	0.143	0.642	0.075	0.136
ASV_3	-0.434	14.902	0.653016009808735	0.94437656731841	NotSig	2.168	2.869	3.037	9.986	0.488	0.239	0.735	3.616	1.231	0.048	0.128	2.514	0.173	1.161	1.11	0.321	0.75	1.679	15.246
ASV_111	-0.48	11.659	0.677011987651055	0.94437656731841	NotSig	0.185	0.334	0.128	0.063	0.708	0.358	0.377	0.002	0.012	0.009	0.008	0.027	0.05	0.002	0.43	1.84	0.311	0	0.008
ASV_89	0.388	10.616	0.697496742299415	0.94437656731841	NotSig	0.11	0.112	0.079	0.042	0.029	0.073	0.084	0.171	0.503	0.004	0.009	0.045	0	0.042	0.118	0.01	0.086	0.181	0.41
ASV_5	-0.357	15.488	0.698046988034284	0.94437656731841	NotSig	2.944	4.113	0.969	1.983	10.497	0.879	8.526	2.118	1.158	0.186	0.178	1.454	0.481	0.662	15.673	8.292	1.809	2.196	2.337
ASV_80	0.517	5.592	0.69882653438797	0.94437656731841	NotSig	0.001	0.001	0	0	0	0.009	0	0	0	0	0	0	0.002	0	0	0.003	0.002	0	0
ASV_92	0.482	9.201	0.70105160923873	0.94437656731841	NotSig	0.04	0.038	0	0	0.014	0.096	0.061	0.014	0.177	0.001	0	0.005	0.006	0.002	0.099	0.019	0.17	0	0.004
ASV_210	0.405	9.466	0.707785005994867	0.94437656731841	NotSig	0.049	0.056	0.005	0.009	0.004	0.17	0.005	0.017	0.012	0.132	0.09	0.017	0.01	0.015	0.011	0.299	0	0.092	0.001
ASV_84	0.407	10.971	0.710438371811485	0.94437656731841	NotSig	0.134	0.126	0.13	0.011	0.59	0.042	0.063	0.122	0.246	0.001	0.003	0.014	0	0.051	0.657	0.01	0.068	0.092	0.115
ASV_123	-0.462	11.765	0.711903865830124	0.94437656731841	NotSig	0.178	0.318	0.069	0.084	0.036	0.019	0.24	0.146	1.006	0	0	0.143	0	0.077	0.004	0.009	0.106	0.055	2.152
ASV_54	-0.378	12.659	0.714463675977041	0.94437656731841	NotSig	0.313	0.71	0.067	0.084	0.004	0.086	0.123	0.092	0.026	0.176	2.161	0.075	1.152	0.917	0.011	0.153	0.772	2.503	0.1
ASV_146	-0.372	11.392	0.715513345515693	0.94437656731841	NotSig	0.168	0.236	0.031	0.067	0.524	0.371	0.353	0.122	0.043	0.001	0.001	0.03	0.013	0.011	0.984	0.194	0.459	0.089	0.109
ASV_114	-0.397	8.77	0.717959637678201	0.94437656731841	NotSig	0.027	0.042	0.12	0.077	0	0.019	0.008	0.005	0	0.013	0.005	0.087	0.003	0.166	0.005	0.008	0.056	0	0.01
ASV_183	-0.697	9.598	0.720843420794333	0.94437656731841	NotSig	0.041	0.088	0	0	0.05	0.309	0.005	0	0	0	0	0	0	0	0	0.694	0.01	0	0
ASV_148	0.595	10.966	0.72671868003121	0.94437656731841	NotSig	0.177	0.187	0	0.002	0.013	0	0	0.685	0.002	0.719	0.175	0.003	0	0.005	0	0	0	1.488	0
ASV_176	0.439	11.805	0.729824762262856	0.94437656731841	NotSig	0.248	0.218	0.031	0.005	0.01	0.012	0.006	0.039	0	1.875	0.256	0.05	1.52	0.008	0.004	0.004	0.016	0.106	0.036
