DS	HS	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales|Methylophilaceae	6.74603174603175e-06	-0.000167075163398693	-8.28754578754579e-05	0.0777134730650129
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	0.000484891497391497	-0.000580485364308894	-0.000108549192286436	0.297434431403551
Bacteria|Bacteroidetes|Unassigned|Unassigned|Unassigned	-0.000181818181818182	-7.14285714285714e-05	-0.00012	0.00334280303030303
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	0.00100240592740593	-0.000813522936471853	-0.000182352175414592	0.320998718105671
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	-0.0004748445998446	-0.000134180117268353	-0.000247659708113823	0.216021920460106
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillales_Incertae_Sedis_XI	0.000810668498168498	-0.00121819269481808	-0.000265367330427466	0.519839231269258
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales|Campylobacteraceae	0.000174558774558775	-0.000431028998521258	-0.000288084321205422	0.397035592576036
Bacteria|Bacteroidetes|Saprospiria|Saprospirales|Saprospiraceae	-0.000225	-0.000411239637555427	-0.000333981236155149	0.0473372453927645
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae	-0.000267857142857143	-0.000413200280112045	-0.000342407737190346	0.0740050541623532
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae	-0.000327601565101565	-0.000360483814431183	-0.000369682524910798	0.379355285531028
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae	-4.07398157398156e-05	-0.000585985866558622	-0.000382317896864176	0.379902080810185
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae	-0.00150611888111888	7.70794564912213e-05	-0.000427502497093754	0.360103969412617
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Williamwhitmaniaceae	-0.000918265068265068	8.51100696688932e-05	-0.000468064519078766	0.215148667012725
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae	-0.00201273171273171	-0.000122640676317147	-0.000780036236001394	0.257213193094511
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae	-0.0023980796980797	-0.000405097538340572	-0.00092405287379445	0.46729615540822
