z	module	p	roles	label	role_7
ASV_51	0.457499341664449	2	0	Peripherals		ultra peripheral
ASV_113	1.39390150296595	2	0	Peripherals		ultra peripheral
ASV_81	3.26670582556896	2	0	Module hubs	ASV_81	provincial hub
ASV_196	-0.291622387376754	2	0	Peripherals		ultra peripheral
ASV_556	0.457499341664449	2	0	Peripherals		ultra peripheral
ASV_15	2.33030366426746	2	0	Peripherals		ultra peripheral
ASV_62	3.07942539330866	2	0.5	Module hubs	ASV_62	connector hub
ASV_69	1.20662107070565	2	0.611111111111111	Peripherals		peripheral
ASV_23	-0.666183251897356	2	0.56	Peripherals		peripheral
ASV_97	-0.104341955116453	2	0.5	Peripherals		peripheral
ASV_87	-0.291622387376754	2	0.65625	Connectors	ASV_87	non hub connector
ASV_38	1.39390150296595	2	0	Peripherals		ultra peripheral
ASV_31	0.457499341664449	2	0	Peripherals		ultra peripheral
ASV_94	0.270218909404148	2	0	Peripherals		ultra peripheral
ASV_88	2.33030366426746	2	0.5	Peripherals		peripheral
ASV_110	0.457499341664449	2	0	Peripherals		ultra peripheral
ASV_202	0.64477977392475	2	0	Peripherals		ultra peripheral
ASV_358	-0.291622387376754	2	0	Peripherals		ultra peripheral
ASV_483	0.0829384771438476	2	0	Peripherals		ultra peripheral
ASV_246	0.270218909404148	2	0.444444444444444	Peripherals		peripheral
ASV_286	1.76846236748656	2	0	Peripherals		ultra peripheral
ASV_590	-0.291622387376754	2	0.244897959183674	Peripherals		peripheral
ASV_221	-0.478902819637055	2	0	Peripherals		ultra peripheral
ASV_363	0.832060206185051	2	0	Peripherals		ultra peripheral
ASV_432	-0.666183251897356	2	0	Peripherals		ultra peripheral
ASV_365	-0.853463684157657	2	0	Peripherals		ultra peripheral
ASV_109	-0.666183251897356	2	0	Peripherals		ultra peripheral
ASV_203	-0.666183251897356	2	0	Peripherals		ultra peripheral
ASV_197	0.270218909404148	2	0	Peripherals		ultra peripheral
ASV_250	-0.853463684157657	2	0	Peripherals		ultra peripheral
ASV_310	-0.291622387376754	2	0	Peripherals		ultra peripheral
ASV_761	-0.478902819637055	2	0	Peripherals		ultra peripheral
ASV_494	0.270218909404148	2	0	Peripherals		ultra peripheral
ASV_707	-0.478902819637055	2	0	Peripherals		ultra peripheral
ASV_126	-0.104341955116453	2	0	Peripherals		ultra peripheral
ASV_319	0.457499341664449	2	0	Peripherals		ultra peripheral
ASV_570	-0.291622387376754	2	0	Peripherals		ultra peripheral
ASV_481	-0.666183251897356	2	0	Peripherals		ultra peripheral
ASV_1237	-0.291622387376754	2	0	Peripherals		ultra peripheral
ASV_368	-0.666183251897356	2	0	Peripherals		ultra peripheral
ASV_309	-0.478902819637055	2	0	Peripherals		ultra peripheral
ASV_396	-0.666183251897356	2	0.5	Peripherals		peripheral
ASV_211	-0.853463684157657	2	0	Peripherals		ultra peripheral
ASV_392	0.0829384771438476	2	0	Peripherals		ultra peripheral
ASV_394	-0.478902819637055	2	0	Peripherals		ultra peripheral
ASV_495	-0.291622387376754	2	0	Peripherals		ultra peripheral
ASV_1126	-0.478902819637055	2	0	Peripherals		ultra peripheral
ASV_412	-0.666183251897356	2	0	Peripherals		ultra peripheral
ASV_583	-0.666183251897356	2	0	Peripherals		ultra peripheral
ASV_405	-0.666183251897356	2	0	Peripherals		ultra peripheral
ASV_1044	-0.853463684157657	2	0	Peripherals		ultra peripheral
ASV_422	-0.853463684157657	2	0	Peripherals		ultra peripheral
ASV_1023	-0.666183251897356	2	0	Peripherals		ultra peripheral
ASV_630	-0.853463684157657	2	0	Peripherals		ultra peripheral
ASV_371	-0.853463684157657	2	0	Peripherals		ultra peripheral
ASV_437	-0.853463684157657	2	0	Peripherals		ultra peripheral
ASV_7	0.457499341664449	2	0	Peripherals		ultra peripheral
ASV_9	-0.666183251897356	2	0	Peripherals		ultra peripheral
ASV_8	-0.666183251897356	2	0	Peripherals		ultra peripheral
ASV_18	-0.853463684157657	2	0	Peripherals		ultra peripheral
ASV_26	-0.853463684157657	2	0	Peripherals		ultra peripheral
ASV_27	-0.478902819637055	2	0	Peripherals		ultra peripheral
ASV_59	-0.666183251897356	2	0	Peripherals		ultra peripheral
ASV_119	-0.666183251897356	2	0	Peripherals		ultra peripheral
ASV_99	-0.853463684157657	2	0	Peripherals		ultra peripheral
ASV_201	-0.853463684157657	2	0	Peripherals		ultra peripheral
ASV_341	-0.666183251897356	2	0	Peripherals		ultra peripheral
ASV_52	0	16	0	Peripherals		ultra peripheral
ASV_90	0	16	0	Peripherals		ultra peripheral
ASV_339	-1.22474487139159	16	0	Peripherals		ultra peripheral
ASV_13	1.22474487139159	16	0	Peripherals		ultra peripheral
ASV_104	0	21	0	Peripherals		ultra peripheral
ASV_39	0	21	0	Peripherals		ultra peripheral
ASV_299	0.218217890235992	11	0.095	Peripherals		peripheral
ASV_257	0.87287156094397	11	0.49560546875	Peripherals		peripheral
ASV_316	-1.09108945117996	11	0	Peripherals		ultra peripheral
ASV_297	0.670820393249937	5	0	Peripherals		ultra peripheral
ASV_283	0.670820393249937	5	0	Peripherals		ultra peripheral
ASV_232	-1.56524758424985	5	0	Peripherals		ultra peripheral
ASV_72	-0.447213595499958	5	0	Peripherals		ultra peripheral
