DSmed	HSmed	MeanDecreaseAccuracy	MeanDecreaseGini
Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae	0.00175714285714286	0.00107998112998113	0.00131607785059797	0.444642413643945
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	0.00114206349206349	0.00105834443334443	0.00115237050960735	0.263202365963226
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae	0.00283452380952381	0.000177658452658453	0.000969862322919598	0.391177689799779
Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	0.000896031746031746	0.00106962481962482	0.000898776567429818	0.318849112445175
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae	0.000821031746031747	0.000972943722943723	0.000787206846301274	0.511544608434956
Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae	6.03174603174601e-05	0.000896078921078921	0.000590995257752224	0.243148647747742
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae	0.00128214285714286	0.000329376179376179	0.000541718309210569	0.262333739733744
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Marinilabiliaceae	-0.000228968253968254	0.000788181263181263	0.000530083195098675	0.313591489665894
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Williamwhitmaniaceae	-0.000308333333333334	0.000990151515151515	0.000518942577030812	0.112317252803534
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	0.00042979797979798	0.000617546342546343	0.000411835489931465	0.108803802190648
Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales|Alcanivoracaceae	2e-04	0.000427489177489177	0.000368358395989975	0.0529237512487513
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae	0.00236904761904762	-0.000968406593406593	0.000316297200391628	0.351071926970733
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae	0.000294047619047619	0.000203485403485403	0.00031190613222347	0.235884991622904
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Dysgonomonadaceae	-5.95238095238093e-05	0.000329437229437229	0.000311298582738211	0.218609544683222
Bacteria|Proteobacteria|Gammaproteobacteria|Cardiobacteriales|Cardiobacteriaceae	-0.000323015873015873	0.000695260295260295	0.000289671482628139	0.251306021932441
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae	0.00201709956709957	-0.000567673992673993	0.000267334931150721	0.346771161201532
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae	0.000530952380952381	9.43251193251194e-05	0.000216486209868563	0.220213270504409
Bacteria|Fusobacteria|Fusobacteriia|Fusobacteriales|Fusobacteriaceae	0.00111666666666667	-0.00027461704961705	0.000148491846131165	0.417432639015403
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned	-0.00158769841269841	0.00113104950604951	7.20039162763622e-05	0.267217735921684
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae	-0.000569444444444444	0.000187276612276612	3.83407828841265e-05	0.142643879694469
Bacteria|Bacteroidetes|Unassigned|Unassigned|Unassigned	0	0	0	0.00560091663569924
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales_Incertae_Sedis_XIII	6.78571428571429e-05	0.000220700133200133	-3.80945250140296e-05	0.250182501540604
Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Erwiniaceae	-2e-04	0	-6.66666666666667e-05	0.022844886486063
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae	-0.00117103174603175	0.000690487290487291	-0.000129203660976107	0.331172843553388
Bacteria|Bacteroidetes|Saprospiria|Saprospirales|Saprospiraceae	-0.000125	-0.000296703296703297	-0.000248464912280702	0.0195833445615213
Bacteria|SR1|Unassigned|Unassigned|Unassigned	-0.000387301587301587	-0.000195707070707071	-0.000268641897318368	0.273231848626435
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae	-0.000592857142857143	-0.000202020202020202	-0.0003125	0.0253232086770468
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	-0.00145	6.50543900543901e-05	-0.000428857253857254	0.114995117645986
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae	0.000547619047619048	-0.000789729714729715	-0.000437675070028011	0.14672761806297
Bacteria|Firmicutes|Clostridia|Clostridiales|Vallitaleaceae	-0.00187261904761905	0.000318845043845044	-0.000548155173000374	0.314898570194347
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales|Campylobacteraceae	-0.0012265873015873	-0.000411302586302586	-0.000669905911082381	0.15828148278901
