orig_model	model	color	OTU	X1	X2
198	5	model_5	#F47346	ASV_23	-9.68453279554382	12.4417906222438
199	5	model_5	#F47346	ASV_149	13.9669271824553	5.63851696470284
200	1	model_1	#9E0142	ASV_69	5.85092140824409	-16.3605899783425
201	2	model_2	#BA2148	ASV_968	3.3222245801457	12.9004569098253
202	1	model_1	#9E0142	ASV_116	-12.2592722633261	-0.365360370548552
203	6	model_6	#F99655	ASV_109	8.853026606205	2.80238042757444
204	3	model_3	#FDB567	ASV_416	-4.18950224463372	-15.9518495882432
205	10	model_10	#FEE695	ASV_610	18.5518900200176	-9.78235489217521
206	10	model_10	#FEE695	ASV_1101	18.3959509886851	-8.11106910214658
207	4	model_4	#E65948	ASV_25	-12.9275885782388	7.97418816234014
208	10	model_10	#FEE695	ASV_26	14.8817712853113	-13.2534863509253
209	42	mini_model	#C1C1C1	ASV_92	13.3337249467368	-18.9173641351789
210	11	model_11	#FDD07D	ASV_289	4.49141796017656	-25.5334500058208
211	4	model_4	#E65948	ASV_441	-12.1493609905084	5.90010264140396
212	10	model_10	#FEE695	ASV_672	13.3958861032572	-15.6343709109111
213	4	model_4	#E65948	ASV_913	-13.6565708464683	7.0747556706337
214	13	model_13	#B4E0A2	ASV_752	21.6081434927051	-5.78468275198771
215	13	model_13	#B4E0A2	ASV_407	22.7693091634641	-4.66794668037953
216	6	model_6	#F99655	ASV_812	5.55581738621947	7.63321276086472
217	22	model_22	#6DC4A4	ASV_836	8.3985071595012	18.5373398551343
218	6	model_6	#F99655	ASV_873	7.6950688488943	9.85276868031047
219	4	model_4	#E65948	ASV_698	-13.212736457946	8.86218702601094
220	5	model_5	#F47346	ASV_909	14.1025185241028	9.68850676532736
221	4	model_4	#E65948	ASV_1843	-10.9071855045946	2.73316214281396
222	4	model_4	#E65948	ASV_742	-11.4938791641432	7.42729334908827
223	1	model_1	#9E0142	ASV_869	-8.9525501319437	2.2746946058489
224	4	model_4	#E65948	ASV_622	-16.6779580708089	4.46117295677062
225	4	model_4	#E65948	ASV_353	-7.37931056884436	11.6389011900132
226	1	model_1	#9E0142	ASV_137	-9.50570548334777	1.18203091835385
227	33	mini_model	#C1C1C1	ASV_1084	15.809983194586	-20.6342421407631
228	1	model_1	#9E0142	ASV_240	-2.29738123309513	0.423040486883192
229	15	model_15	#91D3A4	ASV_631	16.79161909681	14.5634385209486
230	8	model_8	#F8FCB4	ASV_700	23.3504860606299	-1.30676145865535
231	5	model_5	#F47346	ASV_822	18.2008077753199	5.35311780794302
232	3	model_3	#FDB567	ASV_799	-12.3437615851169	-17.4411324392787
233	1	model_1	#9E0142	ASV_10	-6.05520348791389	-3.39083578352962
234	4	model_4	#E65948	ASV_796	-11.3272194803231	4.82084213152687
235	1	model_1	#9E0142	ASV_62	-5.36434865650289	-2.06940719946968
