ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_51	2.21	15.957	0.033093558625328	0.445450582838773	NotSig	1.699	0.367	0.037	0.387	0.045	0.791	0.115	0.03	4.743	3.167	2.427	4.871	0.32	6.363	0.701	2.234	1.11	1.539	0.006	0.023	0.049	0.281	0.592	0.381	0.137	0.211	0.044	0.202	0	0.073	0.001	1.144	0.294	2.075
ASV_87	1.532	16.707	0.478383339456474	0.730043124898141	NotSig	1.127	0.39	0.168	0.123	0.009	0.377	0.035	0.254	1.94	1.618	0.267	0.003	0	0.503	1.177	10.7	0.632	1.339	0.007	0.085	0.038	0.4	0.22	0.149	0.039	0.482	0.086	1.574	0.004	0.198	0.014	0.065	2.281	0.208
ASV_39	-1.055	13.715	0.162308452351801	0.53471802405249	NotSig	0.191	0.396	0.327	0.013	0.009	0.005	0.709	0.043	0.014	0.008	0.998	0.006	0.157	0.614	0.001	0	0.335	0.003	0	1.344	0.593	0.476	0.888	1.171	0.058	0.061	0.002	0.011	0.001	0.012	0.027	0.252	0.005	1.039
ASV_67	3.919	18.049	0.0818100594943702	0.445450582838773	NotSig	3.109	0.206	0.092	0.595	0	10.166	0.284	0.171	0.038	0.073	0.006	8.997	0.003	27.127	0.044	0.726	0	4.526	0.003	0	0.001	0.002	0.218	0.027	0	0.028	0.01	0.013	0.023	1.389	0	1.291	0.076	0.006
ASV_55	-1.138	14.679	0.215963732197286	0.599584477466885	NotSig	0.244	0.537	0.206	0.1	0.35	0.024	0.161	0.524	0.329	0.215	0.074	0.657	0.049	0.002	0.003	1.343	0.076	0.008	0.029	0.972	0.382	0.156	0.117	0.055	0.146	0.136	2.252	0.204	0.135	0.396	0.315	0.001	2.623	0.168
ASV_52	0.592	14.887	0.794372094513015	0.943214596479304	NotSig	0.558	0.37	0.037	0.015	0.344	0.06	0.37	0.045	0.62	0.065	0.302	1.343	2.734	0.011	0.011	0.304	0.118	3.029	0.073	0.195	0.182	0.062	0.005	0.246	0.156	0.211	1.971	0.045	0.011	0.112	1.6	0.227	0.028	0.499
ASV_36	-0.164	13.449	0.272583544095334	0.607706939578719	NotSig	0.168	0.189	0.265	0.543	0.095	0.086	0.181	1.118	0.163	0.013	0	0	0.001	0	0	0.046	0.006	0.004	0.343	0.636	0.132	0.71	0.315	0.104	0.072	0.171	0.016	0.281	0.135	0.012	0	0.007	0.235	0.005
ASV_29	0.274	13.893	0.261270227930743	0.607706939578719	NotSig	0.468	0.388	0.084	0.331	0.258	0.56	0.119	0.119	0.263	0.672	0.25	0.806	0.162	1.521	1.085	0.702	0.251	0.306	0.473	0.035	0.137	0.319	0.179	0.429	1.321	0.08	0.274	1.069	0.024	0.577	0.201	0.019	0.062	1.088
ASV_57	5.711	17.933	0.56063550806411	0.796196645906173	NotSig	1.532	0.029	0.047	0	0.152	25.02	0	0.007	0.008	0.001	0.038	0	0	0	0.134	0.096	0	0.529	0.013	0.01	0.027	0	0	0.022	0.142	0.097	0.041	0	0	0.007	0	0.001	0.09	0
ASV_43	-1.072	13.042	0.0299415763255893	0.445450582838773	NotSig	0.164	0.345	0.24	0.397	0.221	0.012	0.243	0.082	0.06	0.021	0.084	0.083	0.148	0.002	0.004	0.096	0.012	0.843	0.243	0.594	0.697	0.495	0.428	0.041	0.142	0.298	0.093	0.129	0.708	0.02	0.619	0.032	0.622	0.262
