ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083
ASV_85	-0.2	12.108	0.888358700123406	1	NotSig	0.146	0.167	0.318	0.097	0.242	0.065	0.189	0.232	0	0.023	0.238	0.441	0.109	0.241	0.384	0.038	0.008	0.023	0.023
ASV_75	0.134	12.477	0.480707527766351	1	NotSig	0.149	0.135	0.352	0.14	0.065	0.126	0.104	0.368	0.005	0.028	0.307	0.077	0.042	0.049	0.102	0.57	0.021	0.043	0.007
ASV_84	0.427	13.09	0.888358700123406	1	NotSig	0.18	0.134	0.204	0.004	0.872	0.266	0.015	0.07	0.002	0.011	0.13	0.011	0.59	0.042	0.063	0.122	0.246	0.001	0.003
ASV_106	-1.439	12.45	0.808741160319879	1	NotSig	0.029	0.079	0	0.001	0.01	0.003	0.088	0	0.107	0.025	0	0.018	0.008	0.009	0.098	0.003	0	0.559	0.015
ASV_76	-0.368	12.681	0.814808720691074	1	NotSig	0.168	0.217	0.114	0.057	0.472	0.275	0.07	0.147	0.007	0.203	0.202	0.084	0.656	0.094	0.226	0.159	0.437	0.04	0.054
ASV_78	2.141	13.219	0.235870012340601	1	NotSig	0.245	0.056	0.053	0.953	0.085	0.582	0.11	0.166	0.007	0.004	0.054	0.138	0.056	0.091	0.089	0.043	0.026	0	0.001
ASV_83	-0.409	13.135	0.386185031958589	1	NotSig	0.195	0.259	0.476	0.053	0.032	0.028	0.067	0.899	0	0.002	0.154	0.364	0.44	0.074	0.059	0.519	0.711	0.004	0
ASV_64	-0.193	8.995	0.612388516194619	1	NotSig	0.011	0.013	0.051	0.041	0	0	0	0	0	0	0.041	0.028	0.001	0	0	0.048	0	0	0
ASV_97	0.831	13.929	0.742986425339367	1	NotSig	0.297	0.167	0.082	0.196	0.011	0.112	0.132	0.106	0.175	1.56	0.153	0.321	0.013	0.032	0.28	0.055	0.015	0.101	0.531
ASV_89	-0.629	12.297	0.672974084738791	1	NotSig	0.071	0.11	0.003	0.059	0.029	0.032	0.069	0.145	0.204	0.032	0.079	0.042	0.029	0.073	0.084	0.171	0.503	0.004	0.009
ASV_70	1.666	13.701	0.370382558617853	1	NotSig	0.361	0.114	0.519	0.011	0.174	1.332	0.04	0.621	0.188	0.004	0.376	0.016	0.108	0.093	0.209	0.202	0.013	0	0.007
ASV_100	-3.075	16.779	0.480707527766351	1	NotSig	0.167	1.41	0.082	0.136	0.006	0.009	0.189	0.002	0.093	0.822	0.131	0.713	0.007	0.149	0.173	0.036	0	0.238	11.242
ASV_93	-0.855	13.565	0.370382558617853	1	NotSig	0.22	0.398	0.282	0.161	0.457	0.176	0.275	0.408	0.002	0	0.169	0.165	0.823	0.403	1.212	0.322	0.482	0.006	0.003
ASV_118	-1.893	11.953	0.883811182374117	1	NotSig	0.025	0.094	0	0	0.055	0.011	0.088	0.043	0.004	0.004	0	0	0.008	0.366	0.071	0	0.005	0.396	0.004
ASV_98	-0.04	10.923	1	1	NotSig	0.053	0.054	0.145	0.106	0	0	0	0.004	0.043	0.125	0.1	0.091	0	0	0.001	0.092	0.002	0.009	0.194
ASV_61	-1.112	13.229	0.594372306222881	1	NotSig	0.121	0.262	0.009	0.031	0.076	0.051	0.005	0.795	0	0	0.002	0.692	0.007	0.07	0.462	0.161	0.96	0	0
ASV_117	-0.384	9.775	0.321266968325792	1	NotSig	0.024	0.031	0.029	0.022	0.02	0.028	0.004	0.002	0.057	0.028	0.038	0.03	0.006	0.042	0	0.029	0.005	0.043	0.088
ASV_104	0.998	13.588	0.742986425339367	1	NotSig	0.237	0.118	0.102	1.232	0.02	0.003	0.008	0.085	0.425	0.018	0.113	0.245	0.013	0.016	0.006	0.217	0	0.443	0.011
ASV_105	1.438	10.054	0.921648384539667	1	NotSig	0.019	0.007	0	0	0	0.014	0.001	0.106	0.014	0.014	0	0	0.002	0.007	0.005	0.003	0	0.028	0.016
ASV_136	0.241	10.788	0.480707527766351	1	NotSig	0.036	0.03	0.177	0.033	0.013	0.006	0.004	0	0.029	0.023	0.034	0.019	0.023	0.077	0.009	0.027	0.048	0.012	0.022
ASV_174	0.585	13.47	0.563463732865863	1	NotSig	0.26	0.173	0.063	0.773	0	0.008	0.005	0.102	1.081	0.046	0.053	0.31	0	0.006	0.006	0.031	0.002	1.135	0.016
ASV_112	-0.569	13.988	1	1	NotSig	0.147	0.218	0.857	0.206	0.008	0.008	0.007	0.03	0.041	0.019	1.624	0.138	0.004	0.022	0.006	0.045	0.01	0.104	0.009
ASV_111	0.031	12.94	0.672974084738791	1	NotSig	0.189	0.185	0.017	0.014	0.786	0.492	0.128	0.04	0.027	0.009	0.128	0.063	0.708	0.358	0.377	0.002	0.012	0.009	0.008
ASV_126	3.789	15.755	0.84729721328897	1	NotSig	0.764	0.055	0.258	0.243	0.001	0.01	0	0.013	5.529	0.056	0.279	0.016	0	0.012	0.018	0.019	0.008	0.115	0.031
ASV_96	-1.557	11.722	0.553500255949293	1	NotSig	0.013	0.038	0	0.004	0.001	0	0.051	0	0.046	0	0	0.002	0	0	0	0	0	0.338	0.001
ASV_130	0.479	12.373	1	1	NotSig	0.168	0.12	0.53	0.064	0.318	0.102	0.159	0.121	0.036	0.012	0.062	0.019	0.115	0.191	0.129	0.233	0.158	0.16	0.015
ASV_137	0.143	9.896	0.470214276164064	1	NotSig	0.026	0.024	0.044	0.06	0.047	0.01	0.007	0.03	0.002	0.009	0.095	0.016	0.007	0.067	0.021	0.003	0	0.003	0
ASV_107	1.019	10.769	0.809779770643472	1	NotSig	0.044	0.022	0.003	0.001	0.133	0.174	0.009	0.017	0.011	0.005	0.015	0	0.113	0.026	0.013	0.014	0.015	0.001	0
ASV_109	2.465	12.274	0.605841217605923	1	NotSig	0.075	0.014	0.01	0.012	0.001	0.019	0.018	0.015	0.495	0.03	0.021	0.019	0	0.006	0.032	0.002	0.002	0.031	0.009
ASV_189	-0.741	12.573	0.276593994241053	1	NotSig	0.123	0.205	0.17	0.157	0.204	0.071	0.128	0.223	0.016	0.012	0.163	0.24	0.09	0.609	0.151	0.236	0.112	0.21	0.035
ASV_92	0.274	11.21	0.771464039485912	1	NotSig	0.049	0.04	0	0.007	0.01	0.237	0.057	0.064	0.011	0.005	0	0	0.014	0.096	0.061	0.014	0.177	0.001	0
ASV_82	-1.01	14.18	0.500318673453934	1	NotSig	0.175	0.353	0.012	0.05	0.036	0.059	0.778	0.463	0	0.004	0.062	0.063	0.019	0.026	1.856	0.26	0.874	0.016	0
ASV_95	-0.143	12.046	1	1	NotSig	0.084	0.093	0.005	0.104	0.091	0.302	0.096	0.072	0.002	0.004	0.003	0.016	0.128	0.113	0.133	0.423	0.021	0	0
ASV_110	1.39	14.337	0.193657589519031	1	NotSig	0.565	0.215	1.753	0.527	0.002	0.106	0.001	0.03	2.07	0.03	1.427	0.07	0.001	0.001	0	0.003	0	0.398	0.038
ASV_80	-0.1	6.444	0.61261356188515	1	NotSig	0.001	0.001	0	0	0	0.005	0	0.002	0	0	0	0	0	0.009	0	0	0	0	0
ASV_114	3.195	13.408	0.359464092141246	1	NotSig	0.252	0.027	0.102	1.087	0.004	0	0.008	0.074	0.728	0.011	0.12	0.077	0	0.019	0.008	0.005	0	0.013	0.005
ASV_199	-1.717	11.492	0.0913957155235172	1	NotSig	0.011	0.037	0.005	0.025	0.008	0.01	0.004	0.013	0.007	0.018	0.002	0	0.001	0	0.288	0.005	0.035	0	0.001
ASV_159	1.207	14.187	0.742986425339367	1	NotSig	0.324	0.14	1.865	0.074	0.012	0.036	0.024	0.087	0.073	0.422	0.35	0.137	0.018	0.045	0.026	0.067	0.025	0.029	0.568
ASV_116	-0.015	12.957	0.884953549012449	1	NotSig	0.19	0.192	0.418	0.106	0.099	0.038	0.063	0.795	0	0	0.085	0.217	0.644	0.013	0.155	0.556	0.049	0.007	0
ASV_122	0.177	11.43	0.4234471410942	1	NotSig	0.047	0.042	0.216	0.016	0.07	0.019	0.018	0	0.023	0.016	0.276	0.007	0.03	0.003	0.035	0.005	0.002	0.003	0.016
ASV_120	-0.913	10.455	0.500318673453934	1	NotSig	0.025	0.047	0.002	0.004	0.001	0	0.094	0.004	0.036	0.06	0	0.002	0.004	0.075	0.041	0.14	0.002	0.069	0.093
ASV_91	1.119	12.218	0.541423282599753	1	NotSig	0.089	0.041	0.002	0.029	0.029	0.108	0.046	0.476	0.009	0.014	0.007	0.082	0.068	0.023	0.027	0.007	0.008	0.006	0.14
ASV_152	0.017	11.851	0.888358700123406	1	NotSig	0.127	0.125	0.112	0.086	0.108	0.369	0.228	0.07	0.014	0.026	0.039	0.028	0.068	0.189	0.283	0.065	0.307	0.01	0.138
ASV_129	-2.621	14.598	0.962566844919786	1	NotSig	0.057	0.352	0.088	0.079	0.006	0.019	0.005	0.06	0.064	0.136	2.48	0.377	0.008	0.023	0.041	0.017	0.003	0.197	0.022
ASV_176	-0.32	14.195	0.814808720691074	1	NotSig	0.199	0.248	0.114	0.003	0.011	0.011	0.012	0.009	0.166	1.265	0.031	0.005	0.01	0.012	0.006	0.039	0	1.875	0.256
ASV_200	0.518	12.729	0.672974084738791	1	NotSig	0.215	0.15	0.07	0.113	0.085	0.679	0.547	0.121	0.05	0.053	0.08	0.138	0.065	0.075	0.673	0.122	0.049	0.104	0.042
ASV_103	-0.376	11.05	0.962566844919786	1	NotSig	0.034	0.044	0.017	0.007	0.019	0.025	0.012	0.132	0.018	0.042	0.03	0.212	0.01	0.045	0.005	0.01	0.008	0.047	0.031
ASV_154	-0.812	13.111	0.480707527766351	1	NotSig	0.132	0.232	0.046	0.071	0.171	0.079	0.093	0.051	0.009	0.538	0.056	0.102	0.079	0.635	0.174	0.13	0.008	0.019	0.884
ASV_148	-0.65	12.831	0.883811182374117	1	NotSig	0.113	0.177	0.002	0.003	0.017	0	0	0.004	0.15	0.729	0	0.002	0.013	0	0	0.685	0.002	0.719	0.175
ASV_209	0.238	11.271	0.888358700123406	1	NotSig	0.059	0.05	0.003	0.094	0.023	0.247	0.047	0.043	0.004	0.014	0.01	0.009	0.017	0.171	0.048	0.005	0.084	0.031	0.078
ASV_115	0.453	12.131	0.888358700123406	1	NotSig	0.118	0.086	0.014	0.008	0.072	0.327	0.448	0.064	0.009	0.002	0.013	0.011	0.037	0.155	0.177	0.348	0.015	0.016	0.004
ASV_188	1.572	12.574	0.962566844919786	1	NotSig	0.109	0.037	0.133	0.015	0.038	0.005	0.015	0.023	0.61	0.032	0.056	0	0.03	0.016	0.025	0.062	0.102	0.032	0.007
