ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082
ASV_14	0.649	16.682	0.917322169805493	0.968921541857052	NotSig	1.557	0.993	1.779	1.26	0.011	0.064	0.548	0.101	0.005	0.884	9.36	0.542	0.504	0.183	1.368	0.403	2.639	2.054	2.274	3.56	1.13	2.107	1.007	1.238	0.677	4.019	0.088	0.117	0.031	0.121	0.065	0.041	0.072	0.028	0.198	0.032	0.493	0.037	0.195	0.021	0.262	0.141	1.432	0.126	0.081	0.068	0.212	0.036	0.603	10.512
ASV_13	-0.846	16.1	0.466096721195976	0.965294924060784	NotSig	0.639	1.148	2.982	0.389	0.086	0.133	0.239	0.315	0.114	0.853	0.635	5.477	0.279	0.163	0.528	0.083	3.411	1.717	3.33	7.022	5.197	1.638	0.405	0.525	1.171	0.616	0.237	0.083	0.12	0.902	0.171	0.102	0.13	0.078	0.525	1.195	0.712	0.254	0.473	0.04	0.808	0.314	3.858	0.287	0.11	0.367	0.41	0.517	0.274	1.25
ASV_15	1.641	17.721	0.658741252136477	0.965294924060784	NotSig	3.186	1.021	3.797	1.048	0.02	0.065	0.639	0.127	0.02	1.355	21.601	0.177	0.205	0.082	1.317	0.182	1.608	0.95	2.084	4.191	2.835	3.297	1.034	1.538	2.346	2.194	0.082	0.075	0.167	0.068	0.059	0.026	0.057	0.018	0.169	0.034	0.892	0.012	0.159	0.012	0.163	0.222	0.051	0.061	0.054	0.255	0.293	0.029	0.45	12.381
ASV_18	-0.549	16.344	0.775194296529647	0.965294924060784	NotSig	0.347	0.507	0.164	2.046	0.01	0.039	0.309	0.046	0.003	0.401	0.101	0.362	0.899	0.153	8.32	2.098	0.012	1.34	0.38	0.065	0.175	0.297	0.299	1.529	0.104	0.075	0.144	0.037	0.025	0.017	0.007	0.019	0.122	0.064	0.065	0.038	0.095	0.085	0.055	0.04	0.111	0.02	0.062	0.19	0.009	0.201	0.162	0.191	0.214	1.702
ASV_12	-1.212	17.596	0.603191669433734	0.965294924060784	NotSig	0.7	1.623	0.011	0.046	0.708	0.74	1.849	1.868	1.046	0.022	0.013	0.147	0.043	0.024	0.166	0.147	0.116	0.483	0.124	0.126	0.077	1.86	0.114	0.204	0.002	0.004	0.058	0.262	0.382	0.179	0.106	0.351	6.083	1.918	5.902	0.21	4.683	0.889	1.245	4.752	0.172	0.338	0.733	3.662	19.814	4.313	3.013	0.548	0.012	0.017
ASV_22	-0.499	14.182	0.93794462587066	0.972470194921114	NotSig	0.23	0.326	0.049	0.025	0.622	0.261	0.05	0.127	0.205	0.523	0.212	0.056	0.102	0.054	0.964	0.141	1.038	0.124	0.073	0.014	0.13	0.003	0.004	0.081	0.42	0.026	1.859	0.254	0.29	0.195	0.101	0.325	0.341	1.028	0.452	0.184	0.13	0.055	1.779	0.037	0.532	0.13	0.975	0.193	0.117	0.038	0.125	0.1	0.176	0.048
ASV_25	-0.056	15.789	0.249878329740558	0.965294924060784	NotSig	0.745	0.774	1.036	0.056	0.494	0.962	0.501	2.173	0.624	0.744	0.113	2.123	0.172	0.172	0.079	0.016	0.072	0.874	0.281	0.405	0.43	0.189	0.038	0.087	0.15	0.084	0.551	0.096	1.735	0.434	0.24	0.293	0.358	0.099	2.172	4.134	0.566	1.701	2.063	0.275	0.469	0.415	0.575	0.247	5.66	0.181	0.638	1.603	0.307	0.205
ASV_23	-0.168	15.679	0.835499391976648	0.965294924060784	NotSig	0.845	0.949	2.005	2.284	0.062	0.046	0.554	0.33	0.091	1.631	0.6	0.229	0.507	1.543	1.424	1.561	3.06	1.036	0.485	1.517	0.525	0.404	4.555	1.982	0.538	2.236	0.184	0.152	0.637	0.105	0.221	0.076	0.106	0.048	1.472	0.099	0.85	0.523	0.516	1.115	0.346	0.82	1.303	0.279	0.113	0.109	0.492	0.434	5.245	0.173
ASV_17	-1.235	16.854	0.498726188335883	0.965294924060784	NotSig	0.481	1.132	0.266	0.019	0.259	0.528	1.944	0.859	0.422	0.013	0.015	0.024	0.019	0.064	0.137	0.096	0.007	0.034	0.024	0.041	0.082	0.079	0.055	0.101	3.191	0.132	3.745	1.338	0.466	0.406	11.846	5.835	0.883	0.298	0.671	0.619	1.83	5.884	0.577	0.233	0.274	1.049	1.449	0.36	0.589	0.055	0.615	0.353	0.012	0.664
ASV_20	-1.371	16.282	0.404416432338495	0.965294924060784	NotSig	0.332	0.86	0.054	0.012	0.101	0.577	0.492	0.829	0.897	0.012	0.018	0.182	0.073	1.666	0.194	0.022	0	0.214	0.095	0.004	0.027	0.017	0.225	0.235	0.016	0.022	4.741	2.175	0.28	1.12	0.051	7.969	1.734	1.41	0.224	1.032	0.102	0.149	0.348	3.106	0.149	0.076	0.135	1.912	0.389	0.085	0.146	3.117	0.055	0.048
ASV_38	-0.787	13.503	0.466096721195976	0.965294924060784	NotSig	0.138	0.239	0.278	0.263	0.014	0.07	0.065	0.08	0.013	0.339	0.124	0.052	0.034	0.034	0.27	0.125	1.161	0.228	0.216	0.597	0.489	0.437	0.261	0.282	0.314	0.808	0.093	0.059	0.072	0.111	0.042	0.019	0.066	0.017	0.143	0.064	0.071	0.03	0.824	0.033	0.592	0.087	0.123	0.186	0.798	0.081	0.161	0.021	0.065	0.251
ASV_16	-0.118	15.515	0.696835901860122	0.965294924060784	NotSig	0.496	0.538	0.251	0.235	0.492	0.196	0.186	3.011	0.078	0.003	0.011	0.204	0.38	2.61	0.367	0.021	0.161	0.017	0.284	0	0.039	0.006	0.004	0.007	0.016	0.064	1.141	3.389	3.09	0.109	0.095	0.233	0.172	0.001	0.168	1.072	0.168	0.431	0.272	0.116	0.053	0.067	0.965	0.216	4.683	0.244	0.023	0.087	0.008	0.003
ASV_26	-0.221	14.655	0.696835901860122	0.965294924060784	NotSig	0.46	0.536	0.241	0.191	0.157	0.267	0.267	0.18	0.124	0.131	2.579	0.409	1.263	0.271	1.701	1.396	0.209	0.716	0.705	0.658	0.3	1.467	0.926	1.448	0.642	2.291	0.312	0.111	0.286	0.102	0.425	0.016	0.152	0.157	0.089	0.101	0.126	0.159	0.22	0.205	0.265	0.036	0.162	0.029	0.131	0.16	0.465	0.157	2.575	0.057
ASV_10	-4.715	9.198	0.138789729360369	0.965294924060784	NotSig	0	0.004	0	0	0	0	0	0	0	0.001	0	0	0.017	0	0.059	0.005	0.009	0.003	0	0.004	0.007	0.017	0.006	0	0	0.002	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.032	0	0	0
ASV_27	0.632	15.294	0.876251151208846	0.965294924060784	NotSig	0.686	0.443	0.287	0.78	0.007	0.045	0.149	0.12	0.012	0.759	4.017	0.271	1.018	0.229	2.947	1.819	0.009	0.883	0.792	0.168	1.18	0.195	1.221	0.177	0.249	0.216	0.07	0.058	0.022	0.005	0.032	0.016	0.031	0.048	0.058	0.065	0.845	0.027	0.482	0.081	2.039	0.307	0.499	0.048	0.177	0.085	0.167	0.031	0.129	0.575
ASV_21	-0.989	17.573	0.579089443173681	0.965294924060784	NotSig	0.908	1.803	0.166	0.354	0.68	0.129	0.452	5.893	0.048	0.355	0.094	1.297	19.499	19.178	1.019	0.36	0.057	0.084	1.453	0.002	0.016	0	0.004	0.007	0.055	0	0.689	0.253	1.076	0.047	0.095	0.141	0.325	0.064	0.109	0.176	0.731	1.198	0.507	0.272	0.058	0.148	0.14	0.016	0.114	0.422	0.861	1.792	17.995	0.045
ASV_65	-0.178	15.501	0.917322169805493	0.968921541857052	NotSig	0.518	0.587	2.201	0.604	0.012	0.099	0.338	0.053	0.007	0.809	0.543	0.182	0.57	0.108	0.593	0.203	4.637	0.588	0.918	2.359	0.739	2.706	1.617	1.076	0.358	3.055	0.082	0.04	0.034	0.096	0.152	0.057	0.052	0.043	0.059	0.034	0.097	0.01	0.037	0.037	0.123	0.764	0.041	0.098	0.071	0.041	0.032	0.004	0.182	0.982
ASV_40	-0.897	15.951	1	1	NotSig	0.489	0.911	0.939	0.387	0.616	0.323	0.853	0.49	0.665	0.025	0.102	0.288	0.186	0.138	0.037	0.016	0.442	0.088	0.163	0.423	0.207	0.704	0.045	0.081	0.102	0.042	1.787	1.378	4.338	0.553	0.34	1.174	0.92	0.27	2.923	0.733	0.755	6.335	0.522	0.124	0.362	3.764	0.784	2.363	0.443	0.205	0.59	1.448	0.228	0.217
ASV_54	-0.321	15.701	0.515469139159809	0.965294924060784	NotSig	0.313	0.391	0.067	0.084	0.004	0.086	0.123	0.092	0.026	0.176	2.161	0.093	0.15	0.094	0.292	0.043	0.057	0.691	0.073	3.029	0.361	0.905	0.231	0.3	0.199	0.216	0.202	0.03	0.028	0.096	0.048	0.035	0.049	0.057	0.073	0.143	5.328	0.045	0.034	0.512	0.595	0.125	0.029	0.008	0.127	0.01	0.7	0.061	0.083	0.117
ASV_35	-0.837	15.618	0.896753272648184	0.965294924060784	NotSig	0.253	0.452	0.36	0.505	0.011	0.023	0.096	0.091	0.03	0.341	0.824	0.231	0.397	0.148	0.611	0.278	0.072	0.572	0.425	0.115	0.371	0.102	0.144	0.036	0.065	0.187	0.03	0.003	0.037	0.029	0.061	0	0.016	0.056	0.069	0.115	5.029	0.03	2.825	0.058	1.925	0.213	2.003	0.022	0.02	0.025	1.231	0.043	0.033	0.018
ASV_31	0.223	15.769	0.917322169805493	0.968921541857052	NotSig	0.614	0.526	0.207	1.543	0.016	0.313	0.037	0.074	0.016	2.562	0.758	0.197	0.507	0.177	5.585	1.28	0.067	0.555	0.573	0.514	1.066	1.644	2.914	1.767	0.72	0.788	0.113	0.211	0.066	0.036	0.033	0.023	0.047	0.13	0.034	0.028	0.127	0.065	0.259	0.064	0.028	0.049	0.129	0.057	0.009	0.041	0.065	0.06	0.341	0.156
ASV_33	0.042	15.413	0.434647111050732	0.965294924060784	NotSig	0.444	0.431	0.103	0.047	1.421	1.866	0.218	0.216	0.091	0.026	0.007	0.322	0.102	0.392	0.103	0.154	0.034	0.01	0.411	0.14	0.161	1.208	0.227	0.043	0.009	0.033	0.183	0.123	0.313	0.109	0.227	0.271	4.362	2.272	0.198	0.158	0.331	0.072	0.223	0.273	0.142	0.141	0.3	2.134	0.704	0.365	0.159	0.407	0.005	0
ASV_37	0.945	15.462	0.0912289560787858	0.965294924060784	NotSig	0.57	0.296	0.43	0.082	0.32	1.071	0.487	2.078	0.612	0.004	0.044	0.073	0.077	0.18	0.018	0.006	0.166	0.116	0.082	0.19	0.005	0	0.004	0.049	0.028	0.07	0.318	0.364	4.514	0.437	0.301	0.123	0.222	0.036	0.134	0.156	0.163	0.396	0.812	0.191	0.177	0.251	0.205	0.09	0.921	0.105	0.455	0.09	0.003	0.018
ASV_51	-1.583	15.371	0.120449893394972	0.965294924060784	NotSig	0.14	0.419	0.115	0.081	0.018	0.057	0.408	0.058	0.02	0.251	0.252	0.241	0.332	0.232	0.349	1.027	0.01	0.183	0.422	0.024	0.275	0.09	0.504	2.343	0.42	4.239	0.157	0.12	0.034	0.092	0.777	0.057	0.182	0.085	0.198	0.074	0.034	0.057	0.223	0.103	0.676	1.369	0.158	0.414	0.033	0.132	0.157	0.111	0.073	0.345
ASV_87	-1.379	14.72	0.308596065185217	0.965294924060784	NotSig	0.134	0.348	0.266	0.624	0.016	0.007	0.182	0.012	0.003	0.065	0.028	0.101	0.634	0.424	1.823	0.433	1.046	0.264	0.157	0.071	0.234	0.332	1.49	2.294	0.316	2.698	0.022	0.426	0.01	0.009	0.012	0.016	0.056	0.007	0.055	0.004	0.025	0.022	0.061	0.025	0.026	0.038	0.016	0.139	0.017	0.052	0.01	0.05	0.115	0.029
ASV_39	-0.742	13.515	1	1	NotSig	0.116	0.194	0.297	0.247	0.013	0.112	0.105	0.108	0.008	0.112	0.044	0.056	0.101	0.049	0.771	1.171	0.142	0.659	0.064	0.059	0.816	0.084	0.375	0.031	0.055	0.007	0.015	0.126	0.092	0.027	0.049	0.028	0.068	0.063	0.054	0.013	0.244	0.645	0.101	0.061	0.151	0.103	0.06	0.019	0.009	0.111	0.461	0.261	0.023	0.358
ASV_67	-1.899	15.931	0.491567536274435	0.965294924060784	NotSig	0.088	0.329	0.002	0.007	0	0.028	0.642	0.033	0.01	0.059	0.015	0	0	0	0.095	0.053	0	0.01	0.002	0.002	0	0.003	1.223	0.48	0.623	6.246	0.007	0.447	0.01	0.003	0.017	0.051	0.246	0.148	0.031	0.038	0.042	0	0.461	0.013	0.049	0.022	0.078	2.125	0.01	0.11	0.019	0.126	0.014	0.032
ASV_55	1.631	15.411	0.260972785845031	0.965294924060784	NotSig	0.908	0.293	0.199	0.025	4.357	0.218	1.892	0.229	0.084	0.088	1.079	0.343	0.023	0.024	0.034	0.022	0.262	0.04	0.032	0.257	2.364	0.143	0.102	0.085	0.367	0.106	0.199	0.143	1.008	0.171	0.163	0.067	0.121	0.158	1.511	0.843	0.244	0.042	0.098	0.134	0.221	0.112	0.049	0.014	0.091	0.166	0.525	0.514	0.039	0.593
ASV_52	0.433	13.948	0.93794462587066	0.972470194921114	NotSig	0.266	0.197	1.58	0.096	0.067	0.019	0.158	0.06	0.025	0.195	0.194	0.339	0.036	0.079	0.066	0.019	0.985	0.055	0.295	0.773	0.377	0.087	0.076	0.182	0.217	0.394	0.003	0.006	0.042	0.024	0.051	0.029	0.06	0.021	0.072	0.169	0.395	0.087	0.259	0.019	0.2	0.092	0.527	0.06	0.009	0.038	0.302	0.383	0.195	0.658
ASV_36	1.16	14.78	0.549778814303663	0.965294924060784	NotSig	0.821	0.367	0.174	0.168	0.18	2.814	2.445	1.366	0.125	0.103	0.016	0.405	0.451	0.244	0.244	0.355	0.452	0.152	0.132	0.014	0.009	0.015	0.051	0.018	0.058	0.037	0.816	0.549	0.83	0.155	0.178	0.128	1.95	0.122	0.101	0.21	0.167	0.219	0.168	0.702	0.434	0.307	0.306	0.158	0.117	2.234	0.786	1.015	0.044	0.002
ASV_29	-0.503	14.805	0.133933418807524	0.965294924060784	NotSig	0.327	0.463	0.923	1.063	0.012	0.059	0.603	0.151	0.036	0.035	0.057	0.073	0.166	2.181	1.032	0.504	0.423	1.181	0.091	0.144	0.466	0.119	2.796	0.186	0.208	0.341	0.258	0.123	0.085	0.18	2.863	0.044	0.149	0.049	0.158	0.11	0.371	0.144	0.177	0.231	0.265	1.288	0.117	0.307	0.275	0.168	0.245	0.066	0.137	0.334
ASV_57	1.928	14.705	0.00661924564711604	0.559326257181306	NotSig	0.369	0.097	0.099	0.044	0.018	0.003	0.14	0.228	0.02	0.103	2.671	0.051	0.006	0.029	0	0	0.005	0	0.138	0	0	0	0	0.002	0	0	0.024	0.325	1.712	0.001	0	0.01	0.068	0.011	0.001	0.001	0	0.025	0.015	0.016	0.019	0	0.035	0.037	0.031	1.028	0.007	0.003	0.089	0.096
ASV_43	-0.149	14.951	1	1	NotSig	0.431	0.478	0.189	0.179	0.175	1.163	0.623	0.591	0.704	0.044	0.21	0.949	0.249	0.199	0.069	0.082	0.389	0.034	0.253	0.391	0.102	0.338	0.15	0.096	0.286	0.055	0.635	0.418	1.107	3.168	0.352	0.331	0.389	0.186	0.399	1.199	0.478	0.207	0.433	0.137	0.321	0.363	0.991	0.102	0.616	0.236	0.758	1.758	0.385	0.025
ASV_46	1.028	17.366	0.000512016337851957	0.0865307610969807	Enriched	1.64	0.804	0.489	0.965	0.419	5.205	0.372	6.406	0.285	0.371	0.247	4.593	2.623	0.433	0.081	0.077	0.411	0.029	1.346	0.032	0.039	0.015	0.019	0.276	0.062	0.02	0.322	0.282	0.196	0.12	0.172	0.102	0.112	0.126	0.1	0.159	0.254	0.951	0.22	0.122	0.072	0.078	0.164	0.03	0.143	0.277	0.133	0.146	16.887	0.143
ASV_59	-0.898	14.243	0.735683221670388	0.965294924060784	NotSig	0.166	0.31	0.084	0.123	0.022	0.3	0.047	0.043	0	0.361	0.519	0.016	0.019	0.008	0.668	1.219	0.283	0.357	0.074	0.358	1.339	0.506	0.373	0.121	1.205	0.119	0.129	1.322	0.092	0.033	0.108	0.051	0.043	0.257	0.025	0.037	0.297	0.007	0.15	0.049	0.413	0.105	0.008	0.005	0.01	0.016	0.196	0.061	0.076	1.939
ASV_30	-0.872	15.347	0.855828888734231	0.965294924060784	NotSig	0.257	0.47	0.09	0.322	0.155	0.351	0.355	0.779	0.102	0.142	0.012	0.17	0.15	1.092	0.74	0.146	0.036	0.231	0.107	0.004	0.018	0.009	0.028	0.036	0.088	0	0.316	0.204	0.114	4.167	0.055	0.21	1.416	0.165	0.071	0.019	0.247	0.07	0.336	2.301	0.555	1.071	0.316	1.822	0.39	0.657	0.187	0.774	0.003	0.003
ASV_138	-1.877	15.642	0.579089443173681	0.965294924060784	NotSig	0.083	0.303	0.008	0.098	0.013	0.033	0.005	0.325	0.076	0.172	0.012	0.15	0.268	0.013	0.085	0.069	0	1.812	0.154	0.069	0.402	0.134	0.288	0.004	0.03	0	0.006	0.006	0.004	0.013	0.119	0.01	0.012	0.035	0.008	0.013	0.101	0.212	0.027	0.061	0.678	0.401	0.642	0.031	5.112	0.133	0.441	0.263	0.016	0.002
ASV_42	-1.299	14.822	0.321315940887337	0.965294924060784	NotSig	0.135	0.332	0.015	0.149	0.094	0.142	0.084	0.565	0.111	0	0.054	0.014	0.015	0.015	0.092	0.09	0.039	0.238	0.029	0.041	0.027	0.381	0.081	0.195	0.065	0.68	0.325	0.455	0.06	0.415	0.088	0.136	0.556	0.169	0.09	0.179	0.038	0.107	0.308	0.257	1.398	1.799	2.896	0.946	0.161	0.282	0.155	0.093	0.014	0.002
ASV_72	-3.273	16.293	0.0765348743714949	0.965294924060784	NotSig	0.052	0.501	0.021	0.005	0.193	0.08	0	0.115	0.015	0.012	0.026	0.115	0.079	0.252	0.252	1.798	0.269	0.247	0.002	5.493	0.225	0.306	8.029	0.013	0.035	0.143	0.042	0.106	0.062	0.305	0.019	0.02	0.056	0.008	0.001	0.008	0.007	0.107	0.061	0.536	0.037	0.054	0.529	0.035	0.034	0.157	0.038	0.036	0.023	0.005
ASV_60	0.844	15.352	0.67768913609453	0.965294924060784	NotSig	0.52	0.29	0.066	0.138	0.01	0.033	0.096	0.086	0	4.183	0.066	0.336	1.71	0.769	0.241	0.014	0.017	0.422	0.104	0.03	0.227	0.084	0.114	0.007	0.058	0.004	0.03	0.024	0.012	0.483	2.394	0.016	0.172	0.179	0.021	0.025	0.01	0.037	0.137	0.193	0.736	1.918	0.082	0.265	0.017	0.244	0.022	0.023	0.084	0.032
ASV_41	-1.007	14.071	0.404416432338495	0.965294924060784	NotSig	0.154	0.309	0.135	0.002	0.047	0.219	0.264	0.255	0.412	0.029	0.022	0.026	0.002	0.16	0.084	0.083	0.009	0.04	0.006	0.184	0.234	0.442	0.269	0.011	0.169	0.147	1.721	0.185	0.136	0.195	1.306	0.942	0.662	0.104	0.16	1.046	0.811	0.159	0.15	0.088	0.177	0.276	0.076	0.295	0.124	0.007	0.447	0.407	0.012	0.706
ASV_48	1.929	16.727	0.156221306237271	0.965294924060784	NotSig	1.764	0.463	0.447	10.844	2.133	0.596	1.181	0.089	0.508	0.057	0.022	1.578	1.48	0.089	0.087	0.453	1.147	0.238	0.742	0.081	0.082	0.46	0.144	0	0.046	0.024	1.951	0.104	1.107	0.123	0.08	0.053	0.068	0.171	0.136	0.335	0.448	0.199	0.079	0.426	0.093	0.011	0.068	0.029	0.02	0.269	1.092	0.071	4.466	0.02
ASV_24	-1.967	17.573	0.243832088057501	0.965294924060784	NotSig	0.212	0.83	0	0	0.001	1.893	0	0.009	0	0.007	0	0	0	0.002	0	0	0	0.002	0	0.002	0	0.009	0.002	0.002	0	0	0.018	0.001	0.201	0.017	0	0.163	6.757	2.577	0.013	0.001	0.081	0	1.037	0	0.425	0.168	0.587	19.505	0.262	0.223	0.297	0	0	0
ASV_32	0.743	15.149	0.498726188335883	0.965294924060784	NotSig	0.561	0.335	3.242	0.272	0.199	0.251	0.142	0.618	0.307	0.006	0.011	0.117	0.087	0.204	0.122	0.077	0.209	0.179	0.585	0.514	0.214	0.242	0.125	0.045	0.083	0.037	0.527	0.124	0.12	0.226	0.071	0.242	0.122	0.101	1.322	0.074	0.148	3.633	0.43	0.258	0.135	0.177	0.417	0.141	0.241	0.544	0.281	0.879	0.016	0
ASV_113	2.382	17.353	0.775194296529647	0.965294924060784	NotSig	2.222	0.426	0.961	0.282	0.017	0.036	0.704	0.017	0.005	16.739	1.242	0.087	0.974	0.195	0.468	0.181	2.937	0.081	0.177	0.599	0.225	0.244	0.994	1.285	0.386	1.221	0.047	0.086	0.086	0.013	0.091	0.025	0.043	0.014	0.117	0.028	0.113	0.035	0.055	0.013	0.023	0.081	0.072	0.048	0.021	0.037	0.162	0.013	0.307	5.045
ASV_34	-0.72	14.917	0.515469139159809	0.965294924060784	NotSig	0.226	0.373	0.338	0.741	0.022	0.073	0.022	0.104	0.01	0.536	0.191	0.465	3.094	0.283	0.36	0.433	0.277	0.476	2.432	0.055	0.059	0.087	0.231	0.464	0.432	0.726	1.294	0.055	0.045	0.05	0.289	0.012	0.087	0.422	0.014	0.009	0.076	0.06	0.186	0.402	0.274	0.455	0.094	0.193	0.031	0.145	0.13	0.151	0.118	0.068
ASV_69	-0.651	14.807	0.588157661034235	0.965294924060784	NotSig	0.14	0.219	0.47	0.513	0.005	0.022	0.052	0.012	0	0.065	0.119	0.274	0.141	0.045	0.578	0.117	0.617	0.364	2.867	0.279	0.239	0.247	0.521	0.276	0.189	0.832	0.042	0.024	0.016	0.07	0.056	0.018	0.004	0.004	0.035	0.003	0.043	0.007	0.021	0	0.084	0.049	0.096	0.035	0.019	0.021	0.036	0.004	0.207	0.065
