ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	DS07P016	DS10P016	DS08P017	DS07P037	DS07P049	DS10P049	DS07P054	DS10P054	DS07P060	DS07P065	DS07P076	DS10P166	DS07P172	DS08P191	DS07P193
ASV_14	-1.903	16.911	0.0521960945816368	0.467086786746955	NotSig	0.628	2.35	0.545	0.828	0.066	0.083	4.146	1.072	0.491	0.001	0.32	1.765	1.258	1.333	0.009	0.005	0.204	0.02	0.031	0.04	0.081	1.532	0.038	0.171	1.473	0.172	0.212	0.44	0.26	0.856	0.762	0.183	7.044	3.204	1.713	0.845	0.676	0.016	12.326	4.366	0.136	0.006	2.864
ASV_13	-0.643	15.886	0.0593614086231904	0.467086786746955	NotSig	0.718	1.122	0.399	0.299	0.291	0.271	0.36	0.48	0.031	0.018	3.043	0.186	0.001	3.761	0.01	6.057	0.228	0.335	0.213	1.378	0.053	0.167	0.021	0.073	0.13	0.002	0.103	0.766	0.559	0.617	0.251	0.098	0.689	2.11	0.316	4.034	0.092	0.01	0.269	4.133	0.55	2.172	0.932
ASV_15	-2.376	17.157	0.0141405273809053	0.429861909142883	NotSig	0.4	2.077	0.548	0.195	0.05	0.073	4.985	0.669	0.691	0.001	0.406	0.355	0.074	0.237	0.038	0.003	0.204	0.011	0.003	0.01	0.029	0.417	0.034	0.11	0.953	0.093	0.066	0.148	0.256	0.403	0.39	0.181	2.794	3.988	1.649	1.099	0.646	0.006	14.61	1.135	0.091	0.003	3.903
ASV_18	-0.411	17.245	0.73812143541698	0.842854882334254	NotSig	1.953	2.597	0.212	2.889	0.244	0.141	11.124	8.22	14.468	0.006	0.158	3.889	1.643	0.032	5.294	0.016	0	0.003	0.102	0.084	0.048	0.269	0.249	0.138	0.282	0.457	0.764	0.043	0.004	0.146	2.634	0.117	0.713	0.065	13.082	0.1	15.538	0.007	0.085	0.001	0.089	0.231	6.137
ASV_12	0.617	16.611	0.118198367213941	0.587515413504591	NotSig	0.467	0.304	0.08	0.742	10.008	0.447	0.018	0.552	0.004	0.215	0.024	0	0	0	0.004	0.022	0	0.004	0	0.008	0.004	0.006	0.001	0.001	0	0	0	0	0.208	0.157	2.066	0.374	0.002	0.035	1.397	0.205	0.028	0.078	0.006	0	0	0	0.011
ASV_22	-1.076	15.753	0.17964669233124	0.632506062582908	NotSig	0.331	0.697	0.086	0.17	0.814	0.342	0.172	0.297	0.017	0.017	0.026	0.042	0	0.044	0	0.003	0	2.063	1.366	0.013	0.006	0.052	0.049	0.168	0	0	0	2.852	0.854	0.993	0.199	0.328	0.352	1.899	0.138	0.094	0.015	0.013	0.017	0.01	0.006	0.015	5.523
ASV_25	1.354	17.166	0.0409649819741385	0.467086786746955	NotSig	0.857	0.335	0.293	0.448	3.977	0.722	0.185	0.055	0.003	0.106	0.601	0.031	0.001	0.053	0.001	14.709	0.005	0.351	0.556	0.079	0.008	0.006	0.004	0.005	0	0	0	0.07	0.44	0.653	0.901	0.616	0.537	0.481	0.143	0.605	0.056	0.075	0.037	0.141	0.297	0.021	0.024
ASV_23	0.007	15.3	0.92451371872176	0.953660159108395	NotSig	0.644	0.641	1.67	0.781	0.097	0.167	0.083	2.383	0.02	0	0.136	0.288	0.105	0.664	0.098	0	1.095	4.034	0.082	0.218	0.294	0.352	0.242	1.664	0.94	0.411	0.267	0.65	0.229	0.191	0.703	0.259	1.336	0.833	0.434	0.087	1.151	0.006	0.346	0.044	0	3.893	0.099
ASV_17	-0.015	13.347	0.81796250690872	0.894274489450892	NotSig	0.134	0.136	0.091	0.166	0.114	0.594	0.061	0.007	0.09	1.042	0.018	0.011	0.026	0	0.021	0.009	0.184	0.094	0.004	0.061	0.009	0.769	0.013	0.008	0	0.011	0.071	0.021	0.037	0.232	0.242	0.381	0.021	0.423	0.013	0.225	0.045	0.394	0.016	0	0.004	0	0.002
ASV_20	-0.653	13.753	0.253659146108486	0.649900536559303	NotSig	0.134	0.211	0.176	0.132	0.396	0.246	0.028	0.703	0.027	0.218	0.104	0.001	0	0	0.003	0.178	1.245	0.001	0.012	0	0	0.016	0	0	0	0	0	0.008	0	0.027	0.123	0.394	0.039	0.276	0.227	0.414	1.381	0.158	0.011	0	0	0	0.119
ASV_38	-1.898	16.935	0.0179240897140155	0.429861909142883	NotSig	0.485	1.807	0.211	0.177	0.039	0.122	0.444	0.125	5.139	0.008	0.089	2.386	0.046	1.583	0.456	0.059	0.013	0.024	0.027	0.073	0.515	0.124	0.185	0.395	0.182	0.142	0.037	0.006	0.357	0.533	0.177	0.134	2.828	0.309	0.056	2.944	0.187	0.035	1.615	12.532	2.702	2.587	0.113
ASV_16	-0.724	15.525	0.164813803573433	0.628531312753992	NotSig	0.321	0.53	4.716	0.125	0.102	2.05	0.003	0.134	0	1.176	0.002	0	0	0	0	0.007	0	0	0.001	0.003	0.001	0.007	0	0.009	0	0.001	0.004	0	1.159	1.97	0.09	1.377	0.002	0.114	0.469	0.008	0.002	2.756	0	0.001	0	0.003	0
ASV_26	-0.929	17.311	0.564898868261456	0.763743269889489	NotSig	1.572	2.994	0.214	1.278	0.258	0.301	0.123	1.23	0.404	0.007	0.093	0.55	1.211	16.011	7.746	0.022	3.138	3.364	0.361	0.16	0.263	0.347	0.243	0.179	2.726	0.084	0.487	0.084	0.148	0.136	0.831	0.379	0.925	0.434	0.44	0.083	0.582	0.013	0.051	12.092	16.262	7.058	5.474
ASV_10	2.476	16.468	0.174798649109098	0.628531312753992	NotSig	0.638	0.115	0	0.006	0	0	9.066	0	0	0	2.013	0	0	0	0	0	0	0	1.589	1.178	0.973	0.584	0.413	0.542	0.111	0.037	0.057	0.024	0.027	0	0.007	0	0	0.005	0.758	0.925	0	0	0	0	0	0	0
ASV_27	-0.851	15.797	0.231431080976819	0.649900536559303	NotSig	0.499	0.9	0.19	0.247	0.061	0.088	0.318	0.686	0.016	0.001	0.273	0.243	0.108	0.071	5.304	0.136	0.319	0.113	0.029	0.192	0.033	0.058	0.02	0.295	1.194	2.036	0.925	0.029	0.01	0.095	0.57	0.262	3.621	0.423	0.398	0.285	0.028	0.013	0.336	1.315	5.693	0.184	0.274
ASV_21	1.345	14.205	0.348638805622772	0.649900536559303	NotSig	0.219	0.086	1.844	1.888	0.357	0.314	0	1.105	0.002	0.049	0.008	0	0.013	0	0	0.012	0.003	0.02	0.014	0.008	0.015	0.01	0.003	0.012	0	0	0.011	0.001	0.102	0.075	0.455	0.286	0.068	0.014	0.169	0.005	0.088	0.016	0.002	0	0	0.008	0.005
ASV_65	0.334	16.103	0.655108511956648	0.802270568990388	NotSig	0.662	0.526	0.313	0.425	0.033	0.047	0.533	0.532	0.133	0	0.034	0.429	3.415	7.038	0.093	0	0.019	0.255	0.022	1.073	0.064	0.229	0.214	0.175	0.692	0.211	0.529	0.712	0.31	0.281	0.504	0.1	0.831	0.397	0.552	0.446	0.404	0.01	2.716	0.088	0.018	0	1.225
ASV_40	-1.189	15.057	0.51172233143489	0.763743269889489	NotSig	0.258	0.589	0.171	0.268	0.227	0.248	0.026	0.101	0.017	1.113	0.267	0.018	1.07	0.263	0.129	0.759	0.256	0.722	0.03	0.08	0.009	0.773	0.015	0.015	0	0.007	0.01	0.117	0.74	3.408	1.495	0.042	0.019	0.281	0.117	0.258	0.095	2.231	0.007	0.046	0.034	0.024	0.035
ASV_54	0.288	16.244	0.284989833605347	0.649900536559303	NotSig	0.605	0.495	0.115	0.112	0.1	0.092	0.641	0.626	1.439	0.011	0.127	0.013	0.003	7.76	0	0	0.083	0.412	0.045	0.01	0.014	0.019	0.015	0.175	3.055	0.106	0.556	0.193	0.027	0.239	0.128	0.078	3.004	0.685	0.397	0.02	1.748	0.008	0.167	0.444	0.004	0.261	0.219
ASV_35	0.148	14.534	0.479988913650977	0.763743269889489	NotSig	0.312	0.282	0.317	0.287	0.042	0.045	0.216	1.954	0.001	0	0.101	0.101	0.169	0.632	0	0	0.033	0.009	0.01	0	0	0.001	0	0	2.372	0.107	0.963	0.756	0.021	1.078	0.097	0.039	0.166	1.302	0.997	0.092	0.002	0	0.059	0.092	0.196	0.085	0.002
ASV_31	0.478	16.239	0.698091827805349	0.813638061373131	NotSig	1.035	0.743	0.24	0.292	0.033	0.09	0.09	1.424	0.276	0	0.203	0.515	1.938	0.001	7.005	0.019	5.336	0.001	0.055	0.07	0.17	0.274	0.07	0.189	7.736	0.167	0.656	0.056	0.044	0.122	0.225	0.154	0.335	0.16	0.992	0.08	1.725	0.01	0.101	1.637	3.537	0.021	2.003
ASV_33	-0.705	13.199	0.506207216115528	0.763743269889489	NotSig	0.092	0.149	0.231	0.135	0.485	0.94	0.003	0.151	0	0.134	0.034	0	0.018	0.004	0	0.001	0.023	0.067	0.011	0.005	0.001	0.015	0.022	0.005	0	0.061	0.012	0.024	0.052	0.29	0.234	0.775	0.009	0.016	0.638	0.125	0.007	0.061	0.014	0	0	0.019	0
ASV_37	-0.565	15.402	0.271820107628491	0.649900536559303	NotSig	0.252	0.373	1.341	0.297	4.331	0.047	0.029	0.005	0.002	0.013	0.002	0.199	0.003	0	0	0	0	0.004	0.001	0.013	0.071	0.041	0.014	0.02	0	0.076	0.024	0.02	1.218	1.155	0.518	0.105	0.038	2.41	0.02	0.056	0.004	0.045	0.001	0.014	0	0.01	0
ASV_51	1.021	15.699	0.157029483939068	0.628531312753992	NotSig	0.745	0.367	0.127	0.107	0.061	0.235	0.603	0.549	1.758	0.018	0.079	5.321	0.883	1.075	0.603	0.003	0.055	0.066	0.065	1.921	0.329	0.39	1.641	0.882	0.34	1.187	1.06	0.011	0.023	0.049	0.281	0.592	0.381	0.137	0.211	0.044	0.202	0	0.073	0.001	1.144	0.294	2.075
ASV_87	0.397	15.017	0.799455837854521	0.883059062728197	NotSig	0.513	0.39	0.3	0.244	0.169	0.182	0.006	1.055	0.012	0.039	0.188	0.041	2.447	0.026	0.001	0.009	0.057	0.003	0.07	0.084	0.787	1.135	0.525	3.316	2.357	0.167	0.108	0.01	0.085	0.038	0.4	0.22	0.149	0.039	0.482	0.086	1.574	0.004	0.198	0.014	0.065	2.281	0.208
ASV_39	1.456	17.613	0.655108511956648	0.802270568990388	NotSig	1.087	0.396	0.286	0.541	0.402	0.182	0.144	0.096	0.029	0.001	0.026	0.062	0.031	0.457	0.218	0	0	0	0.031	4.713	0.019	0.042	0.045	0.053	20.043	0.046	0.482	0.315	1.344	0.593	0.476	0.888	1.171	0.058	0.061	0.002	0.011	0.001	0.012	0.027	0.252	0.005	1.039
ASV_67	1.122	16.706	0.532087964110609	0.763743269889489	NotSig	0.448	0.206	0.002	0.002	0.108	0.083	0.274	0.046	0.006	0.066	0.035	10.689	0.001	0.008	0.128	0.001	0.163	0	0.005	0.003	0.005	0.006	0.003	0.004	0	0	0	0	0	0.001	0.002	0.218	0.027	0	0.028	0.01	0.013	0.023	1.389	0	1.291	0.076	0.006
ASV_55	-2.135	14.679	0.000909559761032449	0.153715599614484	Depleted	0.122	0.537	0.128	0.071	0.449	0.246	0.08	0.329	0.014	0.176	1.453	0.001	0	0.015	0.001	0.011	0.007	0.003	0.042	0.015	0.017	0.074	0.004	0.029	0	0	0	0.014	0.972	0.382	0.156	0.117	0.055	0.146	0.136	2.252	0.204	0.135	0.396	0.315	0.001	2.623	0.168
ASV_52	0.568	16.775	0.0718595056533776	0.467086786746955	NotSig	0.548	0.37	0.125	0.075	0.025	0.068	0.095	0.468	0.007	0.054	0.456	0.161	0.001	0.852	0.044	0.023	0.264	0.004	11.214	0.048	0.059	0.066	0.062	0.064	0	0	0.001	0.025	0.195	0.182	0.062	0.005	0.246	0.156	0.211	1.971	0.045	0.011	0.112	1.6	0.227	0.028	0.499
ASV_36	0.11	13.848	0.228004870130996	0.649900536559303	NotSig	0.204	0.189	0.468	0.937	0.498	0.648	0.013	1.475	0.006	0.582	0.012	0.006	0.001	0.006	0.009	0	0.067	0.195	0.02	0.003	0.009	0.192	0	0.017	0	0	0.001	0.133	0.636	0.132	0.71	0.315	0.104	0.072	0.171	0.016	0.281	0.135	0.012	0	0.007	0.235	0.005
ASV_29	1.169	15.611	0.276592400521117	0.649900536559303	NotSig	0.871	0.388	0.396	0.229	0.111	0.244	1.805	0.302	0.743	0.01	0.018	0.324	0.379	0.017	0.196	0.028	2.692	1.084	0.053	5.004	0.328	0.536	2.726	0.942	0.135	2.187	1.619	0.551	0.035	0.137	0.319	0.179	0.429	1.321	0.08	0.274	1.069	0.024	0.577	0.201	0.019	0.062	1.088
ASV_57	4.647	16.398	0.399567565727032	0.689050189876208	NotSig	0.733	0.029	0.075	0.003	0.086	0.002	0.003	0.108	0	0	0.005	0	3.382	0.122	0	0.012	6.32	0.01	0.061	0.086	0.046	8.635	0.042	0.048	0	0	0	0	0.01	0.027	0	0	0.022	0.142	0.097	0.041	0	0	0.007	0	0.001	0.09	0
ASV_43	0.098	14.151	0.429122783703229	0.718037133127186	NotSig	0.37	0.345	0.341	0.797	0.321	0.464	0.06	0.23	0.004	0.2	1.819	0.007	1.137	0.192	0.378	1.262	0.186	0.163	1.371	0.147	0.009	0.191	0.014	0.023	0.108	0.004	0.032	0.151	0.594	0.697	0.495	0.428	0.041	0.142	0.298	0.093	0.129	0.708	0.02	0.619	0.032	0.622	0.262
ASV_46	0.858	13.771	0.282481025527353	0.649900536559303	NotSig	0.166	0.091	0.861	1.398	0.584	0.173	0.012	0.945	0.017	0.127	0.006	0	0.006	0	0.029	0	0.025	0.003	0.1	0	0.004	0.001	0	0.004	0	0	0.014	0.003	0.374	0.116	0.151	0.232	0.072	0.019	0.253	0.006	0.073	0.064	0.005	0.004	0	0	0.005
ASV_59	-0.525	16.652	0.336409892745111	0.649900536559303	NotSig	0.572	0.822	0.063	0.068	0.058	0.171	10.297	0.201	0.041	0	0.168	0.025	0.248	0.966	0.676	0.001	0.96	0.387	0.037	0.057	0.01	0.079	0.039	0.026	0	0.016	0.006	0.259	0.062	0.235	0.173	0.335	7.157	0.346	0.074	0.199	0.064	0.003	0.244	0.196	0	0	3.248
ASV_30	0.378	15.248	0.485860216656097	0.763743269889489	NotSig	0.309	0.237	1.87	0.83	0.122	3.892	0.023	0.034	0.002	0.007	0.081	0	0	0	0	0	0.021	0.076	0.02	0.403	0.028	0.492	0.039	0.072	0	0	0	0.01	1.141	0.39	0.208	1.154	0.024	0.311	0.047	0.22	0.047	0.011	0	0	0	0.006	0.003
ASV_138	-2.267	16.931	0.345744402273725	0.649900536559303	NotSig	0.276	1.33	0.005	3.418	0.468	0.096	0.114	0.228	0.028	0	0.02	0	0	0.325	0.007	0.028	0.029	0	0	0.004	0.001	0.004	0	0	0.486	0.922	0.457	0.542	0	0.235	1.593	0.32	0.108	0.132	12.495	1.148	3.655	0	0.005	0.246	0	0	0.008
ASV_42	-0.051	13.697	0.297297817978399	0.649900536559303	NotSig	0.164	0.17	0.026	0.01	0.324	0.526	0.072	1.328	0.002	0.046	0.034	0.057	0.001	0.003	0.001	0.008	0	1.236	0.023	0.117	0.01	0.023	0.004	0.053	0	0.001	0	0.363	0.056	0.016	0.033	0.35	0.986	0.741	0.184	0.02	0.009	0.052	0.012	0.001	0.053	0.035	0.003
ASV_72	1.957	17.413	0.477745033481544	0.763743269889489	NotSig	1.284	0.331	0.009	0.313	0.05	0.22	0.158	0.408	0	0.669	0.108	0.034	0.929	0.011	1.763	17.456	6.909	3.399	0.014	0.031	0.005	0.006	0.003	0.003	0.007	0.01	0.051	0.815	0.06	0.027	0.286	0.223	0.675	0.829	0.124	0.01	0.039	0.251	0.001	0.498	1.056	0.869	0.011
ASV_60	-0.905	16.008	0.786329867014782	0.880064553148995	NotSig	0.332	0.622	0.226	0.244	0.025	0.141	0.257	0.022	1.839	0.011	0.018	0	0.122	0.046	0	0	0	0.003	0.03	0.094	0.075	0.16	0.918	1.86	0.473	0.64	1.434	0	0.031	0.25	0.182	0.768	0.405	0.418	0.016	0.015	0.047	0.007	0.025	0.575	0.004	0	6.589
ASV_41	-0.834	13.974	0.967535631573157	0.990991040823415	NotSig	0.081	0.145	0.116	0.115	0.075	0.028	0.051	0.01	0.044	0.281	0.061	0.003	0	0	0.024	0.131	0	0.063	0.016	0.006	0.004	0.306	0.008	0.004	0	0.007	0.725	0.041	0.029	0.081	0.106	0.029	0.056	0.095	0.023	1.609	0.114	0.013	0.02	0	0	0	0.003
ASV_48	1.285	15.622	0.242398460343553	0.649900536559303	NotSig	0.288	0.118	0.601	5.043	0.033	0.603	0.012	0.257	0.002	0.222	0.02	0	0	0	0.656	0.009	0	0	0.014	0	0	0	0.001	0.02	0	0	0	0.001	0.168	0.256	0.317	0.548	0.005	0.002	0.044	0.001	0.241	0.169	0.019	0	0.003	0.001	0
ASV_24	-3.82	9.966	0.224612370334236	0.649900536559303	NotSig	0.001	0.012	0	0	0.003	0.004	0	0.002	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0.079	0.1	0	0	0.001	0	0	0	0
ASV_32	-0.975	14.825	0.261117669446808	0.649900536559303	NotSig	0.169	0.331	1.175	0.227	0.183	0.526	0.035	0.132	0.033	0.156	0.03	0	0.001	0	0	0.005	0.433	0.068	0.01	0.064	0.009	0.032	0.031	0.017	0	0.003	0.007	1.205	0.534	2.903	0.284	0.213	0.031	0.332	0.109	0.315	0.026	0.138	0.002	0.001	0.003	0.006	0.073
ASV_113	-0.473	15.097	0.92451371872176	0.953660159108395	NotSig	0.323	0.448	0.312	0.203	0.08	0.088	1.467	0.748	0.082	0	0.078	1.266	0.224	0.252	0.004	0	0.017	0.029	0.01	0.125	0.064	1.235	0.164	0.496	0.553	0.311	0.294	0.288	0.179	0.143	0.175	0.081	0.566	0.209	0.579	0.23	0.679	0.003	3.506	0.086	0.003	0	0.278
ASV_34	-0.745	15.85	0.529160535059364	0.763743269889489	NotSig	0.434	0.727	0.247	0.503	0.061	0.085	0.136	0.575	0.076	0.001	0.066	0.094	0.069	0.015	0.757	0	0.509	0.955	0.05	0.944	0.237	0.249	0.353	1.093	2.409	0.045	0.602	1.15	0.054	0.065	0.769	0.029	0.238	0.2	0.623	0.052	5.906	0.004	0.098	0.064	0.146	2.623	0.035
ASV_69	-0.917	14.88	0.0617050538658358	0.467086786746955	NotSig	0.26	0.491	0.281	0.151	0.047	0.049	0.034	0.655	0.415	0	0.029	0.267	0.074	3.015	0.013	0	0.052	0	0.008	0.006	0.043	0.09	0.064	0.18	0.671	0.137	0.37	0.103	0.052	0.509	0.258	0.044	0.268	1.082	0.325	0.121	0.844	0	0.445	2.718	0.27	0.001	0.425
ASV_62	-1.755	15.569	0.684613348804043	0.809088503132051	NotSig	0.263	0.887	0.17	0.148	0.03	0.021	1.674	0.321	0.045	0	0.08	0.541	0.544	0.238	0	0	0.007	0.007	0.007	0.015	0.193	0.268	0.08	0.289	1.207	0.289	0.441	0.214	0.025	0.205	0.171	0.042	4.86	2.206	0.171	0.087	0.12	0	4.253	0.26	0.001	0.005	0.897
ASV_49	0.949	15.512	0.796989843061542	0.883059062728197	NotSig	0.506	0.262	0.464	0.136	0.108	1.793	0.015	0.036	0.001	0.049	0.132	0.001	0	0.003	0	0.129	3.176	2.026	0.053	4.673	0.048	0.258	0.028	0.025	0	0.002	0.006	0	0.116	0.222	0.201	2.225	0.027	0.808	0.037	0.013	0.006	0.02	0.03	0.001	0.003	0.224	0.002
ASV_28	4.398	14.347	0.262312277269612	0.649900536559303	NotSig	0.124	0.006	0	0	0	0	0.098	0	0	0	0.936	0	0	0	0	0	0	0	0.004	0.089	0.011	2.084	0.004	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.087	0	0	0	0
ASV_50	0.064	13.014	0.170092718641849	0.628531312753992	NotSig	0.068	0.065	0.101	0.013	0.014	0.827	0.025	0.079	0	0.584	0.01	0	0	0	0	0	0	0.098	0	0.003	0	0.001	0	0.005	0	0	0	0	0	0.007	0.029	0.399	0.041	0.299	0.08	0.091	0.004	0.007	0.001	0	0	0.013	0
ASV_58	0.023	13.186	0.249594953267318	0.649900536559303	NotSig	0.087	0.085	0.058	0.932	0.119	0.261	0.006	0.041	0.007	0.415	0.019	0	0.003	0.006	0.004	0.001	0	0.049	0.087	0.017	0.005	0.149	0.031	0.036	0	0	0.002	0.003	0.048	0.047	0.571	0.296	0.077	0.1	0.007	0.006	0.021	0.065	0.014	0.006	0	0.012	0.009
ASV_81	-1.174	14.966	0.551515250010738	0.763743269889489	NotSig	0.179	0.403	0.214	0.075	0.039	0.058	0.051	0.29	0.045	0	0.156	0.05	0.102	0.32	0.923	0.003	0.004	0.003	0.008	0.017	0.027	0.156	0.118	0.22	0.943	0.231	0.446	0.15	0.05	0.085	0.092	0.086	0.156	0.659	0.728	0.163	0.193	0	3.199	0.023	0.071	0.003	0.545
ASV_56	-1.113	15.897	0.231965373365307	0.649900536559303	NotSig	0.283	0.612	0.039	0.161	0.111	0.024	0.139	6.1	0.002	0.003	0.066	0.064	0.093	0.091	0	0.001	0	0.013	0.001	0	0.005	0	0.001	0.007	0	0.001	0.086	0.341	0.015	0.148	0.403	0.09	3.855	0.169	1.131	3.227	0	0.001	0.046	0	0.086	0	0.002
ASV_47	-2.108	12.918	0.00467480628041489	0.263347420463372	NotSig	0.034	0.146	0.048	0.201	0.078	0.107	0	0	0	0.379	0.001	0	0	0.001	0	0	0	0.001	0.034	0.012	0.001	0.003	0.001	0.007	0	0.002	0	0.007	0.121	0.27	0.774	0.054	0.005	0.035	0.008	0.005	0.007	0.171	0.001	0	0.007	0.54	0.199
ASV_44	-0.968	13.096	0.684613348804043	0.809088503132051	NotSig	0.054	0.106	0.507	0.127	0.1	0.141	0.012	0.01	0.002	0.025	0.016	0.011	0.001	0.001	0.034	0.04	0.14	0.01	0.007	0.033	0.006	0.039	0.045	0.032	0	0	0	0.074	0.116	0.875	0.23	0.056	0.005	0.156	0.021	0.055	0	0.056	0.006	0.003	0.003	0.001	0.011
ASV_71	4.731	17.611	0.174365830158625	0.628531312753992	NotSig	1.7	0.064	0.043	0.002	0.163	0.026	0.032	0	0	0.003	0.013	1.756	0	0.001	0	0.023	0.001	0.295	0.329	0.768	20.013	1.328	13.113	5.809	0	0.283	0.194	0.001	0.179	0.112	0.021	0.015	0.007	0.599	0.001	0.009	0.004	0.004	0.002	0	0	0.008	0
ASV_73	-1.888	14.243	0.0455137930039416	0.467086786746955	NotSig	0.048	0.176	0.055	0.122	0.446	0.299	0.018	0.082	0.066	0.043	0.001	0	0	0	0	0	0	0.006	0.019	0	0.001	0.001	0.004	0.004	0	0.013	0.001	0.056	0.112	0.117	0.092	0.166	0.029	0.021	0.033	0.003	0.043	0.069	0.002	0.013	0	1.939	0.002
