ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS04P86	DS05P114	DS04P138	DS06P140	DS06P180	DS04P194	DS05P196	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	IS03P020	IS03P027	IS03P033	IS03P038	IS03P039	IS03P043	IS03P052	IS03P053	IS03P062	IS03P069	IS03P070	IS03P081	IS03P082	IS03P083
ASV_14	-0.821	15.829	0.361265529296744	0.545123879028122	NotSig	0.628	1.11	0.545	0.828	0.066	0.083	4.146	1.072	0.491	0.001	0.32	1.765	1.258	1.333	0.009	0.005	0.204	0.02	0.031	0.04	0.081	1.532	0.038	0.171	1.473	0.172	0.212	0.44	1.006	0.056	0.339	0.106	0.053	0.107	0.803	0.64	0.619	0.904	0.2	5.822	4.767	0.114
ASV_13	-1.476	16.786	0.376333357329614	0.557897696392147	NotSig	0.718	1.998	0.399	0.299	0.291	0.271	0.36	0.48	0.031	0.018	3.043	0.186	0.001	3.761	0.01	6.057	0.228	0.335	0.213	1.378	0.053	0.167	0.021	0.073	0.13	0.002	0.103	0.766	0.204	0.058	0.336	0.085	0.128	0.238	11.304	0.146	2.694	1.099	8.485	3.016	0.087	0.089
ASV_15	-2.164	17.005	0.103527119897562	0.230211621877474	NotSig	0.4	1.793	0.548	0.195	0.05	0.073	4.985	0.669	0.691	0.001	0.406	0.355	0.074	0.237	0.038	0.003	0.204	0.011	0.003	0.01	0.029	0.417	0.034	0.11	0.953	0.093	0.066	0.148	0.279	0.138	0.212	0.083	0.05	0.056	4.859	0.712	0.052	0.703	0.197	13.15	4.54	0.079
ASV_18	2.373	17.143	0.966509032286539	0.978083990757036	NotSig	1.953	0.377	0.212	2.889	0.244	0.141	11.124	8.22	14.468	0.006	0.158	3.889	1.643	0.032	5.294	0.016	0	0.003	0.102	0.084	0.048	0.269	0.249	0.138	0.282	0.457	0.764	0.043	0.683	0.155	0.59	0.385	0.056	0.003	0.101	0.998	0.048	0.317	0.104	0.161	0.924	0.753
ASV_12	-1.734	16.611	0.000589678400644448	0.0174463404274268	Depleted	0.467	1.553	0.08	0.742	10.008	0.447	0.018	0.552	0.004	0.215	0.024	0	0	0	0.004	0.022	0	0.004	0	0.008	0.004	0.006	0.001	0.001	0	0	0	0	0.006	0.636	0.55	3.954	3.049	1.11	0.044	0.005	3.288	0.06	0.049	0.149	0.027	8.812
ASV_22	0.016	14.799	0.0191172715435465	0.103513508675681	Enriched	0.331	0.327	0.086	0.17	0.814	0.342	0.172	0.297	0.017	0.017	0.026	0.042	0	0.044	0	0.003	0	2.063	1.366	0.013	0.006	0.052	0.049	0.168	0	0	0	2.852	0.055	0.075	0.372	0.254	0.506	0.187	1.408	0.153	0.661	0.337	0.058	0.288	0.015	0.209
ASV_25	-0.264	17.166	0.0111374619931962	0.0864799002769359	Depleted	0.857	1.029	0.293	0.448	3.977	0.722	0.185	0.055	0.003	0.106	0.601	0.031	0.001	0.053	0.001	14.709	0.005	0.351	0.556	0.079	0.008	0.006	0.004	0.005	0	0	0	0.07	0.141	0.743	3.032	0.625	7.059	1.067	0.19	0.023	0.253	0.27	0.371	0.109	0.048	0.471
ASV_23	-0.146	15.464	1	1	NotSig	0.644	0.713	1.67	0.781	0.097	0.167	0.083	2.383	0.02	0	0.136	0.288	0.105	0.664	0.098	0	1.095	4.034	0.082	0.218	0.294	0.352	0.242	1.664	0.94	0.411	0.267	0.65	0.674	0.049	0.376	0.156	0.125	0.353	0.104	0.048	0.123	0.479	4.52	0.479	2.352	0.139
ASV_17	-1.415	14.008	0.0120853869721904	0.0864799002769359	Depleted	0.134	0.358	0.091	0.166	0.114	0.594	0.061	0.007	0.09	1.042	0.018	0.011	0.026	0	0.021	0.009	0.184	0.094	0.004	0.061	0.009	0.769	0.013	0.008	0	0.011	0.071	0.021	0.196	0.996	0.047	1.647	0.159	0.441	0.584	0.015	0.469	0.156	0.019	0.029	0.05	0.206
ASV_20	-3.149	16.388	0.000530556574887483	0.0174463404274268	Depleted	0.134	1.191	0.176	0.132	0.396	0.246	0.028	0.703	0.027	0.218	0.104	0.001	0	0	0.003	0.178	1.245	0.001	0.012	0	0	0.016	0	0	0	0	0	0.008	0.128	1.248	1.206	0.077	1.618	1.961	0.461	0.028	0.096	0.169	8.575	0.188	0.032	0.89
ASV_38	0.21	15.649	0.291574729817859	0.469296469897315	NotSig	0.485	0.419	0.211	0.177	0.039	0.122	0.444	0.125	5.139	0.008	0.089	2.386	0.046	1.583	0.456	0.059	0.013	0.024	0.027	0.073	0.515	0.124	0.185	0.395	0.182	0.142	0.037	0.006	0.34	0.051	0.143	0.106	0.141	0.054	1.173	1.911	0.126	0.487	0.181	0.956	0.141	0.061
ASV_16	-3.158	18.202	0.0914293139895388	0.208804784651785	NotSig	0.321	2.863	4.716	0.125	0.102	2.05	0.003	0.134	0	1.176	0.002	0	0	0	0	0.007	0	0	0.001	0.003	0.001	0.007	0	0.009	0	0.001	0.004	0	0.099	0.619	0.181	7.399	0.659	0.067	0.003	0	30.156	0.001	0	0	0.003	0.895
ASV_26	2.321	17.289	0.209830308342071	0.385449153367499	NotSig	1.572	0.315	0.214	1.278	0.258	0.301	0.123	1.23	0.404	0.007	0.093	0.55	1.211	16.011	7.746	0.022	3.138	3.364	0.361	0.16	0.263	0.347	0.243	0.179	2.726	0.084	0.487	0.084	0.303	0.204	0.628	0.325	0.128	0.094	0.081	1.328	0.087	0.229	0.184	0.396	0.337	0.083
ASV_10	-1.243	17.076	0.213344602527477	0.387690729324124	NotSig	0.638	1.511	0	0.006	0	0	9.066	0	0	0	2.013	0	0	0	0	0	0	0	1.589	1.178	0.973	0.584	0.413	0.542	0.111	0.037	0.057	0.024	0	0	0	0	0	0	13.813	0	0	7.337	0	0	0.001	0.001
ASV_27	-0.545	16.314	0.899756625885503	0.938634998608951	NotSig	0.499	0.729	0.19	0.247	0.061	0.088	0.318	0.686	0.016	0.001	0.273	0.243	0.108	0.071	5.304	0.136	0.319	0.113	0.029	0.192	0.033	0.058	0.02	0.295	1.194	2.036	0.925	0.029	0.363	0.053	0.282	0.077	0.003	0.021	0.156	0.157	0.034	0.304	0.343	8.15	0.045	0.212
ASV_21	0.204	14.205	0.0483818504048392	0.149151231078626	Enriched	0.219	0.19	1.844	1.888	0.357	0.314	0	1.105	0.002	0.049	0.008	0	0.013	0	0	0.012	0.003	0.02	0.014	0.008	0.015	0.01	0.003	0.012	0	0	0.011	0.001	0.962	0.032	0.564	0.189	0.181	0.412	0.003	0.001	0.011	0.021	0.025	0.085	0.006	0.168
ASV_65	2.191	16.103	0.250770507716634	0.423802158041112	NotSig	0.662	0.145	0.313	0.425	0.033	0.047	0.533	0.532	0.133	0	0.034	0.429	3.415	7.038	0.093	0	0.019	0.255	0.022	1.073	0.064	0.229	0.214	0.175	0.692	0.211	0.529	0.712	0.284	0.08	0.216	0.079	0.034	0.083	0.17	0.177	0.085	0.289	0.049	0.248	0.182	0.053
ASV_40	-0.415	13.596	0.231326978407412	0.403033601555181	NotSig	0.258	0.344	0.171	0.268	0.227	0.248	0.026	0.101	0.017	1.113	0.267	0.018	1.07	0.263	0.129	0.759	0.256	0.722	0.03	0.08	0.009	0.773	0.015	0.015	0	0.007	0.01	0.117	0.573	0.185	0.176	0.177	0.181	1.239	0.295	0.007	0.032	0.067	0.529	0.057	0.45	0.852
ASV_54	0.516	16.244	0.523444786764331	0.660165440023672	NotSig	0.605	0.423	0.115	0.112	0.1	0.092	0.641	0.626	1.439	0.011	0.127	0.013	0.003	7.76	0	0	0.083	0.412	0.045	0.01	0.014	0.019	0.015	0.175	3.055	0.106	0.556	0.193	0.281	0.219	0.155	0.148	0.012	0.118	0.459	0.064	0.228	0.086	0.065	3.975	0.106	0.005
ASV_35	-0.192	15.253	0.504051953540604	0.650265497315741	NotSig	0.312	0.357	0.317	0.287	0.042	0.045	0.216	1.954	0.001	0	0.101	0.101	0.169	0.632	0	0	0.033	0.009	0.01	0	0	0.001	0	0	2.372	0.107	0.963	0.756	0.297	0.002	0.146	0.061	0.15	0.07	0.043	0.12	0.007	0.037	0.042	3.904	0.082	0.032
ASV_31	2.307	16.239	0.491978701565291	0.639572312034878	NotSig	1.035	0.209	0.24	0.292	0.033	0.09	0.09	1.424	0.276	0	0.203	0.515	1.938	0.001	7.005	0.019	5.336	0.001	0.055	0.07	0.17	0.274	0.07	0.189	7.736	0.167	0.656	0.056	0.134	0.034	0.16	0.055	0.031	0.08	0.111	0.251	0.196	0.116	0.096	1.318	0.277	0.07
ASV_33	-2.886	15.599	0.0111147280482601	0.0864799002769359	Depleted	0.092	0.677	0.231	0.135	0.485	0.94	0.003	0.151	0	0.134	0.034	0	0.018	0.004	0	0.001	0.023	0.067	0.011	0.005	0.001	0.015	0.022	0.005	0	0.061	0.012	0.024	0.173	1.323	0.143	0.359	0.175	2.054	0.021	0.005	0.167	0.053	0.006	0.031	0.007	4.964
ASV_37	-1.977	16.37	0.0485403414752926	0.149151231078626	Depleted	0.252	0.992	1.341	0.297	4.331	0.047	0.029	0.005	0.002	0.013	0.002	0.199	0.003	0	0	0	0	0.004	0.001	0.013	0.071	0.041	0.014	0.02	0	0.076	0.024	0.02	0.125	3.766	0.362	0.14	8.468	0.407	0.012	0.001	0.046	0.024	0.006	0.005	0.008	0.518
ASV_51	0.697	15.699	0.162344298275347	0.315358464465903	NotSig	0.745	0.46	0.127	0.107	0.061	0.235	0.603	0.549	1.758	0.018	0.079	5.321	0.883	1.075	0.603	0.003	0.055	0.066	0.065	1.921	0.329	0.39	1.641	0.882	0.34	1.187	1.06	0.011	0.156	0.053	0.517	0.085	0.012	0.142	0.052	4.111	0.062	0.187	0.057	0.141	0.461	0.394
ASV_87	1.19	15.017	0.899756625885503	0.938634998608951	NotSig	0.513	0.225	0.3	0.244	0.169	0.182	0.006	1.055	0.012	0.039	0.188	0.041	2.447	0.026	0.001	0.009	0.057	0.003	0.07	0.084	0.787	1.135	0.525	3.316	2.357	0.167	0.108	0.01	1.312	0.056	0.499	0.286	0.097	0.056	0.099	0.154	0.069	0.061	0.077	0.195	0.088	0.097
ASV_39	1.684	17.613	0.609595358946646	0.739020700703442	NotSig	1.087	0.338	0.286	0.541	0.402	0.182	0.144	0.096	0.029	0.001	0.026	0.062	0.031	0.457	0.218	0	0	0	0.031	4.713	0.019	0.042	0.045	0.053	20.043	0.046	0.482	0.315	0.563	0.041	3.184	0.519	0.116	0.032	0.002	0.03	0.021	0.125	0.033	0.064	0.004	0
ASV_67	-0.971	16.806	0.0267310166825179	0.119738031600162	Depleted	0.448	0.877	0.002	0.002	0.108	0.083	0.274	0.046	0.006	0.066	0.035	10.689	0.001	0.008	0.128	0.001	0.163	0	0.005	0.003	0.005	0.006	0.003	0.004	0	0	0	0	0	0.053	0.075	0.14	0.062	0.118	0.094	11.46	0.03	0.031	0.008	0.083	0.022	0.108
ASV_55	-1.316	14.044	0.00332212835811594	0.0510399720474176	Depleted	0.122	0.305	0.128	0.071	0.449	0.246	0.08	0.329	0.014	0.176	1.453	0.001	0	0.015	0.001	0.011	0.007	0.003	0.042	0.015	0.017	0.074	0.004	0.029	0	0	0	0.014	0.062	0.066	0.287	0.221	0.39	0.171	0.049	0.028	1.689	0.325	0.65	0.079	0.017	0.231
ASV_52	-0.179	16.775	0.115523791794028	0.245881179875623	NotSig	0.548	0.621	0.125	0.075	0.025	0.068	0.095	0.468	0.007	0.054	0.456	0.161	0.001	0.852	0.044	0.023	0.264	0.004	11.214	0.048	0.059	0.066	0.062	0.064	0	0	0.001	0.025	0.066	0.01	0.047	0.172	0.178	0.198	0.314	0.016	0.041	0.514	4.575	2.42	0.063	0.076
ASV_36	-0.911	13.848	0.0554999291099084	0.154529108299393	NotSig	0.204	0.383	0.468	0.937	0.498	0.648	0.013	1.475	0.006	0.582	0.012	0.006	0.001	0.006	0.009	0	0.067	0.195	0.02	0.003	0.009	0.192	0	0.017	0	0	0.001	0.133	0.677	0.087	1.228	0.82	0.44	0.714	0.006	0.008	0.057	0.031	0.074	0.019	0.003	1.201
ASV_29	1.133	15.611	0.220395700304319	0.392072351067683	NotSig	0.871	0.397	0.396	0.229	0.111	0.244	1.805	0.302	0.743	0.01	0.018	0.324	0.379	0.017	0.196	0.028	2.692	1.084	0.053	5.004	0.328	0.536	2.726	0.942	0.135	2.187	1.619	0.551	1.123	0.109	0.23	0.168	0.044	0.152	0.044	1.76	0.03	0.249	0.143	0.16	0.499	0.849
ASV_57	3.016	16.398	0.0511644295850617	0.154405889789858	NotSig	0.733	0.091	0.075	0.003	0.086	0.002	0.003	0.108	0	0	0.005	0	3.382	0.122	0	0.012	6.32	0.01	0.061	0.086	0.046	8.635	0.042	0.048	0	0	0	0	0.02	0.01	0.094	0.158	0.016	0.043	0.121	0.146	0.382	0.027	0.088	0.028	0.105	0.029
ASV_43	-0.167	14.151	0.643884440683085	0.75045841707201	NotSig	0.37	0.415	0.341	0.797	0.321	0.464	0.06	0.23	0.004	0.2	1.819	0.007	1.137	0.192	0.378	1.262	0.186	0.163	1.371	0.147	0.009	0.191	0.014	0.023	0.108	0.004	0.032	0.151	1.316	1.197	0.778	0.631	0.693	0.342	0.135	0.027	0.071	0.185	0.149	0.091	0.015	0.177
ASV_46	-0.729	13.951	0.013921626718961	0.0864799002769359	Depleted	0.166	0.275	0.861	1.398	0.584	0.173	0.012	0.945	0.017	0.127	0.006	0	0.006	0	0.029	0	0.025	0.003	0.1	0	0.004	0.001	0	0.004	0	0	0.014	0.003	1.584	0.034	1.235	0.168	0.137	0.332	0.006	0.008	0.016	0.031	0.03	0.032	0.008	0.227
ASV_59	-0.217	16.652	0.0862296994884948	0.202400266854939	NotSig	0.572	0.664	0.063	0.068	0.058	0.171	10.297	0.201	0.041	0	0.168	0.025	0.248	0.966	0.676	0.001	0.96	0.387	0.037	0.057	0.01	0.079	0.039	0.026	0	0.016	0.006	0.259	0.145	0.121	0.209	0.057	0.056	0.107	0.203	0.07	0.635	0.401	0.192	6.847	0.194	0.065
ASV_30	-2.137	16.767	0.0474856490815239	0.149151231078626	Depleted	0.309	1.357	1.87	0.83	0.122	3.892	0.023	0.034	0.002	0.007	0.081	0	0	0	0	0	0.021	0.076	0.02	0.403	0.028	0.492	0.039	0.072	0	0	0	0.01	3.626	1.71	0.209	0.124	0.191	1.343	0.027	0.008	0.004	11.155	0.09	0.008	0	0.508
ASV_138	0.866	15.061	0.370479420701405	0.554079841579977	NotSig	0.276	0.152	0.005	3.418	0.468	0.096	0.114	0.228	0.028	0	0.02	0	0	0.325	0.007	0.028	0.029	0	0	0.004	0.001	0.004	0	0	0.486	0.922	0.457	0.542	0.033	0.017	0.828	0.106	0.665	0.078	0.092	0.082	0.005	0.087	0.003	0.015	0.004	0.107
ASV_42	-0.292	13.697	0.0279478387020147	0.119878689127717	Depleted	0.164	0.201	0.026	0.01	0.324	0.526	0.072	1.328	0.002	0.046	0.034	0.057	0.001	0.003	0.001	0.008	0	1.236	0.023	0.117	0.01	0.023	0.004	0.053	0	0.001	0	0.363	0.022	0.228	0.129	0.394	0.141	0.305	0.027	0.003	0.736	0.101	0.239	0.251	0.011	0.227
ASV_72	2.727	17.413	1	1	NotSig	1.284	0.194	0.009	0.313	0.05	0.22	0.158	0.408	0	0.669	0.108	0.034	0.929	0.011	1.763	17.456	6.909	3.399	0.014	0.031	0.005	0.006	0.003	0.003	0.007	0.01	0.051	0.815	0.697	0.238	0.181	0.16	0.022	0.621	0.024	0.02	0.009	0.229	0.461	0.023	0	0.03
ASV_60	1.75	14.183	0.402427517278392	0.576864301300517	NotSig	0.332	0.099	0.226	0.244	0.025	0.141	0.257	0.022	1.839	0.011	0.018	0	0.122	0.046	0	0	0	0.003	0.03	0.094	0.075	0.16	0.918	1.86	0.473	0.64	1.434	0	0.633	0.015	0.103	0.069	0.009	0.011	0.022	0.298	0.02	0.107	0.041	0.033	0.02	0.001
ASV_41	-2.251	15.277	0.0914139711019158	0.208804784651785	NotSig	0.081	0.388	0.116	0.115	0.075	0.028	0.051	0.01	0.044	0.281	0.061	0.003	0	0	0.024	0.131	0	0.063	0.016	0.006	0.004	0.306	0.008	0.004	0	0.007	0.725	0.041	0.048	0.248	0.005	0.108	0.294	0.15	3.97	0.003	0.073	0.288	0.005	0.031	0.02	0.193
ASV_48	1.232	15.622	0.0310968506637226	0.125127803861169	Enriched	0.288	0.123	0.601	5.043	0.033	0.603	0.012	0.257	0.002	0.222	0.02	0	0	0	0.656	0.009	0	0	0.014	0	0	0	0.001	0.02	0	0	0	0.001	0.47	0	0.334	0.489	0.119	0.104	0.015	0.008	0.014	0.035	0.044	0.036	0.021	0.029
ASV_24	-6.846	13.286	0.000205882705290998	0.0174463404274268	Depleted	0.001	0.1	0	0	0.003	0.004	0	0.002	0	0	0.013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0.014	0	0.003	0.108	0.032	0.087	0.001	0.146	0.999	0.003	0
ASV_32	-0.499	13.838	0.0397064961600457	0.137404974124166	Depleted	0.169	0.238	1.175	0.227	0.183	0.526	0.035	0.132	0.033	0.156	0.03	0	0.001	0	0	0.005	0.433	0.068	0.01	0.064	0.009	0.032	0.031	0.017	0	0.003	0.007	1.205	0.072	1.464	0.141	0.237	0.1	0.233	0.068	0.005	0.089	0.105	0.035	0.043	0.049	0.695
ASV_113	1.238	13.84	0.356726994950944	0.54312488420459	NotSig	0.323	0.137	0.312	0.203	0.08	0.088	1.467	0.748	0.082	0	0.078	1.266	0.224	0.252	0.004	0	0.017	0.029	0.01	0.125	0.064	1.235	0.164	0.496	0.553	0.311	0.294	0.288	0.2	0.078	0.256	0.073	0.05	0.064	0.134	0.051	0.041	0.167	0.102	0.291	0.179	0.229
ASV_34	1.107	14.556	0.209830308342071	0.385449153367499	NotSig	0.434	0.202	0.247	0.503	0.061	0.085	0.136	0.575	0.076	0.001	0.066	0.094	0.069	0.015	0.757	0	0.509	0.955	0.05	0.944	0.237	0.249	0.353	1.093	2.409	0.045	0.602	1.15	0.2	0.029	0.089	0.158	0.081	0.035	0.038	0.481	0.05	0.235	0.387	0.526	0.478	0.034
ASV_69	-0.398	14.885	0.660224264304798	0.759033337874224	NotSig	0.26	0.342	0.281	0.151	0.047	0.049	0.034	0.655	0.415	0	0.029	0.267	0.074	3.015	0.013	0	0.052	0	0.008	0.006	0.043	0.09	0.064	0.18	0.671	0.137	0.37	0.103	0.231	0.024	0.169	0.057	0.016	0.024	3.025	0.099	0.007	0.331	0.146	0.215	0.422	0.026
ASV_62	-0.563	15.328	0.680895067045667	0.777508556288634	NotSig	0.263	0.388	0.17	0.148	0.03	0.021	1.674	0.321	0.045	0	0.08	0.541	0.544	0.238	0	0	0.007	0.007	0.007	0.015	0.193	0.268	0.08	0.289	1.207	0.289	0.441	0.214	0.182	0.022	0.085	0.049	0.012	0.016	0.121	0.248	0.021	0.246	0.088	4.112	0.225	0.004
ASV_49	0.846	15.512	0.0592178794458086	0.156372212911588	NotSig	0.506	0.282	0.464	0.136	0.108	1.793	0.015	0.036	0.001	0.049	0.132	0.001	0	0.003	0	0.129	3.176	2.026	0.053	4.673	0.048	0.258	0.028	0.025	0	0.002	0.006	0	0.336	0.33	0.444	0.243	0.253	0.642	0.022	0.001	0.012	0.6	0.065	0.184	0.137	0.673
ASV_28	3.34	14.347	0.899628035215608	0.938634998608951	NotSig	0.124	0.012	0	0	0	0	0.098	0	0	0	0.936	0	0	0	0	0	0	0	0.004	0.089	0.011	2.084	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161	0.006	0.001	0.003	0
ASV_50	-1.425	13.345	0.0137425311956398	0.0864799002769359	Depleted	0.068	0.182	0.101	0.013	0.014	0.827	0.025	0.079	0	0.584	0.01	0	0	0	0	0	0	0.098	0	0.003	0	0.001	0	0.005	0	0	0	0	1.041	0	0.038	0.065	0.031	0.259	0.094	0	0	0.111	0.212	0.019	0.006	0.669
ASV_58	-1.359	13.27	0.0102452382957103	0.0864799002769359	Depleted	0.087	0.222	0.058	0.932	0.119	0.261	0.006	0.041	0.007	0.415	0.019	0	0.003	0.006	0.004	0.001	0	0.049	0.087	0.017	0.005	0.149	0.031	0.036	0	0	0.002	0.003	0.437	0.073	0.524	0.988	0.131	0.532	0.005	0.021	0.037	0.069	0.066	0.192	0.015	0.016
ASV_81	-2.33	16.67	0.726284588534784	0.8128615593535	NotSig	0.179	0.899	0.214	0.075	0.039	0.058	0.051	0.29	0.045	0	0.156	0.05	0.102	0.32	0.923	0.003	0.004	0.003	0.008	0.017	0.027	0.156	0.118	0.22	0.943	0.231	0.446	0.15	0.15	0.017	0.167	0.053	0.012	0.021	0.536	0.391	0.011	0.14	0.054	0.592	10.426	0.011
ASV_56	-0.764	15.897	0.0140839394314172	0.0864799002769359	Depleted	0.283	0.48	0.039	0.161	0.111	0.024	0.139	6.1	0.002	0.003	0.066	0.064	0.093	0.091	0	0.001	0	0.013	0.001	0	0.005	0	0.001	0.007	0	0.001	0.086	0.341	0.031	0.032	0.183	0.01	0.044	0.045	0.22	0.102	2.013	0.277	0.107	3.581	0.039	0.035
ASV_47	-2.901	14.213	0.10930018995055	0.236817078226192	NotSig	0.034	0.254	0.048	0.201	0.078	0.107	0	0	0	0.379	0.001	0	0	0.001	0	0	0	0.001	0.034	0.012	0.001	0.003	0.001	0.007	0	0.002	0	0.007	0.015	0.175	0.028	0.073	1.125	0.214	0.001	0	0	0	0.005	0.016	0.001	1.899
ASV_44	-2.562	14.404	0.00765923265446795	0.0864799002769359	Depleted	0.054	0.321	0.507	0.127	0.1	0.141	0.012	0.01	0.002	0.025	0.016	0.011	0.001	0.001	0.034	0.04	0.14	0.01	0.007	0.033	0.006	0.039	0.045	0.032	0	0	0	0.074	0.286	0.299	0.094	0.026	0.037	0.048	0.173	0	2.168	0.269	0.807	0.029	0.015	0.242
ASV_71	4.846	17.611	0.943431906141155	0.960481880348525	NotSig	1.7	0.059	0.043	0.002	0.163	0.026	0.032	0	0	0.003	0.013	1.756	0	0.001	0	0.023	0.001	0.295	0.329	0.768	20.013	1.328	13.113	5.809	0	0.283	0.194	0.001	0.327	0.109	0.089	0.024	0.05	0.032	0.001	0.007	0.014	0.08	0.02	0.005	0.035	0.033
ASV_73	-2.173	13.322	0.0356848649166253	0.13110309067195	Depleted	0.048	0.215	0.055	0.122	0.446	0.299	0.018	0.082	0.066	0.043	0.001	0	0	0	0	0	0	0.006	0.019	0	0.001	0.001	0.004	0.004	0	0.013	0.001	0.056	1.024	0.736	0.207	0.227	0.49	0.19	0.002	0	0	0.019	0.044	0.015	0.006	0.045
ASV_94	0.96	15.841	0.0586959113243908	0.156372212911588	NotSig	0.419	0.215	0.104	0.115	0.044	0.237	0.473	0.233	0.126	0.021	0.048	0.021	0.003	1.901	5.87	0	0.001	0.536	0.027	0.018	0.023	0.063	0.022	0.019	0.004	0.052	0.041	0.89	0.387	0.158	0.056	0.024	0.034	0.096	0.199	0.262	0.251	0.18	0.115	0.706	0.46	0.088
