ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	HG00P003	HG00P010	HG00P011	HG00P012	HG00P014	HG00P021	HG00P022	HG00P023	HG00P024	HG00P025	HG00P026	HG00P028	HG00P046	HG00P047	HG00P048	HG00P050	HG00P051	HG00P055	HG00P056	HG00P058	HG00P059	HG00P061	HG00P063	HG00P064	HG00P066	HG00P071	HG00P072	HG00P073	HG00P074	HG00P075	HG00P077	HG00P078	HG00P082	HE03P003	HE03P004	HE03P005	HE03P010	HE03P011	HE03P012	HE03P014	HE03P019	HE03P021	HE03P022	HE03P023	HE03P024	HE03P025	HE02P026	HE03P028	HE03P046	HE03P047	HE03P048	HE03P050	HE03P051	HE03P055	HE03P056	HE03P057	HE03P058	HE03P059	HE03P061	HE03P063	HE03P064	HE03P066	HE03P067	HE03P068	HE03P071	HE03P072	HE03P073	HE03P074	HE03P075	HE03P077	HE03P078	HE03P082
ASV_15	-0.117	16.918	0.875067056191051	1	NotSig	0.942	1.021	0.318	0.315	0.248	0.852	2.199	1.141	5.774	1.236	1.13	3.711	5.997	2.61	0.046	0.018	0.574	0.009	0.103	0.011	0.065	0.144	0.262	1.821	0.528	0.188	0.022	0.052	0.084	0.091	0.156	0.032	0.063	0.073	1.207	0.177	0.205	0.082	1.317	0.182	1.608	0.95	2.084	4.191	2.835	3.297	1.034	1.538	2.346	2.194	0.082	0.075	0.167	0.068	0.059	0.026	0.057	0.018	0.169	0.034	0.892	0.012	0.159	0.012	0.163	0.222	0.051	0.061	0.054	0.255	0.293	0.029	0.45	12.381
ASV_18	0.833	17.135	0.356267131755289	1	NotSig	0.903	0.507	10.307	0.252	0.566	0.006	0.706	0.051	1.133	0.023	0.078	0.141	0.104	0.234	0.033	0.054	0.018	0.045	0.055	0.019	0.051	0.034	0.026	0.051	14.395	0.048	0.063	0.317	0.06	0.014	0.388	0.285	0.019	0.121	0.114	0.362	0.899	0.153	8.32	2.098	0.012	1.34	0.38	0.065	0.175	0.297	0.299	1.529	0.104	0.075	0.144	0.037	0.025	0.017	0.007	0.019	0.122	0.064	0.065	0.038	0.095	0.085	0.055	0.04	0.111	0.02	0.062	0.19	0.009	0.201	0.162	0.191	0.214	1.702
ASV_12	-0.173	17.596	0.813546150854694	1	NotSig	1.439	1.623	0.095	0.193	0.095	3.424	0.024	0.111	0.118	0.077	0.124	0.01	0.006	0.098	0.238	0.048	0.15	0.566	1.002	0.222	0.556	1.701	0.343	10.752	3.691	2.883	4.282	0.919	1.383	2.463	0.774	3.863	6.308	0.964	0.008	0.147	0.043	0.024	0.166	0.147	0.116	0.483	0.124	0.126	0.077	1.86	0.114	0.204	0.002	0.004	0.058	0.262	0.382	0.179	0.106	0.351	6.083	1.918	5.902	0.21	4.683	0.889	1.245	4.752	0.172	0.338	0.733	3.662	19.814	4.313	3.013	0.548	0.012	0.017
ASV_22	1.871	17.799	0.448922104140125	1	NotSig	1.191	0.326	0.05	0.176	0.229	2.533	0.152	0.068	0.002	0	0	0.133	0.612	0.073	22.807	0.995	0.298	0.552	0.165	0.831	0.78	0.368	0.061	0.109	0.068	0.358	0.104	1.181	0.066	0.283	0.095	0.096	0.278	0.171	5.607	0.056	0.102	0.054	0.964	0.141	1.038	0.124	0.073	0.014	0.13	0.003	0.004	0.081	0.42	0.026	1.859	0.254	0.29	0.195	0.101	0.325	0.341	1.028	0.452	0.184	0.13	0.055	1.779	0.037	0.532	0.13	0.975	0.193	0.117	0.038	0.125	0.1	0.176	0.048
ASV_25	-0.255	15.789	0.581899084314513	1	NotSig	0.649	0.774	0.207	0.042	0.552	0.094	0.091	0.423	0.324	0.181	0.311	0.337	0.566	0.098	0.948	0.135	0.103	0.503	0.97	0.329	0.282	0.539	3.978	1.188	0.009	1.299	1.158	0.788	0.189	1.635	0.251	1.005	1.167	1.228	0.474	2.123	0.172	0.172	0.079	0.016	0.072	0.874	0.281	0.405	0.43	0.189	0.038	0.087	0.15	0.084	0.551	0.096	1.735	0.434	0.24	0.293	0.358	0.099	2.172	4.134	0.566	1.701	2.063	0.275	0.469	0.415	0.575	0.247	5.66	0.181	0.638	1.603	0.307	0.205
ASV_23	-0.349	15.838	0.172513259247812	1	NotSig	0.746	0.949	0.178	0.247	0.244	1.475	0.336	0.308	0.305	0.141	0.924	0.785	0.323	0.38	0.139	0.066	0.94	0.071	0.38	0.023	0.093	5.856	0.76	0.358	0.509	0.458	0.146	0.767	0.201	0.341	0.535	0.219	0.249	2.249	4.597	0.229	0.507	1.543	1.424	1.561	3.06	1.036	0.485	1.517	0.525	0.404	4.555	1.982	0.538	2.236	0.184	0.152	0.637	0.105	0.221	0.076	0.106	0.048	1.472	0.099	0.85	0.523	0.516	1.115	0.346	0.82	1.303	0.279	0.113	0.109	0.492	0.434	5.245	0.173
ASV_17	-0.303	16.854	0.344615100014315	1	NotSig	0.917	1.132	0.065	5.278	3.314	0.098	0.169	0.049	0.863	0.03	0.593	0.117	0.261	0.067	0.949	0.48	0.445	1.286	0.73	1.129	4.539	0.752	0.176	1.073	2.969	1.1	0.567	0.509	0.152	0.934	0.083	0.118	1.226	0.12	0.031	0.024	0.019	0.064	0.137	0.096	0.007	0.034	0.024	0.041	0.082	0.079	0.055	0.101	3.191	0.132	3.745	1.338	0.466	0.406	11.846	5.835	0.883	0.298	0.671	0.619	1.83	5.884	0.577	0.233	0.274	1.049	1.449	0.36	0.589	0.055	0.615	0.353	0.012	0.664
ASV_20	-0.503	16.282	0.82557291104153	1	NotSig	0.607	0.86	0.121	0.74	0.077	0.006	0.028	0.251	0.035	0.023	0.007	0.01	0.003	0	4.3	0.131	0.207	0.931	0.357	0.167	4.319	0.418	0.297	0.123	0.318	0.72	1.43	0.225	1.428	1.157	0.169	0.098	1.176	0.745	0.012	0.182	0.073	1.666	0.194	0.022	0	0.214	0.095	0.004	0.027	0.017	0.225	0.235	0.016	0.022	4.741	2.175	0.28	1.12	0.051	7.969	1.734	1.41	0.224	1.032	0.102	0.149	0.348	3.106	0.149	0.076	0.135	1.912	0.389	0.085	0.146	3.117	0.055	0.048
ASV_38	1.465	15.333	0.464925154347163	1	NotSig	0.66	0.239	0.299	0.138	0.136	0.519	1.529	0.31	2.64	1.36	0.311	3.122	3.283	2.148	0.061	0.01	0.105	0.197	0.087	0.04	0.029	0.024	0.035	0.111	0.185	0.103	0.081	0.104	0.041	0.277	0.153	0.107	0.065	0.032	4.128	0.052	0.034	0.034	0.27	0.125	1.161	0.228	0.216	0.597	0.489	0.437	0.261	0.282	0.314	0.808	0.093	0.059	0.072	0.111	0.042	0.019	0.066	0.017	0.143	0.064	0.071	0.03	0.824	0.033	0.592	0.087	0.123	0.186	0.798	0.081	0.161	0.021	0.065	0.251
ASV_16	0.822	17.805	0.968447173172929	1	NotSig	0.951	0.538	0.126	0.393	0.006	0.317	0.004	0.136	0.005	0.006	0.016	0.004	0.016	0.004	0.61	0.411	1.002	0.023	0.922	0.117	0.13	0.124	0.297	0.18	0	0.41	0.307	0.665	0.32	22.897	0.299	1.388	0.184	0.069	0.003	0.204	0.38	2.61	0.367	0.021	0.161	0.017	0.284	0	0.039	0.006	0.004	0.007	0.016	0.064	1.141	3.389	3.09	0.109	0.095	0.233	0.172	0.001	0.168	1.072	0.168	0.431	0.272	0.116	0.053	0.067	0.965	0.216	4.683	0.244	0.023	0.087	0.008	0.003
ASV_26	-0.817	14.652	0.398947636059493	1	NotSig	0.304	0.536	0.318	0.322	0.468	0.114	0.334	0.123	0.643	1.11	0.715	0.343	0.265	0.518	0.283	0.531	0.362	0.069	0.11	0.063	0.145	0.103	0.018	0.516	0.219	0.055	0.108	0.116	0.027	0.107	0.296	0.359	0.504	0.197	0.574	0.409	1.263	0.271	1.701	1.396	0.209	0.716	0.705	0.658	0.3	1.467	0.926	1.448	0.642	2.291	0.312	0.111	0.286	0.102	0.425	0.016	0.152	0.157	0.089	0.101	0.126	0.159	0.22	0.205	0.265	0.036	0.162	0.029	0.131	0.16	0.465	0.157	2.575	0.057
ASV_10	-0.219	9.198	0.89542619660157	1	NotSig	0.004	0.004	0.031	0.002	0	0.053	0	0	0.005	0	0.002	0	0.005	0	0	0	0	0	0.002	0.003	0	0	0	0	0	0.007	0	0	0	0.004	0.002	0	0.002	0.003	0	0	0.017	0	0.059	0.005	0.009	0.003	0	0.004	0.007	0.017	0.006	0	0	0.002	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0.032	0	0	0
ASV_27	-0.663	14.847	0.500034276017633	1	NotSig	0.28	0.443	0.431	0.401	0.22	0	1.881	0.201	0.239	0.228	0.135	0.061	0.146	0.33	0.069	0.016	0.051	0.01	0.062	0.032	0.047	0.089	0.061	2.13	0.001	0.21	0.077	0.58	0.156	0.202	0.336	0.061	0.232	0.061	0.473	0.271	1.018	0.229	2.947	1.819	0.009	0.883	0.792	0.168	1.18	0.195	1.221	0.177	0.249	0.216	0.07	0.058	0.022	0.005	0.032	0.016	0.031	0.048	0.058	0.065	0.845	0.027	0.482	0.081	2.039	0.307	0.499	0.048	0.177	0.085	0.167	0.031	0.129	0.575
ASV_21	-1.519	17.573	0.751657201217614	1	NotSig	0.629	1.803	1.106	0.342	0.069	0.018	0.024	0.103	0	0.004	0.002	0.004	0.008	0.008	0.129	2.702	2.134	0.027	0.213	0.096	0.473	2.443	0.159	1.878	0.036	1.056	0.144	0.701	0.107	0.115	0.327	1.663	0.092	4.411	0.162	1.297	19.499	19.178	1.019	0.36	0.057	0.084	1.453	0.002	0.016	0	0.004	0.007	0.055	0	0.689	0.253	1.076	0.047	0.095	0.141	0.325	0.064	0.109	0.176	0.731	1.198	0.507	0.272	0.058	0.148	0.14	0.016	0.114	0.422	0.861	1.792	17.995	0.045
ASV_65	0.462	16.443	0.982081295936048	1	NotSig	0.808	0.587	0.226	0.149	0.167	8.91	4.347	0.713	0.447	1.719	1.037	1.139	1.046	4.008	0.052	0.021	0.262	0.022	0.089	0.014	0.148	0.081	0.351	0.095	0.629	0.118	0.006	0.04	0.066	0.112	0.072	0.017	0.006	0.009	0.539	0.182	0.57	0.108	0.593	0.203	4.637	0.588	0.918	2.359	0.739	2.706	1.617	1.076	0.358	3.055	0.082	0.04	0.034	0.096	0.152	0.057	0.052	0.043	0.059	0.034	0.097	0.01	0.037	0.037	0.123	0.764	0.041	0.098	0.071	0.041	0.032	0.004	0.182	0.982
ASV_40	-0.83	15.951	0.613127537340247	1	NotSig	0.512	0.911	0.112	0.383	0.518	0.098	0.045	0.051	0.234	0.021	0.04	0.047	1.113	0.046	0.662	0.572	0.529	2.031	0.684	0.206	1.008	1.003	0.694	0.576	0.586	0.775	0.512	0.642	0.777	0.518	0.193	0.591	1.464	0.136	0.04	0.288	0.186	0.138	0.037	0.016	0.442	0.088	0.163	0.423	0.207	0.704	0.045	0.081	0.102	0.042	1.787	1.378	4.338	0.553	0.34	1.174	0.92	0.27	2.923	0.733	0.755	6.335	0.522	0.124	0.362	3.764	0.784	2.363	0.443	0.205	0.59	1.448	0.228	0.217
ASV_54	0.346	15.804	0.269871849161188	1	NotSig	0.498	0.391	1.899	0.134	0.106	0.022	0.302	0.925	0.892	1.3	0.169	0.738	0.273	0.702	0.318	0.013	0.02	0.238	0.194	0.026	0.193	0.077	0.155	5.722	0.711	0.129	0.154	0.002	0.016	0.15	0.021	0.019	0.328	0.102	0.37	0.093	0.15	0.094	0.292	0.043	0.057	0.691	0.073	3.029	0.361	0.905	0.231	0.3	0.199	0.216	0.202	0.03	0.028	0.096	0.048	0.035	0.049	0.057	0.073	0.143	5.328	0.045	0.034	0.512	0.595	0.125	0.029	0.008	0.127	0.01	0.7	0.061	0.083	0.117
ASV_35	0.23	15.769	0.896590604082562	1	NotSig	0.531	0.452	4.146	0.175	0.385	0.041	1.504	0.01	0.532	0.049	1.079	0.043	0.115	0.286	0.052	0.008	0.043	0.066	0.053	0.056	0.003	0.077	0.125	5.586	0	0.461	0.055	0.689	0.041	0.004	0.035	0.043	1.006	0.102	0.638	0.231	0.397	0.148	0.611	0.278	0.072	0.572	0.425	0.115	0.371	0.102	0.144	0.036	0.065	0.187	0.03	0.003	0.037	0.029	0.061	0	0.016	0.056	0.069	0.115	5.029	0.03	2.825	0.058	1.925	0.213	2.003	0.022	0.02	0.025	1.231	0.043	0.033	0.018
ASV_31	-0.773	15.769	0.910584644677314	1	NotSig	0.308	0.526	0.245	0.441	0.596	0.028	0.865	0.777	0.74	0.976	0.364	0.215	0.848	0.311	0.049	0.657	0.081	0.017	0.114	0.051	0.045	0.049	0.067	0.091	0.116	0.218	0.016	0.154	0.092	0.03	0.06	0.061	0.056	0.065	1.668	0.197	0.507	0.177	5.585	1.28	0.067	0.555	0.573	0.514	1.066	1.644	2.914	1.767	0.72	0.788	0.113	0.211	0.066	0.036	0.033	0.023	0.047	0.13	0.034	0.028	0.127	0.065	0.259	0.064	0.028	0.049	0.129	0.057	0.009	0.041	0.065	0.06	0.341	0.156
ASV_33	0.551	15.413	0.328274062396306	1	NotSig	0.632	0.431	0.196	0.225	0.305	0.048	0.016	0.508	0.116	0.111	0.153	0.002	0.008	0.144	0.286	0.157	0.162	0.653	0.572	3.736	0.283	0.342	0.084	0.49	0.762	1.602	0.075	0.268	2.849	0.475	0.21	1.563	0.282	4.171	0	0.322	0.102	0.392	0.103	0.154	0.034	0.01	0.411	0.14	0.161	1.208	0.227	0.043	0.009	0.033	0.183	0.123	0.313	0.109	0.227	0.271	4.362	2.272	0.198	0.158	0.331	0.072	0.223	0.273	0.142	0.141	0.3	2.134	0.704	0.365	0.159	0.407	0.005	0
ASV_37	0.47	15.462	0.30044175882355	1	NotSig	0.41	0.296	0.132	0.002	0.128	0.341	0.03	0.031	0.005	0.002	0.06	2.594	0.053	0.063	0.075	2.404	0.352	0.232	0.718	0.096	0.214	0.236	0.105	0.32	0.545	0.712	0.305	0.173	0.111	1.953	0.132	0.815	0.316	0.135	0.144	0.073	0.077	0.18	0.018	0.006	0.166	0.116	0.082	0.19	0.005	0	0.004	0.049	0.028	0.07	0.318	0.364	4.514	0.437	0.301	0.123	0.222	0.036	0.134	0.156	0.163	0.396	0.812	0.191	0.177	0.251	0.205	0.09	0.921	0.105	0.455	0.09	0.003	0.018
ASV_51	0.028	15.371	0.255405574390412	1	NotSig	0.428	0.419	2.72	0.173	0.281	0.015	0.17	2.843	0.447	0.032	0.477	0.325	0.432	2.133	0.037	0.181	0.047	0.056	0.094	0.054	0.05	0.066	0.054	0.058	2.24	0.155	0.148	0.185	0.103	0.035	0.196	0.043	0.036	0.058	0.169	0.241	0.332	0.232	0.349	1.027	0.01	0.183	0.422	0.024	0.275	0.09	0.504	2.343	0.42	4.239	0.157	0.12	0.034	0.092	0.777	0.057	0.182	0.085	0.198	0.074	0.034	0.057	0.223	0.103	0.676	1.369	0.158	0.414	0.033	0.132	0.157	0.111	0.073	0.345
ASV_87	-0.988	14.72	0.973124732385547	1	NotSig	0.175	0.348	0.154	0.133	0.192	0.643	0.156	0.142	0.064	0.16	0.482	0.593	0.72	0.953	0.007	0.083	0.037	0.003	0.041	0.015	0.039	0.194	0.052	0.022	0.269	0.011	0.016	0.083	0.014	0.022	0.08	0.028	0.019	0.097	0.264	0.101	0.634	0.424	1.823	0.433	1.046	0.264	0.157	0.071	0.234	0.332	1.49	2.294	0.316	2.698	0.022	0.426	0.01	0.009	0.012	0.016	0.056	0.007	0.055	0.004	0.025	0.022	0.061	0.025	0.026	0.038	0.016	0.139	0.017	0.052	0.01	0.05	0.115	0.029
ASV_39	0.106	14.186	0.946279562682117	1	NotSig	0.209	0.194	0.223	0.46	0.317	0.046	0.522	0.514	0.397	0.038	0.124	0.025	0.12	0.021	0.011	0.08	0.238	0.02	0.13	0.018	0.224	0.103	0.025	0.071	0.005	0.096	0.079	0.298	0.012	0.007	0.576	0.063	0.084	1.864	0.088	0.056	0.101	0.049	0.771	1.171	0.142	0.659	0.064	0.059	0.816	0.084	0.375	0.031	0.055	0.007	0.015	0.126	0.092	0.027	0.049	0.028	0.068	0.063	0.054	0.013	0.244	0.645	0.101	0.061	0.151	0.103	0.06	0.019	0.009	0.111	0.461	0.261	0.023	0.358
ASV_67	-0.021	16.2	0.571648116071975	1	NotSig	0.324	0.329	0	0.032	0.181	0	0.021	0.014	0.002	0	0.215	0.64	0.545	7.53	0.01	0.031	0.014	0.022	0.016	0.026	0.057	0.011	0.033	0.048	0.043	0.196	0.018	0.047	0.384	0.022	0.182	0.025	0.086	0.016	0.233	0	0	0	0.095	0.053	0	0.01	0.002	0.002	0	0.003	1.223	0.48	0.623	6.246	0.007	0.447	0.01	0.003	0.017	0.051	0.246	0.148	0.031	0.038	0.042	0	0.461	0.013	0.049	0.022	0.078	2.125	0.01	0.11	0.019	0.126	0.014	0.032
ASV_55	0.393	14.529	0.236958381991446	1	NotSig	0.385	0.293	0.023	0.05	0.476	0.215	0.028	0.062	2.268	0.147	0.71	0.791	0.779	0.036	0.373	0.166	0.21	0.157	0.332	0.158	0.17	0.21	0.799	0.438	0.041	0.103	0.134	0.294	0.029	0.014	0.201	0.467	0.533	2.157	0.129	0.343	0.023	0.024	0.034	0.022	0.262	0.04	0.032	0.257	2.364	0.143	0.102	0.085	0.367	0.106	0.199	0.143	1.008	0.171	0.163	0.067	0.121	0.158	1.511	0.843	0.244	0.042	0.098	0.134	0.221	0.112	0.049	0.014	0.091	0.166	0.525	0.514	0.039	0.593
ASV_52	0.927	15.841	0.558970650544925	1	NotSig	0.375	0.197	0.023	0.5	0.043	0.33	0.047	0.023	0.097	0.066	1.257	5.87	0.384	0.215	0.035	0.005	0.007	0.022	0.027	0.032	0.027	0.067	0.252	0.707	0.01	0.181	0.043	0.372	0.08	0.014	0.057	0.123	0.042	0.184	1.218	0.339	0.036	0.079	0.066	0.019	0.985	0.055	0.295	0.773	0.377	0.087	0.076	0.182	0.217	0.394	0.003	0.006	0.042	0.024	0.051	0.029	0.06	0.021	0.072	0.169	0.395	0.087	0.259	0.019	0.2	0.092	0.527	0.06	0.009	0.038	0.302	0.383	0.195	0.658
ASV_36	0.877	15.534	0.543929694448219	1	NotSig	0.675	0.367	0.131	0.305	0.612	2.169	0.033	0.339	0.007	0.002	0.018	0.123	0.01	0.019	0.118	3.62	0.629	0.053	1.76	0.261	0.346	0.242	4.744	0.261	0.068	0.701	0.341	0.528	0.338	0.075	1.571	0.89	0.19	1.654	0.112	0.405	0.451	0.244	0.244	0.355	0.452	0.152	0.132	0.014	0.009	0.015	0.051	0.018	0.058	0.037	0.816	0.549	0.83	0.155	0.178	0.128	1.95	0.122	0.101	0.21	0.167	0.219	0.168	0.702	0.434	0.307	0.306	0.158	0.117	2.234	0.786	1.015	0.044	0.002
