#OTUID	IE03P013	IE03P020	IE03P027	IE03P052	IE03P053	IE03P062	IE03P069	IE03P070	IE07P013	IE07P020	IE07P027	IE07P052	IE07P053	IE07P062	IE07P069	IE07P070	IG00P013	IG00P020	IG00P052	IG00P053	IG00P062	IG00P069	IG00P070	IS00P013	IS00P020	IS00P027	IS00P033	IS00P038	IS00P039	IS00P043	IS00P052	IS00P053	IS00P062	IS00P069	IS00P070	IS00P081	IS00P083	IS03P020	IS03P027	IS03P033	IS03P038	IS03P039	IS03P043	IS03P052	IS03P053	IS03P062	IS03P069	IS03P070	IS03P081	IS03P082	IS03P083	IS07P013	IS07P020	IS07P027	IS07P033	IS07P038	IS07P039	IS07P043	IS07P052	IS07P053	IS07P062	IS07P069	IS07P070
ASV_15	49	109	749	10	50	14	12	1	53	133	1629	6	17	27	4	0	197	113	11	6	10	9	2	22	77	14	15	4	0	4	71	168	6	32	695	3	2	28	7	11	8	7	4	467	69	6	81	20	1301	446	10	11	15	59	10	4	3	4	150	807	42	198	107
ASV_18	40	127	8	2	9	7	0	7	16	241	259	11	3	5	10	3	56	27	2	3	25	2	49	41	27	8	127	29	3	6	15	3	9	2	1	4	0	76	14	68	31	3	0	12	100	4	34	8	19	83	78	32	67	29	39	42	8	2	8	60	0	81	6
ASV_12	7	1	2	104	625	9	48	9	1	17	16	108	401	4	7	43	4	3	31	361	66	16	17	11	3	39	79	288	133	107	38	47	2	1	13	222	56	0	67	56	414	318	112	6	1	326	7	5	16	5	875	24	0	50	87	218	226	161	10	1	19	51	9
ASV_22	18	2	11	39	20	203	20	135	46	5	7	34	22	397	306	16	261	5	21	49	4	13	132	10	22	2	50	21	36	24	22	716	3403	7	11	1	1	6	4	29	24	45	24	132	23	58	33	8	23	2	16	10	7	8	36	30	93	32	369	10	102	29	9
ASV_25	30	9	374	41	19	182	64	115	22	14	30	118	102	365	186	30	3	10	20	136	6	42	123	25	23	233	207	103	536	123	28	10	10	4	14	1	15	11	66	311	75	690	113	20	1	26	30	47	10	3	47	12	9	68	583	50	301	64	35	1	10	22	6
ASV_23	23	107	26	11	7	13	28	6	235	223	26	17	10	27	24	9	21	38	46	7	145	13	57	36	42	2	17	10	1	14	19	139	787	74	251	6	5	71	6	30	15	18	30	12	6	14	40	452	55	194	12	86	97	8	12	43	25	38	106	20	114	35	20
ASV_17	61	2	16	165	652	17	70	14	22	4	7	61	78	3	13	6	28	11	161	49	10	11	12	236	46	183	56	736	55	62	5	3	6	13	5	134	190	20	104	6	173	14	36	51	2	46	19	0	2	3	14	10	12	681	59	67	17	44	24	0	0	9	9
ASV_20	4	1	5	48	68	37	61	19	5	2	0	25	12	259	40	30	8	1	25	19	3	64	19	8	16	316	107	34	151	325	125	6	45	5	168	7	18	20	135	115	5	161	208	41	3	10	17	795	20	7	84	14	16	104	250	9	47	154	76	2	112	119	31
ASV_38	19	14	151	0	9	2	9	7	31	20	234	6	8	5	21	1	366	236	11	1	2	9	16	32	12	7	26	8	8	1	11	178	31	6	57	3	6	33	7	17	6	15	5	94	188	20	46	19	104	9	6	21	5	4	10	3	20	17	21	38	0	50	63
ASV_16	1	8	5	8	0	0	136	11	2	33	0	11	22	1	24	0	1	20	53	0	4	184	3	5	46	15	38	495	118	43	4	44	32	0	0	15	3	7	74	17	744	83	10	0	0	2991	0	0	0	0	70	20	66	38	45	558	65	4	63	0	33	4	1
ASV_26	245	149	117	25	10	6	10	8	110	51	249	54	12	23	13	0	69	9	17	71	0	7	12	10	22	12	42	24	17	11	12	121	14	123	18	1	4	32	10	69	40	21	11	7	120	12	25	20	53	29	10	24	17	32	44	12	26	10	135	157	40	26	9
ASV_10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	47	0	0	0	0	0	1	0	0	0	0	0	0	1434	0	0	721	0	0	0	1	0	0	0	0	0	0	0	3	0	0	542	924
ASV_27	143	128	16	1	11	0	5	6	88	207	66	9	1	20	3	1	48	27	5	9	11	8	29	15	26	3	34	7	0	1	20	78	31	298	47	8	2	24	4	31	5	1	1	16	14	1	35	38	803	4	23	15	23	35	19	2	1	1	87	282	158	37	9
ASV_21	5	557	0	48	56	190	6	17	4	32	1	18	8	190	67	42	12	14	8	39	41	6	22	19	78	2	43	15	68	28	0	2	5	2	35	129	1	104	2	68	20	13	40	0	0	0	2	2	5	2	22	19	176	3	99	43	32	22	12	2	1	16	1
ASV_65	23	75	148	3	49	9	3	1	49	51	186	0	12	2	1	0	52	47	31	2	26	0	9	20	29	6	19	6	2	6	18	683	7	119	40	18	1	34	9	24	7	1	7	18	20	4	33	2	28	16	7	16	10	32	7	0	4	5	168	105	25	54	101
ASV_40	2	13	3	28	42	16	145	9	8	11	8	51	145	3	14	31	8	46	42	22	9	31	24	154	111	77	162	19	52	149	141	7	8	7	20	13	29	45	24	19	14	16	112	28	0	3	5	45	6	39	98	25	39	156	52	8	11	75	30	1	5	15	10
ASV_54	11	14	89	1	13	6	9	72	13	6	310	5	1	50	29	0	69	21	6	3	32	6	134	14	9	4	24	1	0	2	12	445	33	4	11	5	0	19	32	16	15	1	16	50	7	23	7	9	387	12	0	3	12	106	8	18	0	15	26	6	8	46	4
ASV_35	46	65	7	5	17	2	9	0	137	24	3	0	3	10	0	14	218	877	16	11	0	6	1	4	30	0	46	2	4	5	18	64	11	2	6	0	3	31	0	18	5	21	8	4	9	1	2	6	369	10	6	12	47	0	5	1	7	2	19	46	0	36	3
ASV_31	612	205	75	1	9	1	5	0	62	85	222	17	5	4	2	2	55	31	1	3	10	3	4	4	13	1	23	5	1	1	25	22	145	2	60	1	1	13	3	15	7	3	7	13	26	25	13	12	124	31	4	23	26	8	4	6	1	8	47	177	165	20	27
ASV_33	4	1	6	27	23	4	14	7	3	4	8	33	31	0	29	10	5	1	16	29	729	16	9	5	21	64	39	31	24	40	3	19	1	1	2	785	67	16	118	13	39	19	215	2	0	19	4	1	5	1	444	5	40	61	15	40	42	250	7	0	1	10	5
ASV_37	28	6	11	462	31	4	97	41	18	9	7	652	590	4	43	3	1	30	27	157	8	75	91	34	79	98	35	14	101	81	1	39	6	2	1	99	7	10	374	30	12	828	43	0	0	4	1	1	1	0	51	19	37	158	40	11	385	17	13	0	7	11	49
ASV_51	168	22	35	6	8	2	2	16	25	41	37	9	7	2	12	0	67	7	39	2	3	3	15	5	19	4	17	22	2	0	5	7	0	85	8	0	2	16	4	48	9	3	12	6	406	7	23	6	14	52	32	2	14	6	32	5	1	16	21	62	3	16	57
ASV_87	13	137	168	2	1	1	3	1	18	308	172	0	1	1	34	2	29	24	0	5	12	0	21	14	30	2	32	8	1	7	14	17	12	9	37	2	0	126	7	55	21	16	3	10	12	8	7	8	24	8	8	17	135	13	25	7	6	0	28	94	1072	19	3
ASV_39	27	15	2	17	3	8	8	187	46	12	0	34	5	26	194	12	196	13	6	45	0	10	309	42	24	3	146	32	1	5	2	13	5	0	11	1	1	61	5	279	50	6	3	0	6	2	18	1	2	2	0	149	24	2	121	13	23	7	1	3	4	36	31
ASV_67	8	0	53	5	1	2	1	0	4	0	52	3	0	0	3	0	11	0	1	0	0	1	0	0	0	1	10	6	4	9	20	29	1	4	1	0	6	0	5	8	16	6	15	5	1147	3	2	3	12	3	17	0	0	3	13	5	0	1	42	73	2	20	0
ASV_55	4	4	32	43	27	83	6	34	16	0	11	203	31	148	55	13	2	7	11	248	20	3	61	6	6	16	38	19	22	29	28	8	13	1	91	54	0	4	4	32	18	38	17	6	3	158	29	74	12	2	25	12	1	8	59	18	13	10	19	1	53	31	5
ASV_52	4	18	34	2	3	5	6	5	24	8	17	8	6	24	5	13	27	36	0	4	18	3	11	3	3	1	62	8	3	26	25	5	2	7	106	5	23	8	0	5	18	16	20	33	3	2	36	485	248	6	7	25	2	1	20	4	3	26	18	1	3	85	10
ASV_36	7	42	0	20	59	40	34	41	4	34	1	69	22	85	132	112	7	6	28	16	74	38	55	17	79	6	83	60	10	45	3	3	0	0	23	60	0	68	8	120	73	43	71	1	2	8	2	4	1	0	115	20	73	13	87	64	24	55	3	1	13	5	5
ASV_29	154	38	7	16	6	5	18	27	146	133	6	9	4	2	13	4	661	87	53	7	14	8	21	31	38	8	20	22	11	3	3	166	61	27	5	14	0	115	9	20	20	6	9	2	190	2	19	14	13	51	84	69	109	8	30	7	2	8	30	47	36	7	7
ASV_57	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	3	0	0	17	0	0	0	5	2	8	1	0	1	11	29	64	0	0	5	2	3	0	14	19	1	7	11	9	41	3	11	2	8	0	1	1	4	11	0	0	1	144	108	183	4	0
ASV_43	8	37	15	74	221	93	45	18	9	13	6	97	70	107	43	9	2	12	49	40	12	42	35	57	172	231	39	71	74	99	7	11	5	18	20	27	30	124	125	82	65	63	37	9	4	5	14	12	15	0	14	28	145	106	36	36	45	19	23	2	29	35	23
ASV_46	11	1939	1	28	106	201	8	14	19	50	1	13	22	272	75	2	4	58	9	24	27	12	6	26	35	0	74	25	39	33	2	2	1	17	15	106	1	156	2	124	13	19	33	1	1	1	2	5	3	0	18	22	123	1	244	22	21	51	4	0	5	2	3
ASV_59	168	10	52	7	1	3	10	66	558	14	157	3	0	8	31	1	88	125	23	6	1	2	56	19	13	1	29	4	1	2	4	4	14	9	527	0	6	18	12	26	4	5	5	18	7	58	47	12	669	19	5	11	10	55	0	3	2	17	8	3	27	534	15
ASV_30	3	14	1	12	13	0	170	42	9	61	2	14	12	2	46	11	18	9	56	13	9	389	27	31	24	7	127	47	44	176	64	3	1	37	6	0	17	365	167	22	12	18	127	4	1	0	1151	8	2	0	53	7	52	120	27	19	21	148	13	0	4	12	5
ASV_138	3	17	41	3	0	0	23	875	3	13	1	2	15	0	332	3	6	2	8	3	4	30	932	28	3	0	21	10	27	42	14	64	1	12	0	0	0	4	1	71	9	78	11	13	5	0	17	1	1	0	13	38	5	0	39	16	45	4	56	8	0	56	0
ASV_42	11	0	14	18	11	2	203	145	73	1	12	13	35	3	37	98	28	1	18	49	197	530	73	1	1	9	24	66	21	10	8	17	2	205	29	16	6	1	20	14	35	12	22	2	0	62	7	25	29	0	24	29	8	11	27	224	38	204	50	1	4	8	5
ASV_72	5	0	32	4	2	1	11	20	9	3	29	4	4	4	9	7	8	0	2	2	15	22	21	6	13	1	13	18	4	0	7	383	0	4	23	10	0	71	21	22	15	1	66	2	1	1	20	52	0	0	4	3	35	17	8	17	3	27	767	3	141	15	5
ASV_60	3	242	1	4	4	0	1	5	1	217	2	18	2	0	8	5	3	18	59	4	0	3	33	3	43	3	10	3	11	1	5	5	0	3	10	0	2	72	3	8	11	1	0	2	30	1	12	4	6	0	0	3	60	1	1	11	2	0	9	24	0	107	3
ASV_41	74	1	4	5	146	3	8	3	19	0	5	17	12	7	3	0	15	2	98	5	4	2	2	125	1	62	8	22	10	21	20	1	1	5	1	44	123	4	24	1	11	40	11	413	0	5	30	0	3	0	22	6	0	100	6	15	5	13	16	0	1	1	7
ASV_48	12	840	0	29	14	0	0	6	12	38	6	12	16	0	13	11	9	49	12	28	2	1	13	23	11	0	7	49	14	9	1	1	6	2	22	2	1	44	0	31	49	10	10	2	0	1	3	5	2	1	2	161	155	0	38	42	39	17	1	2	0	10	1
ASV_24	0	0	0	0	11	0	0	0	0	0	0	14	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	308	17	0	0	104	0	0	0	1	0	2	0	0	11	4	6	0	14	88	1	0	0	0	1	0	5	0	1	45	1	7	1	1
ASV_32	20	19	17	7	16	0	835	23	14	28	5	8	96	3	41	10	30	85	12	14	82	88	38	11	178	28	90	37	14	50	7	7	2	2	9	9	97	7	150	18	16	16	22	9	1	9	9	2	5	5	72	21	9	454	36	12	20	38	26	0	3	4	15
ASV_113	12	82	50	7	19	4	1	0	26	67	49	0	4	8	0	3	15	28	9	0	12	0	2	4	21	3	10	3	6	2	20	58	4	28	107	15	1	20	9	21	6	3	6	13	3	4	18	12	30	19	23	5	21	10	14	11	4	6	44	19	46	80	36
ASV_34	25	101	13	0	3	0	8	7	4	177	39	3	5	0	10	7	18	22	24	3	7	2	15	1	27	3	10	3	0	1	26	24	105	586	21	1	1	20	5	7	21	7	2	3	55	5	27	30	50	55	3	13	49	5	12	5	6	7	77	55	21	23	20
ASV_69	6	70	46	0	5	3	0	2	56	61	41	0	1	0	0	2	28	86	16	1	0	0	5	23	15	0	13	2	1	0	36	40	19	25	25	0	0	23	6	21	7	2	1	300	8	0	39	21	22	41	5	13	11	2	8	1	0	5	53	116	64	26	10
ASV_62	7	86	75	1	1	0	6	0	29	97	305	0	1	0	1	0	43	117	14	2	0	5	4	8	4	1	5	2	2	1	8	27	2	33	30	0	0	28	0	7	6	1	1	14	29	1	26	9	409	16	0	7	9	10	10	0	1	2	57	627	7	26	28
ASV_49	26	90	0	20	16	1	216	110	1690	9	0	10	14	0	28	257	49	42	4	5	184	113	45	11	92	18	18	37	47	32	12	4	1	2	3	20	1	30	25	47	26	25	76	4	0	1	73	7	10	14	70	94	56	55	24	44	15	53	1	0	4	14	14
ASV_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	35	29
ASV_50	0	1	0	7	18	25	101	4	1	42	3	3	8	25	18	5	0	5	17	31	1	76	10	7	82	0	25	9	12	114	1138	1	0	0	8	5	21	109	0	2	8	2	23	11	0	0	11	21	2	0	69	10	81	0	7	5	7	28	3	1	0	3	4
ASV_58	10	31	1	26	33	7	11	16	1	27	1	34	14	29	50	3	1	1	15	11	18	8	20	15	57	10	37	70	12	19	3	153	2	14	13	28	0	48	12	66	92	14	57	2	1	3	10	8	21	1	2	9	72	5	66	54	8	38	3	1	13	8	3
ASV_81	13	26	121	1	3	6	0	1	44	27	136	0	0	5	0	0	75	13	2	0	5	4	0	12	30	1	19	2	0	0	24	38	5	25	28	0	0	14	3	9	9	1	3	56	48	2	23	5	53	996	1	4	5	12	6	5	2	3	40	159	101	33	17
ASV_56	30	3	0	3	8	0	0	8	47	12	2	4	7	0	13	3	22	7	2	9	24	14	27	3	5	3	21	4	4	1	19	10	11	3	12	5	2	4	2	22	1	5	6	17	10	213	25	5	372	2	3	19	23	9	8	3	7	6	26	3	108	35	18
ASV_47	4	6	0	630	135	121	135	38	0	2	0	267	18	10	98	0	0	3	15	427	76	251	11	8	4	23	2	24	113	17	0	1	0	0	3	194	3	0	23	2	9	109	22	1	0	0	0	0	0	0	183	5	1	10	19	5	65	10	0	0	1	4	5
ASV_44	16	8	4	64	7	4	278	10	20	9	2	39	27	2	13	28	3	84	58	13	10	34	13	17	495	10	58	9	5	3	7	2	4	23	13	18	1403	27	26	10	2	5	6	21	0	228	24	88	3	2	23	10	48	50	28	6	8	17	15	0	12	3	6
ASV_71	7	1	0	2	7	11	114	4	7	2	0	0	15	1	2	0	4	4	2	0	43	27	5	7	203	20	8	5	2	2	0	1	0	2	1	24	4	24	10	11	3	6	1	0	0	3	13	3	0	3	4	7	92	9	10	2	2	0	0	0	2	12	496
ASV_73	5	8	1	110	31	76	8	92	15	8	0	55	54	766	64	6	1	6	22	215	2	21	100	17	20	3	43	10	48	48	1	4	0	1	4	2	12	110	81	23	30	51	16	0	0	0	0	3	2	1	6	6	21	30	10	19	77	25	9	0	0	6	1
ASV_94	18	27	143	10	11	10	5	5	35	25	537	2	5	19	8	0	97	31	11	1	18	13	6	25	11	5	44	2	4	1	10	11	11	11	172	3	2	38	10	6	2	4	13	22	17	21	16	10	70	58	4	5	7	147	9	3	1	17	17	125	14	159	13
ASV_53	4	1	7	6	3	0	1	11	12	20	10	105	20	0	2	1	6	2	0	33	2	4	19	0	5	3	7	3	9	4	6	21	1	0	0	16	0	11	3	9	4	14	0	5	84	3	0	0	0	0	0	23	19	2	4	5	24	3	37	11	1	0	0
ASV_66	2459	0	0	2	0	1	0	1	140	0	1	1	0	3	0	0	458	0	1	0	0	0	0	60	0	0	0	0	0	1	0	0	1	0	0	0	0	9	0	25	0	0	12	0	0	0	12	0	7	8	1	54	7	0	0	0	1	10	1	1	1	40	4
ASV_74	19	9	2	182	48	13	29	255	12	7	0	141	117	53	100	5	1	20	7	326	15	48	147	9	21	16	42	8	38	32	0	6	14	2	23	17	1	10	51	50	5	84	20	9	0	0	5	7	3	2	14	58	19	72	43	6	52	21	10	0	0	10	1
ASV_63	2	28	0	29	165	73	13	33	0	25	2	35	39	178	169	51	5	5	20	8	37	20	38	8	64	4	9	21	8	65	5	0	5	20	48	52	7	62	1	7	34	18	101	2	0	7	7	119	1	0	12	15	116	1	16	22	28	58	0	1	3	9	7
ASV_90	4	6	21	3	1	3	10	14	19	6	13	4	0	5	16	7	14	6	1	3	0	19	34	13	14	1	77	12	2	33	29	11	9	0	14	1	2	17	2	25	2	6	21	47	3	50	55	20	6	0	0	4	6	1	56	3	5	34	70	0	19	9	7
ASV_119	29	2	0	1	8	1	32	1	23	3	0	1	9	2	1	0	70	70	2	2	0	12	3	3	0	3	2	2	0	8	9	23	6	0	1	6	152	0	0	1	3	0	0	850	2	6	6	1	2	1	1	1	0	2	0	1	2	3	28	2	5	22	126
ASV_881	12	0	3	41	8	12	33	120	9	0	0	43	38	37	120	5	2	1	8	85	9	40	195	11	4	102	99	18	356	133	0	1	0	3	1	20	4	1	70	93	11	797	56	0	0	0	1	2	0	1	24	8	0	27	201	18	177	69	5	0	0	1	0
ASV_86	1	0	13	12	20	0	5	1	3	0	12	12	9	0	6	2	8	0	125	9	3	6	3	0	0	0	57	21	15	3	7	5	2	1205	29	0	0	0	1	26	18	0	3	2	233	0	52	21	0	0	137	0	0	0	24	21	0	2	8	6	0	47	9
ASV_88	4	9	17	0	3	3	4	0	1	12	14	9	1	0	1	0	64	324	0	0	1	2	3	2	1	0	3	0	0	0	3	14	2	4	42	6	1	3	3	4	1	0	3	245	14	16	19	2	12	1	2	0	0	2	2	0	2	3	6	0	6	46	19
ASV_79	4	10	12	49	294	23	22	7	10	7	22	48	40	16	29	6	9	0	72	27	2	28	23	8	1	65	26	39	8	22	22	0	0	22	12	36	13	14	51	12	45	7	35	3	0	3	136	11	1	1	0	6	5	56	46	13	17	43	8	1	0	16	7
ASV_77	0	10	2	14	13	223	24	19	0	11	2	103	12	288	43	21	0	5	8	112	27	12	22	17	7	16	10	41	45	36	14	2	2	0	4	51	5	16	20	9	39	64	17	5	0	6	3	2	2	0	10	17	2	10	20	13	29	39	2	1	1	5	2
ASV_124	48	39	16	2	12	0	5	14	35	125	7	1	3	0	6	0	8	31	42	0	0	3	15	6	5	1	16	3	0	2	16	12	37	400	14	0	0	5	1	20	1	0	3	13	8	2	138	7	7	16	18	3	14	0	4	4	1	6	26	6	12	35	21
ASV_99	11	23	17	2	3	0	4	0	42	9	5	3	1	0	2	2	53	644	8	4	0	4	0	5	7	6	35	2	0	0	4	5	2	0	29	1	15	19	21	14	2	3	3	84	12	1	36	15	437	17	13	2	6	26	3	1	4	9	6	21	0	28	5
ASV_85	55	55	12	10	11	2	2	4	89	26	15	11	9	1	2	13	28	14	5	2	6	3	5	2	26	2	8	12	2	1	10	20	38	33	5	3	0	22	5	31	17	6	2	3	5	1	17	12	29	9	2	9	17	4	16	2	2	1	58	34	9	20	8
ASV_75	1	7	0	111	31	0	16	3	5	28	1	16	43	0	5	118	2	8	204	9	77	20	12	19	13	3	12	33	33	121	139	2	3	16	69	17	7	175	1	17	67	16	38	1	0	0	382	44	0	0	26	12	17	0	21	56	6	29	35	3	5	49	2
ASV_84	10	1	9	308	23	0	14	172	18	0	0	32	47	0	116	2	0	2	16	270	0	7	106	8	18	198	93	11	59	58	1	13	0	0	1	12	0	8	235	186	5	67	7	14	0	1	5	4	2	0	17	3	9	79	62	11	78	29	45	0	1	5	2
ASV_106	478	0	0	1	1	1	1	0	111	0	0	0	0	2	1	0	26	0	0	0	2	0	3	4	0	0	3	2	0	0	0	0	89	6	0	0	0	1	0	4	0	0	4	0	0	6	29	1	6	10	26	14	4	1	2	1	2	14	0	0	8	19	1
ASV_76	8	19	15	19	15	9	8	6	27	6	22	69	75	10	24	2	5	1	10	32	9	8	23	5	12	6	19	19	15	23	2	46	22	4	7	5	14	11	5	19	42	14	7	5	11	2	9	10	4	1	12	24	4	4	26	20	38	7	24	14	4	13	14
ASV_78	7	14	0	4	117	37	23	18	20	9	1	22	39	38	47	289	10	36	19	7	46	69	6	23	58	78	11	10	14	67	13	4	3	5	3	101	6	28	23	6	10	11	40	11	0	1	13	3	9	5	289	8	18	24	9	6	6	27	2	0	8	8	12
ASV_83	17	28	0	41	14	6	10	146	44	10	0	25	26	27	59	103	4	11	5	19	1	44	42	6	12	0	150	16	67	70	0	4	3	0	0	0	4	10	15	212	18	88	19	2	0	0	3	0	1	0	33	74	14	7	222	33	732	60	2	0	0	6	0
ASV_64	0	4	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	27	1	0	0	0	0	6	7	1	12	18	8	0	0	1	0	0	0	76	3	1	0	1	9	0	0	0	0	0	0	0	0	0	0	3	0	0	0	15	0	0	1	0	0	1	2
ASV_97	8	42	43	6	8	2	1	5	46	35	17	17	14	2	4	12	15	11	7	3	57	5	14	10	24	2	23	28	5	13	17	31	17	57	121	3	0	30	9	51	13	11	20	11	2	4	21	76	16	29	1	9	31	16	21	31	19	29	40	31	140	13	10
ASV_89	17	2	0	31	6	4	79	21	13	4	1	17	19	2	7	2	13	4	17	12	6	13	24	17	18	69	7	0	5	4	6	1	0	17	46	19	5	10	145	0	1	3	6	93	1	0	68	26	2	2	2	3	20	102	0	2	9	3	9	0	0	42	15
ASV_70	0	2	2	89	12	4	17	29	1	111	2	318	13	8	16	0	0	7	1	227	19	23	36	4	10	0	8	11	12	3	0	3	0	0	0	518	1	6	9	6	8	7	0	0	5	0	0	0	1	0	7	5	13	2	17	2	3	1	2	0	0	0	2
ASV_100	16	156	16	1	1	0	1	6	3	53	15	4	4	2	2	2	8	13	10	1	1	4	18	0	0	0	1	5	1	0	5	79	3	119	3	0	0	4	0	1	8	2	0	4	39	3	10	5	13	20	0	5	9	0	8	24	0	0	40	215	4	4	2
ASV_93	2	6	0	10	6	10	15	31	7	11	0	40	15	8	88	22	2	2	5	59	23	5	59	112	17	13	17	53	58	41	6	2	2	0	0	69	11	28	21	11	27	61	20	4	0	6	1	0	0	0	11	165	12	11	14	24	33	44	3	0	2	3	2
ASV_118	2	0	1	0	5	0	0	0	4	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	25	14	21	30	0	102	0	0	0	0	0	0	6	21	2	19	16	3	12	2	11	5	2	0	0	0	0	4	178	4	36	1	0	261	0	0
ASV_98	0	24	0	0	0	0	1	1	0	3	0	0	0	0	1	0	0	9	0	0	1	0	0	4	1	0	13	1	0	0	11	44	0	0	0	0	0	3	1	10	0	0	0	9	3216	0	0	0	0	0	74	3	1	0	14	0	0	0	89	35	0	1	0
ASV_61	19	0	0	5	10	0	23	0	659	0	1	38	0	0	0	6	26	0	3	4	0	6	0	46	3	0	21	6	0	29	4	2	6	0	3	0	45	12	0	26	0	32	0	0	0	15	0	0	1	0	0	1138	105	0	7	0	36	0	5	0	5	3	0
ASV_117	6	2	0	4	4	0	1	1	10	25	0	1	3	0	2	3	21	4	5	0	1	0	3	3	21	0	47	5	3	0	0	342	4	7	4	0	0	16	1	41	45	1	0	1	5	2	2	0	0	7	0	9	26	0	30	5	1	0	13	0	9	10	32
