OTUID	All	med	post	pre
ASV_131	0.107279	0.11823914	0.04893448	0.14892304
ASV_206	0.089542	0.11108259	0.06363895	0.09019286
ASV_180	0.094482	0.08718445	0.10316240	0.09434702
ASV_156	0.12548	0.05761650	0.04166764	0.27474403
ASV_284	0.093183	0.08880574	0.10558084	0.08652365
ASV_217	0.0777	0.04867009	0.04787298	0.13603790
ASV_181	0.083021	0.07362229	0.12223217	0.05720694
ASV_185	0.07732	0.08119338	0.08963120	0.06191470
ASV_211	0.080893	0.12386542	0.04963841	0.06351273
ASV_225	0.080627	0.07651362	0.05205336	0.11116442
ASV_179	0.087124	0.09326067	0.10280763	0.06621245
ASV_281	0.088685	0.08080204	0.12943542	0.05984244
ASV_230	0.087152	0.07877797	0.10601691	0.07885358
ASV_192	0.085958	0.05143144	0.06424726	0.14275358
ASV_184	0.082443	0.08510248	0.07901664	0.08273243
ASV_132	0.099642	0.08967837	0.06910872	0.13822949
ASV_196	0.093879	0.09906406	0.08788074	0.09381857
ASV_160	0.082243	0.13565028	0.04974264	0.05483783
ASV_229	0.076139	0.07921100	0.09592252	0.05475529
ASV_195	0.083492	0.08837900	0.09434346	0.06833754
ASV_201	0.080281	0.12160002	0.07108422	0.04449042
ASV_153	0.077977	0.11149366	0.07426080	0.04552208
ASV_226	0.068524	0.11461152	0.03625769	0.04873528
ASV_162	0.06939	0.09086457	0.06116456	0.05394090
ASV_231	0.070724	0.03932261	0.08488574	0.09136071
ASV_171	0.08181	0.05096611	0.03373043	0.15878662
ASV_194	0.080429	0.08190059	0.05476278	0.10233300
ASV_183	0.101087	0.08681799	0.13835734	0.08226035
ASV_175	0.076144	0.05908840	0.07252769	0.09769888
ASV_172	0.064389	0.12750760	0.01964947	0.03779003
ASV_301	0.079267	0.08686348	0.05061791	0.09734549
ASV_433	0.066888	0.01943025	0.04678060	0.13604930
ASV_309	0.067858	0.04932356	0.05552856	0.09896458
ASV_173	0.074091	0.06290724	0.08126796	0.07948985
ASV_333	0.069852	0.02592022	0.02048875	0.16200273
ASV_577	0.074938	0.06745954	0.08218073	0.07631369
ASV_342	0.06695	0.04128644	0.10411307	0.06041082
ASV_214	0.070456	0.09280604	0.05753088	0.05837074
ASV_204	0.057946	0.11504462	0.03801811	0.01509368
ASV_223	0.071327	0.04277058	0.11325763	0.06352106
ASV_255	0.067762	0.06839365	0.09357761	0.04347215
ASV_164	0.075539	0.09599334	0.04974673	0.07724932
ASV_282	0.066411	0.08400590	0.06937497	0.04487600
ASV_286	0.063407	0.04525352	0.05284695	0.09248543
ASV_483	0.066155	0.04410282	0.04820754	0.10616242
ASV_190	0.060348	0.07641118	0.06382782	0.03998215
ASV_280	0.06698	0.05941063	0.07537010	0.06740156
ASV_786	0.073743	0.06222457	0.08736520	0.07360300
ASV_246	0.065407	0.05127904	0.05308875	0.09178879
ASV_358	0.06626	0.04544890	0.03312321	0.11883400
ASV_368	0.06342	0.07012113	0.06689353	0.05307309
ASV_178	0.077698	0.09052035	0.09247991	0.05045845
ASV_241	0.066328	0.06127175	0.05021124	0.08648041
ASV_222	0.061698	0.06710844	0.05833243	0.05898830
ASV_361	0.063349	0.05745856	0.07033572	0.06325799
ASV_507	0.067583	0.07228643	0.07008987	0.06025745
ASV_426	0.058505	0.08326212	0.05591372	0.03439122
ASV_251	0.060295	0.03510188	0.07431110	0.07442602
ASV_224	0.059594	0.06174609	0.07194390	0.04599617
ASV_363	0.056984	0.05378496	0.02561311	0.08910169
ASV_205	0.062982	0.07900262	0.05413317	0.05393911
ASV_234	0.059547	0.04009409	0.08716500	0.05509464
ASV_334	0.058058	0.10550121	0.02702479	0.03569279
ASV_262	0.061201	0.07811440	0.04078850	0.06177914
ASV_198	0.063464	0.07885179	0.07166892	0.03949713
ASV_219	0.056414	0.04213519	0.07734234	0.05254538
ASV_216	0.089204	0.10553445	0.08990017	0.07109888
ASV_228	0.062739	0.08441125	0.05282599	0.04862227
ASV_1119	0.054758	0.08932038	0.03319147	0.03751128
ASV_276	0.056235	0.05495058	0.03274287	0.07909748
ASV_269	0.061027	0.05715814	0.05654670	0.06926270
ASV_793	0.056483	0.07510505	0.05130637	0.04129553
ASV_472	0.050744	0.04032651	0.01524404	0.09435973
ASV_303	0.052873	0.05832006	0.01612342	0.08066147
ASV_273	0.057085	0.03253695	0.09716636	0.04668193
ASV_297	0.055698	0.05347652	0.06023396	0.05392392
ASV_488	0.060939	0.06188342	0.05214077	0.06797691
ASV_237	0.072997	0.06562927	0.12610316	0.03230228
ASV_218	0.057008	0.06592950	0.06121913	0.04361202
ASV_299	0.061861	0.05319638	0.08302481	0.05177026
ASV_341	0.053549	0.08441512	0.04045362	0.03250814
ASV_264	0.047837	0.09438018	0.01090974	0.03182382
ASV_350	0.052043	0.02972842	0.02484465	0.10079219
ASV_615	0.052483	0.022421630	0.008826513	0.124576375
ASV_244	0.057085	0.05698881	0.06323769	0.05155956
ASV_256	0.05447	0.05205418	0.06576563	0.04672232
ASV_355	0.050508	0.07984551	0.05367804	0.01622468
ASV_324	0.052193	0.04792848	0.06048127	0.04917214
ASV_265	0.069997	0.07173324	0.07874025	0.06014285
ASV_259	0.05203	0.06504993	0.04709629	0.04261482
ASV_232	0.052783	0.05451077	0.03981614	0.06279731
ASV_215	0.063031	0.05502510	0.10616509	0.03214077
ASV_260	0.054777	0.007775046	0.014038304	0.142321736
ASV_570	0.049164	0.02825358	0.03461810	0.08483918
ASV_456	0.047069	0.07553385	0.01949455	0.04184212
ASV_409	0.048651	0.05487312	0.05997571	0.03163691
ASV_242	0.053579	0.05132423	0.04334970	0.06534744
ASV_252	0.052614	0.05325308	0.05305800	0.05152568
ASV_388	0.047241	0.03738868	0.04369684	0.06102165
ASV_293	0.047679	0.05844348	0.01540152	0.06568944
ASV_238	0.05848	0.02772115	0.03947195	0.10877100
ASV_313	0.047296	0.02270158	0.05274910	0.06861957
ASV_250	0.048577	0.04964260	0.05574067	0.04088316
ASV_345	0.048947	0.04097781	0.08056826	0.02854830
ASV_249	0.05072	0.05898994	0.04480918	0.04728023
ASV_338	0.061034	0.06301308	0.07376743	0.04726963
ASV_292	0.047979	0.04066727	0.03332205	0.06920732
ASV_285	0.052063	0.04597258	0.04750303	0.06274910
ASV_233	0.045949	0.05733177	0.01866025	0.05873483
ASV_556	0.053427	0.04990743	0.05154984	0.05890836
ASV_257	0.048837	0.06304590	0.04115663	0.04066189
ASV_491	0.049494	0.06445697	0.02278732	0.05791555
ASV_270	0.045936	0.03773336	0.05095332	0.05012148
ASV_227	0.054331	0.05072481	0.04818880	0.06380865
ASV_754	0.044339	0.03767770	0.01465581	0.07861651
ASV_307	0.037832	0.01167701	0.08245697	0.02499307
ASV_314	0.04966	0.03376279	0.06810578	0.04979372
ASV_462	0.044699	0.03412337	0.02201479	0.07676384
ASV_320	0.041817	0.04307853	0.01423491	0.06569859
ASV_335	0.043069	0.02470990	0.03758401	0.06772601
ASV_392	0.044752	0.02678184	0.03127798	0.07630124
ASV_258	0.064443	0.07072468	0.09780490	0.02720469
ASV_310	0.044478	0.03855598	0.02256541	0.07085844
ASV_283	0.047676	0.07037961	0.03339669	0.03645094
ASV_1153	0.048275	0.04194270	0.06071574	0.04366817
ASV_528	0.043775	0.03617850	0.01683515	0.07654368
ASV_446	0.044055	0.04552508	0.04516590	0.04146761
ASV_327	0.041205	0.02520071	0.01698050	0.08048438
ASV_343	0.045449	0.05311625	0.02728717	0.05386117
ASV_346	0.051169	0.03214473	0.08897219	0.03694164
ASV_377	0.04679	0.01877264	0.02595307	0.09582347
ASV_521	0.03943	0.01917227	0.01589230	0.08263301
ASV_715	0.03938	0.01695758	0.09486695	0.01261032
ASV_275	0.046688	0.04814860	0.05795569	0.03481948
ASV_243	0.045212	0.03755048	0.05096627	0.04814402
ASV_481	0.039697	0.05468152	0.02286163	0.03906622
ASV_396	0.04409	0.01712634	0.04256921	0.07432595
ASV_248	0.059745	0.12765808	0.01606271	0.02704999
ASV_630	0.039419	0.039235636	0.009827532	0.066683087
ASV_236	0.042282	0.03942070	0.02856509	0.05789005
