#OTUID	DE03P016	DE03P017	DE03P049	DE03P054	DE03P060	DE03P065	DE03P076	DE03P081	DE03P083	DE07P016	DE07P049	DE07P054	DE07P060	DE07P065	DE07P076	DE08P017	DE10P016	DG00P016	DG00P017	DG00P049	DG00P054	DG00P060	DG00P076	DG00P081	DG00P083	DS00P030	DS00P037	DS00P049	DS00P054	DS00P060	DS00P065	DS00P076	DS00P119	DS00P138	DS00P140	DS00P166	DS00P172	DS00P180	DS00P191	DS00P193	DS00P194	DS00P196	DS03P016	DS03P017	DS03P030	DS03P037	DS03P049	DS03P054	DS03P060	DS03P065	DS03P076	DS03P237	DS03P239	DS03P245	DS03P272	DS03P279	DS03P288	DS03P295	DS03P298	DS03P312	DS03P313	DS04P138	DS04P194	DS04P86	DS05P114	DS05P196	DS06P140	DS06P180	DS07P016	DS07P037	DS07P049	DS07P054	DS07P060	DS07P065	DS07P076	DS07P172	DS07P193	DS08P017	DS08P191	DS10P016	DS10P049	DS10P054	DS10P166
ASV_23	198	218	6	7	53	40	10	170	45	95	16	14	44	28	12	44	29	31	78	2	25	34	64	120	169	10	7	141	17	105	22	169	11	160	0	3	1	110	47	2	18	32	178	83	6	24	11	253	6	0	16	7	18	32	34	29	150	92	40	22	67	70	116	31	11	432	10	0	22	29	142	31	121	1	32	0	11	67	400	21	78	6	3
ASV_17	25	3	22	51	200	76	41	1	2	5	62	16	184	80	33	3	0	41	26	64	85	106	55	177	6	11	539	26	1	1	2501	1	1	0	2	1	0	10	0	14	42	283	7	11	7	54	5	0	9	92	0	1	5	0	83	3	1	0	0	5	1	0	18	4	6	14	0	2	2	39	1	1	6	45	0	0	0	28	0	34	51	16	0
ASV_20	7	2	15	72	51	75	83	0	4	3	11	44	15	30	124	1	2	6	1	15	33	95	33	5	4	43	14	51	6	138	5	10	0	5	2	0	0	1	6	0	42	0	18	9	34	27	4	75	2	28	9	0	0	0	3	0	0	0	0	0	0	0	119	0	0	0	0	19	0	40	6	25	139	21	1	0	13	11	0	2	25	33	0
ASV_38	29	24	3	7	6	8	0	40	12	34	1	7	11	17	9	30	68	15	345	2	4	3	16	42	14	7	8	6	241	34	3	7	108	202	361	621	221	109	16	584	37	12	21	13	5	13	50	11	530	2	10	1	4	64	14	20	38	16	17	1	1	164	4	218	1	1	49	3	32	16	302	4	17	4	180	272	12	17	258	59	38	271	1246
ASV_16	31	15	49	23	11	312	9	0	2	31	0	20	57	94	52	23	7	50	10	22	4	47	6	1	0	7	256	2	0	0	35	0	0	0	0	0	0	0	0	0	0	0	504	16	12	191	0	8	0	122	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	120	131	0	43	1	273	0	0	0	5	0	185	8	0	0
ASV_26	15	14	12	23	18	18	9	13	230	38	4	2	15	45	27	60	24	18	10	10	7	6	17	24	85	21	18	12	59	78	3	8	159	185	142	126	182	121	573	49	72	1	19	113	23	27	11	114	36	1	7	45	20	20	44	25	14	265	5	43	14	1685	308	48	127	328	791	2	17	37	81	33	52	1	4	1659	525	86	750	11	42	11	1226
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	899	0	0	0	184	168	104	99	66	33	60	10	4	8	6	0	0	0	0	0	0	0	1	0	0	102	0	0	0	0	0	2	0	0	0	81	0
ASV_27	26	78	1	7	17	9	1	79	391	37	1	19	10	35	38	124	20	19	139	6	4	7	55	28	18	7	13	6	126	223	1	386	6	8	65	48	3	38	30	27	4	0	22	23	5	10	31	62	4	0	18	1	26	3	5	2	27	105	216	99	3	10	27	26	13	14	527	12	0	22	365	46	1	3	36	584	32	60	23	11	39	22	122
ASV_21	14	45	70	8	48	598	3	30	8	12	119	13	26	47	3	21	34	49	20	8	7	81	230	9	40	44	5	0	1	23	0	1	0	0	0	0	0	0	0	2	0	2	202	182	32	39	0	124	0	4	1	4	1	2	1	0	0	0	0	1	0	0	0	0	2	3	0	5	17	25	8	15	11	0	1	0	1	44	1	10	0	1	0
ASV_65	218	64	2	7	38	6	1	66	51	347	0	8	5	10	1	66	134	133	215	3	20	15	1	86	109	1	5	49	41	17	4	76	0	987	12	45	115	43	1	81	69	29	32	47	5	1	60	47	11	0	3	1	96	6	18	18	15	77	22	52	71	706	3	43	337	23	8	0	38	5	72	46	39	1	268	3	123	49	0	16	41	42	5
ASV_40	96	38	58	36	88	45	53	3	10	21	54	28	220	59	31	5	1	201	30	26	41	65	62	5	5	16	19	18	1	3	168	10	0	12	7	11	0	21	53	6	121	63	14	29	23	16	2	7	1	109	28	3	13	0	105	3	1	0	0	1	12	31	31	1	121	75	14	78	79	3	1	8	13	211	1	6	6	149	5	347	25	24	5
ASV_54	11	9	0	7	10	12	4	20	204	10	2	14	60	238	6	75	126	16	101	7	1	12	59	5	46	13	6	7	6	529	0	149	6	52	1	100	0	81	1	254	1	0	12	8	9	10	74	59	144	0	11	2	2	0	2	1	20	327	13	59	26	749	9	1	0	34	0	0	2	9	291	36	179	0	13	0	21	12	38	21	67	1	39
ASV_35	33	42	3	2	9	8	3	33	77	34	1	3	80	6	32	149	33	49	24	10	7	11	79	19	7	1	11	14	93	15	0	54	16	34	0	88	5	7	0	2	4	0	41	26	4	7	27	191	0	0	14	0	0	0	0	0	0	244	15	79	89	67	3	10	26	1	0	0	2	4	17	98	1	0	4	21	0	11	13	109	135	9	9
ASV_31	24	155	1	27	4	5	1	256	76	82	2	34	5	8	5	96	38	13	25	3	3	3	17	8	23	1	3	17	44	1384	1	86	8	1	173	33	95	0	14	25	44	0	25	22	3	15	10	126	23	0	22	5	8	14	28	4	19	796	10	61	3	1	543	42	192	0	747	2	3	14	38	93	162	0	8	361	195	23	1	12	15	3	153
ASV_33	10	4	132	188	13	23	9	3	0	7	886	244	23	7	44	3	0	31	1	146	81	5	29	0	0	51	203	2	1	0	18	1	16	19	0	0	0	0	0	0	0	0	22	14	42	101	1	16	0	11	4	1	0	0	3	2	2	0	6	0	2	1	6	0	2	7	0	0	7	81	1	79	0	5	0	0	0	19	2	26	2	14	0
ASV_37	36	9	35	108	39	186	63	0	8	77	89	14	70	917	96	13	4	42	4	8	346	20	80	11	3	244	11	10	1	0	14	1	3	0	0	0	0	61	4	7	23	2	140	31	436	4	1	1	0	1	0	1	2	5	8	2	1	0	10	1	7	0	0	24	0	0	0	0	121	6	5	3	1	4	0	0	0	51	2	118	236	4	2
ASV_51	18	14	2	5	46	5	3	19	26	14	0	15	7	34	6	79	7	5	21	2	7	13	13	12	7	4	34	5	64	11	1	483	300	222	435	32	667	75	210	91	152	1	10	17	6	28	60	52	151	0	6	5	205	41	31	171	93	30	117	123	2	101	4	513	65	7	53	1	1	64	38	23	20	0	7	111	229	32	26	4	8	6	1
ASV_87	19	63	4	0	19	1	0	9	3	39	0	21	2	2	1	34	9	12	51	1	1	8	68	10	14	16	12	1	40	3	30	213	174	21	0	0	56	103	1070	75	141	1	29	23	15	18	0	111	3	1	22	7	12	73	104	48	353	247	14	16	0	2	3	4	210	0	0	2	15	26	13	55	155	1	26	7	25	32	217	2	4	13	1
ASV_39	34	30	1	17	8	10	1	13	4	14	1	28	4	17	13	29	18	16	130	2	6	1	38	9	1	27	0	2	1	78	4	0	1	77	1	11	52	0	0	36	2	0	22	56	38	18	22	11	1	0	1	2	476	0	5	4	6	1965	5	55	24	41	0	2	2	0	17	0	126	83	111	4	1	1	0	29	114	42	2	55	3	0	1
ASV_67	1	1	0	4	55	3	0	3	3	1	0	13	6	3	7	2	0	0	1	1	1	21	9	3	3	7	54	0	1042	28	18	6	5	0	878	0	2649	4	74	0	453	0	0	0	6	8	25	5	0	6	4	1	0	0	1	1	0	0	0	0	0	0	14	1126	0	0	12	0	0	22	2	1	0	4	135	129	0	1	9	0	0	1	0
ASV_55	22	6	413	24	188	31	7	9	107	11	128	37	37	24	48	1	21	22	2	200	23	34	31	10	492	25	10	43	1	14	55	27	24	8	75	6	0	1	150	6	1	2	15	6	38	28	9	37	1	16	141	4	0	2	7	0	5	0	0	0	2	1	0	0	0	0	0	0	95	13	3	17	29	6	41	0	20	13	251	32	15	233	31
ASV_52	150	12	6	2	18	8	6	17	18	13	1	1	90	5	9	16	116	91	10	15	5	5	38	118	88	6	1	34	5	41	3	64	5	31	134	292	1	1	24	14	286	7	13	6	2	7	9	47	0	9	53	1174	1	4	8	4	4	0	0	0	1	87	22	27	0	1	7	2	20	1	22	26	8	2	10	18	44	2	3	22	14	191	157
ASV_36	20	23	20	303	243	159	11	17	3	20	266	285	41	37	32	6	10	18	15	64	18	229	39	0	9	23	51	11	14	17	109	18	0	0	0	0	0	0	2	1	0	36	40	104	45	59	1	149	1	59	2	2	0	0	25	0	4	0	0	0	14	0	7	1	0	23	0	0	59	33	11	14	27	12	2	1	0	70	25	9	8	1	0
ASV_29	96	103	1	4	56	16	2	4	4	10	4	2	15	26	6	112	9	12	152	3	8	10	67	12	24	9	23	22	61	10	17	27	56	26	86	15	169	119	67	33	23	50	35	18	16	29	174	33	73	0	0	8	497	42	55	278	105	17	224	168	48	2	256	40	44	90	21	1	2	14	38	11	111	4	64	1	112	29	11	15	115	24	29
ASV_57	9	2	0	0	11	28	2	8	269	42	0	2	9	29	0	7	0	5	6	2	0	5	0	16	2645	6	0	16	2531	0	0	0	0	3	0	0	0	9	9	0	48	1	8	0	5	0	0	12	0	0	0	6	9	3	890	6	6	0	0	0	0	10	603	0	347	1	0	1	1	0	0	10	0	0	0	0	0	0	9	2	13	3	0
ASV_43	17	19	15	95	70	59	79	6	22	33	82	54	128	53	38	9	22	37	16	105	26	22	42	0	19	30	33	32	0	25	7	9	2	7	4	16	0	1	7	1	90	21	38	76	31	51	8	25	1	18	165	139	18	2	22	1	3	8	0	3	11	21	17	1	108	14	49	125	62	39	4	31	13	67	1	3	19	48	59	72	15	6	49
ASV_46	47	93	47	522	29	659	31	27	21	56	47	72	16	60	18	80	1	88	48	34	13	77	69	23	44	53	5	0	0	354	15	7	0	0	0	0	0	0	0	0	2	0	69	128	50	13	2	115	3	11	0	10	0	0	0	0	1	0	0	0	1	0	2	0	1	1	4	0	45	23	7	25	7	6	1	0	0	14	0	10	0	2	0
ASV_59	9	13	2	27	4	3	0	42	52	13	0	95	9	16	0	40	52	47	56	1	0	5	3	23	16	10	12	28	1	127	2	158	0	6	0	49	0	2	0	0	10	15	4	5	10	18	1005	23	7	0	24	5	5	1	9	4	2	0	2	0	32	100	101	1	26	44	51	0	2	27	718	8	8	0	31	0	337	17	0	30	37	26	23
ASV_30	9	32	20	29	30	82	10	13	1	14	10	23	44	44	52	8	5	6	22	26	7	83	16	0	1	22	226	8	7	0	1	1	0	0	1	0	0	1	0	0	3	0	214	95	11	391	3	4	0	0	6	0	36	6	51	5	10	0	0	0	1	0	6	0	0	7	0	0	117	112	2	4	8	2	0	0	0	20	1	34	30	25	0
ASV_138	2	13	3	3	0	28	4	17	2	1	2	5	0	115	24	10	0	2	2	0	147	0	30	14	1	39	2	3	4	8	0	129	54	41	0	0	0	86	0	0	0	0	0	336	44	7	11	26	3	0	2	0	0	0	0	0	0	63	93	48	55	44	1	0	0	0	1	3	0	32	10	1251	366	0	1	0	1	178	0	23	7	115	25
ASV_42	0	15	10	14	3	59	6	0	4	1	5	44	3	21	91	1	0	2	2	3	33	3	72	0	14	26	49	637	2	1	4	0	125	1	0	0	0	80	49	2	2	16	2	1	34	59	6	149	0	5	6	3	5	0	6	0	9	0	0	0	37	0	0	5	0	120	0	2	2	36	88	21	0	5	1	4	0	2	2	2	80	0	0
ASV_72	4	0	25	4	0	7	1	1	1	0	13	16	1	7	11	0	2	2	3	17	8	1	1	0	22	2	10	790	18	0	15	0	10	9	0	0	0	42	16	7	46	36	0	29	5	22	14	43	0	66	7	0	4	0	1	0	0	1	1	3	76	1	696	4	106	348	169	1680	7	19	69	7	5	17	0	99	1	35	91	1	74	1	43
ASV_60	3	17	1	2	17	9	0	419	5	27	1	2	3	3	7	85	56	12	15	3	2	10	4	17	13	0	20	16	180	7	10	5	0	20	0	130	2	0	17	25	0	0	21	19	1	16	24	1	183	1	1	4	8	7	20	93	208	40	56	146	0	3	0	0	13	0	0	0	4	74	40	1	7	1	2	0	668	13	0	25	26	1	57
ASV_41	11	0	5	29	24	28	36	3	1	1	7	8	106	18	30	0	0	1	3	6	68	79	18	311	1	3	22	7	1	2	49	1	4	0	1	1	0	5	0	39	8	278	11	9	4	3	7	0	4	29	5	0	1	0	24	0	0	0	0	90	3	0	0	0	0	5	2	10	4	2	4	4	16	1	5	0	0	10	0	9	12	168	0
ASV_48	47	1095	226	53	125	9	46	8	2	41	297	33	26	3	21	58	0	53	41	145	8	139	25	1	5	4	10	0	1	0	41	412	0	0	4	0	0	0	0	0	0	0	56	473	1	68	2	18	0	18	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	68	1	21	42	0	8	28	20	3	0	0	29	0	20	0	0	0
ASV_24	0	0	0	189	0	0	0	1	0	0	2	233	33	3	1	0	0	0	0	9	19	0	90	10	0	0	1	0	9	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	0
ASV_32	310	27	24	23	13	60	30	0	0	71	54	18	35	77	13	60	2	1062	9	4	326	7	258	15	1	26	152	14	2	1	68	2	0	0	0	0	0	0	0	19	79	63	115	32	24	57	4	13	4	15	5	2	6	1	4	6	2	0	0	4	132	0	39	0	0	5	0	1	43	22	5	15	3	14	0	0	6	24	0	295	41	29	0
ASV_113	106	32	0	2	78	2	1	1670	129	193	3	14	4	7	0	17	69	71	35	1	26	30	20	149	313	16	8	21	11	132	1	40	2	66	1	115	2	12	14	15	9	1	27	18	5	11	144	63	6	0	9	1	15	9	112	18	58	64	25	25	37	19	2	133	18	2	3	0	14	12	52	62	70	1	351	1	35	15	0	15	17	22	14
ASV_34	33	69	2	6	2	5	1	56	20	28	0	11	3	16	1	272	11	20	10	3	2	1	33	11	17	9	13	37	51	16	1	6	9	11	44	2	0	25	4	0	8	0	15	47	8	6	14	60	4	0	7	5	99	25	27	46	115	251	6	58	120	2	39	10	3	108	69	0	7	2	21	55	575	1	11	15	2	64	251	9	19	6	13
ASV_69	43	63	1	1	4	1	0	3	12	96	0	1	1	0	4	50	230	27	143	1	1	6	4	56	16	5	8	14	78	8	1	28	1	23	42	112	175	6	19	2	14	1	30	9	10	7	5	65	43	0	2	1	2	2	6	7	17	73	13	37	12	316	8	27	9	0	1	0	6	2	23	35	80	0	35	21	47	36	0	54	107	7	262
ASV_62	36	52	0	1	1	1	1	14	76	57	0	2	5	6	4	32	1	16	67	0	0	4	0	32	73	2	2	181	157	2	1	55	150	0	0	58	126	6	2	180	2	2	16	16	2	1	158	36	5	0	8	0	1	15	19	7	28	133	16	45	23	21	1	50	57	1	0	0	1	7	477	21	7	0	421	1	104	17	1	20	223	6	28
ASV_49	10	10	12	2	108	27	9	0	4	13	11	2	111	23	6	10	0	6	5	18	3	79	33	0	1	10	134	4	0	1	7	6	147	52	0	0	0	1	115	2	1	7	49	13	10	175	1	5	0	4	9	6	483	10	19	0	5	0	0	1	0	0	305	0	0	173	0	16	12	241	4	4	2	2	5	0	0	20	24	21	84	0	0
ASV_28	0	0	0	48	0	0	0	0	0	0	0	890	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	92	0	11	2	210	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ASV_50	2	5	1	34	5	13	259	3	0	4	5	12	8	7	4	5	2	3	6	2	11	6	81	1	0	5	59	2	4	1	64	4	0	0	0	0	0	0	1	0	0	1	6	1	1	75	1	8	0	56	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	50	2	7	1	1	1	0	0	6	1	0	35	13	0
ASV_58	5	20	22	280	276	8	1	11	7	4	77	210	61	9	9	6	0	8	6	67	10	292	15	0	0	11	63	1	24	14	87	10	0	0	0	0	0	0	1	0	0	67	6	98	13	24	0	4	0	45	3	10	2	0	9	4	5	0	0	0	0	1	0	0	1	6	1	0	2	28	7	1	3	7	1	0	0	58	0	6	11	2	2
ASV_81	149	26	1	2	22	2	0	56	23	262	0	2	2	4	1	29	219	60	73	1	0	3	1	213	44	5	10	18	72	24	0	72	7	34	120	146	30	22	27	13	2	4	21	9	4	3	4	27	3	0	23	0	0	4	8	11	25	100	25	39	12	42	0	5	8	0	80	0	4	13	9	73	23	0	328	9	49	12	0	8	66	15	4
ASV_56	5	9	0	15	1	9	9	42	107	10	1	9	2	35	34	19	0	4	4	3	11	4	88	7	140	16	2	74	4	1	0	7	2	0	1	0	1	21	0	0	0	7	3	19	15	2	21	605	0	0	5	0	0	0	0	0	1	0	0	14	36	7	0	7	9	2	0	0	0	8	395	103	0	0	6	6	0	50	0	18	16	306	0
ASV_47	9	0	73	55	137	43	14	0	0	7	51	85	38	37	7	2	30	1	1	291	48	99	64	0	0	12	5	0	0	0	178	0	0	0	0	0	0	0	2	0	0	13	8	22	11	7	0	0	0	40	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	13	6	0	2	0	11	0	2	23	69	51	25	1	0	0
ASV_44	146	10	11	1	13	79	88	1	1	44	10	2	23	66	27	20	0	167	8	4	8	12	15	35	2	21	82	7	0	0	10	0	3	0	0	11	0	5	0	3	42	1	50	12	11	12	1	2	0	2	2	2	1	0	3	2	3	0	0	0	12	0	12	2	0	1	5	4	16	3	0	2	0	5	2	0	0	33	0	106	15	3	0
ASV_71	3	5	0	7	29	2	5	1	1	22	0	1	6	3	3	1	1	0	5	0	24	4	6	7	0	6	32	1	0	0	5	0	450	224	0	0	0	53	87	13	11	2	3	0	20	0	3	0	0	0	1	35	74	2017	148	1381	567	0	37	15	0	0	0	174	0	42	0	0	12	2	1	0	1	0	0	0	0	3	1	13	79	0	0
ASV_73	30	5	109	1	41	580	27	10	3	8	38	2	10	639	44	6	7	32	23	68	10	57	584	0	12	30	4	6	1	937	11	0	0	0	0	0	0	0	2	0	0	0	5	10	55	36	0	7	8	1	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	11	15	4	4	5	5	0	0	0	5	188	11	6	0	0
ASV_94	14	18	1	2	0	2	1	55	143	20	0	4	3	20	2	65	5	32	235	2	9	4	16	18	20	6	3	12	40	199	1	47	0	4	67	32	75	0	4	8	11	33	4	17	6	16	53	23	13	1	3	3	1	2	6	1	2	0	5	6	78	201	0	2	0	45	572	0	8	8	58	27	8	0	1	114	7	30	1	9	24	78	14
ASV_53	1	7	0	2	4	5	0	3	3	4	1	10	6	1	3	170	16	2	9	2	29	1	2	5	3	24	2	0	48	0	0	0	0	8	0	0	0	0	3	0	0	0	2	5	26	3	0	12	1	0	1	5	7	15	10	4	4	0	5	0	37	0	0	1	0	1	0	0	0	6	4	18	1	0	0	0	6	19	0	15	47	3	3
ASV_66	0	12	0	11	0	4	0	8	5	0	0	30	2	1	0	1	0	0	3	0	1	0	0	13	13	0	0	0	8	67	0	1343	190	0	0	0	0	138	0	0	0	0	0	8	0	0	5	0	2	0	11	0	0	0	1	4	13	0	0	0	0	0	0	0	0	0	0	8	0	24	0	0	0	0	7	0	3	3	0	4	0	0	0
ASV_74	19	8	53	20	21	197	30	3	4	13	20	20	19	653	38	12	9	34	3	42	48	49	73	0	2	160	7	17	1	5	4	2	0	0	0	0	0	0	0	1	0	1	24	24	98	9	1	1	0	2	0	5	2	0	0	0	2	0	0	0	41	6	0	0	0	0	0	0	21	13	1	4	0	2	3	0	0	16	35	41	19	1	1
ASV_63	12	20	16	120	124	85	6	16	2	14	153	87	22	29	8	10	10	19	8	86	20	108	25	0	0	9	15	3	5	22	89	4	0	0	2	0	0	0	0	1	2	25	48	39	15	16	0	142	1	30	0	8	2	1	5	2	2	0	0	0	0	0	4	1	0	3	3	0	62	11	16	14	84	3	0	0	0	32	6	16	1	0	0
ASV_90	9	2	3	1	7	11	1	8	56	7	3	0	4	8	15	5	36	28	4	5	2	0	3	65	175	18	1	923	9	10	1	28	1	1	3	165	0	1	3	8	237	0	10	6	10	12	47	39	0	1	23	6	8	0	4	1	1	0	0	0	2	4	24	9	0	0	0	0	14	3	78	23	3	0	1	0	34	6	5	7	346	263	353
ASV_119	80	4	0	0	9	3	0	6	4	3	4	0	2	3	2	4	0	4	4	1	6	1	0	272	8	1	1	40	1	2	51	0	61	23	22	2	2	149	10	10	37	325	5	0	2	1	3	1	1	4	2	4	34	93	12	85	52	0	9	4	282	7	12	5	0	166	0	1	5	1	0	4	0	3	281	0	0	1	0	6	93	23	0
