OTUID	D	H	I
ASV_777	16	9	7
ASV_609	4	14	4
ASV_743	4	12	9
ASV_629	9	13	2
ASV_676	2	14	5
ASV_699	3	13	8
ASV_523	23	7	3
ASV_505	3	14	4
ASV_597	3	12	10
ASV_694	38	3	0
ASV_746	10	11	7
ASV_962	11	11	5
ASV_468	34	4	2
ASV_647	19	8	7
ASV_918	9	8	19
ASV_650	0	16	1
ASV_492	8	8	18
ASV_835	27	5	5
ASV_544	12	9	11
ASV_656	4	14	2
ASV_1085	9	11	4
ASV_552	4	13	4
ASV_540	7	12	4
ASV_441	18	5	16
ASV_709	14	8	10
ASV_771	12	9	7
ASV_582	1	13	8
ASV_823	5	9	17
ASV_638	5	12	7
ASV_840	20	7	5
ASV_807	21	7	3
ASV_710	16	9	4
ASV_1147	6	13	1
ASV_737	23	4	10
ASV_509	1	15	1
ASV_832	22	6	3
ASV_534	31	3	5
ASV_713	3	10	13
ASV_1189	3	13	3
ASV_444	29	4	2
ASV_893	18	8	3
ASV_621	6	9	12
ASV_944	15	6	15
ASV_579	6	8	16
ASV_484	6	11	5
ASV_984	6	12	2
ASV_543	4	11	7
ASV_593	5	10	9
ASV_614	5	11	6
ASV_759	10	10	4
ASV_860	15	8	5
ASV_1160	6	11	2
ASV_628	3	10	14
ASV_563	15	3	22
ASV_785	17	8	0
ASV_641	4	12	3
ASV_682	5	6	25
ASV_1024	9	7	16
ASV_935	19	3	18
ASV_711	23	4	8
ASV_791	4	6	23
ASV_1012	14	8	3
ASV_625	9	5	23
ASV_1181	6	9	9
ASV_677	11	9	5
ASV_493	2	13	2
ASV_897	20	6	5
ASV_1098	13	7	9
ASV_899	1	12	7
ASV_708	31	3	1
ASV_602	16	5	12
ASV_572	3	9	14
ASV_1045	14	5	15
ASV_610	24	4	3
ASV_568	1	13	2
ASV_725	9	9	4
ASV_779	13	8	4
ASV_1114	9	9	5
ASV_686	2	12	3
ASV_1138	12	8	2
ASV_513	31	1	4
ASV_575	10	8	7
ASV_696	3	11	7
ASV_514	6	9	8
ASV_910	1	12	4
ASV_703	4	9	12
ASV_565	0	13	0
ASV_1238	14	7	5
ASV_510	26	2	7
ASV_645	2	11	5
ASV_564	4	9	9
ASV_943	27	3	1
ASV_968	28	2	4
ASV_1017	5	9	6
ASV_1159	2	9	12
ASV_1019	4	11	4
ASV_969	5	9	7
ASV_429	0	0	51
ASV_548	4	11	2
ASV_566	8	6	16
ASV_1091	20	4	5
ASV_674	1	12	1
ASV_607	5	8	11
ASV_712	3	10	7
ASV_487	19	4	7
ASV_695	18	5	5
ASV_613	22	5	0
ASV_874	3	10	6
ASV_673	22	4	4
ASV_1013	18	6	2
ASV_1150	8	8	6
ASV_585	14	6	6
ASV_620	8	10	1
ASV_903	18	6	2
ASV_974	6	9	6
ASV_844	9	7	8
ASV_1184	8	9	4
ASV_576	1	8	14
ASV_925	4	10	4
ASV_1011	4	8	12
ASV_434	34	1	0
ASV_736	6	9	3
ASV_706	8	9	4
ASV_755	9	7	8
ASV_954	11	7	6
ASV_980	3	9	9
ASV_551	8	9	4
ASV_915	24	4	1
ASV_880	2	12	0
ASV_515	0	0	49
ASV_612	4	11	1
ASV_632	3	8	11
ASV_716	9	8	4
ASV_824	10	8	4
ASV_626	16	5	6
ASV_675	23	3	3
ASV_598	5	10	3
ASV_802	16	5	6
ASV_671	13	7	2
ASV_691	13	5	10
ASV_1059	7	8	6
ASV_852	23	4	1
ASV_701	23	3	4
