OTUID	All	E	S
ASV_407	0.118017	0.01588814	0.18684251
ASV_141	0.123465	0.1422453	0.1108091
ASV_127	0.131022	0.1692090	0.1052878
ASV_140	0.138066	0.1702272	0.1163928
ASV_135	0.123113	0.22118294	0.05702159
ASV_147	0.124525	0.1438803	0.1114804
ASV_158	0.127719	0.1502215	0.1125551
ASV_220	0.12035	0.15712685	0.09556516
ASV_197	0.097769	0.03391372	0.14080107
ASV_134	0.108555	0.09869483	0.11520066
ASV_207	0.111107	0.07690333	0.13415697
ASV_101	0.132348	0.1045657	0.1510701
ASV_145	0.099178	0.0345462	0.1427349
ASV_167	0.116366	0.1000260	0.1273783
ASV_149	0.108895	0.14848919	0.08221226
ASV_870	0.119842	0.1001717	0.1330982
ASV_210	0.103023	0.06656771	0.12759049
ASV_157	0.107593	0.13592232	0.08850127
ASV_319	0.095069	0.03486016	0.13564487
ASV_144	0.107168	0.1079729	0.1066255
ASV_121	0.105083	0.13751160	0.08322977
ASV_311	0.104048	0.13944339	0.08019397
ASV_166	0.14288	0.1222412	0.1567883
ASV_177	0.100507	0.11147835	0.09311392
ASV_208	0.09795	0.05658874	0.12582332
ASV_150	0.090722	0.07848196	0.09897132
ASV_133	0.09663	0.12933855	0.07458753
ASV_187	0.098756	0.08114867	0.11062109
ASV_212	0.090003	0.05271893	0.11512978
ASV_235	0.103527	0.11071562	0.09868325
ASV_165	0.085078	0.06748018	0.09693814
ASV_221	0.09331	0.08701439	0.09755267
ASV_151	0.10353	0.0984012	0.1069869
ASV_169	0.104648	0.0784385	0.1223109
ASV_139	0.085297	0.01977949	0.12945086
ASV_193	0.090353	0.07503879	0.10067347
ASV_202	0.089878	0.07959752	0.09680635
ASV_186	0.083743	0.10152558	0.07175973
ASV_163	0.089689	0.12447576	0.06624644
ASV_247	0.091009	0.05541979	0.11499312
ASV_294	0.089039	0.04501668	0.11870677
ASV_182	0.082228	0.04211429	0.10926078
ASV_128	0.101536	0.13585939	0.07840534
ASV_161	0.091529	0.1273325	0.0674006
ASV_278	0.079006	0.02530957	0.11519230
ASV_168	0.088173	0.10510655	0.07676063
ASV_245	0.090463	0.13473576	0.06062742
ASV_131	0.107279	0.1057920	0.1082808
ASV_206	0.089542	0.06982526	0.10282938
ASV_180	0.094482	0.1177486	0.0788015
ASV_156	0.12548	0.003506446	0.207679736
ASV_284	0.093183	0.10437981	0.08563657
ASV_217	0.0777	0.03722641	0.10497513
ASV_181	0.083021	0.08494720	0.08172239
ASV_185	0.07732	0.01725556	0.11779806
ASV_211	0.080893	0.06686560	0.09034667
ASV_225	0.080627	0.04312518	0.10589993
ASV_179	0.087124	0.06307555	0.10333030
ASV_281	0.088685	0.05549825	0.11105003
ASV_230	0.087152	0.14095069	0.05089613
ASV_192	0.085958	0.09266015	0.08144176
ASV_184	0.082443	0.10929887	0.06434463
ASV_132	0.099642	0.05620496	0.12891426
ASV_196	0.093879	0.14268442	0.06098817
ASV_160	0.082243	0.13155021	0.04901377
ASV_229	0.076139	0.06298809	0.08500111
ASV_195	0.083492	0.11918240	0.05943957
ASV_201	0.080281	0.04401305	0.10472166
ASV_153	0.077977	0.08002783	0.07659536
ASV_226	0.068524	0.02726354	0.09632957
ASV_162	0.06939	0.04372480	0.08668591
ASV_231	0.070724	0.12783343	0.03223646
ASV_171	0.08181	0.09400260	0.07359385
ASV_194	0.080429	0.07886232	0.08148516
ASV_183	0.101087	0.04273387	0.14041255
ASV_175	0.076144	0.07431173	0.07737958
ASV_172	0.064389	0.03071414	0.08708221
ASV_301	0.079267	0.04325262	0.10353690
ASV_433	0.066888	0.009751816	0.105392663
ASV_309	0.067858	0.03746042	0.08834386
ASV_173	0.074091	0.09155637	0.06232074
ASV_333	0.069852	0.05939339	0.07690017
ASV_577	0.074938	0.09099551	0.06411697
ASV_342	0.06695	0.03397814	0.08917068
ASV_214	0.070456	0.06985183	0.07086378
ASV_204	0.057946	0.006520861	0.092602806
ASV_223	0.071327	0.07942616	0.06586914
ASV_255	0.067762	0.04083784	0.08590662
ASV_164	0.075539	0.06929147	0.07974861
ASV_282	0.066411	0.04351938	0.08183722
ASV_286	0.063407	0.04757027	0.07407893
ASV_483	0.066155	0.04452758	0.08072981
ASV_190	0.060348	0.11984687	0.02025156
ASV_280	0.06698	0.09902768	0.04538196
ASV_786	0.073743	0.06034202	0.08277330
ASV_246	0.065407	0.05477084	0.07257501
ASV_358	0.06626	0.10410985	0.04075238
ASV_368	0.06342	0.03377903	0.08339492
ASV_178	0.077698	0.04693276	0.09843043
ASV_241	0.066328	0.08000533	0.05711119
ASV_222	0.061698	0.07546146	0.05242242
ASV_361	0.063349	0.05689272	0.06769916
ASV_507	0.067583	0.08468100	0.05605995
ASV_426	0.058505	0.02487687	0.08116758
ASV_251	0.060295	0.02880853	0.08151480
ASV_224	0.059594	0.1151362	0.0221641
ASV_363	0.056984	0.02554045	0.07817400
ASV_205	0.062982	0.07389373	0.05562910
ASV_234	0.059547	0.10144762	0.03130992
ASV_334	0.058058	0.01564558	0.08664086
ASV_262	0.061201	0.04776304	0.07025682
ASV_198	0.063464	0.05567281	0.06871445
ASV_219	0.056414	0.08560828	0.03673966
ASV_216	0.089204	0.20328681	0.01232293
ASV_228	0.062739	0.05690642	0.06666956
ASV_1119	0.054758	0.08015674	0.03764116
ASV_276	0.056235	0.05393234	0.05778652
ASV_269	0.061027	0.07458253	0.05189100
ASV_793	0.056483	0.05661355	0.05639423
ASV_472	0.050744	0.01130686	0.07732043
ASV_303	0.052873	0.01651464	0.07737518
ASV_273	0.057085	0.03866974	0.06949516
ASV_297	0.055698	0.03603998	0.06894503
ASV_488	0.060939	0.07467072	0.05168514
ASV_237	0.072997	0.08759791	0.06315796
ASV_218	0.057008	0.0833289	0.0392700
ASV_299	0.061861	0.08392976	0.04698817
ASV_341	0.053549	0.03530057	0.06584684
ASV_264	0.047837	0.01265580	0.07154538
ASV_350	0.052043	0.03836155	0.06126236
ASV_615	0.052483	0.01029837	0.08091225
ASV_244	0.057085	0.06768819	0.04993921
ASV_256	0.05447	0.07335184	0.04174550
ASV_355	0.050508	0.03196521	0.06300463
ASV_324	0.052193	0.08296115	0.03145716
ASV_265	0.069997	0.03901317	0.09087793
ASV_259	0.05203	0.07336853	0.03764975
ASV_232	0.052783	0.03385468	0.06553986
ASV_215	0.063031	0.09115755	0.04407688
ASV_260	0.054777	0.03749466	0.06642308
ASV_570	0.049164	0.02481107	0.06557594
ASV_456	0.047069	0.02184457	0.06406850
ASV_409	0.048651	0.02566302	0.06414355
ASV_242	0.053579	0.08106201	0.03505746
ASV_252	0.052614	0.05382726	0.05179720
ASV_388	0.047241	0.02492665	0.06227838
ASV_293	0.047679	0.05520355	0.04260855
ASV_238	0.05848	0.02731368	0.07948282
ASV_313	0.047296	0.04504539	0.04881348
ASV_250	0.048577	0.04020654	0.05421736
ASV_345	0.048947	0.01362543	0.07275122
ASV_249	0.05072	0.05191585	0.04991429
ASV_338	0.061034	0.09215826	0.04005919
ASV_292	0.047979	0.05600501	0.04256979
ASV_285	0.052063	0.04787376	0.05488598
ASV_233	0.045949	0.02799783	0.05804706
ASV_556	0.053427	0.07724110	0.03737789
ASV_257	0.048837	0.06429295	0.03842084
ASV_491	0.049494	0.03166229	0.06151051
ASV_270	0.045936	0.04759171	0.04482023
ASV_227	0.054331	0.10030875	0.02334679
ASV_754	0.044339	0.01675431	0.06292835
ASV_307	0.037832	0.00788855	0.05801187
ASV_314	0.04966	0.05914629	0.04326723
ASV_462	0.044699	0.01890471	0.06208294
ASV_320	0.041817	0.02535960	0.05290841
ASV_335	0.043069	0.03554048	0.04814244
ASV_392	0.044752	0.03842309	0.04901730
ASV_258	0.064443	0.02196281	0.09307024
ASV_310	0.044478	0.04363860	0.04504435
ASV_283	0.047676	0.02553459	0.06259785
ASV_1153	0.048275	0.05297961	0.04510393
ASV_528	0.043775	0.01821963	0.06099683
ASV_446	0.044055	0.07544258	0.02290330
ASV_327	0.041205	0.03317952	0.04661329
ASV_343	0.045449	0.01107449	0.06861510
ASV_346	0.051169	0.05002006	0.05194371
ASV_377	0.04679	0.05513923	0.04116406
ASV_521	0.03943	0.01436787	0.05632045
ASV_715	0.03938	0.01141223	0.05822731
ASV_275	0.046688	0.05041129	0.04417931
