OTUID	D	H
ASV_32	0.4614319	0.3405592
ASV_58	0.2397537	0.3623471
ASV_62	0.4124512	0.3181964
ASV_56	0.2821820	0.3595689
ASV_71	0.6654483	0.1836156
ASV_53	0.07317142	0.43191090
ASV_81	0.3480441	0.3023408
ASV_50	0.1014721	0.4062859
ASV_90	0.3805291	0.2872613
ASV_49	0.3223867	0.2822029
ASV_73	0.4445989	0.2943609
ASV_94	0.3249105	0.2661039
ASV_44	0.1551275	0.3572191
ASV_88	0.2889838	0.2843585
ASV_47	0.1951386	0.2836001
ASV_63	0.2111487	0.2891385
ASV_119	0.2814465	0.2521936
ASV_85	0.3346550	0.2208028
ASV_64	0.6862716	0.1112243
ASV_79	0.2596153	0.2701601
ASV_77	0.1947404	0.2821799
ASV_106	0.4336325	0.1563575
ASV_76	0.2682513	0.2501925
ASV_74	0.2412515	0.2928806
ASV_124	0.1964637	0.2720590
ASV_881	0.3118144	0.2797011
ASV_99	0.2741086	0.2028147
ASV_118	0.1183374	0.2440635
ASV_89	0.2190906	0.2179834
ASV_86	0.2106628	0.2519009
ASV_66	0.2334938	0.1755305
ASV_100	0.4206303	0.1432542
ASV_97	0.2262775	0.2263415
ASV_78	0.1868906	0.2303307
ASV_93	0.1405518	0.2639270
ASV_117	0.3354442	0.1673088
ASV_104	0.2638357	0.2034670
ASV_75	0.2143595	0.2428516
ASV_83	0.1392887	0.2735562
ASV_84	0.1397347	0.2514521
ASV_174	0.3673557	0.1624738
ASV_137	0.08488534	0.23939118
ASV_80	0.66715114	0.01470652
ASV_107	0.56676670	0.05245652
ASV_126	0.3328852	0.1463082
ASV_70	0.1273289	0.2235190
ASV_114	0.3363046	0.1124581
ASV_105	0.36069574	0.09794247
ASV_109	0.1310098	0.2096229
ASV_111	0.1164135	0.1943454
ASV_96	0.02610589	0.24848375
ASV_95	0.07881015	0.23500068
ASV_110	0.2797015	0.1389205
ASV_189	0.2322647	0.1583536
ASV_159	0.2048993	0.1664554
ASV_61	0.09075989	0.24273068
ASV_122	0.1922287	0.1891045
ASV_120	0.1624942	0.1949461
ASV_199	0.2490436	0.1195741
ASV_129	0.2051720	0.1586132
ASV_130	0.1332781	0.1886609
ASV_112	0.2277880	0.1417658
ASV_148	0.06047123	0.19744820
ASV_209	0.1759961	0.1574503
ASV_91	0.2287702	0.1266081
ASV_103	0.1670814	0.1501561
ASV_136	0.3156207	0.0877162
ASV_116	0.09679567	0.20524373
ASV_176	0.3655714	0.0744455
ASV_200	0.1200522	0.1766209
ASV_152	0.1816239	0.1451037
ASV_154	0.2273891	0.1180035
ASV_92	0.01982804	0.18564391
ASV_188	0.178525	0.131961
ASV_203	0.28289929	0.08399802
ASV_125	0.1932116	0.1271176
ASV_82	0.09597684	0.17476075
ASV_407	0.33973753	0.06628428
ASV_142	0.06576621	0.20046312
ASV_115	0.1190999	0.1532242
ASV_146	0.1064346	0.1476536
ASV_123	0.25909522	0.09542416
ASV_158	0.1153157	0.1623789
ASV_197	0.20326436	0.08178567
ASV_143	0.07876116	0.16087069
ASV_98	0.25292834	0.07633488
ASV_145	0.01116927	0.14813188
ASV_127	0.1045443	0.1435849
ASV_141	0.09334149	0.12970637
ASV_319	0.1057203	0.1099306
ASV_134	0.1476092	0.1029665
ASV_210	0.1345153	0.1069599
ASV_220	0.1272409	0.1119630
ASV_149	0.08047831	0.12392195
ASV_157	0.1130553	0.1133388
ASV_147	0.08243588	0.12468700
ASV_208	0.14045179	0.09338139
ASV_139	0.21265053	0.05245498
ASV_247	0.09205031	0.10626386
ASV_294	0.10450160	0.09817775
ASV_133	0.06580056	0.11288961
ASV_187	0.14327000	0.09003296
ASV_166	0.09678147	0.15942572
ASV_207	0.12801100	0.09366444
ASV_135	0.05659226	0.12214896
ASV_163	0.06168923	0.10946370
ASV_167	0.02561095	0.14081457
ASV_151	0.06512321	0.12478649
ASV_144	0.0477249	0.1233603
ASV_121	0.05766437	0.11906826
ASV_185	0.11524914	0.07827707
ASV_212	0.06479348	0.10149434
ASV_225	0.05751958	0.10395486
ASV_281	0.03008009	0.12954065
ASV_168	0.08983176	0.09597153
ASV_156	0.02907872	0.17493928
ASV_140	0.1266262	0.1182055
ASV_206	0.07441421	0.10467102
ASV_108	0.06861717	0.11115099
ASV_150	0.16156699	0.06046553
ASV_870	0.1087085	0.1081904
ASV_278	0.16912468	0.05348109
ASV_177	0.0332053	0.1126653
ASV_311	0.06090402	0.10700573
ASV_235	0.0808366	0.1005818
ASV_193	0.2023126	0.0435128
ASV_132	0.05420775	0.13124622
ASV_186	0.10987560	0.07209749
ASV_201	0.04036383	0.10782222
ASV_171	0.04232694	0.11393906
ASV_196	0.0352979	0.1297688
ASV_217	0.08699787	0.07947524
ASV_180	0.0590874	0.1056433
ASV_230	0.04048473	0.10868890
ASV_226	0.21311442	0.02790419
ASV_194	0.1767069	0.0594655
ASV_433	0.12395122	0.06002294
ASV_101	0.003039069	0.151110755
ASV_221	0.10138281	0.07513731
ASV_184	0.07858770	0.08773524
ASV_229	0.19040145	0.04079873
ASV_211	0.10923196	0.07159655
ASV_284	0.06771929	0.09266491
ASV_153	0.09582959	0.07791831
ASV_333	0.06254770	0.08374578
ASV_162	0.05489780	0.07986804
ASV_175	0.04053255	0.09326888
ASV_255	0.05418072	0.08547768
ASV_179	0.14277157	0.06066959
ASV_173	0.02135564	0.09922879
ASV_160	0.07994746	0.08298821
ASV_309	0.08265894	0.06900456
ASV_342	0.18202067	0.03368093
ASV_172	0.19864885	0.01917262
ASV_202	0.06463569	0.08293439
ASV_214	0.08277542	0.07254508
ASV_231	0.11834151	0.05316218
ASV_223	0.05176127	0.08496811
ASV_286	0.11398367	0.05302051
ASV_128	0.007005339	0.090349197
ASV_182	0.09921339	0.05554846
ASV_363	0.13741095	0.04098454
ASV_195	0.04102449	0.08591298
ASV_161	0.02195494	0.08943935
ASV_282	0.10545206	0.05543495
ASV_483	0.06065035	0.07382510
ASV_280	0.06634994	0.07265999
ASV_426	0.15430718	0.03332397
ASV_334	0.17355939	0.02512295
ASV_224	0.01173378	0.08353271
ASV_246	0.05579284	0.07258586
ASV_368	0.10088553	0.05427797
ASV_164	0.08442841	0.07448626
ASV_181	0.11619120	0.05182519
ASV_1119	0.13867637	0.03440397
ASV_358	0.14924837	0.04112391
ASV_303	0.13623420	0.03320117
ASV_577	0.04066285	0.07628710
ASV_361	0.05711141	0.06713148
ASV_228	0.06098627	0.07049610
ASV_262	0.07365559	0.06157608
ASV_204	0.195895507	0.007030744
ASV_198	0.08986372	0.05904586
ASV_793	0.08188640	0.05393772
ASV_615	0.08405553	0.05386439
ASV_183	0.04754047	0.08932566
ASV_472	0.10288152	0.03986157
ASV_131	0.06110883	0.08992124
ASV_264	0.16090633	0.01861861
ASV_355	0.0179388	0.0737989
ASV_241	0.06419597	0.06606792
ASV_786	0.06317435	0.07210867
ASV_222	0.08069151	0.05309584
ASV_192	0.04254617	0.07136902
ASV_301	0.01189404	0.08118323
ASV_237	0.01082684	0.10314659
ASV_251	0.02755965	0.07024503
ASV_350	0.07469881	0.05255177
ASV_276	0.09016395	0.04532189
ASV_169	0.04088967	0.07239762
ASV_570	0.08621993	0.04545372
ASV_245	0.06552251	0.06752266
ASV_216	0.003133293	0.122227828
ASV_507	0.05818737	0.06481547
ASV_178	0.05417118	0.07872825
ASV_218	0.06281005	0.05794311
ASV_260	0.003486734	0.081073386
ASV_215	0.05603456	0.07534977
ASV_341	0.04964700	0.05929676
ASV_313	0.05967299	0.05222984
ASV_456	0.13013020	0.02486896
ASV_256	0.06958788	0.05188389
ASV_273	0.1376487	0.0282648
ASV_205	0.02650016	0.06714330
ASV_269	0.04744922	0.06010135
ASV_232	0.07390352	0.04841413
ASV_165	0.03313845	0.06562025
ASV_409	0.09487345	0.03579067
ASV_259	0.05439776	0.05225693
ASV_233	0.1207005	0.0276252
ASV_244	0.04788329	0.05886966
ASV_297	0.08735421	0.03848608
ASV_292	0.03274539	0.05912026
ASV_754	0.08235806	0.03836693
ASV_392	0.05301165	0.05098184
ASV_270	0.10745837	0.03055012
ASV_388	0.04606429	0.05019966
ASV_258	0.03134343	0.08799007
ASV_307	0.135162789	0.009520932
ASV_250	0.05321706	0.05087615
ASV_556	0.03688149	0.06589947
ASV_335	0.05843364	0.04289304
ASV_715	0.13862289	0.01278101
ASV_320	0.10100065	0.02618598
ASV_324	0.03263212	0.05579842
ASV_338	0.03428180	0.07165364
ASV_249	0.05172783	0.05125271
ASV_462	0.06665377	0.04112712
ASV_528	0.06632302	0.04223624
ASV_327	0.06576164	0.03901034
ASV_299	0.03960881	0.06002258
ASV_248	0.03120056	0.08296934
ASV_630	0.07057327	0.03698910
ASV_308	0.0003673206	0.0937817673
ASV_343	0.03917705	0.05406450
ASV_521	0.10525801	0.02243189
ASV_219	0.01540706	0.06054329
ASV_346	0.03165724	0.06428266
ASV_234	0.06062759	0.04558323
ASV_488	0.03627530	0.05576248
ASV_377	0.07275697	0.04552407
ASV_285	0.06053677	0.04850249
ASV_446	0.01895910	0.05457299
ASV_243	0.0398110	0.0533354
ASV_423	0.01556837	0.06213328
ASV_491	0.06741218	0.04241846
ASV_314	0.04242072	0.05176770
ASV_396	0.05948530	0.04408147
ASV_227	0.02706074	0.06405743
ASV_238	0.07779891	0.04271647
ASV_347	0.06211692	0.03731135
ASV_352	0.07508498	0.02865811
ASV_302	0.06079885	0.04159933
ASV_460	0.10022826	0.01897562
ASV_373	0.134388910	0.007546614
ASV_265	0.07069435	0.05902966
ASV_254	0.03817941	0.04858464
ASV_466	0.06807113	0.03438439
ASV_289	0.05715896	0.03726159
ASV_275	0.03517893	0.05176612
ASV_239	0.12569518	0.00426051
ASV_481	0.08985621	0.02446947
ASV_310	0.06983254	0.03437272
ASV_449	0.03217392	0.05012501
ASV_496	0.06746238	0.03109689
ASV_339	0.02870989	0.04434264
ASV_236	0.01742629	0.05251418
ASV_662	0.08383645	0.02834255
ASV_290	0.12547567	0.01412783
ASV_783	0.02632080	0.04668959
ASV_300	0.01724829	0.04125848
ASV_279	0.01133719	0.04575403
ASV_644	0.07708768	0.02592911
ASV_252	0.01874535	0.05513826
ASV_578	0.06449298	0.02989336
ASV_498	0.07768525	0.02676961
ASV_305	0.02499673	0.05643372
ASV_326	0.05041697	0.03751514
ASV_329	0.02107053	0.04970900
ASV_428	0.009582129	0.052850579
ASV_375	0.03780731	0.04758087
ASV_1237	0.09723888	0.01686997
ASV_283	0.06636176	0.03273598
ASV_277	0.02863276	0.04796480
ASV_345	0.03360863	0.04289093
ASV_340	0.04638459	0.03740995
ASV_533	0.07518757	0.02291301
ASV_268	0.01986893	0.04621643
ASV_1153	0.03286274	0.04608934
ASV_322	1.346035e-01	8.831558e-05
ASV_253	0.0009470072	0.0704711071
ASV_436	0.02925078	0.04428481
ASV_328	0.001610974	0.061454777
ASV_267	0.05384150	0.04449504
ASV_371	0.07614703	0.02088652
ASV_422	0.07604069	0.02229182
ASV_376	0.009226876	0.042832229
ASV_801	0.04664129	0.03189292
ASV_337	0.01141132	0.04718918
ASV_400	0.03517053	0.03959763
ASV_414	0.01533248	0.04769381
ASV_315	0.11746894	0.01354386
ASV_389	0.06351139	0.02427931
ASV_293	0.007581864	0.052841824
ASV_402	0.05411169	0.03658538
ASV_474	0.05376784	0.03269611
ASV_359	0.04067653	0.03448804
ASV_506	0.07219370	0.02368455
ASV_601	0.07454148	0.02358670
ASV_390	0.03117153	0.05321848
ASV_1133	0.06266001	0.02867398
ASV_190	0.01039033	0.04827403
ASV_520	0.10322113	0.01588342
ASV_257	0.04110759	0.03974432
ASV_242	0.02239435	0.04867044
ASV_432	0.05010356	0.03599327
ASV_405	0.01937317	0.04567599
ASV_412	0.03098742	0.03573457
ASV_360	0.04758005	0.03208240
ASV_438	0.04889714	0.03575096
ASV_372	0.006939862	0.056711744
ASV_365	0.04949138	0.02958623
ASV_331	0.03897348	0.03428455
ASV_1126	0.07582393	0.01762636
ASV_394	0.04455278	0.02963608
ASV_475	0.04470836	0.03197240
ASV_470	0.04017093	0.03307685
ASV_891	0.04447434	0.04079562
ASV_304	0.04558329	0.03502408
ASV_1044	0.03034288	0.03878329
ASV_348	0.04912033	0.02865768
ASV_886	0.03046255	0.03234860
ASV_590	0.03517283	0.03288080
ASV_317	0.02083025	0.03447503
ASV_391	0.004463672	0.053488523
ASV_1219	0.04147369	0.02947175
ASV_399	0.03315695	0.03752819
ASV_323	0.04103779	0.04032656
ASV_387	0.02280291	0.04043385
ASV_385	0.03382002	0.03392722
ASV_1023	0.05282013	0.02486167
ASV_761	0.05618827	0.02365422
ASV_398	0.04048880	0.03051972
ASV_567	0.01535533	0.03284827
ASV_437	0.05314913	0.02393694
ASV_471	0.0632973	0.0264573
ASV_529	0.04910857	0.02657835
ASV_524	0.02597064	0.04297241
ASV_306	0.02766557	0.03247938
ASV_439	0.02602696	0.03307718
ASV_403	0.04754862	0.02479036
ASV_330	0.009535608	0.039060407
ASV_485	0.01519666	0.03713066
ASV_685	0.07300038	0.01694397
ASV_1066	0.04793963	0.02509379
ASV_395	0.07160310	0.01525931
ASV_495	0.05240798	0.02212855
ASV_452	0.04787339	0.02885673
ASV_312	0.06383075	0.01303686
ASV_295	0.084364096	0.002911553
ASV_589	0.007731547	0.035482704
ASV_418	0.02372677	0.03583466
ASV_266	0.07896061	0.00418039
ASV_351	0.05792833	0.01587082
ASV_325	0.03661119	0.02738910
ASV_296	0.01765466	0.03056976
ASV_366	0.004850043	0.033985081
ASV_353	0.02279636	0.03216373
ASV_945	0.03539226	0.02782785
ASV_546	0.02864550	0.03197478
ASV_482	0.03408098	0.02811433
ASV_545	0.01669253	0.03118118
ASV_356	0.03188789	0.03168155
ASV_885	0.02574458	0.03918970
ASV_288	0.006082938	0.038812605
ASV_1199	0.02506133	0.03783723
ASV_336	0.01473396	0.02716626
ASV_930	0.04885164	0.01920884
ASV_604	0.05303215	0.01824352
ASV_996	0.05385683	0.01642056
ASV_1182	0.03453363	0.02377711
ASV_594	0.02582295	0.02457362
ASV_1208	0.05011360	0.01702799
ASV_357	0.04262905	0.02289078
ASV_316	0.04827333	0.02636556
ASV_440	0.008592951	0.031750228
ASV_463	0.02799436	0.03330881
ASV_291	0.03967914	0.02428659
ASV_734	0.05918160	0.01511174
ASV_550	0.02449088	0.03099765
ASV_519	0.04359529	0.02144766
ASV_408	0.02663513	0.02989759
ASV_349	0.05879111	0.01117512
ASV_344	0.004534482	0.032818184
ASV_635	0.05167659	0.01884432
ASV_369	0.004235417	0.028421737
ASV_397	0.00823721	0.03684823
ASV_384	0.01047175	0.04515699
ASV_494	0.02951244	0.02403581
ASV_1084	0.01118064	0.02815822
ASV_637	0.04515932	0.01627185
ASV_410	0.02297508	0.03156219
ASV_401	0.004668704	0.040127782
ASV_378	0.02620451	0.02918104
ASV_415	0.007930695	0.030676552
ASV_729	0.02868185	0.02410362
ASV_416	0.004554076	0.035341533
ASV_616	0.04505880	0.01923931
ASV_512	0.04093778	0.01833644
ASV_406	0.06176141	0.01889250
ASV_833	0.02057689	0.02668926
ASV_684	0.06180481	0.01100910
ASV_688	0.02396388	0.02401345
ASV_587	0.04621902	0.01594536
ASV_653	0.01704144	0.02920784
ASV_458	0.02817924	0.02684054
ASV_469	0.01246227	0.02850543
ASV_442	0.0818335431	0.0002650305
ASV_559	0.02252883	0.02307471
ASV_379	0.062041718	0.006577062
ASV_584	0.02441098	0.02654510
ASV_404	0.01954033	0.02923772
ASV_522	0.04329478	0.01925901
ASV_651	0.01601134	0.03002579
ASV_427	0.01933354	0.02921133
ASV_411	0.008147844	0.030620380
ASV_583	0.02141671	0.02769881
ASV_374	0.02055117	0.03057013
ASV_571	0.03454710	0.01800016
ASV_457	0.03219762	0.02289954
ASV_772	0.05608298	0.01086251
ASV_490	0.01526213	0.02365518
ASV_934	0.02848301	0.02342578
ASV_657	0.01540078	0.02654389
ASV_639	0.005750713	0.034277840
ASV_1000	0.01516030	0.02890921
ASV_1072	0.03336674	0.02815038
ASV_979	0.02971309	0.01931430
ASV_592	0.01096582	0.03077934
ASV_530	0.01129995	0.02587806
ASV_668	0.03041762	0.02075439
ASV_465	0.01424691	0.02677605
ASV_730	0.02304520	0.02460408
ASV_707	0.04724096	0.01704485
ASV_842	0.060287122	0.007584033
ASV_503	0.02013206	0.02578188
ASV_467	0.01109250	0.02601897
ASV_501	0.004467334	0.028237461
ASV_595	0.062242191	0.005396118
ASV_557	0.04006417	0.01601507
ASV_382	0.03449565	0.01646849
ASV_693	0.02778596	0.01955752
ASV_287	0.002757859	0.023727070
ASV_526	0.01485438	0.02465630
ASV_421	0.02850497	0.02364049
ASV_561	0.01473702	0.02283460
ASV_744	0.02722859	0.02427739
ASV_894	0.02103510	0.02300247
ASV_518	0.01312645	0.03461853
ASV_1224	0.01625018	0.02396181
ASV_419	0.02839937	0.01950169
ASV_354	0.0616619978	0.0009874353
ASV_455	0.03084097	0.02191630
ASV_362	0.004645845	0.030166985
ASV_454	0.03041379	0.01984705
ASV_950	0.004691721	0.030626423
ASV_511	0.005226789	0.043196326
ASV_549	0.00857452	0.02898489
ASV_989	0.01493636	0.02687543
ASV_459	0.009163573	0.030532452
ASV_976	0.03312260	0.01733289
ASV_420	0.03371786	0.02058535
ASV_272	0.009668381	0.027834195
ASV_489	0.04094357	0.01508305
ASV_499	0.007145121	0.021634508
ASV_502	0.01863244	0.02599285
ASV_922	0.053817925	0.009779002
ASV_624	0.02519990	0.01975124
ASV_453	0.01173044	0.02916899
ASV_756	0.02980660	0.02010759
ASV_1118	0.01808157	0.02433619
ASV_535	0.04128753	0.01336718
ASV_500	0.004603666	0.024951064
ASV_937	0.01712475	0.02325877
ASV_702	0.03878489	0.01177374
ASV_464	0.01007861	0.02369644
ASV_751	0.02164082	0.02208198
ASV_536	0.004392606	0.026232461
ASV_1140	0.03319422	0.01344250
ASV_753	0.046752851	0.008157214
ASV_486	0.02838981	0.01725374
ASV_652	0.02726807	0.01909937
ASV_531	0.003847965	0.026122699
ASV_393	0.008283915	0.041216097
ASV_636	0.03636808	0.01345057
ASV_448	0.01506050	0.02423028
ASV_1216	0.03834129	0.01168036
ASV_767	0.01104396	0.02809209
ASV_581	0.003839154	0.023809147
ASV_739	0.02649138	0.01627566
ASV_655	0.02324661	0.01840898
ASV_477	0.01187958	0.02281588
ASV_1090	0.02693701	0.01517296
ASV_721	0.01665781	0.02077387
ASV_425	0.03166332	0.01406040
ASV_461	0.049147773	0.003645508
ASV_532	0.02819377	0.01554517
ASV_948	0.02342933	0.01815485
ASV_664	0.02293513	0.02301082
ASV_527	0.01388177	0.02096199
ASV_670	0.006584944	0.023434900
ASV_447	0.01049205	0.02016453
ASV_619	0.01288585	0.02533847
ASV_694	0.050332490	0.005420091
ASV_608	0.04323410	0.01024559
ASV_417	5.521172e-05	3.797891e-02
ASV_830	0.048887640	0.005934884
ASV_504	0.02370197	0.01888121
ASV_370	0.02919793	0.01598833
ASV_904	0.04445262	0.01096082
ASV_629	0.01510253	0.02175289
ASV_650	3.305629e-05	2.397535e-02
ASV_596	0.01440859	0.02102886
ASV_623	0.005559923	0.021594641
ASV_847	0.02469519	0.01729288
ASV_443	0.006132581	0.025312496
ASV_478	0.02482064	0.01626616
ASV_450	0.02002067	0.01805356
ASV_1165	0.03526279	0.01254159
ASV_516	0.05120115	0.00500229
ASV_468	0.042720740	0.006114101
ASV_523	0.03380303	0.01322084
ASV_663	0.02823622	0.01449056
ASV_508	0.01378757	0.02076480
ASV_497	0.01874702	0.01746121
ASV_580	0.008504692	0.023848259
ASV_656	0.005840139	0.023500843
ASV_609	0.007377094	0.026434564
ASV_831	0.039636597	0.008080512
ASV_749	0.01373390	0.01919123
ASV_505	0.005461536	0.024276845
ASV_1079	0.02107776	0.01657219
ASV_555	0.01692172	0.01752783
ASV_676	0.003828677	0.020721458
ASV_717	0.02773897	0.01512041
ASV_509	0.002255135	0.022654272
ASV_1147	0.01366269	0.02969306
ASV_473	0.01480747	0.02013559
ASV_1085	0.01325055	0.02126618
ASV_381	0.02143464	0.01992436
ASV_962	0.01673262	0.01824756
ASV_588	0.02499950	0.01595154
ASV_552	0.006006206	0.018157069
ASV_777	0.02324320	0.01441887
ASV_807	0.03016836	0.01112111
ASV_591	0.006448753	0.024552173
ASV_835	0.03699434	0.01018419
ASV_540	0.01094096	0.01814810
ASV_724	0.02592315	0.01250362
ASV_627	0.02482716	0.01417500
ASV_298	0.001838133	0.022031213
ASV_832	0.03151266	0.01184765
ASV_746	0.01532717	0.01806542
ASV_537	0.01437158	0.01989034
ASV_647	0.02738735	0.01289631
ASV_710	0.02371363	0.01455643
ASV_444	0.036439684	0.006600756
ASV_699	0.00591202	0.01940768
ASV_386	0.001160845	0.032561908
ASV_785	0.02222489	0.01227915
ASV_840	0.02945735	0.01139815
ASV_984	0.01027528	0.01744119
ASV_1189	0.004478739	0.020219439
ASV_683	0.02421742	0.01440409
ASV_743	0.007344031	0.020732304
ASV_723	0.02362313	0.01359770
ASV_893	0.02353701	0.01204373
ASV_542	0.02793400	0.01260958
ASV_479	0.02293835	0.01065761
ASV_534	0.035970158	0.005165571
ASV_1160	0.009617478	0.016744046
ASV_574	0.008721664	0.019330569
ASV_638	0.007165594	0.017740231
ASV_771	0.01763263	0.01626359
ASV_597	0.005809459	0.023519262
ASV_763	0.02325420	0.01690437
ASV_582	0.002507606	0.024099676
ASV_708	0.042427361	0.004761606
ASV_759	0.01511424	0.01579729
ASV_430	0.005555745	0.022469741
ASV_641	0.007573581	0.018186232
ASV_493	0.003967947	0.020787243
ASV_821	0.02094208	0.01151020
ASV_484	0.009991134	0.019383377
ASV_565	0.0008049841	0.0180825653
ASV_860	0.02097676	0.01308371
ASV_769	0.01020368	0.02041582
ASV_1012	0.02007422	0.01371041
ASV_568	0.002588695	0.029490044
ASV_544	0.02289164	0.01608436
ASV_610	0.034500921	0.007933339
ASV_659	0.01909400	0.01367297
ASV_613	0.02888179	0.00976300
ASV_709	0.02158655	0.01415630
ASV_1138	0.01786577	0.01503856
ASV_943	0.035063690	0.005385838
ASV_614	0.007132765	0.017880619
ASV_434	0.038396656	0.001791315
ASV_543	0.008145917	0.019332313
ASV_686	0.003889022	0.020086292
ASV_897	0.02810653	0.00975917
ASV_677	0.01670184	0.01369144
ASV_674	0.002726805	0.017680664
ASV_779	0.01918388	0.01262209
ASV_880	0.004089172	0.018105621
ASV_737	0.03749561	0.00746366
ASV_725	0.01311875	0.01615466
ASV_620	0.01515933	0.02172008
ASV_548	0.005899693	0.018125785
ASV_513	0.043767653	0.003153426
ASV_1013	0.024876401	0.009427726
ASV_612	0.005405205	0.013975829
ASV_1114	0.01289995	0.01668216
ASV_910	0.001496577	0.022054088
ASV_903	0.026255479	0.009913425
ASV_915	0.037008122	0.005285246
ASV_593	0.008017326	0.015652221
ASV_968	0.041356615	0.004229293
ASV_1019	0.006480115	0.022206337
ASV_899	0.002636088	0.024664376
ASV_698	0.009546095	0.018636867
ASV_1238	0.02004135	0.01195097
ASV_1082	0.01140628	0.01574401
ASV_711	0.032358610	0.007420903
ASV_645	0.003623773	0.025199599
ASV_736	0.01034281	0.01481157
ASV_661	0.0006920909	0.0181872138
ASV_431	0.02256343	0.01402467
ASV_673	0.048296339	0.007038439
ASV_451	0.01124947	0.01707786
ASV_852	0.032148349	0.005769559
ASV_1091	0.029306192	0.007465754
ASV_925	0.007471846	0.014773011
ASV_480	0.04296346	0.00928531
ASV_671	0.01829872	0.01123538
ASV_695	0.04540432	0.01063183
ASV_575	0.01686573	0.01403629
ASV_696	0.005817652	0.021827216
ASV_435	3.942139e-02	8.873832e-06
ASV_706	0.01239037	0.01496530
ASV_1184	0.01159619	0.01377017
ASV_621	0.008940002	0.019653364
ASV_675	0.028810793	0.005047833
ASV_1181	0.01054651	0.01467085
ASV_1098	0.02009798	0.01137164
ASV_525	0.01817945	0.01251481
ASV_1017	0.008397145	0.019563144
ASV_713	0.005788432	0.018166874
ASV_824	0.01422436	0.01622223
ASV_1150	0.01379007	0.01397822
ASV_551	0.01192816	0.01368306
ASV_441	0.04043137	0.01011219
ASV_874	0.004813516	0.016336521
ASV_514	0.009167326	0.015918765
ASV_716	0.01381362	0.01323616
ASV_598	0.008462422	0.017384272
ASV_733	0.00061632	0.02044632
ASV_510	0.044774877	0.004338103
ASV_1049	0.01461010	0.01083952
ASV_558	0.01421850	0.01408602
ASV_492	0.01201667	0.01408468
ASV_969	0.00805748	0.01519652
ASV_585	0.01925433	0.01272910
ASV_863	0.006397856	0.020206768
ASV_720	0.031072142	0.006565718
ASV_1100	0.035257615	0.005012763
ASV_727	0.01184421	0.01872807
ASV_974	0.008877673	0.014134998
ASV_712	0.004361502	0.015392111
ASV_1209	0.01587796	0.01501858
ASV_823	0.009743778	0.015401340
ASV_487	0.031898493	0.007445612
ASV_1231	0.004812541	0.014816406
ASV_701	0.027922464	0.004793518
ASV_918	0.01442634	0.01335654
ASV_954	0.01676177	0.01257769
ASV_564	0.007372404	0.016562023
ASV_678	0.01408704	0.01048804
ASV_626	0.021035781	0.009949428
ASV_750	0.004466286	0.013346363
ASV_944	0.021301942	0.008963958
ASV_781	0.002366552	0.018110344
ASV_728	0.004423975	0.015937530
ASV_802	0.023713463	0.008051008
ASV_755	0.01383802	0.01205312
ASV_1059	0.01069862	0.01369077
ASV_628	0.005403496	0.017140176
ASV_844	0.01309426	0.01280095
ASV_1141	0.030158826	0.004458258
ASV_602	0.025334913	0.008545055
ASV_579	0.01264629	0.01565110
ASV_1095	0.005689043	0.017843615
ASV_622	0.005158474	0.015063991
ASV_1225	0.01900961	0.00987898
ASV_1198	0.02117125	0.00749333
ASV_757	0.01397157	0.01370221
