OTUID	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost
ASV_81	0.4754831	0.3248119	0.6579558	0.3645937	0.1787512	0.4034144	0.37563	0.2769424	0.3408139	0.2526483	0.2214427	0.3800355	0.148776	0.2201683	0.2786464	0.1239846	0.8987008	0.325379
ASV_56	0.33993744	0.20042333	0.13499495	0.07613895	0.2826769	0.61159156	0.17308768	0.54023753	0.10043849	0.38920973	0.37671298	0.50895075	0.12608856	0.08147844	0.10083327	0.06212766	0.47998415	0.23426613
ASV_47	0.61281092	0.35949743	0.30344144	0.15006152	0.03397014	0.14644913	0.26602643	0.29135284	0.68297695	0.25823347	0.07718675	0.18952695	1.08692474	1.31886716	0.47378179	0.27429147	0.25368238	0.11704477
ASV_44	0.30146136	0.4019227	0.27147914	0.09798809	0.05436172	0.10637024	0.52258499	0.50837963	0.39558533	0.21928085	0.17316566	0.40551907	0.31155472	0.48022065	0.17807575	1.45052048	0.32106552	0.16821523
ASV_71	0.06003683	0.04506756	0.06168296	0.51152249	1.69987716	0.06401039	0.1763347	0.06624752	0.28351052	0.35435211	0.10640442	0.08429908	0.1118008	0.16666754	0.03656237	0.2016739	0.05911905	0.52179829
ASV_73	0.95390668	0.89195694	0.91098134	0.59264227	0.04758664	0.17618831	0.19573095	0.39824206	0.4106783	0.17000082	0.36630088	0.25258202	0.48928663	0.41866906	1.23520861	0.13868143	0.21461716	0.16743502
ASV_94	0.430982	0.2652901	0.1524777	0.3152973	0.4190049	0.2438734	0.3317227	0.173421	0.1761461	0.352522	0.1818923	0.3614467	0.247201	0.2622151	0.7841043	0.2275778	0.2154519	0.459382
ASV_53	0.05739019	0.02702066	0.27028856	0.043315	0.05283312	0.07323974	0.09894982	0.09138478	1.62972338	0.31109419	0.08289278	0.50802073	0.0958115	0.05192241	0.23112702	0.06340123	0.10659155	0.10510303
ASV_66	0.02949588	0.04650604	0.04010569	1.02977129	0.01925156	0.02653111	0.17600309	0.06545479	0.05431562	0.05462838	0.33058921	0.37684369	0.6559174	3.01534372	0.18163625	0.04120399	0.05396107	0.10259384
ASV_74	0.33950879	0.40550082	0.97144863	0.11623247	0.09071901	0.10347067	0.22570668	0.33652068	0.45692943	0.19178667	0.25365054	0.3297661	0.79247956	0.7274029	0.5639454	0.18260423	0.19569893	0.24255102
ASV_63	0.31709795	0.42403609	0.44910138	0.09386345	0.13322364	0.16799548	0.29744303	0.34465545	0.38603281	0.23708469	0.30084519	0.19615072	0.18648447	0.42916888	0.61971692	0.22329844	0.27795877	0.24958861
ASV_90	0.35094679	0.09401568	0.10338026	0.79432933	0.07889971	0.76987802	0.17485654	0.24268246	0.21069187	0.41173087	0.23721118	0.38742369	0.11438483	0.08599475	0.08381826	0.15788708	0.18152516	0.17845986
ASV_119	0.41211269	0.10141315	0.03369181	0.42378847	0.28983862	0.2760464	0.48233293	0.0504799	0.06419366	0.61004244	0.19305389	0.03828484	0.20542863	0.08821539	0.04483831	0.16591614	0.64333208	0.14141977
ASV_881	0.30453209	0.38096753	0.32306475	0.57723758	0.25725834	0.06195732	0.14015952	0.22354243	0.35463852	0.23014244	0.2352831	0.49259463	0.45305106	0.30239828	0.31551578	0.5158456	0.75283675	0.41472792
ASV_86	0.02677457	0.07505576	0.11303698	0.42961096	0.0879846	0.40666875	0.14987463	0.62613484	0.1666186	0.2953797	0.09763239	0.15344965	0.21173208	0.06914177	0.06068481	0.9227615	0.35705313	0.10421971
ASV_88	0.41953928	0.12534006	0.04518898	0.48500684	0.13525794	0.4918632	0.2837086	0.30483103	0.12575672	0.31516124	0.25641831	0.39454455	0.53515636	0.04272082	0.04039794	0.05385318	0.23088819	0.07267192
ASV_79	0.2643582	0.3301546	0.1920012	0.2743962	0.1486112	0.4264786	0.3047229	0.3766177	0.3882192	0.1642335	0.2456283	0.1927146	0.2436741	0.539928	0.2073754	0.2226559	0.2380361	0.1885716
ASV_77	0.29315382	0.41734461	0.40903638	0.08392674	0.09971012	0.18470733	0.35339432	0.22400814	0.41477079	0.21627276	0.23606816	0.29492952	0.27716736	0.38044852	0.63364997	0.18307549	0.1240957	0.12059171
ASV_124	0.09294156	0.06181177	0.17521609	0.23642403	0.21022969	0.27464953	0.08644162	0.32367457	0.23131554	0.31967666	0.14092747	0.48868483	0.16510641	0.14712613	0.2675245	0.36476854	0.18140106	0.11103321
ASV_99	0.0737352	0.04730397	0.10640407	0.59644859	0.18811107	0.39024308	0.24223709	0.10131007	0.057173	0.28032249	0.15209735	0.35306337	1.00941553	0.07250361	0.09131046	0.07879789	0.46789603	0.0930188
ASV_85	0.14567836	0.16729015	0.15287938	0.13096676	0.55304464	0.48511329	0.17228996	0.56120803	0.21558898	0.12681276	0.13699434	0.13897939	0.09694803	0.21606144	0.2100967	0.10288788	0.10084604	0.16022105
ASV_75	0.1485152	0.1353833	0.4746316	0.0741971	0.2672599	0.225207	0.3287885	0.3462392	0.2423353	0.1229593	0.307275	0.1538233	0.4534965	0.2102791	0.2686611	0.335318	0.5429196	0.2098827
