OTUID	All	D	H	I
ASV_184	0.110113	0.08546258	0.12254858	0.07722278
ASV_151	0.108656	0.14318099	0.11194731	0.05377289
ASV_104	0.130933	0.1184268	0.1360443	0.1200865
ASV_222	0.099232	0.009044306	0.088875104	0.251185725
ASV_870	0.09571	0.08591809	0.05978563	0.28185884
ASV_131	0.113072	0.2728844	0.0180776	0.3963775
ASV_148	0.123522	0.177351308	0.136073632	0.001777732
ASV_446	0.095653	0.02893900	0.12548586	0.02527374
ASV_174	0.125474	0.17317083	0.13096594	0.04503928
ASV_177	0.102636	0.04365639	0.07577230	0.29995069
ASV_221	0.10833	0.19731216	0.08348608	0.12934156
ASV_577	0.100405	0.10567523	0.09583766	0.11674218
ASV_163	0.107761	0.1244565	0.1171864	0.0430328
ASV_112	0.117158	0.21806456	0.11059407	0.03563955
ASV_210	0.100866	0.04925874	0.12802577	0.02652173
ASV_214	0.100845	0.04911570	0.12755116	0.02885071
ASV_181	0.092983	0.08804917	0.05906163	0.26389870
ASV_227	0.099329	0.15761835	0.10319591	0.01490225
ASV_108	0.08652	0.08885116	0.05744097	0.22565584
ASV_485	0.095134	0.013337542	0.132145857	0.006719089
ASV_488	0.088608	0.06125990	0.07473952	0.18698564
ASV_218	0.087045	0.17641305	0.07535358	0.04349979
ASV_259	0.080282	0.15125250	0.07109939	0.04520750
ASV_173	0.087739	0.05251537	0.09695585	0.08243635
ASV_153	0.096884	0.09857383	0.11030672	0.02954688
ASV_205	0.0989	0.09637472	0.10083186	0.09232460
ASV_324	0.083549	0.03970467	0.09664725	0.06902059
ASV_653	0.088495	0.01176029	0.12218514	0.01058281
ASV_118	0.08186	0.09449386	0.09260561	0.01526289
ASV_159	0.09549	0.14041990	0.08707276	0.08597452
ASV_92	0.083262	0.04028063	0.10807499	0.01065562
ASV_507	0.092011	0.05135050	0.09072256	0.14403867
ASV_117	0.088242	0.03109973	0.11499819	0.02209295
ASV_99	0.088515	0.04730397	0.10131007	0.07250361
ASV_338	0.119934	0.06425318	0.15327831	0.02002482
ASV_211	0.098064	0.006782868	0.133054678	0.030175809
ASV_122	0.101823	0.04184489	0.12819717	0.04072258
ASV_280	0.077984	0.07013574	0.08586305	0.04840239
ASV_134	0.080555	0.11020329	0.08032503	0.04832183
ASV_150	0.088092	0.33637036	0.04104641	0.03812408
ASV_192	0.077608	0.04373646	0.09075279	0.05163600
ASV_269	0.073574	0.04903745	0.07891784	0.07512356
ASV_209	0.088891	0.05029843	0.10148832	0.07089851
ASV_337	0.068007	0.01820986	0.08935115	0.01997915
ASV_132	0.079572	0.17852830	0.05237631	0.10082678
ASV_187	0.081345	0.05051831	0.09223835	0.06292042
ASV_281	0.094126	0.02242609	0.12761305	0.01153742
ASV_182	0.07507	0.02219027	0.08928082	0.06528077
ASV_175	0.073973	0.15728607	0.05997384	0.04849245
ASV_471	0.07974	0.296866218	0.045080109	0.004439599
ASV_123	0.074799	0.17777316	0.05724424	0.04453522
ASV_71	0.077189	0.04506756	0.06624752	0.16666754
ASV_252	0.067608	0.02268597	0.04390363	0.23370610
ASV_256	0.069313	0.17087009	0.05124773	0.04313200
ASV_277	0.071515	0.06264661	0.08126291	0.03396907
ASV_793	0.069445	0.03581086	0.08276634	0.04233901
ASV_242	0.067369	0.02943935	0.04694340	0.20961622
ASV_270	0.07543	0.39333664	0.01445894	0.01501912
ASV_302	0.06677	0.03201149	0.08541010	0.01500099
ASV_391	0.097711	0.002904264	0.138035015	0.007786227
ASV_436	0.062722	0.04786333	0.07487734	0.02017822
ASV_236	0.062959	0.03803315	0.05004312	0.15396565
ASV_53	0.075403	0.02702066	0.09138478	0.05192241
ASV_207	0.089389	0.02425247	0.10287104	0.09694002
ASV_254	0.07052	0.0013017106	0.1009213630	0.0001856445
ASV_110	0.070904	0.21544422	0.04350037	0.04188845
ASV_550	0.069428	0.0007786070	0.0994743493	0.0001856445
ASV_171	0.06734	0.06237769	0.07833497	0.01932076
ASV_410	0.060446	0.007745615	0.028802322	0.273996908
ASV_894	0.065733	0.0073490016	0.0925311346	0.0007720749
ASV_439	0.066818	0.004459255	0.094179268	0.003586584
ASV_234	0.064728	0.15100746	0.03995029	0.08845738
