OTUID	All	med	post	pre
ASV_37	0.470834	0.5199307	0.6639273	0.2751175
ASV_21	0.446593	0.8338656	0.3318561	0.2130734
ASV_137	0.391557	0.10566143	1.10222629	0.06317276
ASV_34	0.374172	0.4184592	0.4954727	0.2399289
ASV_43	0.432804	0.4753296	0.3971498	0.4256055
ASV_72	0.386863	0.6024543	0.2370786	0.3255943
ASV_36	0.436968	0.6800895	0.2995797	0.3426566
ASV_90	0.348836	0.2372112	0.3874237	0.4117309
ASV_29	0.353271	0.2767069	0.3589270	0.4130595
ASV_67	0.32437	0.08603567	0.15932520	0.65660568
ASV_59	0.357382	0.3198163	0.3172561	0.4210369
ASV_109	0.338547	0.90200767	0.07614835	0.07516001
ASV_49	0.329515	0.5016644	0.2981833	0.2099738
ASV_40	0.347474	0.2540843	0.4787130	0.3209290
ASV_119	0.304104	0.19305389	0.03828484	0.61004244
ASV_30	0.400152	0.4424324	0.6258876	0.1840468
ASV_113	0.313292	0.3104116	0.2585490	0.3595069
ASV_124	0.314017	0.1409275	0.4886848	0.3196767
ASV_53	0.298159	0.08289278	0.50802073	0.31109419
ASV_88	0.320526	0.2564183	0.3945446	0.3151612
ASV_94	0.300935	0.1818923	0.3614467	0.3525220
ASV_66	0.240075	0.33058921	0.37684369	0.05462838
ASV_81	0.281321	0.2214427	0.3800355	0.2526483
ASV_99	0.261566	0.1520973	0.3530634	0.2803225
ASV_145	0.232699	0.07766483	0.17939068	0.40557422
ASV_44	0.261044	0.1731657	0.4055191	0.2192809
ASV_89	0.223696	0.3201588	0.1607039	0.1930610
ASV_106	0.221913	0.2165864	0.2593903	0.1964068
ASV_138	0.306107	0.3463966	0.3795630	0.2135000
ASV_122	0.260923	0.1005430	0.5385785	0.1735178
ASV_881	0.311309	0.2352831	0.4925946	0.2301424
ASV_74	0.253283	0.2536505	0.3297661	0.1917867
ASV_61	0.294755	0.5618886	0.1347380	0.1983761
ASV_97	0.242725	0.3075261	0.2119675	0.2128987
ASV_32	0.256659	0.2258343	0.3377363	0.2176886
ASV_96	0.237523	0.08039898	0.06601688	0.50671156
ASV_76	0.243509	0.4008742	0.1821719	0.1603913
ASV_199	0.205908	0.14296402	0.02049811	0.40710918
ASV_159	0.22121	0.1412811	0.3620641	0.1756678
ASV_117	0.242921	0.1876418	0.1435824	0.3688265
ASV_73	0.257485	0.3663009	0.2525820	0.1700008
ASV_156	0.313768	0.14429396	0.07968343	0.64339351
ASV_63	0.244968	0.3008452	0.1961507	0.2370847
ASV_126	0.20189	0.1058938	0.1585894	0.3171667
ASV_83	0.254826	0.3265619	0.2721836	0.1806812
ASV_77	0.246407	0.2360682	0.2949295	0.2162728
ASV_112	0.188557	0.2404663	0.3021645	0.0540677
ASV_209	0.195072	0.1886627	0.1727900	0.2182818
ASV_319	0.177017	0.04589342	0.10333362	0.34610651
ASV_71	0.193625	0.10640442	0.08429908	0.35435211
ASV_46	0.22656	0.3329129	0.1762269	0.1774905
ASV_78	0.188778	0.1559819	0.1132338	0.2767613
ASV_86	0.189451	0.09763239	0.15344965	0.29537970
ASV_58	0.217667	0.3591974	0.1445841	0.1572489
ASV_84	0.218379	0.2221847	0.2581474	0.1833679
ASV_110	0.163979	0.18251929	0.03907432	0.24832937
ASV_101	0.247748	0.60363991	0.07640531	0.08587370
ASV_188	0.170612	0.1093383	0.1347948	0.2507350
ASV_93	0.228417	0.2260669	0.2740520	0.1938820
ASV_116	0.221505	0.3638354	0.1830920	0.1326789
ASV_48	0.175691	0.2480831	0.1671930	0.1216789
ASV_103	0.161769	0.1593178	0.1772598	0.1514353
ASV_79	0.198762	0.2456283	0.1927146	0.1642335
ASV_100	0.157574	0.10362700	0.09760961	0.25086183
ASV_91	0.167599	0.1471175	0.2559225	0.1141453
ASV_75	0.190958	0.3072750	0.1538233	0.1229593
ASV_82	0.187901	0.09147843	0.22649331	0.23802129
ASV_64	0.182184	0.40260289	0.05693197	0.09723269
ASV_129	0.165831	0.16158718	0.26724277	0.08826601
ASV_105	0.150142	0.03199900	0.06040571	0.32117162
ASV_47	0.179808	0.07718675	0.18952695	0.25823347
ASV_281	0.175844	0.12670111	0.34077299	0.08518101
ASV_201	0.160944	0.35943951	0.11738700	0.02905392
ASV_104	0.192696	0.2944964	0.1746227	0.1216414
ASV_95	0.213058	0.39858178	0.17443641	0.08811601
ASV_70	0.181228	0.09744302	0.28176965	0.17117303
ASV_200	0.190908	0.2326837	0.2275195	0.1265275
ASV_132	0.204883	0.1531946	0.1410481	0.2993694
ASV_225	0.147956	0.15462917	0.04501381	0.22470325
ASV_114	0.139474	0.13603281	0.06846211	0.19917283
ASV_167	0.180692	0.1591948	0.1963765	0.1862014
ASV_177	0.141731	0.07387882	0.32676300	0.05070214
ASV_174	0.162619	0.1060100	0.2042216	0.1768879
ASV_185	0.127739	0.1095778	0.1675511	0.1111455
ASV_294	0.138541	0.14425049	0.02952729	0.22095521
ASV_85	0.133739	0.1369943	0.1389794	0.1268128
ASV_247	0.136637	0.25558351	0.07126167	0.08902314
ASV_212	0.128536	0.05662848	0.02396275	0.27259736
ASV_189	0.13757	0.15960904	0.16628167	0.09608793
ASV_255	0.134798	0.16692801	0.16653332	0.08242073
ASV_50	0.185259	0.11951421	0.41956535	0.05303974
ASV_210	0.13001	0.1280617	0.1620858	0.1059856
ASV_144	0.149278	0.12256461	0.07221168	0.23337122
ASV_166	0.179437	0.11211958	0.42416912	0.04019894
ASV_197	0.115532	0.06287758	0.01616424	0.23925581
ASV_206	0.123642	0.24978869	0.06560075	0.06411305
ASV_130	0.149377	0.1451480	0.1897403	0.1206385
ASV_111	0.129647	0.08061720	0.26153242	0.06532378
ASV_162	0.106225	0.20594875	0.08437476	0.03993845
ASV_217	0.111435	0.06241678	0.02286664	0.22346553
ASV_141	0.13346	0.17043815	0.15260089	0.08708589
ASV_142	0.127619	0.05383958	0.21679031	0.11825581
ASV_140	0.159877	0.10624423	0.29906135	0.09358216
ASV_158	0.126865	0.07126051	0.21777886	0.10084125
ASV_143	0.14682	0.2095569	0.1386967	0.1006201
ASV_127	0.109837	0.12367411	0.05566671	0.14154926
ASV_333	0.104546	0.03294833	0.01485606	0.23643910
ASV_208	0.117694	0.1182206	0.1070911	0.1257349
ASV_151	0.144436	0.28744177	0.09622850	0.06287834
ASV_175	0.11529	0.07172613	0.06438706	0.19260658
ASV_203	0.105348	0.03128056	0.09168812	0.17849205
ASV_433	0.099589	0.02521743	0.12205482	0.14408825
ASV_152	0.126065	0.1484621	0.1068704	0.1226068
ASV_870	0.143931	0.14161128	0.22981265	0.07717517
ASV_355	0.101929	0.18796017	0.12170471	0.01384177
ASV_251	0.102952	0.05168022	0.15550221	0.10397921
ASV_309	0.096526	0.02155404	0.06783874	0.18245324
ASV_407	0.103822	0.09665437	0.08013521	0.12879164
ASV_260	0.11166	0.007804324	0.007333393	0.282360280
ASV_147	0.124576	0.17493827	0.09831902	0.10327725
ASV_301	0.100154	0.09606645	0.03169830	0.15835090
ASV_136	0.101529	0.10364382	0.11464814	0.08925814
ASV_483	0.099293	0.05093335	0.07923785	0.15595852
ASV_258	0.150576	0.16338348	0.25451317	0.05666698
ASV_131	0.147086	0.19813372	0.09182452	0.14841450
ASV_253	0.127069	0.19342496	0.06235193	0.12310270
ASV_125	0.087214	0.06960121	0.14816562	0.05324628
ASV_154	0.090851	0.11780392	0.10208242	0.05922615
ASV_171	0.105681	0.023413864	0.005521931	0.254912951
ASV_207	0.091874	0.06396683	0.05246156	0.14684601
ASV_176	0.093103	0.02964427	0.14754284	0.10285768
ASV_134	0.105612	0.18734744	0.07388276	0.06233683
ASV_221	0.082392	0.06014734	0.06284945	0.11671192
ASV_423	0.099147	0.04577908	0.03521367	0.19512155
ASV_246	0.087752	0.07445993	0.06401532	0.11790663
ASV_361	0.084739	0.08616428	0.06346968	0.10055603
ASV_615	0.088624	0.04734937	0.01098539	0.18540449
ASV_223	0.0907	0.04790713	0.18405484	0.05196196
ASV_187	0.08665	0.08039662	0.08494804	0.09326325
ASV_300	0.068181	0.06019564	0.01150762	0.12022616
ASV_178	0.111655	0.16538163	0.16331607	0.02519561
ASV_121	0.101166	0.07825240	0.09903353	0.12211811
ASV_123	0.103963	0.04806232	0.07026635	0.17787587
ASV_202	0.081791	0.09178225	0.05886291	0.09174189
ASV_157	0.08014	0.05393614	0.03202978	0.14063963
ASV_376	0.071168	0.07894616	0.12377295	0.02255036
ASV_149	0.094155	0.15370186	0.08972537	0.04768062
ASV_183	0.121297	0.14151089	0.17928713	0.05792586
ASV_150	0.076556	0.05575862	0.09452409	0.07965067
ASV_173	0.086279	0.06734635	0.08509675	0.10312884
ASV_278	0.073875	0.01708019	0.01257046	0.17062674
ASV_133	0.089219	0.07644792	0.09061833	0.09882764
ASV_783	0.074764	0.007446072	0.012883273	0.180815808
ASV_341	0.076046	0.14118889	0.05761259	0.03607285
ASV_168	0.074736	0.04650099	0.06296855	0.10786638
ASV_196	0.076469	0.10134965	0.03474971	0.08894495
ASV_343	0.087091	0.10221841	0.04253906	0.11002489
ASV_786	0.097383	0.08053670	0.14688673	0.07193123
ASV_228	0.083014	0.15393069	0.07105906	0.03300685
ASV_372	0.093076	0.006634861	0.294702358	0.004386512
ASV_220	0.089123	0.09810037	0.10714007	0.06716746
ASV_163	0.074408	0.09799725	0.08375948	0.04711191
ASV_180	0.099049	0.09076441	0.10567663	0.10070711
ASV_164	0.100714	0.21847412	0.03799492	0.05197031
ASV_279	0.061422	0.03818428	0.13874512	0.01908373
ASV_472	0.063979	0.010865476	0.008516936	0.152964754
ASV_237	0.091482	0.09102528	0.15533559	0.04078386
ASV_120	0.074149	0.05446124	0.10470054	0.06624564
ASV_108	0.089635	0.07991444	0.10944482	0.08195220
ASV_339	0.066787	0.04228013	0.05131676	0.09974987
ASV_262	0.075021	0.13783026	0.03224709	0.05648062
ASV_115	0.093544	0.08679041	0.12340353	0.07532995
ASV_235	0.081911	0.07373297	0.11025544	0.06610475
ASV_265	0.095329	0.10536856	0.15053815	0.04272907
ASV_179	0.077574	0.07713369	0.09261776	0.06590986
ASV_388	0.065114	0.04535010	0.06803757	0.07937792
ASV_211	0.057538	0.04470863	0.01557345	0.10188618
ASV_368	0.070614	0.04970369	0.12203911	0.04703945
ASV_153	0.075978	0.11449520	0.06547701	0.05202539
ASV_570	0.059849	0.01952698	0.01597137	0.12882115
ASV_630	0.060831	0.04666665	0.01900211	0.10619331
ASV_345	0.065599	0.10267760	0.05066272	0.04640309
ASV_107	0.075657	0.04872950	0.09190821	0.08527437
ASV_214	0.062523	0.08177478	0.05087243	0.05567133
ASV_286	0.058787	0.03486933	0.04193358	0.09236117
ASV_414	0.062021	0.02561354	0.10806451	0.05576827
ASV_567	0.053619	0.09366120	0.01435759	0.05139159
ASV_182	0.061168	0.09093085	0.05666111	0.03977285
ASV_205	0.064785	0.08631379	0.06850056	0.04372760
ASV_252	0.069869	0.06034268	0.07325110	0.07516675
ASV_350	0.059537	0.01746579	0.01524947	0.13030566
ASV_292	0.063923	0.05316862	0.04655046	0.08685476
ASV_405	0.061531	0.12807534	0.04925146	0.01545867
ASV_139	0.075506	0.05000528	0.02314386	0.13881705
ASV_305	0.072634	0.03570926	0.15485671	0.03787168
ASV_528	0.060222	0.02136252	0.01870011	0.12608235
ASV_284	0.073597	0.06274590	0.09814423	0.06307319
ASV_754	0.055714	0.01079669	0.01751831	0.12400021
ASV_236	0.059602	0.03629676	0.03100694	0.10205450
ASV_462	0.059016	0.03170299	0.01182925	0.11970857
ASV_311	0.072117	0.08631409	0.07634919	0.05680457
ASV_397	0.06377	0.012459646	0.003744617	0.154889982
ASV_250	0.058628	0.04926798	0.07839152	0.05067849
ASV_198	0.069121	0.09413191	0.08044715	0.03905138
ASV_416	0.060708	0.01966855	0.04844805	0.10498811
ASV_400	0.055869	0.008543852	0.103223951	0.057737905
ASV_184	0.066879	0.08407722	0.05483825	0.06206506
ASV_363	0.052669	0.03870954	0.01220561	0.09676641
ASV_330	0.055745	0.10313573	0.05499677	0.01653429
ASV_146	0.073715	0.07692534	0.07372233	0.07101238
ASV_886	0.050845	0.005276028	0.012298601	0.119959927
ASV_245	0.07131	0.07063666	0.10094608	0.04816798
ASV_392	0.051531	0.01403337	0.02225165	0.10645244
ASV_401	0.063542	0.016313263	0.009058053	0.146801296
ASV_335	0.051722	0.02486259	0.04321724	0.08108870
ASV_148	0.05176	0.10774294	0.03642388	0.01700415
ASV_282	0.058544	0.08244792	0.05661379	0.04000858
ASV_577	0.061698	0.04446490	0.07619467	0.06457702
ASV_449	0.05503	0.01543752	0.01427573	0.12089147
ASV_193	0.054298	0.02780568	0.05963393	0.07228330
ASV_232	0.059741	0.02617838	0.07133280	0.07866059
ASV_578	0.048737	0.002752189	0.016380316	0.113250839
ASV_396	0.057939	0.009732139	0.079215414	0.081412532
ASV_375	0.059914	0.06190199	0.08102052	0.04135838
ASV_92	0.048308	0.06167083	0.06009056	0.02765631
ASV_801	0.047466	0.01841169	0.01223866	0.10005406
ASV_1119	0.045363	0.05851767	0.04736527	0.03271038
ASV_496	0.051926	0.07302416	0.02472827	0.05596042
ASV_270	0.047878	0.01324526	0.11434461	0.02379582
ASV_359	0.049225	0.01792503	0.02899194	0.09170246
ASV_344	0.05003	0.030169736	0.126391195	0.005624981
ASV_195	0.062227	0.07579032	0.06916273	0.04528429
ASV_1084	0.044991	0.02194263	0.02740995	0.07841589
ASV_475	0.05389	0.070197695	0.006259758	0.078294808
ASV_313	0.046188	0.02142152	0.01537276	0.09164351
ASV_186	0.051271	0.05213621	0.05706370	0.04590971
ASV_287	0.040647	0.01692761	0.01623735	0.08009862
ASV_160	0.054804	0.08569177	0.03210019	0.04702105
ASV_98	0.066936	0.07133043	0.08585096	0.04811246
ASV_336	0.039872	0.098183567	0.018478023	0.008005331
ASV_331	0.049923	0.06600773	0.03589725	0.04763175
ASV_346	0.070563	0.04878836	0.15319154	0.02275014
ASV_470	0.051745	0.059971689	0.007487678	0.080239650
ASV_329	0.045864	0.01891295	0.02015182	0.08907276
ASV_161	0.057048	0.05243384	0.08317725	0.04002084
ASV_230	0.059378	0.06672166	0.07890572	0.03758831
ASV_507	0.055781	0.06197419	0.06374584	0.04420785
ASV_303	0.04695	0.02155709	0.01327564	0.09522013
ASV_409	0.045268	0.05938757	0.04706316	0.03197182
ASV_545	0.042879	0.035017587	0.007548129	0.077748472
ASV_412	0.039116	0.075337666	0.009569172	0.032326730
ASV_491	0.058584	0.12630091	0.02329477	0.02993440
ASV_165	0.056276	0.09930094	0.03821863	0.03458001
ASV_590	0.042906	0.024389899	0.009552315	0.085143259
ASV_327	0.041423	0.012253644	0.007489944	0.093072181
ASV_268	0.045703	0.08618986	0.02988708	0.02434797
ASV_417	0.068749	0.15453239	0.02827831	0.02906823
ASV_1219	0.04418	0.01435296	0.01696707	0.09100503
ASV_244	0.053658	0.07028636	0.05012546	0.04251669
ASV_391	0.047129	0.013887381	0.134685188	0.005006955
ASV_393	0.073962	0.183447155	0.044245756	0.005768623
ASV_285	0.048758	0.04514832	0.03685847	0.06131058
ASV_650	0.043338	0.1330090494	0.0009492077	0.0019257831
ASV_793	0.044339	0.05011090	0.04624325	0.03796737
ASV_499	0.03659	0.099542384	0.013243164	0.002386752
ASV_169	0.055477	0.05527614	0.06219072	0.05027556
ASV_347	0.041439	0.04709523	0.03318053	0.04329486
ASV_644	0.042938	0.008618875	0.010987046	0.097326865
ASV_275	0.048215	0.05653122	0.03193792	0.05425117
ASV_1133	0.043497	0.009762734	0.008110563	0.100142279
ASV_135	0.049452	0.08054848	0.05076690	0.02227854
ASV_314	0.048806	0.03050358	0.07396662	0.04405145
ASV_241	0.05294	0.05454532	0.03948622	0.06235486
ASV_328	0.040444	0.06446131	0.02121901	0.03564910
ASV_289	0.043892	0.06092023	0.04030913	0.03245434
ASV_249	0.048442	0.05914714	0.03950843	0.04659643
ASV_342	0.043537	0.02275364	0.05084641	0.05514722
ASV_490	0.036429	0.05660890	0.04499975	0.01262025
ASV_358	0.042509	0.04027790	0.03731227	0.04854035
ASV_581	0.039799	0.01016298	0.01760508	0.08244896
ASV_402	0.045869	0.02103030	0.01540710	0.09110231
ASV_411	0.042144	0.01326743	0.01594161	0.08736196
ASV_276	0.039495	0.02753370	0.01470005	0.06937829
ASV_501	0.036629	0.08068690	0.01584037	0.01625094
ASV_280	0.057187	0.05755973	0.07028122	0.04639960
ASV_467	0.039336	0.07304003	0.02849023	0.01970078
ASV_1044	0.040698	0.02438309	0.03156883	0.06170684
ASV_589	0.037272	0.05529751	0.03259312	0.02587283
ASV_340	0.041081	0.03807263	0.03298658	0.05008287
ASV_1153	0.046324	0.03484100	0.05856214	0.04618027
ASV_474	0.040005	0.03681765	0.01662422	0.06138815
ASV_463	0.050936	0.007897645	0.120543351	0.031401062
ASV_403	0.038665	0.03810332	0.04420193	0.03470845
ASV_297	0.040145	0.03486437	0.06002900	0.02867417
ASV_238	0.054446	0.02671383	0.02935872	0.09781032
ASV_533	0.036141	0.006145326	0.007056129	0.084605842
ASV_945	0.042637	0.02485058	0.08682795	0.02222500
ASV_639	0.046871	0.02629457	0.10838651	0.01494316
ASV_352	0.0416	0.04874564	0.04551299	0.03246736
ASV_386	0.058678	0.03299957	0.07722644	0.06540989
ASV_950	0.042087	0.03170072	0.02678003	0.06305702
ASV_256	0.04601	0.03768279	0.05866052	0.04288556
ASV_222	0.040084	0.03777332	0.04669277	0.03673787
ASV_657	0.035903	0.01272963	0.03048066	0.05970599
ASV_181	0.042267	0.04663270	0.05427825	0.02899111
ASV_833	0.036473	0.00549842	0.01136144	0.08258028
ASV_254	0.041592	0.0357268429	0.0004536403	0.0794298248
ASV_1066	0.036626	0.01352802	0.01953845	0.06969891
ASV_269	0.044739	0.05040731	0.04249266	0.04177591
ASV_194	0.042016	0.04689527	0.02447573	0.05195020
ASV_594	0.031457	0.03582258	0.01204844	0.04331757
ASV_1224	0.035403	0.004172051	0.005687963	0.085408312
ASV_767	0.04632	0.01508209	0.09841751	0.03088272
ASV_565	0.032727	0.000955376	0.105357592	0.001311589
ASV_488	0.046861	0.05037068	0.04283859	0.04713147
ASV_524	0.04368	0.04554513	0.04676881	0.03964296
ASV_426	0.036533	0.04696682	0.04325970	0.02238833
ASV_192	0.041405	0.02843450	0.05825684	0.03881825
ASV_556	0.040458	0.04177947	0.05574530	0.02711824
ASV_670	0.036211	0.00850397	0.02774572	0.06625662
ASV_293	0.037947	0.01517845	0.02270394	0.06926706
ASV_552	0.031225	0.01006130	0.04164553	0.04066503
ASV_481	0.035014	0.01674252	0.03360680	0.05148834
ASV_1182	0.033289	0.003570795	0.023316275	0.066229713
ASV_243	0.044626	0.04051361	0.06171725	0.03440683
ASV_320	0.033564	0.00519206	0.02292820	0.06590598
ASV_561	0.032031	0.006264591	0.056267183	0.034286672
ASV_365	0.033914	0.03779127	0.03433890	0.03031624
ASV_259	0.042388	0.06684428	0.04940475	0.01623056
ASV_438	0.044069	0.04996202	0.05259365	0.03230012
ASV_506	0.033503	0.00453911	0.03693140	0.05508874
ASV_215	0.039576	0.04632571	0.03432352	0.03810713
ASV_1023	0.032221	0.008960906	0.008673704	0.070596755
ASV_891	0.049632	0.04709222	0.07730692	0.02962416
ASV_453	0.043452	0.05552601	0.01777315	0.05385342
ASV_218	0.04389	0.06612866	0.03818785	0.02977152
ASV_348	0.033166	0.009461939	0.011484688	0.070423719
ASV_1147	0.051778	0.04428853	0.07965499	0.03576742
ASV_609	0.042861	0.003699866	0.133420133	0.003308436
ASV_568	0.051914	0.08195184	0.03528093	0.03998991
ASV_530	0.031861	0.01279218	0.01546901	0.06099187
ASV_761	0.033216	0.01279240	0.01197879	0.06736191
ASV_651	0.034601	0.009882534	0.067558834	0.028997076
ASV_283	0.038398	0.04651745	0.03926811	0.03088254
ASV_529	0.035308	0.02853425	0.04364347	0.03433047
ASV_299	0.039737	0.03624694	0.06665127	0.02113773
ASV_656	0.036966	0.010323268	0.008822824	0.081860372
ASV_937	0.035492	0.01507316	0.06091053	0.03230809
ASV_688	0.031147	0.005731757	0.005849044	0.072733534
ASV_661	0.032704	0.03378477	0.02256030	0.03991016
ASV_676	0.028627	0.003124051	0.061293654	0.023915217
ASV_374	0.039541	0.03650013	0.05463241	0.03002232
ASV_979	0.028942	0.011077558	0.008333573	0.060435095
ASV_398	0.036631	0.02698364	0.01716691	0.06030677
ASV_674	0.030305	0.061770964	0.004096381	0.024841693
ASV_257	0.037159	0.07270065	0.02527887	0.01680790
ASV_559	0.029841	0.003697553	0.006922544	0.070136223
ASV_521	0.028688	0.006244251	0.020266676	0.054276874
ASV_729	0.027744	0.042924751	0.008791172	0.030155751
ASV_233	0.037376	0.02695789	0.00404849	0.07278885
ASV_629	0.033812	0.02249019	0.05259356	0.02829609
ASV_880	0.031363	0.007443769	0.033294141	0.049909971
ASV_387	0.033506	0.02990279	0.02959474	0.03966057
ASV_531	0.029677	0.01072887	0.01716991	0.05560022
ASV_466	0.02975	0.007410245	0.024650608	0.052595861
ASV_310	0.030324	0.009250459	0.018226935	0.057704107
ASV_526	0.030382	0.005907118	0.060895057	0.026529669
ASV_273	0.02837	0.02172318	0.01691250	0.04311801
ASV_482	0.032176	0.02739418	0.04970084	0.02217375
ASV_323	0.041964	0.06465908	0.04340961	0.02174385
ASV_427	0.03253	0.01639313	0.04779492	0.03387260
ASV_1000	0.030923	0.03419323	0.01538598	0.04060533
ASV_1189	0.029513	0.02630871	0.01074191	0.04722203
ASV_1160	0.027864	0.001388531	0.002664522	0.070262057
ASV_571	0.029259	0.005858726	0.004218554	0.068948230
ASV_267	0.039244	0.06148022	0.04862264	0.01306288
ASV_394	0.02881	0.01344162	0.01827982	0.05014319
ASV_580	0.033231	0.009808475	0.064113137	0.028200977
ASV_1085	0.035527	0.01613749	0.07300220	0.02183447
ASV_460	0.029082	0.009911808	0.007929362	0.062108266
ASV_601	0.029395	0.011003943	0.007498963	0.062361294
ASV_437	0.029759	0.01515066	0.03481999	0.03798156
ASV_326	0.029467	0.032441501	0.009473607	0.042964319
ASV_242	0.034209	0.05000134	0.02802682	0.02589032
ASV_494	0.02725	0.01693516	0.03889745	0.02659659
ASV_231	0.032909	0.01790645	0.03148884	0.04664811
ASV_422	0.027177	0.023220345	0.005036949	0.048211735
ASV_229	0.030495	0.01804246	0.02980395	0.04150698
ASV_226	0.029854	0.01786436	0.01946074	0.04823986
ASV_360	0.027606	0.01267844	0.05510496	0.01814643
ASV_371	0.028502	0.01420017	0.01427320	0.05189747
ASV_498	0.030087	0.01992294	0.01483050	0.05083059
ASV_399	0.032092	0.01996603	0.03299456	0.04155483
ASV_432	0.026876	0.01254048	0.02475473	0.04061517
ASV_756	0.031799	0.007485915	0.003425974	0.074920153
ASV_693	0.025891	0.016845882	0.001485722	0.053013481
ASV_324	0.032136	0.02404389	0.04101882	0.03182783
ASV_465	0.028215	0.01281561	0.05719082	0.01796942
ASV_730	0.025977	0.047093601	0.023969219	0.009845763
ASV_1231	0.026061	0.0181399951	0.0007506933	0.0529629627
ASV_450	0.024791	0.04036169	0.01178537	0.02211502
ASV_662	0.02886	0.04749675	0.02820163	0.01373140
ASV_749	0.025894	0.007762359	0.030477275	0.037456920
ASV_984	0.025884	0.009694285	0.004661657	0.056460718
ASV_1199	0.03485	0.03242087	0.04809736	0.02629290
ASV_385	0.02901	0.02898425	0.01781137	0.03798974
ASV_277	0.034394	0.03713633	0.03800385	0.02920216
ASV_458	0.030426	0.02306926	0.03465051	0.03322537
ASV_925	0.024562	0.00485208	0.03108678	0.03589850
ASV_750	0.02319	0.065105661	0.003973974	0.003353839
ASV_334	0.031273	0.01307941	0.04209946	0.03789328
ASV_624	0.027176	0.01446957	0.04837908	0.02088693
ASV_337	0.031438	0.02502930	0.02282160	0.04371388
ASV_436	0.032721	0.02627894	0.05194273	0.02275550
ASV_502	0.02875	0.03035367	0.03017432	0.02626400
ASV_234	0.030145	0.01866490	0.02296814	0.04553036
ASV_574	0.026601	0.01153223	0.04207898	0.02687697
ASV_512	0.026741	0.01141322	0.01272670	0.05082796
ASV_456	0.025731	0.01084586	0.02321002	0.04025189
ASV_930	0.025203	0.01379856	0.01063049	0.04644164
ASV_304	0.03548	0.06591410	0.02713140	0.01659309
ASV_419	0.023525	0.012240908	0.004133122	0.048518166
ASV_668	0.024629	0.004899436	0.003493956	0.058109922
ASV_1140	0.022773	0.0006399684	0.0009499721	0.0588233889
ASV_389	0.024965	0.02321248	0.02181657	0.02895541
ASV_587	0.024272	0.048148977	0.005697111	0.019075387
ASV_1228	0.021888	0.01481264	0.00108185	0.04447684
ASV_370	0.026465	0.00352810	0.06626206	0.01389417
ASV_418	0.026944	0.03290540	0.02107411	0.02663355
ASV_1072	0.035442	0.03484660	0.05524639	0.02009736
ASV_464	0.023542	0.01389829	0.01694082	0.03692253
ASV_317	0.02037	0.052424408	0.006206244	0.004774067
ASV_302	0.029264	0.04401847	0.02722124	0.01850517
ASV_410	0.031371	0.02574789	0.04826105	0.02258349
ASV_948	0.024702	0.01548975	0.02355246	0.03335875
ASV_486	0.023766	0.04174966	0.02013332	0.01156622
