OTUID	DGpre	DEmed	DEpost	DSpre	DSmed	DSpost	HGpre	HEmed	HEpost	HSpre	HSmed	HSpost	IGpre	IEmed	IEpost	ISpre	ISmed	ISpost
ASV_167	37.375	41.555556	14.625	9	6.961538	8.066667	43.363636	67.512821	62.228571	109.54	80	106	165.571429	222.5	51.75	31.571429	67.928571	49.833333
ASV_149	92.125	69.66667	76.875	11.64706	44.46154	44.33333	64.87879	91.48718	164.4	26.86	85.57143	53.5	115.28571	66.75	70.75	35.21429	42.64286	26.33333
ASV_870	164.25	62.11111	94.625	60.11765	36.61538	32.73333	50.36364	39.64103	41.25714	42.46	68.64286	109.075	185.14286	226.625	117.875	65.35714	59.35714	71.58333
ASV_210	15.25	34	37.125	93.58824	79	219.26667	33.57576	79.07692	22.6	74.4	90.97619	93.075	21.85714	15.375	28.875	22.14286	35.42857	44.25
ASV_157	29	3.555556	13.375	120.705882	128.384615	50.8	236.757576	11.051282	7.685714	100.64	36.309524	17.925	349.285714	15	7.375	5.928571	17.785714	11.416667
ASV_319	61.125	84.555556	19.375	114.235294	82.076923	56.4	32.848485	4.410256	3.685714	254.36	37.52381	54.1	7.714286	5.625	3.5	12.285714	48.857143	9
ASV_144	56.25	46.77778	87	13.47059	16.26923	18.13333	93.63636	55.48718	39.8	141.86	62.78571	36.2	46.71429	312	50.125	40.71429	39	27.16667
ASV_121	106	65.33333	43.5	24.23529	18.34615	18	76.12121	79.41026	121.85714	73.54	37.2619	51.35	89.28571	90.75	138.375	72.21429	49.5	35.25
ASV_311	49.5	39.11111	74.375	16.64706	36	34	80.39394	125.10256	87.28571	30.68	46.47619	41.1	114	87.25	97	100.42857	100.07143	55
ASV_166	7.5	95.777778	144.375	33.235294	33.461538	1.133333	20	15.923077	146.742857	19.08	46.214286	201.9	7	1.25	3.875	69.928571	94.642857	94.666667
ASV_177	7.875	28.444444	65.875	2.941176	18	28.266667	49.666667	40	35.742857	38.56	43.261905	220.875	284.857143	239.375	131	10.857143	13.571429	20.916667
