OTUID	D	H	I
ASV_235	52.75904	59.82427	73.73016
ASV_165	 18.73494	 41.22176	188.01587
ASV_221	65.32530	49.84937	92.07937
ASV_151	41.43373	71.18410	39.33333
ASV_169	 25.19277	 43.27197	165.03175
ASV_139	172.73494	 28.78243	 23.79365
ASV_193	145.13253	 27.40586	 64.38095
ASV_202	 42.16867	 51.86611	106.92063
ASV_186	78.21687	50.14226	64.15873
ASV_163	38.51807	72.89540	28.57143
ASV_247	63.50602	66.42259	20.19048
ASV_294	72.61446	63.00000	21.07937
ASV_182	 73.32530	 37.06276	116.12698
ASV_128	  3.566265	 61.723849	113.746032
ASV_161	 13.84337	 56.91213	118.26984
ASV_278	123.12048	 36.63180	 48.79365
ASV_168	61.08434	61.22594	36.80952
ASV_245	 40.86747	 37.51046	152.79365
ASV_131	 41.72289	 40.31381	136.36508
ASV_206	45.60241	65.72385	33.84127
ASV_180	41.92771	60.46025	58.39683
ASV_156	12.77108	77.82845	27.88889
ASV_284	43.90361	56.63598	65.82540
ASV_217	60.09639	55.29707	48.98413
ASV_181	 70.20482	 33.68201	113.22222
ASV_185	80.77108	55.54812	15.82540
ASV_211	76.20482	45.49372	57.25397
ASV_225	41.13253	68.71967	15.12698
ASV_179	95.78313	36.11715	65.61905
ASV_281	19.325301	75.836820	 7.492063
ASV_230	25.55422	65.53138	38.15873
ASV_192	 29.25301	 43.59414	115.98413
ASV_184	53.50602	53.83264	41.22222
ASV_132	31.68675	66.60669	21.44444
ASV_196	22.92771	68.76569	23.92063
ASV_160	47.24096	52.57741	52.50794
ASV_229	136.26506	 24.77824	 40.44444
ASV_195	23.49398	53.69038	79.06349
ASV_201	27.38554	67.71548	14.66667
ASV_153	69.66265	47.13808	34.26984
ASV_226	160.90361	 18.17573	 22.68254
ASV_162	33.45783	59.38494	33.15873
ASV_231	82.71084	36.71548	53.44444
ASV_171	27.759036	67.510460	 6.809524
ASV_194	110.93976	 35.27615	 17.77778
ASV_183	26.34940	45.91632	88.44444
ASV_175	25.92771	60.58577	32.88889
ASV_172	156.66265	 12.68201	 41.28571
ASV_301	 7.951807	49.995816	93.269841
ASV_433	86.18072	43.15063	13.68254
ASV_309	59.71084	47.41423	30.57143
ASV_173	11.55422	65.18828	26.03175
ASV_333	43.98795	55.88285	16.26984
ASV_577	26.73494	47.30962	70.17460
ASV_342	133.87952	 21.18410	 27.38095
ASV_214	57.91566	45.74059	31.28571
ASV_204	146.903614	  5.008368	 66.444444
ASV_223	33.43373	53.70711	29.82540
ASV_255	39.56627	55.69874	11.41270
ASV_164	55.96386	39.74477	42.49206
ASV_282	81.02410	33.39331	32.88889
ASV_286	81.31325	35.20084	25.20635
ASV_483	41.01205	47.16736	30.06349
ASV_190	  6.566265	 31.016736	136.666667
ASV_280	49.01205	43.85356	30.57143
ASV_786	40.51807	39.90795	55.90476
ASV_246	39.51807	45.93305	33.80952
ASV_358	91.93976	25.76569	36.84127
ASV_368	76.50602	32.67782	30.82540
ASV_178	26.46988	42.17155	58.33333
ASV_241	43.83133	38.76569	47.30159
ASV_222	55.96386	34.36820	47.04762
ASV_361	35.44578	44.08368	35.23810
ASV_507	38.39759	38.05439	54.14286
ASV_426	114.12048	 21.07950	 16.31746
ASV_251	18.68675	45.82008	46.41270
ASV_224	 7.156627	57.322176	17.460317
ASV_363	100.409639	 27.313808	  8.285714
ASV_205	15.87952	43.12971	58.71429
ASV_234	37.54217	29.10042	82.60317
ASV_334	130.90361	 14.82427	 13.69841
ASV_262	53.33735	37.66527	26.85714
ASV_198	62.87952	34.06276	27.04762
ASV_219	10.00000	38.94561	77.25397
ASV_216	 1.939759	51.020921	40.714286
ASV_228	38.95181	42.70293	21.38095
ASV_1119	94.09639	25.15063	15.06349
ASV_276	62.38554	30.39749	35.01587
ASV_269	32.39759	37.13808	48.00000
ASV_793	57.38554	35.40167	20.87302
ASV_472	73.14458	29.50209	21.49206
ASV_303	102.37349	 21.59833	 12.07937
ASV_273	85.96386	18.81590	41.22222
ASV_297	63.01205	24.36820	47.82540
ASV_488	22.98795	34.10042	62.60317
ASV_237	 6.46988	50.13808	21.53968
ASV_218	43.96386	35.80753	25.63492
ASV_299	22.68675	35.07113	53.69841
ASV_341	33.93976	38.21757	25.09524
ASV_264	122.349398	 12.100418	  6.460317
ASV_350	53.83133	33.56067	15.20635
ASV_615	58.975904	34.778243	 3.539683
ASV_244	31.77108	35.29707	35.60317
ASV_256	49.27711	32.09623	24.49206
ASV_355	11.674699	50.364017	 3.111111
ASV_324	21.92771	36.60251	41.74603
ASV_265	28.77108	28.45607	62.68254
ASV_259	36.93976	34.13389	29.57143
ASV_232	55.39759	29.04184	23.30159
ASV_215	38.57831	36.72803	15.88889
ASV_260	 2.156627	49.836820	13.857143
ASV_570	62.313253	30.196653	 9.015873
ASV_456	95.25301	16.28033	12.19048
ASV_409	68.78313	23.40167	19.01587
ASV_242	12.96386	28.43933	73.33333
ASV_252	 9.819277	33.481172	57.968254
ASV_388	34.92771	33.40586	24.71429
ASV_293	 4.39759	32.24268	68.57143
ASV_238	48.38554	23.02929	44.88889
ASV_313	46.867470	33.414226	 7.365079
ASV_250	38.84337	31.43515	23.79365
ASV_345	22.69880	27.74477	58.60317
ASV_249	36.43373	31.37657	26.60317
ASV_338	20.01205	37.17573	26.04762
ASV_292	22.34940	38.35146	16.61905
ASV_285	35.89157	29.18828	31.00000
ASV_233	87.04819	16.60669	10.65079
ASV_556	24.43373	36.43933	17.74603
ASV_257	25.68675	24.17155	61.84127
ASV_491	49.46988	23.52301	32.63492
ASV_270	69.71084	21.33054	14.17460
ASV_227	15.50602	34.45188	34.76190
ASV_754	57.80723	25.93305	11.30159
ASV_307	113.397590	  5.941423	 13.015873
ASV_314	22.75904	32.79079	29.96825
ASV_462	47.31325	26.96653	19.53968
ASV_320	75.15663	18.19247	15.93651
ASV_335	43.30120	29.39749	14.73016
ASV_392	36.301205	33.292887	 7.269841
ASV_258	20.578313	38.380753	 7.920635
ASV_310	49.16867	20.91213	35.00000
ASV_283	47.04819	19.36820	43.20635
ASV_1153	20.68675	28.15900	44.41270
ASV_528	43.24096	28.17992	14.34921
ASV_446	12.40964	37.02929	19.96825
ASV_327	48.61446	26.19665	12.28571
ASV_343	30.93976	31.73640	13.28571
ASV_346	19.79518	35.40586	14.03175
ASV_377	52.22892	23.86192	14.65079
ASV_521	76.18072	16.01674	12.69841
ASV_715	106.036145	  7.560669	  5.380952
ASV_275	20.81928	30.92050	26.60317
ASV_243	25.19277	32.46862	13.73016
ASV_481	64.54217	15.64017	24.96825
ASV_396	45.30120	24.87866	14.88889
ASV_248	17.638554	36.807531	 5.031746
ASV_630	49.80723	25.54812	 5.31746
ASV_236	10.72289	33.62343	26.04762
ASV_474	37.39759	20.72803	39.61905
ASV_520	65.83133	10.25523	41.60317
ASV_340	33.27711	24.04603	31.39683
ASV_305	17.16867	30.44770	27.66667
ASV_423	 9.686747	37.368201	10.619048
ASV_298	  1.289157	 14.506276	107.952381
ASV_267	27.48193	25.20084	32.44444
ASV_347	43.42169	24.47699	13.95238
ASV_289	43.03614	23.24686	18.63492
ASV_308	 0.2650602	42.7489540	 0.4603175
ASV_326	37.08434	23.30544	23.58730
ASV_348	35.37349	18.35146	43.03175
ASV_662	56.66265	17.62343	17.17460
ASV_783	18.01205	30.95397	15.04762
ASV_449	22.42169	30.15900	12.19048
ASV_375	24.26506	27.43933	19.58730
ASV_402	33.15663	22.21757	27.36508
ASV_891	25.42169	22.10879	37.61905
ASV_352	60.277108	18.058577	 6.968254
ASV_277	18.06024	29.37657	19.61905
ASV_300	10.50602	33.55230	13.71429
ASV_436	19.91566	27.90795	22.71429
ASV_302	36.265060	26.343096	 6.761905
ASV_498	56.98795	16.72803	14.93651
ASV_460	75.409639	12.531381	 5.095238
ASV_239	101.313253	  2.912134	  7.301587
ASV_316	26.31325	15.19247	59.46032
ASV_578	44.62651	21.22594	12.25397
ASV_339	21.192771	30.008368	 9.428571
ASV_290	81.783133	 8.899582	 9.444444
ASV_466	48.542169	21.343096	 4.555556
ASV_279	 8.120482	34.267782	 8.444444
ASV_373	96.650602	 4.928870	 2.825397
ASV_268	12.19277	31.12971	14.30159
ASV_272	 5.831325	17.096234	74.793651
ASV_328	 1.048193	34.426778	15.222222
ASV_496	50.108434	20.468619	 2.349206
ASV_359	29.00000	23.55649	18.31746
ASV_254	24.1566265	29.9581590	 0.2380952
ASV_389	52.77108	15.49791	16.76190
ASV_644	56.216867	17.451883	 4.460317
ASV_323	21.83133	22.22176	31.15873
ASV_315	73.144578	 8.451883	15.015873
ASV_253	 0.4096386	34.8535565	10.3333333
ASV_287	 1.975904	19.673640	65.619048
ASV_422	54.57831	15.48536	12.00000
ASV_410	16.13253	17.89958	52.65079
ASV_337	 6.975904	31.606695	12.634921
ASV_1044	20.67470	23.50628	25.06349
ASV_329	15.45783	30.65272	 4.68254
ASV_533	54.819277	16.489540	 6.190476
ASV_390	21.75904	25.88285	11.95238
ASV_438	32.89157	20.55649	17.49206
ASV_1237	70.048193	11.401674	 2.793651
ASV_400	24.674699	25.422594	 7.936508
ASV_601	53.072289	15.054393	 9.730159
ASV_428	 5.07228916	34.23012552	 0.06349206
ASV_470	30.38554	20.57741	18.22222
ASV_266	68.265060	 2.426778	37.126984
ASV_371	59.337349	14.108787	 4.492063
ASV_506	50.493976	16.058577	 8.619048
ASV_414	 9.530120	30.623431	 7.142857
ASV_365	33.86747	20.01255	15.09524
ASV_376	 6.349398	31.870293	 6.285714
ASV_524	15.44578	22.73222	28.49206
ASV_432	36.93976	20.08368	10.14286
ASV_288	 3.240964	23.924686	39.111111
ASV_801	33.831325	22.317992	 4.857143
ASV_291	25.26506	15.45188	42.17460
ASV_322	101.45783133	  0.05020921	  0.09523810
ASV_296	11.20482	21.58996	36.98413
ASV_412	22.43373	24.31381	10.41270
ASV_385	23.45783	21.45607	19.52381
ASV_405	13.072289	28.309623	 6.825397
ASV_387	16.40964	24.10460	17.46032
ASV_886	22.03614	22.90377	14.49206
ASV_1133	42.56627	18.65272	 2.84127
ASV_317	14.44578	25.40167	14.14286
ASV_360	31.012048	21.301255	 7.698413
ASV_325	24.48193	17.31799	31.17460
ASV_529	34.43373	16.50628	20.76190
ASV_372	 5.650602	30.016736	 7.238095
ASV_885	15.55422	19.65690	32.25397
ASV_306	19.04819	21.45607	19.77778
ASV_394	37.674699	18.142259	 7.809524
ASV_1126	56.084337	11.895397	 7.047619
ASV_331	26.915663	22.062762	 6.650794
ASV_1219	30.710843	19.698745	 9.888889
ASV_263	  0.5060241	  0.3891213	122.6031746
ASV_399	22.963855	22.066946	 9.968254
ASV_590	24.915663	21.866109	 6.888889
ASV_304	31.000000	19.933054	 5.444444
ASV_475	31.43373	20.23431	 2.52381
ASV_945	24.78313	16.82845	23.52381
ASV_495	37.26506	14.15481	16.92063
ASV_594	17.92771	18.28870	26.50794
ASV_403	31.44578	16.97908	12.84127
ASV_567	10.421687	25.146444	 9.142857
ASV_546	20.16867	18.42678	21.71429
ASV_439	19.67470	21.21339	11.66667
ASV_761	40.240964	15.343096	 6.571429
ASV_452	28.03614	17.03347	16.01587
ASV_437	39.542169	14.974895	 8.650794
ASV_398	32.20482	17.64435	 8.00000
ASV_391	 2.578313	29.510460	 1.793651
ASV_1023	37.000000	16.497908	 5.047619
ASV_418	16.54217	20.54812	14.87302
ASV_482	23.31325	17.32218	17.84127
ASV_1199	14.30120	20.06695	19.25397
ASV_321	11.939759	 5.740586	76.555556
ASV_471	41.289157	14.280335	 4.190476
ASV_685	49.253012	10.514644	 7.888889
ASV_395	50.771084	 9.485356	 9.174603
ASV_381	13.02410	10.80753	53.17460
ASV_356	21.43373	17.69456	15.30159
ASV_1066	29.90361	16.99582	 6.15873
ASV_1072	17.57831	14.92887	30.14286
ASV_312	52.409639	 8.364017	 8.650794
ASV_485	10.457831	24.129707	 4.095238
ASV_353	14.93976	20.25523	12.39683
ASV_330	 7.180723	25.322176	 1.952381
ASV_419	19.61446	13.11297	31.42857
ASV_357	29.15663	14.22176	14.30159
ASV_351	46.783133	 9.774059	 7.904762
ASV_295	70.385542	 2.062762	 5.666667
ASV_589	 5.409639	24.518828	 5.730159
ASV_930	35.56627	12.61925	11.01587
ASV_378	18.07229	17.10042	16.26984
ASV_545	10.686747	21.577406	 8.793651
ASV_440	 6.072289	22.171548	12.380952
ASV_383	 2.433735	 9.753138	64.253968
ASV_427	 9.843373	18.338912	21.079365
ASV_382	26.08434	11.35565	26.15873
ASV_374	11.93976	17.57741	20.71429
ASV_604	37.566265	11.907950	 8.047619
ASV_366	 3.481928	24.259414	 5.904762
ASV_458	17.37349	16.48954	16.93651
ASV_397	 4.493976	22.234310	11.222222
ASV_635	37.21687	10.96234	10.84127
ASV_494	21.49398	16.29289	11.14286
ASV_454	22.51807	12.02510	25.63492
ASV_349	46.397590	 7.878661	 9.761905
ASV_430	 3.493976	12.732218	47.634921
ASV_522	29.67470	11.59833	17.28571
ASV_420	18.62651	12.78243	27.22222
ASV_1182	23.746988	16.301255	 7.015873
ASV_336	 8.650602	22.029289	 5.158730
ASV_463	20.012048	17.322176	 7.888889
ASV_415	 5.493976	21.405858	11.412698
ASV_616	31.28916	12.04603	12.87302
ASV_1084	 7.951807	20.933054	 9.412698
ASV_384	 6.602410	21.476987	 8.730159
ASV_996	39.457831	11.225941	 4.174603
ASV_1208	37.289157	11.493724	 5.222222
ASV_408	14.795181	18.857741	 6.539683
ASV_457	23.39759	13.51883	14.60317
ASV_519	32.216867	12.836820	 5.126984
ASV_584	16.02410	16.63598	11.88889
ASV_769	 5.843373	11.690377	43.777778
ASV_404	12.27711	17.84519	11.77778
ASV_421	15.48193	14.89121	18.52381
ASV_559	16.51807	16.53975	10.49206
ASV_344	 3.469880	22.698745	 4.253968
ASV_411	 4.036145	20.355649	12.317460
ASV_707	28.98795	10.46444	16.90476
ASV_637	35.915663	11.163180	 4.936508
ASV_477	 8.518072	14.430962	28.571429
ASV_406	43.012048	 7.774059	 8.238095
ASV_729	20.542169	16.079498	 5.968254
ASV_583	14.45783	16.71967	11.22222
ASV_465	 7.662651	17.916318	15.476190
ASV_734	44.036145	 8.874477	 1.857143
ASV_369	 2.518072	22.962343	 1.873016
ASV_684	44.012048	 7.351464	 6.253968
ASV_550	15.03614458	18.90376569	 0.06349206
ASV_651	11.37349	17.85774	 8.84127
ASV_531	 2.60241	17.01674	23.41270
ASV_401	 3.156627	22.389121	 1.650794
ASV_1000	11.38554	17.20921	10.23810
ASV_512	31.530120	11.891213	 3.746032
ASV_530	 7.361446	18.083682	12.063492
ASV_592	 6.542169	18.468619	11.111111
ASV_688	18.506024	16.209205	 3.619048
ASV_744	18.49398	13.76151	12.61905
ASV_653	10.638554	18.891213	 3.333333
ASV_459	 4.819277	17.836820	14.746032
ASV_416	 2.5421687	22.3263598	 0.6825397
ASV_833	14.120482	17.778243	 2.666667
ASV_490	10.566265	17.828452	 7.111111
ASV_587	33.81928	10.85356	 2.31746
ASV_657	11.36145	17.41841	 6.68254
ASV_425	22.120482	 9.514644	22.476190
ASV_772	40.421687	 7.552301	 5.809524
ASV_469	 7.662651	19.732218	 2.031746
ASV_525	12.277108	 7.757322	41.380952
ASV_379	51.313253	 4.451883	 2.349206
ASV_639	 3.759036	20.025105	 5.857143
ASV_431	14.421687	 7.317992	40.000000
ASV_489	29.265060	 8.891213	14.476190
ASV_668	22.012048	12.991632	 8.190476
ASV_370	19.132530	 9.903766	23.619048
ASV_693	20.98795	13.10879	 9.00000
ASV_934	18.337349	15.033473	 5.111111
ASV_455	19.120482	13.242678	 9.952381
ASV_442	63.8915663	 0.1422594	 0.4126984
ASV_730	15.85542	15.02929	 6.52381
ASV_557	27.421687	10.945607	 6.634921
ASV_571	26.734940	12.368201	 2.047619
ASV_624	18.14458	12.55649	12.57143
ASV_979	21.39759	13.60251	 4.31746
ASV_464	 6.879518	15.941423	13.380952
ASV_518	 9.469880	16.828452	 6.253968
ASV_503	15.313253	15.184100	 4.396825
ASV_467	 8.204819	17.648536	 4.365079
ASV_386	 0.5301205	14.5062762	26.1587302
ASV_362	 2.722892	18.924686	 6.428571
ASV_549	 5.481928	17.723849	 6.730159
ASV_526	11.012048	16.447699	 4.190476
ASV_393	 3.204819	16.715481	13.365079
ASV_501	 3.204819	19.384937	 3.031746
ASV_561	11.807229	16.117155	 3.936508
ASV_989	 9.012048	16.393305	 6.555556
ASV_842	43.662651	 5.343096	 2.269841
ASV_473	10.53012	11.82008	21.06349
ASV_595	48.120482	 3.782427	 1.730159
ASV_950	 3.289157	18.635983	 4.301587
ASV_535	30.132530	 8.217573	 8.269841
ASV_739	19.63855	10.65272	12.63492
ASV_1224	11.855422	15.933054	 2.587302
ASV_354	55.3734940	 0.6778243	 2.7301587
ASV_751	14.51807	13.25523	 8.84127
ASV_453	 8.156627	15.979079	 6.523810
ASV_504	14.89157	11.46025	14.79365
ASV_486	18.771084	11.581590	 9.079365
ASV_894	15.361446	14.807531	 1.285714
ASV_976	23.337349	11.288703	 4.047619
ASV_937	11.903614	14.267782	 7.714286
ASV_443	 3.518072	15.054393	15.761905
ASV_502	10.722892	15.167364	 5.650794
ASV_508	 6.650602	13.606695	16.777778
ASV_499	 4.987952	17.225941	 5.126984
ASV_536	 2.903614	17.259414	 7.634921
ASV_580	 5.192771	14.041841	16.619048
ASV_591	 4.253012	13.656904	19.285714
ASV_756	20.686747	11.569038	 5.428571
ASV_479	19.289157	 7.598326	21.698413
ASV_702	29.265060	 8.209205	 6.111111
ASV_1118	12.530120	14.347280	 4.809524
ASV_447	 7.144578	14.372385	11.666667
ASV_659	13.216867	 8.828452	24.444444
ASV_511	 4.0120482	18.3598326	 0.3492063
ASV_904	31.542169	 5.564854	12.587302
ASV_922	38.421687	 5.539749	 3.190476
ASV_538	 4.216867	 7.184100	41.825397
ASV_619	 7.734940	14.167364	 9.873016
ASV_1140	23.939759	 9.924686	 4.317460
ASV_500	 3.084337	17.497908	 3.047619
ASV_1082	 8.240964	 9.518828	26.031746
ASV_555	11.38554	11.63598	13.80952
ASV_451	 7.421687	 9.728033	26.111111
ASV_480	21.000000	 4.945607	26.349206
ASV_753	35.313253	 5.920502	 2.158730
ASV_461	42.493976	 2.418410	 5.873016
ASV_574	 5.144578	12.464435	16.761905
ASV_652	20.45783	10.89121	 2.31746
ASV_767	 7.710843	14.870293	 3.968254
ASV_1165	25.337349	 7.267782	 9.380952
ASV_636	26.807229	 8.422594	 2.888889
ASV_948	15.686747	11.589958	 5.142857
ASV_821	15.156627	 8.573222	17.253968
ASV_1090	19.674699	10.531381	 3.603175
ASV_527	 8.253012	14.050209	 5.253968
ASV_655	16.686747	11.648536	 3.063492
ASV_663	19.963855	 8.991632	 8.761905
ASV_1216	27.578313	 7.979079	 2.428571
ASV_627	16.204819	 9.355649	12.142857
ASV_664	15.168675	11.707113	 4.285714
ASV_721	13.289157	12.631799	 3.174603
ASV_450	 9.542169	12.916318	 6.873016
ASV_831	28.590361	 5.824268	 8.666667
ASV_608	30.506024	 6.225941	 4.476190
ASV_683	17.734940	 8.276151	13.460317
ASV_581	 2.457831	16.652720	 1.793651
ASV_532	18.951807	10.464435	 3.460317
ASV_478	19.036145	 9.661088	 6.142857
ASV_558	 8.373494	 8.824268	23.238095
ASV_497	12.180723	11.669456	 7.111111
ASV_763	14.337349	 9.096234	14.000000
ASV_448	 8.9879518	14.6108787	 0.1111111
ASV_670	 4.168675	15.414226	 3.238095
ASV_596	10.120482	12.799163	 5.238095
ASV_1209	10.036145	 8.133891	22.920635
ASV_542	18.927711	 7.786611	12.460317
ASV_698	 6.024096	10.401674	19.349206
ASV_417	 0.02409639	16.77824268	 3.04761905
ASV_724	19.240964	 8.343096	 9.238095
ASV_516	36.746988	 3.242678	 5.253968
ASV_847	18.012048	10.041841	 4.095238
ASV_1079	14.542169	10.573222	 6.555556
ASV_830	36.385542	 4.058577	 2.444444
ASV_623	 3.710843	15.016736	 3.714286
ASV_749	 8.710843	12.652720	 5.968254
ASV_717	19.228916	 8.845188	 6.174603
ASV_588	15.807229	 9.765690	 7.142857
ASV_723	17.012048	 8.518828	10.158730
ASV_537	 8.915663	11.736402	 8.380952
ASV_777	16.566265	 9.418410	 7.095238
ASV_609	 4.951807	14.037657	 4.841270
ASV_743	 4.493976	12.870293	 9.698413
ASV_629	 9.072289	13.271967	 2.000000
