OTUID	All	DEmed	DEpost	DGpre	DSmed	DSpost	DSpre	HEmed	HEpost	HGpre	HSmed	HSpost	HSpre	IEmed	IEpost	IGpre	ISmed	ISpost	ISpre
ASV_48	0.363443	1.76402783	0.61932287	0.52410176	0.28826067	0.11831221	0.25955450	0.46328220	0.32765249	0.89593434	0.24808309	0.16719296	0.12167894	1.10694620	0.15716135	0.14140903	0.12269392	0.40309847	0.09067201
ASV_24	0.337585	0.2122432795	0.3405958185	0.1583296259	0.0008695818	0.0122850562	0.0107281307	0.8295516464	0.4089777933	0.2472390403	0.4364807614	0.0939701449	0.8009542263	0.0118016482	0.0211681556	0.0063245999	0.1000296344	0.0483219077	0.3162022740
ASV_32	0.388984	0.5608121	0.4189350	2.0452855	0.1685968	0.3314887	0.2459959	0.3350825	0.3513596	0.6711796	0.2258343	0.3377363	0.2176886	1.1551915	0.2707594	0.4656083	0.2382506	0.5355714	0.4026638
ASV_113	0.363358	2.22248413	0.36099983	0.79364736	0.32260792	0.44773890	0.28389271	0.42641174	0.23285252	0.37659155	0.31041159	0.25854903	0.35950694	0.24269855	0.21658628	0.08854477	0.13679804	0.26004708	0.20224651
ASV_34	0.347995	0.2263525	0.4411197	0.1447174	0.4339337	0.7270905	0.1298909	0.3727340	0.4226159	0.1561690	0.4184592	0.4954727	0.2399289	0.2035855	0.3019102	0.1466110	0.2015171	0.2376163	0.5887154
ASV_69	0.338111	0.1396082	0.4922275	0.2992532	0.2598612	0.4907889	0.3006650	0.2191661	0.1940344	0.1611590	0.7494396	0.5171699	0.3339249	0.1347974	0.2065786	0.1821955	0.3423254	0.2594923	0.1375357
ASV_62	0.345611	0.19072817	0.12471623	0.25317194	0.26266222	0.88684978	0.55069571	0.22065670	0.16388340	0.23891281	0.54679006	0.28450309	0.38955973	0.20318250	0.56611073	0.27711368	0.38799432	0.66349703	0.09213118
ASV_49	0.348091	0.2018316	0.2190030	0.1878277	0.5062459	0.2622626	0.2700370	0.2427227	0.2263729	0.1988278	0.5016644	0.2981833	0.2099738	0.5802465	2.5476524	0.6077609	0.2816960	0.3002064	0.2133493
ASV_28	0.337711	4.735980e-02	1.093926e+00	1.353124e-02	1.241035e-01	5.886239e-03	1.735147e-02	6.908677e-03	1.401720e-02	3.043460e-02	1.398327e+00	5.071757e-01	7.115330e-01	0.000000e+00	0.000000e+00	0.000000e+00	1.225382e-02	4.937622e-02	7.931044e-05
ASV_50	0.331769	0.31519324	0.05930427	0.13643887	0.06769776	0.06477972	0.07574495	0.48671925	0.92818967	0.64180118	0.11951421	0.41956535	0.05303974	0.20732614	0.14920113	0.19778436	0.18172085	0.11368287	1.00440114
ASV_58	0.313701	0.68557049	0.45917209	0.49566838	0.08650745	0.08515562	0.15083374	0.26933404	0.83177902	0.55310810	0.35919744	0.14458413	0.15724885	0.16835028	0.20124208	0.10937873	0.22195836	0.24575851	0.32110222
ASV_81	0.32312	0.3248119	0.6579558	0.4754831	0.1787512	0.4034144	0.3645937	0.2769424	0.3408139	0.3756300	0.2214427	0.3800355	0.2526483	0.2201683	0.2786464	0.1487760	0.8987008	0.3253790	0.1239846
ASV_56	0.317143	0.20042333	0.13499495	0.33993744	0.28267690	0.61159156	0.07613895	0.54023753	0.10043849	0.17308768	0.37671298	0.50895075	0.38920973	0.08147844	0.10083327	0.12608856	0.47998415	0.23426613	0.06212766
ASV_47	0.297981	0.35949743	0.30344144	0.61281092	0.03397014	0.14644913	0.15006152	0.29135284	0.68297695	0.26602643	0.07718675	0.18952695	0.25823347	1.31886716	0.47378179	1.08692474	0.25368238	0.11704477	0.27429147
ASV_44	0.344205	0.40192270	0.27147914	0.30146136	0.05436172	0.10637024	0.09798809	0.50837963	0.39558533	0.52258499	0.17316566	0.40551907	0.21928085	0.48022065	0.17807575	0.31155472	0.32106552	0.16821523	1.45052048
ASV_71	0.289448	0.04506756	0.06168296	0.06003683	1.69987716	0.06401039	0.51152249	0.06624752	0.28351052	0.17633470	0.10640442	0.08429908	0.35435211	0.16666754	0.03656237	0.11180080	0.05911905	0.52179829	0.20167390
ASV_73	0.33991	0.89195694	0.91098134	0.95390668	0.04758664	0.17618831	0.59264227	0.39824206	0.41067830	0.19573095	0.36630088	0.25258202	0.17000082	0.41866906	1.23520861	0.48928663	0.21461716	0.16743502	0.13868143
ASV_94	0.291902	0.2652901	0.1524777	0.4309820	0.4190049	0.2438734	0.3152973	0.1734210	0.1761461	0.3317227	0.1818923	0.3614467	0.3525220	0.2622151	0.7841043	0.2472010	0.2154519	0.4593820	0.2275778
ASV_53	0.300977	0.02702066	0.27028856	0.05739019	0.05283312	0.07323974	0.04331500	0.09138478	1.62972338	0.09894982	0.08289278	0.50802073	0.31109419	0.05192241	0.23112702	0.09581150	0.10659155	0.10510303	0.06340123
ASV_66	0.244318	0.04650604	0.04010569	0.02949588	0.01925156	0.02653111	1.02977129	0.06545479	0.05431562	0.17600309	0.33058921	0.37684369	0.05462838	3.01534372	0.18163625	0.65591740	0.05396107	0.10259384	0.04120399
ASV_74	0.296383	0.40550082	0.97144863	0.33950879	0.09071901	0.10347067	0.11623247	0.33652068	0.45692943	0.22570668	0.25365054	0.32976610	0.19178667	0.72740290	0.56394540	0.79247956	0.19569893	0.24255102	0.18260423
ASV_63	0.276204	0.42403609	0.44910138	0.31709795	0.13322364	0.16799548	0.09386345	0.34465545	0.38603281	0.29744303	0.30084519	0.19615072	0.23708469	0.42916888	0.61971692	0.18648447	0.27795877	0.24958861	0.22329844
ASV_90	0.283875	0.09401568	0.10338026	0.35094679	0.07889971	0.76987802	0.79432933	0.24268246	0.21069187	0.17485654	0.23721118	0.38742369	0.41173087	0.08599475	0.08381826	0.11438483	0.18152516	0.17845986	0.15788708
ASV_119	0.257567	0.10141315	0.03369181	0.41211269	0.28983862	0.27604640	0.42378847	0.05047990	0.06419366	0.48233293	0.19305389	0.03828484	0.61004244	0.08821539	0.04483831	0.20542863	0.64333208	0.14141977	0.16591614
ASV_881	0.320993	0.38096753	0.32306475	0.30453209	0.25725834	0.06195732	0.57723758	0.22354243	0.35463852	0.14015952	0.23528310	0.49259463	0.23014244	0.30239828	0.31551578	0.45305106	0.75283675	0.41472792	0.51584560
ASV_86	0.258125	0.07505576	0.11303698	0.02677457	0.08798460	0.40666875	0.42961096	0.62613484	0.16661860	0.14987463	0.09763239	0.15344965	0.29537970	0.06914177	0.06068481	0.21173208	0.35705313	0.10421971	0.92276150
ASV_88	0.262901	0.12534006	0.04518898	0.41953928	0.13525794	0.49186320	0.48500684	0.30483103	0.12575672	0.28370860	0.25641831	0.39454455	0.31516124	0.04272082	0.04039794	0.53515636	0.23088819	0.07267192	0.05385318
ASV_79	0.266268	0.3301546	0.1920012	0.2643582	0.1486112	0.4264786	0.2743962	0.3766177	0.3882192	0.3047229	0.2456283	0.1927146	0.1642335	0.5399280	0.2073754	0.2436741	0.2380361	0.1885716	0.2226559
ASV_77	0.258195	0.41734461	0.40903638	0.29315382	0.09971012	0.18470733	0.08392674	0.22400814	0.41477079	0.35339432	0.23606816	0.29492952	0.21627276	0.38044852	0.63364997	0.27716736	0.12409570	0.12059171	0.18307549
ASV_124	0.246183	0.06181177	0.17521609	0.09294156	0.21022969	0.27464953	0.23642403	0.32367457	0.23131554	0.08644162	0.14092747	0.48868483	0.31967666	0.14712613	0.26752450	0.16510641	0.18140106	0.11103321	0.36476854
ASV_99	0.229533	0.04730397	0.10640407	0.07373520	0.18811107	0.39024308	0.59644859	0.10131007	0.05717300	0.24223709	0.15209735	0.35306337	0.28032249	0.07250361	0.09131046	1.00941553	0.46789603	0.09301880	0.07879789
ASV_85	0.232237	0.16729015	0.15287938	0.14567836	0.55304464	0.48511329	0.13096676	0.56120803	0.21558898	0.17228996	0.13699434	0.13897939	0.12681276	0.21606144	0.21009670	0.09694803	0.10084604	0.16022105	0.10288788
ASV_75	0.253645	0.1353833	0.4746316	0.1485152	0.2672599	0.2252070	0.0741971	0.3462392	0.2423353	0.3287885	0.3072750	0.1538233	0.1229593	0.2102791	0.2686611	0.4534965	0.5429196	0.2098827	0.3353180
ASV_84	0.251186	0.13417766	0.12605413	0.18045399	0.10268215	0.03964435	0.27493614	0.13463471	0.60742397	0.14425463	0.22218465	0.25814743	0.18336791	0.66575129	0.27103157	0.59050611	0.38462496	0.27446361	0.33609176
ASV_106	0.213502	0.078941735	0.002857511	0.029117815	0.460546645	0.882592171	0.577184002	0.064285194	0.031132133	0.135761278	0.216586432	0.259390348	0.196406756	0.645920505	0.126660604	0.044661518	0.057025413	0.044397842	0.072349949
ASV_76	0.238757	0.2169844	0.2475347	0.1681104	0.3764296	0.1746698	0.2693895	0.3326489	0.2208923	0.2105549	0.4008742	0.1821719	0.1603913	0.1343490	0.2865060	0.1373525	0.1177814	0.1526618	0.1465299
