OTUID	All	D	H	I
ASV_309	0.055439	0.12695069	0.02155404	0.02428617
ASV_258	0.090926	0.01198923	0.16338348	0.02014844
ASV_754	0.057038	0.14644129	0.01079669	0.02972440
ASV_393	0.101622	0.01255330	0.18344716	0.02155761
ASV_904	0.06543	0.11994401	0.02826048	0.07569585
ASV_257	0.064853	0.05179309	0.07270065	0.06556441
ASV_267	0.080411	0.12190731	0.06148022	0.06014127
ASV_184	0.068022	0.04488115	0.08407722	0.06283209
ASV_483	0.055328	0.05560052	0.05093335	0.06800823
ASV_394	0.046333	0.121797726	0.013441618	0.004857723
ASV_276	0.053631	0.11205103	0.02753370	0.02342972
ASV_302	0.067156	0.139735092	0.044018471	0.001781445
ASV_205	0.065414	0.01817119	0.08631379	0.09045137
ASV_140	0.078785	0.02542869	0.10624423	0.09550000
ASV_135	0.069834	0.05671824	0.08054848	0.06204779
ASV_181	0.0604	0.06788906	0.04663270	0.08779654
ASV_125	0.046506	0.01677362	0.06960121	0.03244036
ASV_331	0.056009	0.064670254	0.066007734	0.009926924
ASV_662	0.055533	0.08512653	0.04749675	0.02468014
ASV_165	0.06758	0.02223635	0.09930094	0.05662788
ASV_345	0.057585	0.001725492	0.102677604	0.026046584
ASV_422	0.050441	0.120483462	0.023220345	0.002025991
ASV_196	0.05933	0.01419674	0.10134965	0.01709265
ASV_133	0.0646	0.05699249	0.07644792	0.04318443
ASV_1119	0.048856	0.04907153	0.05851767	0.01946794
ASV_326	0.052859	0.08713202	0.03244150	0.05046321
ASV_434	0.040108	0.1215724709	0.0029276411	0.0003598071
ASV_342	0.052206	0.12177804	0.02275364	0.01135540
ASV_595	0.045728	0.135919434	0.004238572	0.002697437
ASV_444	0.045058	0.112476333	0.017506483	0.002505377
ASV_516	0.049977	0.146247348	0.006630287	0.001227122
ASV_507	0.058816	0.04137299	0.06197419	0.08173354
ASV_358	0.048522	0.07081113	0.04027790	0.03186191
ASV_417	0.081186	8.220561e-05	1.545324e-01	1.177006e-02
ASV_145	0.049532	0.01072426	0.07766483	0.03720459
ASV_435	0.039904	1.255106e-01	5.049633e-05	4.795473e-04
ASV_286	0.048489	0.07347844	0.03486933	0.04294127
ASV_694	0.045203	0.1405026089	0.0011793640	0.0002877284
ASV_529	0.043559	0.04590955	0.02853425	0.08426575
ASV_347	0.047982	0.06566586	0.04709523	0.01780196
ASV_587	0.047894	0.070136576	0.048148977	0.005822478
ASV_108	0.069622	0.03543198	0.07991444	0.10224097
ASV_1237	0.047565	0.139443805	0.005261310	0.003842695
ASV_519	0.049661	0.096593102	0.034823324	0.007015295
ASV_265	0.08342	0.05368979	0.10536856	0.07278975
ASV_96	0.058287	0.02305342	0.08039898	0.05738589
ASV_684	0.04722	0.135920259	0.006155160	0.005684921
ASV_376	0.043597	0.002105958	0.078946164	0.014604226
ASV_515	0.034755	5.371873e-05	0.000000e+00	2.034625e-01
ASV_316	0.054964	0.04708893	0.04444154	0.10115751
ASV_121	0.063805	0.02993165	0.07825240	0.08337102
ASV_115	0.071002	0.04662300	0.08679041	0.06891109
ASV_534	0.038364	0.111258709	0.004253086	0.005320733
ASV_146	0.063921	0.04674963	0.07692534	0.05679813
ASV_501	0.042621	0.001626028	0.080686896	0.004559406
ASV_268	0.049024	0.008985229	0.086189861	0.011881627
ASV_467	0.048357	0.030617285	0.073040026	0.007252343
ASV_244	0.055627	0.04402597	0.07028636	0.03319201
ASV_284	0.062716	0.02829424	0.06274590	0.12655497
ASV_142	0.048101	0.02053501	0.05383958	0.08208005
ASV_533	0.040867	0.116037898	0.006145326	0.005428993
ASV_830	0.042141	0.125345468	0.003013703	0.005001209
ASV_222	0.04517	0.06810631	0.03777332	0.02476484
ASV_800	0.042173	0.1316371072	0.0008482067	0.0000000000
ASV_180	0.063754	0.01451475	0.09076441	0.07416781
ASV_528	0.045506	0.09367491	0.02136252	0.02848251
ASV_1126	0.039849	0.111485215	0.006213744	0.007713739
ASV_462	0.046314	0.08179608	0.03170299	0.02425194
ASV_237	0.056349	0.02009365	0.09102528	0.01965185
ASV_195	0.057789	0.03249674	0.07579032	0.05075367
ASV_177	0.051795	0.02938954	0.07387882	0.02715164
ASV_375	0.048571	0.03013008	0.06190199	0.04282392
ASV_398	0.038648	0.075703214	0.026983637	0.004822411
ASV_437	0.039299	0.094608285	0.015150657	0.009027259
ASV_495	0.039916	0.09333344	0.01375983	0.01917978
ASV_259	0.054647	0.03762527	0.06684428	0.04966891
ASV_251	0.042474	0.03506113	0.05168022	0.02862263
ASV_383	0.039683	0.002902778	0.006466413	0.207637337
ASV_194	0.044415	0.05270957	0.04689527	0.02156859
ASV_382	0.037549	0.075818771	0.006132833	0.060724572
ASV_608	0.039903	0.121203312	0.002384661	0.001474009
ASV_470	0.042989	0.03184374	0.05997169	0.01273741
ASV_269	0.045948	0.03975261	0.05040731	0.04407336
ASV_750	0.036298	0.008599744	0.065105661	0.001316387
ASV_317	0.035076	0.01026608	0.05242441	0.02910857
ASV_644	0.036957	0.098673632	0.008618875	0.007354999
ASV_171	0.039784	0.08179430	0.02341386	0.01087570
ASV_486	0.040138	0.05502186	0.04174966	0.00766060
ASV_468	0.031476	0.087825405	0.003142992	0.011827789
ASV_635	0.037984	0.098519595	0.010794768	0.007129403
ASV_218	0.051509	0.03325583	0.06612866	0.04155075
ASV_557	0.038389	0.086321509	0.019259952	0.006758391
ASV_273	0.03605	0.07112889	0.02172318	0.01388241
ASV_474	0.038256	0.057198053	0.036817650	0.007392299
ASV_547	0.032549	0.1026555	0.0000000	0.0000000
ASV_175	0.048923	0.02137920	0.07172613	0.03166774
ASV_161	0.051232	0.004725365	0.052433837	0.133995716
ASV_769	0.056845	0.008969501	0.035039868	0.211169847
ASV_570	0.036899	0.07811942	0.01952698	0.01246168
ASV_310	0.035992	0.076418838	0.009250459	0.041140949
ASV_350	0.036045	0.081598911	0.017465790	0.007184486
ASV_300	0.034428	0.005365738	0.060195643	0.011096746
ASV_328	0.034775	0.002331300	0.064461308	0.005965813
ASV_327	0.034135	0.084795802	0.012253644	0.005696662
ASV_674	0.033608	0.004994411	0.061770964	0.002259004
ASV_275	0.042681	0.02794082	0.05653122	0.02850635
ASV_92	0.037299	0.003544926	0.061670834	0.026869775
ASV_388	0.037766	0.02507814	0.04535010	0.03857735
ASV_245	0.056277	0.02709271	0.07063666	0.06739746
ASV_230	0.045045	0.01319075	0.06672166	0.03917090
ASV_475	0.037062	0.002432937	0.070197695	0.001964939
ASV_589	0.032375	0.005263027	0.055297505	0.013958321
ASV_173	0.045949	0.01342287	0.06734635	0.04216071
ASV_729	0.031792	0.02498806	0.04292475	0.01102814
ASV_1208	0.031941	0.081818476	0.010596748	0.003343935
ASV_339	0.038371	0.03518316	0.04228013	0.03256375
ASV_577	0.04496	0.02490850	0.04446490	0.08368478
ASV_522	0.039046	0.07200482	0.02599048	0.01700182
ASV_524	0.04829	0.02398445	0.04554513	0.10166162
ASV_490	0.032068	0.002227326	0.056608904	0.013862213
ASV_817	0.03006	9.433404e-02	2.636750e-04	8.525425e-05
ASV_323	0.051271	0.03016757	0.06465908	0.05030071
ASV_583	0.034514	0.03225489	0.03520746	0.03662949
ASV_285	0.040303	0.03730173	0.04514832	0.03134127
ASV_352	0.039301	0.03628279	0.04874564	0.01656962
ASV_450	0.037873	0.03973949	0.04036169	0.02693953
ASV_930	0.031887	0.075028061	0.013798561	0.006031978
ASV_419	0.033767	0.08066574	0.01224091	0.01124558
ASV_365	0.033585	0.03831160	0.03779127	0.01218748
ASV_280	0.046726	0.03630946	0.05755973	0.03357238
ASV_569	0.026867	0.0832326712	0.0003828441	0.0016429840
ASV_521	0.029271	0.067106709	0.006244251	0.028087811
ASV_945	0.031457	0.02277085	0.02485058	0.06740878
ASV_512	0.029821	0.071441891	0.011413224	0.007745884
ASV_219	0.038625	0.01604178	0.04838096	0.05129519
ASV_488	0.043632	0.01593834	0.05037068	0.07484867
ASV_613	0.030375	0.0909105024	0.0028808073	0.0004347536
ASV_648	0.027636	0.083723253	0.001524423	0.001810381
ASV_256	0.040267	0.04594654	0.03768279	0.03747438
ASV_279	0.028888	0.026682506	0.038184279	0.005095117
ASV_594	0.030539	0.034395390	0.035822583	0.007526325
ASV_711	0.031737	0.085836972	0.006633060	0.006575048
ASV_392	0.030734	0.06370100	0.01403337	0.01961176
ASV_252	0.04345	0.01391228	0.06034268	0.04762499
ASV_610	0.031355	0.09041995	0.00430784	0.00280256
ASV_506	0.028995	0.07307244	0.00453911	0.02050374
ASV_701	0.024585	0.072477491	0.001243666	0.005667484
ASV_402	0.030746	0.007684472	0.021030303	0.102720676
ASV_576	0.037164	0.003974426	0.047979084	0.066354286
ASV_335	0.02813	0.03880219	0.02486259	0.01811304
ASV_1153	0.038225	0.03244534	0.03484100	0.05910781
ASV_616	0.030785	0.081057251	0.006988522	0.008810861
ASV_720	0.030112	0.089349603	0.002160010	0.003956822
ASV_615	0.031675	0.01752709	0.04734937	0.01092498
ASV_523	0.030541	0.087290512	0.003842581	0.005242640
ASV_242	0.040367	0.02833866	0.05000134	0.03380040
ASV_418	0.030118	0.02747087	0.03290540	0.02667303
ASV_348	0.029328	0.069656634	0.009461939	0.014032079
ASV_860	0.026584	0.037998411	0.025644721	0.008206018
ASV_708	0.027714	0.080544498	0.003677015	0.001713446
ASV_453	0.038149	0.02007101	0.05552601	0.01959258
ASV_466	0.029018	0.078118185	0.007410245	0.002655155
ASV_976	0.029373	0.06521034	0.01328003	0.01109589
ASV_520	0.030001	0.006023222	0.018576644	0.108803175
ASV_685	0.03225	0.03309915	0.03317494	0.02789648
ASV_304	0.045862	0.03250322	0.06591410	0.01051302
ASV_387	0.030825	0.02834989	0.02990279	0.03818970
ASV_288	0.044221	0.00934604	0.02418507	0.16909701
ASV_730	0.027444	0.003007889	0.047093601	0.013875994
ASV_809	0.026937	0.009823805	0.045697947	0.002433418
ASV_680	0.024451	0.071062798	0.002936369	0.002431729
ASV_238	0.036426	0.03560201	0.02671383	0.06709342
ASV_192	0.033554	0.03478164	0.02843450	0.04663516
ASV_693	0.024887	0.04948860	0.01684588	0.00332011
ASV_1216	0.027462	0.074055067	0.006420512	0.004056412
ASV_840	0.028078	0.068711854	0.010683493	0.004799265
ASV_400	0.029777	0.073880089	0.008543852	0.011569265
ASV_385	0.031358	0.04094088	0.02898425	0.02068037
ASV_761	0.027618	0.05644314	0.01279240	0.01856466
ASV_545	0.025612	0.01203583	0.03501759	0.02261088
ASV_568	0.045285	0.007104181	0.081951844	0.006192138
ASV_299	0.037728	0.02872444	0.03624694	0.05889263
ASV_292	0.03379	0.01364592	0.05316862	0.01306543
ASV_721	0.026833	0.040257146	0.024636397	0.008494542
ASV_531	0.02691	0.002553588	0.010728872	0.120687308
ASV_996	0.026298	0.071946922	0.005096462	0.005126157
ASV_604	0.02654	0.05750791	0.01046840	0.01724292
ASV_852	0.026087	0.075434807	0.003392258	0.002526267
ASV_340	0.029392	0.02440663	0.03807263	0.01260619
ASV_423	0.029927	0.01225428	0.04577908	0.01519405
ASV_842	0.024651	0.068527384	0.002504732	0.009604075
ASV_439	0.028246	0.03316199	0.02028561	0.04300001
ASV_254	0.03298	0.04630166	0.03572684	0.00000000
ASV_231	0.029953	0.063157967	0.017906452	0.004428705
ASV_438	0.036892	0.01404661	0.04996202	0.04010730
ASV_504	0.034077	0.03395750	0.04187569	0.01090085
ASV_897	0.025865	0.066284963	0.006836696	0.007881960
ASV_305	0.031247	0.02973330	0.03570926	0.02066861
ASV_556	0.030158	0.01777795	0.04177947	0.01828543
ASV_333	0.02441	0.01404670	0.03294833	0.01804115
ASV_813	0.023899	0.0700382269	0.0005448078	0.0082759895
ASV_478	0.024091	0.053308328	0.012023330	0.006032705
ASV_1013	0.024525	0.061568237	0.009329879	0.001317646
ASV_1044	0.024926	0.01834514	0.02438309	0.03877849
ASV_753	0.021706	0.052796974	0.007853936	0.005521821
ASV_315	0.028444	0.071380855	0.009341814	0.006007833
ASV_550	0.031573	0.04795177	0.03195738	0.00000000
ASV_223	0.03314	0.01790206	0.04790713	0.01713687
ASV_449	0.025902	0.051501937	0.015437515	0.009751837
ASV_772	0.02438	0.065144024	0.006514984	0.002270918
ASV_636	0.023196	0.064059915	0.004633828	0.002993698
ASV_447	0.022914	0.011646120	0.035336426	0.006571055
ASV_482	0.026373	0.02833957	0.02739418	0.01965833
ASV_1140	0.023285	0.0713088774	0.0006399684	0.0020340743
ASV_1165	0.023402	0.058758538	0.008571337	0.002232819
ASV_1000	0.025861	0.007348074	0.034193233	0.035245309
ASV_891	0.040579	0.02803352	0.04709222	0.04433776
ASV_835	0.024066	0.070267838	0.002406868	0.003241631
ASV_243	0.032658	0.03163572	0.04051361	0.01098967
ASV_1100	0.023082	0.0685605002	0.0023341052	0.0008677597
ASV_1084	0.021015	0.01515810	0.02194263	0.02911148
ASV_494	0.022685	0.03694156	0.01693516	0.01345623
ASV_801	0.023495	0.040041604	0.018411687	0.008014221
ASV_344	0.020569	0.009147052	0.030169736	0.012977866
ASV_457	0.023505	0.03846886	0.01436329	0.02313896
